application,feature_block,coverage_target,mean,sem
humanitarian,predictive_uncertainty,0.25,0.9666666666666667,0.08944965883069993
humanitarian,predictive_uncertainty,0.5,2.7055555555555557,0.16983893897072835
humanitarian,predictive_uncertainty,0.75,5.466666666666667,0.2504372340401253
humanitarian,predictive_uncertainty,1.0,9.544444444444444,0.3098148485166653
humanitarian,random_abstention,0.25,2.4166666666666665,0.10507748906819422
humanitarian,random_abstention,0.5,4.855555555555555,0.1800272795078313
humanitarian,random_abstention,0.75,7.2,0.24555641222103688
humanitarian,random_abstention,1.0,9.544444444444444,0.3098148485166653
humanitarian,rule_kpi_confidence,0.25,0.9222222222222223,0.08204991423997988
humanitarian,rule_kpi_confidence,0.5,2.7444444444444445,0.16863313314832398
humanitarian,rule_kpi_confidence,0.75,5.477777777777778,0.2511865764445701
humanitarian,rule_kpi_confidence,1.0,9.544444444444444,0.3098148485166653
humanitarian,shannon_js,0.25,0.7555555555555555,0.07942305233900503
humanitarian,shannon_js,0.5,2.5444444444444443,0.17320906271173062
humanitarian,shannon_js,0.75,5.4944444444444445,0.2569333087660276
humanitarian,shannon_js,1.0,9.544444444444444,0.3098148485166653
humanitarian,tsallis_q_0_5,0.25,2.183333333333333,0.10495927500847253
humanitarian,tsallis_q_0_5,0.5,4.4,0.1752182287453789
humanitarian,tsallis_q_0_5,0.75,6.927777777777778,0.24563609712999443
humanitarian,tsallis_q_0_5,1.0,9.544444444444444,0.3098148485166653
humanitarian,tsallis_q_1_5,0.25,2.1333333333333333,0.10552696532016559
humanitarian,tsallis_q_1_5,0.5,4.322222222222222,0.17646356259402116
humanitarian,tsallis_q_1_5,0.75,6.888888888888889,0.2465011383916118
humanitarian,tsallis_q_1_5,1.0,9.544444444444444,0.3098148485166653
humanitarian,tsallis_q_2,0.25,2.1277777777777778,0.10512342530192856
humanitarian,tsallis_q_2,0.5,4.338888888888889,0.1779537265557801
humanitarian,tsallis_q_2,0.75,6.9,0.24564487142085686
humanitarian,tsallis_q_2,1.0,9.544444444444444,0.3098148485166653
humanitarian,tsallis_q_3,0.25,2.1277777777777778,0.10303602196413947
humanitarian,tsallis_q_3,0.5,4.322222222222222,0.1773407881890908
humanitarian,tsallis_q_3,0.75,6.85,0.24607092486125465
humanitarian,tsallis_q_3,1.0,9.544444444444444,0.3098148485166653
utility_restoration,action_value_margin,0.25,2.292817679558011,0.1098970810153642
utility_restoration,action_value_margin,0.5,5.005524861878453,0.17977839806446083
utility_restoration,action_value_margin,0.75,7.867403314917127,0.24281053854633106
utility_restoration,action_value_margin,1.0,10.861878453038674,0.3139652615027792
utility_restoration,always_act,0.25,2.43646408839779,0.16214107426080712
utility_restoration,always_act,0.5,5.375690607734807,0.22738086476969463
utility_restoration,always_act,0.75,8.088397790055248,0.2723488556654743
utility_restoration,always_act,1.0,10.861878453038674,0.3139652615027792
utility_restoration,calibrated_max_probability,0.25,1.0607734806629834,0.08800557555874655
utility_restoration,calibrated_max_probability,0.5,3.1767955801104972,0.18642895788019134
utility_restoration,calibrated_max_probability,0.75,6.486187845303867,0.26576825349846833
utility_restoration,calibrated_max_probability,1.0,10.861878453038674,0.3139652615027792
utility_restoration,combined_generalized_entropic,0.25,0.8839779005524862,0.08265163825397014
utility_restoration,combined_generalized_entropic,0.5,3.116022099447514,0.18677610708483455
utility_restoration,combined_generalized_entropic,0.75,6.530386740331492,0.2669130349567809
utility_restoration,combined_generalized_entropic,1.0,10.861878453038674,0.3139652615027792
utility_restoration,conformal_risk_control,0.25,1.4585635359116023,0.10525470095162842
utility_restoration,conformal_risk_control,0.5,3.6464088397790055,0.19472558375695292
utility_restoration,conformal_risk_control,0.75,6.900552486187845,0.2658256734523627
utility_restoration,conformal_risk_control,1.0,10.861878453038674,0.3139652615027792
utility_restoration,ensemble_variance_proxy,0.25,1.5303867403314917,0.10080749374838702
utility_restoration,ensemble_variance_proxy,0.5,3.718232044198895,0.18546226107767502
utility_restoration,ensemble_variance_proxy,0.75,6.779005524861878,0.2599263377845906
utility_restoration,ensemble_variance_proxy,1.0,10.861878453038674,0.3139652615027792
utility_restoration,fixed_severity,0.25,2.7900552486187844,0.1517265175906763
utility_restoration,fixed_severity,0.5,5.558011049723757,0.20852318303498477
utility_restoration,fixed_severity,0.75,8.0,0.25902968583948427
utility_restoration,fixed_severity,1.0,10.861878453038674,0.3139652615027792
utility_restoration,generalized_tsallis_gini,0.25,0.8895027624309392,0.08579066690611394
utility_restoration,generalized_tsallis_gini,0.5,3.1270718232044197,0.18640712587404107
utility_restoration,generalized_tsallis_gini,0.75,6.530386740331492,0.26737261947824775
utility_restoration,generalized_tsallis_gini,1.0,10.861878453038674,0.3139652615027792
utility_restoration,gini_simpson,0.25,2.3370165745856353,0.10777651047827648
utility_restoration,gini_simpson,0.5,5.104972375690608,0.1821538759569702
utility_restoration,gini_simpson,0.75,7.850828729281768,0.24294668793072127
utility_restoration,gini_simpson,1.0,10.861878453038674,0.3139652615027792
utility_restoration,graph_disagreement,0.25,2.4917127071823204,0.10442005190304411
utility_restoration,graph_disagreement,0.5,5.254143646408839,0.17903545816768668
utility_restoration,graph_disagreement,0.75,7.972375690607735,0.24243380992171143
utility_restoration,graph_disagreement,1.0,10.861878453038674,0.3139652615027792
utility_restoration,jensen_shannon,0.25,2.3646408839779007,0.11244447530367402
