family,n_agents,orientation,cluster_id,paired_excess_irreversibility
collective_network,8,transpose,collective_n8_ring_k0.35_t0.50_g1,0.0058817687571858165
collective_network,8,transpose,collective_n8_ring_k0.35_t0.85_g0,-0.00034949256776424314
collective_network,8,transpose,collective_n8_ring_k0.35_t0.85_g1,0.0
collective_network,8,transpose,collective_n8_ring_k0.80_t0.50_g0,0.004176650063730171
collective_network,8,transpose,collective_n8_ring_k0.80_t0.50_g1,0.036758419419687785
collective_network,8,transpose,collective_n8_ring_k0.80_t0.85_g0,0.012375793671800937
collective_network,8,transpose,collective_n8_ring_k0.80_t0.85_g1,0.005566844541983328
collective_network,16,forward,collective_n16_modular_k0.35_t0.50_g0,-0.029362694642883852
collective_network,16,forward,collective_n16_modular_k0.35_t0.50_g1,0.025728515929602964
collective_network,16,forward,collective_n16_modular_k0.35_t0.85_g0,0.002544034690922535
collective_network,16,forward,collective_n16_modular_k0.35_t0.85_g1,0.027268127648195556
collective_network,16,forward,collective_n16_modular_k0.80_t0.50_g0,-0.042527799051526816
collective_network,16,forward,collective_n16_modular_k0.80_t0.50_g1,-0.06328830825687763
collective_network,16,forward,collective_n16_modular_k0.80_t0.85_g0,0.02341793746588143
collective_network,16,forward,collective_n16_modular_k0.80_t0.85_g1,-0.01566373167416219
collective_network,16,forward,collective_n16_ring_k0.35_t0.50_g0,-0.002508626790068677
collective_network,16,forward,collective_n16_ring_k0.35_t0.50_g1,0.07897539979591402
collective_network,16,forward,collective_n16_ring_k0.35_t0.85_g0,-0.058131384203903985
collective_network,16,forward,collective_n16_ring_k0.35_t0.85_g1,-0.007354749585724778
collective_network,16,forward,collective_n16_ring_k0.80_t0.50_g0,0.05902648748735556
collective_network,16,forward,collective_n16_ring_k0.80_t0.50_g1,-0.030549302675161455
collective_network,16,forward,collective_n16_ring_k0.80_t0.85_g0,-0.0665598530205755
collective_network,16,forward,collective_n16_ring_k0.80_t0.85_g1,-0.02198888775965356
collective_network,16,transpose,collective_n16_modular_k0.35_t0.50_g0,0.0010858651763518967
collective_network,16,transpose,collective_n16_modular_k0.35_t0.50_g1,0.0036982202557960253
collective_network,16,transpose,collective_n16_modular_k0.35_t0.85_g0,0.0013861953594814305
collective_network,16,transpose,collective_n16_modular_k0.35_t0.85_g1,0.05421351549774672
collective_network,16,transpose,collective_n16_modular_k0.80_t0.50_g0,0.02355799755013656
collective_network,16,transpose,collective_n16_modular_k0.80_t0.50_g1,-0.040648217164366854
collective_network,16,transpose,collective_n16_modular_k0.80_t0.85_g0,0.007921560075676033
collective_network,16,transpose,collective_n16_modular_k0.80_t0.85_g1,0.0050201588622054705
collective_network,16,transpose,collective_n16_ring_k0.35_t0.50_g0,-0.10062886803949896
collective_network,16,transpose,collective_n16_ring_k0.35_t0.50_g1,0.02818145958350915
collective_network,16,transpose,collective_n16_ring_k0.35_t0.85_g0,0.010526906614814284
collective_network,16,transpose,collective_n16_ring_k0.35_t0.85_g1,-0.011051758716359283
collective_network,16,transpose,collective_n16_ring_k0.80_t0.50_g0,-0.016205214394392126
collective_network,16,transpose,collective_n16_ring_k0.80_t0.50_g1,-0.1096327169591457
collective_network,16,transpose,collective_n16_ring_k0.80_t0.85_g0,-0.017007116660246555
collective_network,16,transpose,collective_n16_ring_k0.80_t0.85_g1,0.03781250001991796
