phase,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,3,48,False,True,10.180714537650168,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,6.981034669746066,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,6.481535592920498,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,10.929872585975286,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,9.976988409916538,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,13.285081559726834,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,10.180714537650168,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,4.701058209641909,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,4.0180360937844135,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,3.1639002281120012,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,4.692755363271207,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,4.5399009708837905,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,1.7191689851582888,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,8.656314360253697,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,8.384579216543578,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,2.1494413680799243,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,5.099377423053108,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,5.0161834663872,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,4.867824293427114,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,0.805009010459677,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,0.7896545080311418,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,0.7622729364266195,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,6.15453156791987,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,8.603066343504567,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,6.6209644366885065,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,5.099377423053108,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,5.0161834663872,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,4.867824293427114,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,0.805009010459677,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,0.7896545080311418,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,0.7622729364266195,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,11.175322916709,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,16.433543468064926,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,15.584527789933913,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,11.175322916709,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,16.433543468064926,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,15.584527789933913,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,4.903599030449131,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,4.17126555286684,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,3.8567762401663543,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,2.751085624049086,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,2.700522469666666,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,2.6451859259614796,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,11.604348698194414,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,20.248718848282234,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,24.081118932740186,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,3.0564447639267502,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,3.007589528926866,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,2.9204663465488396,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,1.4890306437937773,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,1.4643389439424843,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,1.4203064166325088,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,12.727897929011135,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,19.684955785432997,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,19.370526436554997,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,11.81632229788076,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,18.27502539870497,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,19.44304346922134,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,0.49488279558972925,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,0.2943311289947266,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,0.2822180917421684,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,7.888117264768907,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,4.539264446974049,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,3.2094867656831294,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,8.022770378294007,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,6.921126393171161,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,6.620482087568889,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,7.888117264768907,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,4.539264446974049,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,3.2094867656831294,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,5.605551340313018,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,5.289386045618514,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,4.439682925113484,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,2.7207544187017607,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,2.3566769757934956,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,2.257318370393948,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,6.932742264443136,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,2.4363315557532226,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,-0.3751281248625731,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,4.643712930976194,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,4.569322567608266,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,4.4366627780302,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,-0.07046680236564495,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,-0.07046680236564495,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,-0.07046680236564495,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,5.803904183091538,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,0.46999029221217903,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,-0.3802159547565611,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,5.1554522693755045,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,1.7027349528797364,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,-0.14241736416071316,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,10.470329647715243,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,16.094587263065172,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,17.232853406392632,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,11.325086103708593,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,14.460633999238503,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,13.909018389305555,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,6.2418435089884365,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,7.372804542914895,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,10.25305878162111,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,9.68446120556303,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,10.725862574786717,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,9.982116930544416,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,11.325086103708593,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,14.460633999238503,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
baseline,3,48,False,True,13.909018389305555,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
disruption,1,16,False,True,3.639657948538358,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
disruption,2,32,True,True,3.5791551078431363,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
disruption,3,48,False,True,3.471260835626641,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
recovery,1,16,False,True,8.34375752646124,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
recovery,2,32,True,True,10.735839105750937,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
recovery,3,48,False,True,13.81907036279797,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
baseline,1,16,False,True,7.7782350191505145,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
baseline,2,32,True,True,5.905137796476248,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
baseline,3,48,False,True,5.323842022938335,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
disruption,1,16,False,True,3.639657948538358,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
disruption,2,32,True,True,3.5791551078431363,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
disruption,3,48,False,True,3.471260835626641,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
recovery,1,16,False,True,1.0815724405304845,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
recovery,2,32,True,True,1.0642804614548158,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
recovery,3,48,False,True,1.033443801950669,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
baseline,1,16,False,True,9.158924125672822,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2,32,True,True,8.913469708977804,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3,48,False,True,8.463029603495658,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1,16,False,True,0.4215889112028971,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2,32,True,True,0.7525865743430198,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3,48,False,True,0.7241426721233848,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1,16,False,True,1.7289486992303638,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2,32,True,True,1.3057328072442624,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3,48,False,True,0.8032904344101581,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1,16,False,True,11.261056494859917,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,2,32,True,True,16.334944706782515,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,48,False,True,15.185267573474894,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,1,16,False,True,15.14012320360778,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,2,32,True,True,25.91860115845732,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,3,48,False,True,31.43643948607361,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,1,16,False,True,,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,2,32,True,True,,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,3,48,False,True,,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,1,16,False,True,11.261056494859917,granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,16
baseline,2,32,True,True,16.334944706782515,granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,16
