phase,agent_i,agent_j,community_i,community_j,connected_correlation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,3,0,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,2,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,4,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,5,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,6,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,9,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,11,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,14,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,3,15,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,0,0,0,0.2639583333333334,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,2,0,0,0.13687500000000008,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,4,0,0,0.3193750000000001,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,5,0,0,0.04666666666666652,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,6,0,0,-0.175,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,9,0,1,0.09125000000000005,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,11,0,1,-0.04562500000000003,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,14,0,1,-0.2902083333333334,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,4,15,0,1,-0.31791666666666674,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,0,0,0,0.13111111111111104,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,2,0,0,0.020000000000000018,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,4,0,0,0.04666666666666652,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,5,0,0,0.4622222222222223,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,6,0,0,-0.13333333333333333,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,9,0,1,0.013333333333333197,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,11,0,1,-0.006666666666666599,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,14,0,1,-0.09111111111111109,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,5,15,0,1,-0.04888888888888876,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,0,0,0,-0.49166666666666664,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,2,0,0,-0.075,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,4,0,0,-0.175,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,5,0,0,-0.13333333333333333,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,6,0,0,1.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,9,0,1,-0.05,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,11,0,1,0.025,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,14,0,1,0.3416666666666667,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,6,15,0,1,0.18333333333333332,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,0,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,1,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,2,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,3,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,4,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,5,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,6,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,7,0,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,8,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,9,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,10,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,11,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,12,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,13,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,14,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,7,15,0,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,0,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,2,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,4,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,5,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,6,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,9,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,11,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,14,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,8,15,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,0,1,0,0.07541666666666674,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,2,1,0,0.09624999999999995,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,4,1,0,0.09125000000000005,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,5,1,0,0.013333333333333197,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,6,1,0,-0.05,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,9,1,1,0.09750000000000003,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,11,1,1,-0.04875000000000007,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,14,1,1,-0.08291666666666675,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,9,15,1,1,-0.09083333333333343,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,0,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,2,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,4,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,5,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,6,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,9,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,11,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,14,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,10,15,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,0,1,0,-0.037708333333333344,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,2,1,0,-0.04812499999999997,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,4,1,0,-0.04562500000000003,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,5,1,0,-0.006666666666666599,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,6,1,0,0.025,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,9,1,1,-0.04875000000000007,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,11,1,1,0.04937500000000006,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,14,1,1,0.041458333333333375,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,11,15,1,1,0.04541666666666666,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,0,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,2,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,4,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,5,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,6,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,9,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,11,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,14,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,12,15,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,0,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,2,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,4,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,5,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,6,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,9,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,10,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,11,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,12,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,13,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,14,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,13,15,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,0,1,0,-0.5153472222222222,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,1,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,2,1,0,-0.1243749999999999,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,3,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,4,1,0,-0.2902083333333334,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,5,1,0,-0.09111111111111109,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,6,1,0,0.3416666666666667,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,7,1,0,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,14,8,1,1,0.0,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
