phase,lag_updates,lag_sweeps,autocorrelation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
recovery,8,0.5,0.17841079460269865,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,9,0.5625,0.075098814229249,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,10,0.625,-0.029111531190926295,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,11,0.6875,-0.024871843554205447,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,12,0.75,-0.02059496567505722,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,13,0.8125,-0.016280406052480375,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,14,0.875,-0.0119276644863409,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,15,0.9375,-0.007536231884057966,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,16,1.0,-0.0031055900621117937,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,17,1.0625,-0.003314486254630534,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,18,1.125,-0.0035252643948296128,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,19,1.1875,-0.003737950029510131,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,20,1.25,-0.003952569169960473,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,21,1.3125,-0.004169148302561046,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,22,1.375,-0.00438771439968089,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,23,1.4375,-0.004608294930875572,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,24,1.5,-0.004830917874396131,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,25,1.5625,-0.005055611729019212,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,26,1.625,-0.005282405526208858,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,27,1.6875,-0.005511328842620942,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,28,1.75,-0.0057424118129614414,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,29,1.8125,-0.0059756851432103825,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,30,1.875,-0.006211180124223599,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,31,1.9375,-0.006448928645724979,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,32,2.0,-0.006688963210702335,qwen,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,1,0.0625,0.9292832835938041,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,2,0.125,0.869982472667495,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,3,0.1875,0.8101812329569974,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,4,0.25,0.7436658314471504,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,5,0.3125,0.664420856575409,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,6,0.375,0.5844985742261312,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,7,0.4375,0.5224454510079799,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,8,0.5,0.4598573870724308,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,9,0.5625,0.40910154308993074,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,10,0.625,0.3642736470085636,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,11,0.6875,0.31905424091775214,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,12,0.75,0.2734381733700038,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,13,0.8125,0.22742020214342065,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,14,0.875,0.19364286363618402,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,15,0.9375,0.1595652821199941,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,16,1.0,0.12518343648312388,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,17,1.0625,0.10331125562540941,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,18,1.125,0.08124202809330106,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,19,1.1875,0.08484112372402844,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,20,1.25,0.07548012505582855,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,21,1.3125,0.07908577908027276,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,22,1.375,0.089444419404141,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,23,1.4375,0.09314765684977044,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,24,1.5,0.0968851835310076,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,25,1.5625,0.11395244970242117,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,26,1.625,0.1311792230343152,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,27,1.6875,0.14856775010641485,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,28,1.75,0.15263721169322556,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,29,1.8125,0.15674524637564585,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,30,1.875,0.1608924051978987,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,31,1.9375,0.16507924975050808,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
baseline,32,2.0,0.16930635242381561,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,1,0.0625,0.8913915261893302,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,2,0.125,0.8117698168978692,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,3,0.1875,0.7314761944478307,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,4,0.25,0.6409666085372874,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,5,0.3125,0.5903203890823998,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,6,0.375,0.5296242868467907,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,7,0.4375,0.49007306796255906,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,8,0.5,0.4179352290403202,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,9,0.5625,0.3459627043002614,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,10,0.625,0.2619934330857886,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,11,0.6875,0.15524648253607104,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,12,0.75,0.10171526129058073,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,13,0.8125,0.059233573953214214,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,14,0.875,0.027948095752840327,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,15,0.9375,-0.004426423382328103,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,16,1.0,-0.014553616682354656,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,17,1.0625,-0.02477163682812135,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,18,1.125,-0.024944863768989474,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,19,1.1875,-0.02511965837448084,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,20,1.25,-0.025296042021840305,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,21,1.3125,-0.025474036478764703,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,22,1.375,-0.025653663912358127,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
disruption,23,1.4375,-0.0258349468983349,qwen,V15Q_g0,V15Q_g0_field_markovized,field_markovized,markovized,16
