phase,graph_distance,connected_correlation,pair_count,within_pair_sd,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,3.0,-0.006404671717171714,44.0,0.07229628554294003,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,4.0,-0.01354166666666665,8.0,0.03822277088130581,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,1.0,-0.024589120370370362,24.0,0.0941129401472757,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,2.0,0.007244318181818186,44.0,0.09035864964058657,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,3.0,-0.003357007575757573,44.0,0.09912286567234983,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
disruption,4.0,-0.029800347222222204,8.0,0.08179923438047927,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,1.0,-0.0033159722222222223,24.0,0.10002899021628152,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,2.0,-0.0033049242424242494,44.0,0.08530054279310322,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,3.0,-0.0071827651515151665,44.0,0.09537513035799833,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,4.0,-0.03976562500000004,8.0,0.11875909030404608,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,1.0,-0.0004137731481481342,24.0,0.04871027876158285,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2.0,-0.003020833333333341,44.0,0.06448902476998554,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3.0,-0.0011016414141414123,44.0,0.09835494120962922,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,4.0,-0.017447916666666646,8.0,0.042536631395442955,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1.0,-0.02398148148148148,24.0,0.09370165300754514,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2.0,0.007130681818181825,44.0,0.08977739203479564,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3.0,-0.0014567550505050512,44.0,0.09934554778354211,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,4.0,-0.02969618055555555,8.0,0.08179725091834518,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1.0,-0.0033159722222222223,24.0,0.10002899021628152,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2.0,-0.0033049242424242494,44.0,0.08530054279310322,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3.0,-0.0071827651515151665,44.0,0.09537513035799833,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,4.0,-0.03976562500000004,8.0,0.11875909030404608,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,1.0,-0.0011024305555555614,24.0,0.05334134617565173,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,2.0,-0.005361689814814808,48.0,0.08699591651942867,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,3.0,0.0007343750000000017,40.0,0.08532370918610424,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,4.0,-0.02413194444444445,8.0,0.12102347177675686,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,1.0,0.0,24.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,2.0,0.0,48.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,3.0,0.0,40.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,4.0,0.0,8.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,1.0,-0.0007870370370370352,24.0,0.003855678298825364,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,2.0,0.0,48.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,3.0,0.0,40.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,4.0,0.0,8.0,0.0,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,1.0,-0.0011024305555555614,24.0,0.05334134617565173,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,2.0,-0.005361689814814808,48.0,0.08699591651942867,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,3.0,0.0007343750000000017,40.0,0.08532370918610424,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,4.0,-0.02413194444444445,8.0,0.12102347177675686,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,1.0,-0.010211226851851857,24.0,0.09924445241691611,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,2.0,-0.012748842592592596,48.0,0.08897767229778097,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,3.0,0.010274305555555571,40.0,0.09111154669861046,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
