phase,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,-9.370370370370368,0.00234375,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
recovery,-12.333333333333332,0.00078125,False,240,qwen,V15Q_g1,V15Q_g1_field_persistent,field_persistent,persistent_memory,16
baseline,-2.395013850415513,0.006184895833333333,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-3.7058823529411775,0.004427083333333333,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-12.333333333333332,0.00078125,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-0.3061224489795915,0.009114583333333334,False,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,,0.0,True,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,-1.4242424242424239,0.0021484375,False,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.3061224489795915,0.009114583333333334,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,-6.1827372868567965,0.0091796875,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,-3.773662551440329,0.003515625,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,-2.140740740740741,0.005859375,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,-8.198751300728405,0.008072916666666667,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,-10.875,0.0020833333333333333,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,-3.9905482041587907,0.0044921875,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-8.198751300728405,0.008072916666666667,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-10.875,0.0020833333333333333,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-0.7483234714003943,0.0126953125,False,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,,0.0,True,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,,0.0,True,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.7483234714003943,0.0126953125,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,-3.375,0.0020833333333333333,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,-4.866666666666667,0.001953125,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,-1.2701280571290505,0.012565104166666667,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,-11.5,0.0010416666666666667,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,-10.200000000000001,0.0013020833333333333,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,-1.116284250389842,0.017447916666666667,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-1.4999999999999996,0.003125,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-6.4074074074074066,0.001171875,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-2.944773175542406,0.0025390625,False,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,,0.0,True,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,-3.7058823529411775,0.0011067708333333333,False,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,-2.944773175542406,0.0025390625,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,-3.316704518756363,0.007356770833333333,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,-4.630987088713036,0.0031901041666666666,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,-2.11873468478503,0.004361979166666667,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,-9.0,0.0046875,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,-10.875,0.0020833333333333333,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,-2.286411950588912,0.003841145833333333,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-3.316704518756363,0.007356770833333333,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-1.8973541002064183,0.004752604166666666,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-0.044628099173553926,0.007161458333333333,False,240,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
disruption,-0.8181818181818183,0.002864583333333333,False,240,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
recovery,-2.456,0.0048828125,False,240,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.044628099173553926,0.007161458333333333,False,240,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
disruption,-8.70414201183432,0.0033854166666666668,False,240,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
recovery,-0.7732234350634888,0.008723958333333334,False,240,qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,16
baseline,-2.9372633856138446,0.0027994791666666667,False,240,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
disruption,-8.70414201183432,0.0033854166666666668,False,240,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
recovery,-11.5,0.0010416666666666667,False,240,qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,16
baseline,-0.5384615384615385,0.0033854166666666668,False,240,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
disruption,-3.5759368836291907,0.0025390625,False,240,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
recovery,-5.666666666666666,0.0015625,False,240,qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,16
baseline,0.6126965494515224,0.05084635416666667,False,240,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
disruption,0.5151621519341409,0.11119791666666666,False,240,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
recovery,0.6666666666666667,0.140625,False,240,granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,16
baseline,0.6126965494515224,0.05084635416666667,False,240,granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,16
disruption,0.46702867157873684,0.2860026041666667,False,240,granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,16
recovery,0.6069516444293362,0.14947916666666666,False,240,granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,16
baseline,0.6459880159180809,0.2185546875,False,240,granite,V15G_g0,V15G_g0_field_persistent,field_persistent,persistent_memory,16
disruption,0.6529570481314017,0.7157552083333333,False,240,granite,V15G_g0,V15G_g0_field_persistent,field_persistent,persistent_memory,16
recovery,0.6666666666666667,0.765625,False,240,granite,V15G_g0,V15G_g0_field_persistent,field_persistent,persistent_memory,16
baseline,0.6211631048504852,0.20709635416666666,False,240,granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.5957215539705842,0.3267578125,False,240,granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.6279892920880428,0.640625,False,240,granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,scrambled_memory,16
baseline,0.6396396396396398,0.014453125,False,240,granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,markovized,16
disruption,0.6666666666666667,0.015625,False,240,granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,markovized,16
recovery,0.19191919191919182,0.0064453125,False,240,granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,markovized,16
baseline,0.6396396396396398,0.014453125,False,240,granite,V15G_g1,V15G_g1_field_markovized,field_markovized,markovized,16
disruption,0.6074526464304135,0.3670572916666667,False,240,granite,V15G_g1,V15G_g1_field_markovized,field_markovized,markovized,16
recovery,0.6255802955721819,0.37962239583333335,False,240,granite,V15G_g1,V15G_g1_field_markovized,field_markovized,markovized,16
baseline,0.4868637579791313,0.08606770833333334,False,240,granite,V15G_g1,V15G_g1_field_persistent,field_persistent,persistent_memory,16
disruption,0.6578209821992173,0.5504557291666666,False,240,granite,V15G_g1,V15G_g1_field_persistent,field_persistent,persistent_memory,16
recovery,0.6652451631028142,0.7529296875,False,240,granite,V15G_g1,V15G_g1_field_persistent,field_persistent,persistent_memory,16
baseline,0.3765895707634642,0.05774739583333333,False,240,granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.5689623442198272,0.2932942708333333,False,240,granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.6186889458772169,0.3890625,False,240,granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,-0.5384615384615385,0.0033854166666666668,False,240,granite,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,0.25233644859813076,0.006966145833333334,False,240,granite,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,0.6226415094339623,0.013802083333333333,False,240,granite,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,-0.5384615384615385,0.0033854166666666668,False,240,granite,V15G_g2,V15G_g2_field_markovized,field_markovized,markovized,16
disruption,0.475331530557058,0.06998697916666667,False,240,granite,V15G_g2,V15G_g2_field_markovized,field_markovized,markovized,16
recovery,0.503062240304709,0.15833333333333333,False,240,granite,V15G_g2,V15G_g2_field_markovized,field_markovized,markovized,16
baseline,0.40409342447916685,0.2,False,240,granite,V15G_g2,V15G_g2_field_persistent,field_persistent,persistent_memory,16
disruption,0.6515237510433185,0.9198567708333333,False,240,granite,V15G_g2,V15G_g2_field_persistent,field_persistent,persistent_memory,16
recovery,0.6666666666666667,1.0,False,240,granite,V15G_g2,V15G_g2_field_persistent,field_persistent,persistent_memory,16
baseline,0.24147560920679245,0.038802083333333334,False,240,granite,V15G_g2,V15G_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.6279534620628799,0.5944661458333333,False,240,granite,V15G_g2,V15G_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.5787935938950823,0.45481770833333335,False,240,granite,V15G_g2,V15G_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,0.40128514839077967,0.024674479166666666,False,240,granite,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,0.6408088983608913,0.0564453125,False,240,granite,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,0.6601970222383244,0.1357421875,False,240,granite,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,0.40128514839077967,0.024674479166666666,False,240,granite,V15G_g3,V15G_g3_field_markovized,field_markovized,markovized,16
disruption,0.6615534498519171,0.25299479166666666,False,240,granite,V15G_g3,V15G_g3_field_markovized,field_markovized,markovized,16
recovery,0.12445538789671651,0.10227864583333333,False,240,granite,V15G_g3,V15G_g3_field_markovized,field_markovized,markovized,16
baseline,0.5032507853020673,0.0685546875,False,240,granite,V15G_g3,V15G_g3_field_persistent,field_persistent,persistent_memory,16
disruption,0.6081984461671843,0.77734375,False,240,granite,V15G_g3,V15G_g3_field_persistent,field_persistent,persistent_memory,16
recovery,0.6666666666666667,1.0,False,240,granite,V15G_g3,V15G_g3_field_persistent,field_persistent,persistent_memory,16
baseline,-0.23535033449021658,0.0275390625,False,240,granite,V15G_g3,V15G_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.6153860210809468,0.471875,False,240,granite,V15G_g3,V15G_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.5721273983646462,0.49322916666666666,False,240,granite,V15G_g3,V15G_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,0.5507478908959164,0.018098958333333335,False,240,granite,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,0.4469041827487511,0.023502604166666666,False,240,granite,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,0.6666666666666667,0.015625,False,240,granite,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,0.5507478908959164,0.018098958333333335,False,240,granite,V15G_g4,V15G_g4_field_markovized,field_markovized,markovized,16
disruption,0.3762005257649996,0.04680989583333333,False,240,granite,V15G_g4,V15G_g4_field_markovized,field_markovized,markovized,16
recovery,0.4912430837446813,0.3649088541666667,False,240,granite,V15G_g4,V15G_g4_field_markovized,field_markovized,markovized,16
baseline,0.4988820802113241,0.22428385416666666,False,240,granite,V15G_g4,V15G_g4_field_persistent,field_persistent,persistent_memory,16
disruption,0.656742790093717,0.9347005208333333,False,240,granite,V15G_g4,V15G_g4_field_persistent,field_persistent,persistent_memory,16
recovery,0.6666666666666667,1.0,False,240,granite,V15G_g4,V15G_g4_field_persistent,field_persistent,persistent_memory,16
baseline,0.2730999938758868,0.1087890625,False,240,granite,V15G_g4,V15G_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.6176607737696345,0.35227864583333335,False,240,granite,V15G_g4,V15G_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.6267757992142753,0.42962239583333334,False,240,granite,V15G_g4,V15G_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,0.520321361058601,0.071875,False,240,granite,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,markovized,16
disruption,0.6666666666666667,0.015625,False,240,granite,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,markovized,16
recovery,0.6434603115030963,0.05703125,False,240,granite,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,0.520321361058601,0.071875,False,240,granite,V15G_g5,V15G_g5_field_markovized,field_markovized,markovized,16
disruption,0.5972370066220434,0.21399739583333333,False,240,granite,V15G_g5,V15G_g5_field_markovized,field_markovized,markovized,16
recovery,0.6226517765672477,0.6114583333333333,False,240,granite,V15G_g5,V15G_g5_field_markovized,field_markovized,markovized,16
baseline,0.6191978718242392,0.43854166666666666,False,240,granite,V15G_g5,V15G_g5_field_persistent,field_persistent,persistent_memory,16
disruption,0.6592753434903462,0.6225911458333333,False,240,granite,V15G_g5,V15G_g5_field_persistent,field_persistent,persistent_memory,16
recovery,0.6606893069056937,0.869140625,False,240,granite,V15G_g5,V15G_g5_field_persistent,field_persistent,persistent_memory,16
baseline,0.5747701504600926,0.1705078125,False,240,granite,V15G_g5,V15G_g5_field_scrambled,field_scrambled,scrambled_memory,16
disruption,0.6272816635160681,0.2994791666666667,False,240,granite,V15G_g5,V15G_g5_field_scrambled,field_scrambled,scrambled_memory,16
recovery,0.6456442641577669,0.5106119791666667,False,240,granite,V15G_g5,V15G_g5_field_scrambled,field_scrambled,scrambled_memory,16
