model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,source_type,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,cluster_id,panel_id,memory_mode,n_agents,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,temporal_window,magnetization_fourth_moment,window_updates,pooling_rule,valid_bootstrap_replicates,belief_magnetization
granite,field_persistent,recovery,1.0,0.0625,autocorrelation,0.9641802042130077,0.9369595536959552,0.99140085473006,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,2.0,0.125,autocorrelation,0.9280594017387298,0.8733893557422969,0.9827294477351628,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,3.0,0.1875,autocorrelation,0.8916337823659348,0.809282700421941,0.9739848643099286,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,4.0,0.25,autocorrelation,0.8548994713035398,0.7446327683615819,0.9651661742454976,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,5.0,0.3125,autocorrelation,0.8178525278065714,0.6794326241134753,0.9562724314996676,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,6.0,0.375,autocorrelation,0.7804889437668936,0.6136752136752136,0.9473026738585736,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,7.0,0.4375,autocorrelation,0.742804642267648,0.5473533619456367,0.9382559225896592,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,8.0,0.5,autocorrelation,0.7047954761003052,0.4804597701149425,0.929131182085668,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,9.0,0.5625,autocorrelation,0.6664572262432021,0.4129870129870129,0.9199274394993912,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,10.0,0.625,autocorrelation,0.627785600300385,0.344927536231884,0.910643664368886,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,11.0,0.6875,autocorrelation,0.5887762308995519,0.27627365356623,0.9012788082328738,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,12.0,0.75,autocorrelation,0.5494246740478343,0.2070175438596491,0.8918318042360196,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,13.0,0.8125,autocorrelation,0.5097264074441192,0.137151248164464,0.8823015667237746,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,14.0,0.875,autocorrelation,0.4696768287465661,0.0666666666666666,0.8726869908264655,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,15.0,0.9375,autocorrelation,0.4292712537939234,-0.0044444444444444,0.8629869520322914,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,16.0,1.0,autocorrelation,0.4242192004934894,-0.0047619047619047,0.8532003057488836,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,17.0,1.0625,autocorrelation,0.4191218372979843,-0.0050822122571001,0.8433258868530689,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,18.0,1.125,autocorrelation,0.4139785519115286,-0.0054054054054054,0.8333625092284627,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,19.0,1.1875,autocorrelation,0.4087887209559647,-0.0057315233785822,0.8233089652905117,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,20.0,1.25,autocorrelation,0.4035517097189866,-0.006060606060606,0.8131640254985792,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,21.0,1.3125,autocorrelation,0.3982668718953694,-0.0063926940639269,0.8029264378546658,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,22.0,1.375,autocorrelation,0.3929335493210768,-0.0067278287461773,0.792594927388331,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,23.0,1.4375,autocorrelation,0.3875510717000166,-0.0070660522273425,0.7821681956273758,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,field_persistent,recovery,24.0,1.5,autocorrelation,0.3821187563232058,-0.0074074074074074,0.7716449200538191,2.0,6.0,4.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
