cluster_id,sweep,phase,macrostate_distance,training_nominal_threshold_95
V14Q_g3,3,baseline,5.167834009169447,6.409750119008652
V14Q_g3,4,baseline,6.517361402011977,6.409750119008652
V14Q_g3,5,baseline,6.28901054323286,6.409750119008652
V14Q_g3,6,baseline,3.5458937365814927,6.409750119008652
V14Q_g3,7,baseline,2.777709696053526,6.409750119008652
V14Q_g3,8,baseline,2.182272996151587,6.409750119008652
V14Q_g3,9,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,10,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,11,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,12,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,13,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,14,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,15,baseline,2.3485100059359043,6.409750119008652
V14Q_g3,16,disruption,35.51639363034931,6.409750119008652
V14Q_g3,17,disruption,96.75247460851028,6.409750119008652
V14Q_g3,18,disruption,114.03302182867814,6.409750119008652
V14Q_g3,19,disruption,94.37452792263934,6.409750119008652
V14Q_g3,20,disruption,29.55266436874796,6.409750119008652
V14Q_g3,21,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,22,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,23,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,24,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,25,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,26,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,27,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,28,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,29,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,30,disruption,2.3485100059359043,6.409750119008652
V14Q_g3,31,recovery,35.21867341919011,6.409750119008652
V14Q_g3,32,recovery,96.31711044886129,6.409750119008652
V14Q_g3,33,recovery,113.57364409806034,6.409750119008652
V14Q_g3,34,recovery,93.93803721737,6.409750119008652
V14Q_g3,35,recovery,29.304947745268446,6.409750119008652
V14Q_g3,36,recovery,2.3485100059359043,6.409750119008652
V14Q_g3,37,recovery,2.3485100059359043,6.409750119008652
V14Q_g3,38,recovery,2.3485100059359043,6.409750119008652
V14Q_g3,39,recovery,3.139026541470948,6.409750119008652
V14Q_g3,40,recovery,2.149359103051226,6.409750119008652
V14Q_g3,41,recovery,2.149359103051226,6.409750119008652
V14Q_g3,42,recovery,2.149359103051226,6.409750119008652
V14Q_g3,43,recovery,2.149359103051226,6.409750119008652
V14Q_g3,44,recovery,2.079263434848804,6.409750119008652
V14Q_g3,45,recovery,2.3485100059359043,6.409750119008652
V14Q_g4,1,baseline,8.54348110848413,5.9377263237829006
V14Q_g4,2,baseline,7.223602224512296,5.9377263237829006
V14Q_g4,3,baseline,5.70770739050759,5.9377263237829006
V14Q_g4,4,baseline,4.992880681089967,5.9377263237829006
V14Q_g4,5,baseline,4.697340765289669,5.9377263237829006
V14Q_g4,6,baseline,3.918979122976753,5.9377263237829006
V14Q_g4,7,baseline,2.4781219001523875,5.9377263237829006
V14Q_g4,8,baseline,0.986564145338662,5.9377263237829006
V14Q_g4,9,baseline,0.8109651151423303,5.9377263237829006
V14Q_g4,10,baseline,2.7584555179201504,5.9377263237829006
V14Q_g4,11,baseline,0.8012436078620793,5.9377263237829006
V14Q_g4,12,baseline,0.5305599630544141,5.9377263237829006
V14Q_g4,13,baseline,0.530559963054414,5.9377263237829006
V14Q_g4,14,baseline,0.530559963054414,5.9377263237829006
V14Q_g4,15,baseline,0.5298988942190032,5.9377263237829006
V14Q_g4,16,disruption,34.3328024736071,5.9377263237829006
V14Q_g4,17,disruption,94.68047826327629,5.9377263237829006
V14Q_g4,18,disruption,111.73985570170046,5.9377263237829006
V14Q_g4,19,disruption,92.34177950259772,5.9377263237829006
V14Q_g4,20,disruption,28.52386407582795,5.9377263237829006
V14Q_g4,21,disruption,0.8843729347631278,5.9377263237829006
V14Q_g4,22,disruption,0.8843729347631278,5.9377263237829006
V14Q_g4,23,disruption,0.8843729347631278,5.9377263237829006
V14Q_g4,24,disruption,0.8843729347631278,5.9377263237829006
V14Q_g4,25,disruption,0.8843729347631278,5.9377263237829006
V14Q_g4,26,disruption,2.754677295884897,5.9377263237829006
V14Q_g4,27,disruption,0.4951634896598669,5.9377263237829006
V14Q_g4,28,disruption,0.4951634896598669,5.9377263237829006
V14Q_g4,29,disruption,0.4951634896598669,5.9377263237829006
V14Q_g4,30,disruption,0.4951634896598669,5.9377263237829006
V14Q_g4,31,recovery,35.98602883835243,5.9377263237829006
V14Q_g4,32,recovery,95.96644420032334,5.9377263237829006
V14Q_g4,33,recovery,112.99616069045663,5.9377263237829006
V14Q_g4,34,recovery,93.53778819899598,5.9377263237829006
V14Q_g4,35,recovery,29.51657336433258,5.9377263237829006
V14Q_g4,36,recovery,1.3857637900180706,5.9377263237829006
V14Q_g4,37,recovery,3.381620736658528,5.9377263237829006
V14Q_g4,38,recovery,0.6639559280945427,5.9377263237829006
V14Q_g4,39,recovery,0.6639559280945427,5.9377263237829006
V14Q_g4,40,recovery,0.6639559280945427,5.9377263237829006
V14Q_g4,41,recovery,0.6639559280945427,5.9377263237829006
V14Q_g4,42,recovery,0.7100595760383397,5.9377263237829006
V14Q_g4,43,recovery,0.8843729347631278,5.9377263237829006
V14Q_g4,44,recovery,0.8843729347631278,5.9377263237829006
V14Q_g4,45,recovery,0.8843729347631278,5.9377263237829006
V14Q_g5,1,baseline,11.898093671875303,6.023345118287734
V14Q_g5,2,baseline,10.643319762643848,6.023345118287734
V14Q_g5,3,baseline,13.70407944214146,6.023345118287734
V14Q_g5,4,baseline,22.83857356884923,6.023345118287734
V14Q_g5,5,baseline,29.125379611852715,6.023345118287734
V14Q_g5,6,baseline,24.676908997832403,6.023345118287734
V14Q_g5,7,baseline,5.970711433614133,6.023345118287734
V14Q_g5,8,baseline,2.745746399960771,6.023345118287734
V14Q_g5,9,baseline,2.966005157173679,6.023345118287734
V14Q_g5,10,baseline,1.4548489866124283,6.023345118287734
V14Q_g5,11,baseline,1.485473860954943,6.023345118287734
V14Q_g5,12,baseline,1.485473860954943,6.023345118287734
V14Q_g5,13,baseline,1.485473860954943,6.023345118287734
V14Q_g5,14,baseline,1.485473860954943,6.023345118287734
V14Q_g5,15,baseline,1.485473860954943,6.023345118287734
V14Q_g5,16,disruption,86.1585890524293,6.023345118287734
V14Q_g5,17,disruption,223.6368717258806,6.023345118287734
V14Q_g5,18,disruption,262.25695416565173,6.023345118287734
V14Q_g5,19,disruption,218.3700826660738,6.023345118287734
V14Q_g5,20,disruption,72.84061244024443,6.023345118287734
V14Q_g5,21,disruption,1.485473860954943,6.023345118287734
V14Q_g5,22,disruption,1.485473860954943,6.023345118287734
V14Q_g5,23,disruption,1.485473860954943,6.023345118287734
V14Q_g5,24,disruption,1.485473860954943,6.023345118287734
V14Q_g5,25,disruption,1.485473860954943,6.023345118287734
V14Q_g5,26,disruption,1.485473860954943,6.023345118287734
V14Q_g5,27,disruption,1.485473860954943,6.023345118287734
V14Q_g5,28,disruption,1.485473860954943,6.023345118287734
V14Q_g5,29,disruption,1.485473860954943,6.023345118287734
V14Q_g5,30,disruption,1.485473860954943,6.023345118287734
V14Q_g5,31,recovery,83.20554926065324,6.023345118287734
V14Q_g5,32,recovery,220.05179500410827,6.023345118287734
V14Q_g5,33,recovery,258.5430873964591,6.023345118287734
V14Q_g5,34,recovery,214.69410893013605,6.023345118287734
V14Q_g5,35,recovery,69.45039358203043,6.023345118287734
V14Q_g5,36,recovery,1.485473860954943,6.023345118287734
V14Q_g5,37,recovery,2.980794693011952,6.023345118287734
V14Q_g5,38,recovery,1.6730940559743837,6.023345118287734
V14Q_g5,39,recovery,1.6730940559743834,6.023345118287734
V14Q_g5,40,recovery,1.6730940559743837,6.023345118287734
V14Q_g5,41,recovery,1.6730940559743837,6.023345118287734
V14Q_g5,42,recovery,1.480280823356516,6.023345118287734
V14Q_g5,43,recovery,1.485473860954943,6.023345118287734
V14Q_g5,44,recovery,1.485473860954943,6.023345118287734
V14Q_g5,45,recovery,1.485473860954943,6.023345118287734
