run_id,application,scenario,method,environment_seed,rl_training_seed,disruption_step,first_activation_step,first_post_disruption_activation_step,pre_disruption_false_activation,activation_before_collapse,activation_delay_from_disruption,first_deactivation_step,service_collapse_step,severe_service_loss_threshold,severe_service_loss_persistence,severe_collapse_observed,nominal_false_activation,trigger_activations,maximum_trigger_residual,minimum_standardized_entropy_residual,maximum_standardized_entropy_residual,quiet_mode_fraction,targeted_mode_fraction,crisis_mode_fraction,mean_consensus_rmse,entropy_alert_messages,offer_messages,counteroffer_messages,coalition_messages,affected_agents,contacted_agents_after_activation,affected_contact_precision,affected_contact_recall,top3_local_surprisal_contact_rate,useful_coalition_precision,coalition_recall_when_required,agreement_rate,counteroffers,commitment_breaches
holdout_locked-commercial-doet_rl-n10-s8207-nominal-r7302,commercial,nominal,doet_rl,8207,7302,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,23,,,0.0,0.0,0.0,0.6666666666666666,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,doet_rl,8208,7303,,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0748735515182838,0,0,0,30,,,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8101-isolated,commercial,isolated,doet_rule,8101,0,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,41,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_02,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8102-isolated,commercial,isolated,doet_rule,8102,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0794987735561526,0,0,0,46,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;retailer_10,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8103-isolated,commercial,isolated,doet_rule,8103,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,57,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;retailer_09;retailer_10,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8104-isolated,commercial,isolated,doet_rule,8104,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,62,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_09;retailer_10;warehouse_07,0.14285714285714285,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8105-isolated,commercial,isolated,doet_rule,8105,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,51,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_10;supplier_02;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8106-isolated,commercial,isolated,doet_rule,8106,0,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.5100314304517704,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,50,retailer_09;supplier_01,carrier_06;manufacturer_03;retailer_09;supplier_02;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8107-isolated,commercial,isolated,doet_rule,8107,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,51,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8108-isolated,commercial,isolated,doet_rule,8108,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,57,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;supplier_02;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8109-isolated,commercial,isolated,doet_rule,8109,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,44,retailer_09;supplier_01,carrier_06;manufacturer_03;retailer_09;supplier_01;warehouse_07,0.4,1.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8110-isolated,commercial,isolated,doet_rule,8110,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,2.9195830703605368,1.0,0.0,0.0,0.0794942033752666,0,0,0,36,retailer_09;supplier_01,carrier_06;manufacturer_03;manufacturer_04;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8111-isolated,commercial,isolated,doet_rule,8111,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,2.9195830703605368,1.0,0.0,0.0,0.0794942033752666,0,0,0,49,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_10;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8112-isolated,commercial,isolated,doet_rule,8112,0,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.5100314304517704,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,53,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_09;retailer_10;warehouse_07,0.14285714285714285,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8113-isolated,commercial,isolated,doet_rule,8113,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,45,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8114-isolated,commercial,isolated,doet_rule,8114,0,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,55,retailer_09;supplier_01,carrier_05;manufacturer_03;manufacturer_04;retailer_09;supplier_02,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8115-isolated,commercial,isolated,doet_rule,8115,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,62,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;supplier_01;warehouse_07;warehouse_08,0.14285714285714285,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8116-isolated,commercial,isolated,doet_rule,8116,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0785145512618037,0,0,0,44,retailer_09;supplier_01,carrier_05;manufacturer_03;manufacturer_04;supplier_02;warehouse_08,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8101-isolated-r7304,commercial,isolated,doet_rl,8101,7304,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,29,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8102-isolated-r7305,commercial,isolated,doet_rl,8102,7305,5.0,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0794987735561526,0,0,0,16,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8103-isolated-r7301,commercial,isolated,doet_rl,8103,7301,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,30,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;supplier_02;warehouse_07;warehouse_08,0.125,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8104-isolated-r7302,commercial,isolated,doet_rl,8104,7302,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,19,retailer_09;supplier_01,carrier_05;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8105-isolated-r7303,commercial,isolated,doet_rl,8105,7303,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,27,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.14285714285714285,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8106-isolated-r7304,commercial,isolated,doet_rl,8106,7304,5.0,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,23,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8107-isolated-r7305,commercial,isolated,doet_rl,8107,7305,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,15,retailer_09;supplier_01,carrier_05;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8108-isolated-r7301,commercial,isolated,doet_rl,8108,7301,5.0,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,24,retailer_09;supplier_01,carrier_05;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8109-isolated-r7302,commercial,isolated,doet_rl,8109,7302,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,23,retailer_09;supplier_01,carrier_05;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8110-isolated-r7303,commercial,isolated,doet_rl,8110,7303,5.0,,,False,False,,,14.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,2.9195830703605368,1.0,0.0,0.0,0.0794942033752666,0,0,0,23,retailer_09;supplier_01,carrier_05;manufacturer_03;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8111-isolated-r7304,commercial,isolated,doet_rl,8111,7304,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,2.9195830703605368,1.0,0.0,0.0,0.0794942033752666,0,0,0,28,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;supplier_02;warehouse_07;warehouse_08,0.125,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8112-isolated-r7305,commercial,isolated,doet_rl,8112,7305,5.0,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,17,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8113-isolated-r7301,commercial,isolated,doet_rl,8113,7301,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,29,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8114-isolated-r7302,commercial,isolated,doet_rl,8114,7302,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,36,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8115-isolated-r7303,commercial,isolated,doet_rl,8115,7303,5.0,,,False,False,,,,0.9,3,False,False,0,0.5100314304517704,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,24,retailer_09;supplier_01,carrier_05;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8116-isolated-r7304,commercial,isolated,doet_rl,8116,7304,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.5100314304517704,-1.1214939823520398,3.0489334861091537,1.0,0.0,0.0,0.0785145512618037,0,0,0,29,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_10;supplier_01;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8101-communication_partition,commercial,communication_partition,doet_rule,8101,0,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,48,retailer_09;supplier_01,carrier_06;retailer_09;retailer_10;supplier_01;warehouse_07,0.4,1.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8102-communication_partition,commercial,communication_partition,doet_rule,8102,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0751440137347649,0,0,0,48,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_09;retailer_10,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8103-communication_partition,commercial,communication_partition,doet_rule,8103,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,48,retailer_09;supplier_01,carrier_05;manufacturer_03;supplier_02;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8104-communication_partition,commercial,communication_partition,doet_rule,8104,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,44,retailer_09;supplier_01,manufacturer_03;manufacturer_04;retailer_09,0.3333333333333333,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8105-communication_partition,commercial,communication_partition,doet_rule,8105,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,52,retailer_09;supplier_01,carrier_05;carrier_06;retailer_09;retailer_10;supplier_02;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8106-communication_partition,commercial,communication_partition,doet_rule,8106,0,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.3460309048599754,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,45,retailer_09;supplier_01,carrier_06;manufacturer_03;manufacturer_04;supplier_01,0.25,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8107-communication_partition,commercial,communication_partition,doet_rule,8107,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,59,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;retailer_09;retailer_10;supplier_01;supplier_02;warehouse_07,0.25,1.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8108-communication_partition,commercial,communication_partition,doet_rule,8108,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,44,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_09;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8109-communication_partition,commercial,communication_partition,doet_rule,8109,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.3460309048599754,-1.1450315225262642,3.0489334861091537,1.0,0.0,0.0,0.0796966019697965,0,0,0,45,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_09;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8110-communication_partition,commercial,communication_partition,doet_rule,8110,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,2.9195830703605368,1.0,0.0,0.0,0.0751312985905166,0,0,0,38,retailer_09;supplier_01,carrier_06;manufacturer_04;retailer_10;supplier_01;supplier_02;warehouse_07,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8111-communication_partition,commercial,communication_partition,doet_rule,8111,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-1.1450315225262642,2.9195830703605368,1.0,0.0,0.0,0.0794942033752666,0,0,0,41,retailer_09;supplier_01,carrier_05;manufacturer_03;supplier_01;warehouse_07,0.25,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8112-communication_partition,commercial,communication_partition,doet_rule,8112,0,5.0,,,False,False,,,13.0,0.9,3,True,False,0,0.3460309048599754,-1.1214939823520398,2.9195830703605368,1.0,0.0,0.0,0.0783552811071864,0,0,0,48,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;retailer_10;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8113-communication_partition,commercial,communication_partition,doet_rule,8113,0,5.0,,,False,False,,,8.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,54,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_03;manufacturer_04;supplier_01;supplier_02,0.16666666666666666,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8114-communication_partition,commercial,communication_partition,doet_rule,8114,0,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,41,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;retailer_09,0.25,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8115-communication_partition,commercial,communication_partition,doet_rule,8115,0,5.0,,,False,False,,,9.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,47,retailer_09;supplier_01,carrier_06;manufacturer_03;supplier_01;supplier_02;warehouse_07,0.2,0.5,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rule-n10-s8116-communication_partition,commercial,communication_partition,doet_rule,8116,0,5.0,,,False,False,,,10.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0772112245690357,0,0,0,44,retailer_09;supplier_01,carrier_05;carrier_06;retailer_09;retailer_10;supplier_01,0.4,1.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8101-communication_partition-r7305,commercial,communication_partition,doet_rl,8101,7305,5.0,,,False,False,,,7.0,0.9,3,True,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,11,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8102-communication_partition-r7301,commercial,communication_partition,doet_rl,8102,7301,5.0,,,False,False,,,,0.9,3,False,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0751440137347649,0,0,0,9,retailer_09;supplier_01,manufacturer_04;warehouse_07,0.0,0.0,0.0,0.0,,0.0,0,0
holdout_locked-commercial-doet_rl-n10-s8103-communication_partition-r7302,commercial,communication_partition,doet_rl,8103,7302,5.0,,,False,False,,,,0.9,3,False,False,0,0.3460309048599754,-0.9498045687664756,3.0489334861091537,1.0,0.0,0.0,0.0753509743159819,0,0,0,15,retailer_09;supplier_01,carrier_05;carrier_06;manufacturer_04,0.0,0.0,0.0,0.0,,0.0,0,0
