run_id,application,scenario,method,message_type,count
holdout_locked-commercial-doet_rl-n10-s8202-nominal-r7302,commercial,nominal,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,doet_rl,coalition_joined,7
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,doet_rl,coalition_proposal,14
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8203-nominal-r7303,commercial,nominal,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,doet_rl,coalition_joined,8
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,doet_rl,coalition_proposal,14
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8204-nominal-r7304,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,doet_rl,coalition_joined,4
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,doet_rl,coalition_proposal,7
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8205-nominal-r7305,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,doet_rl,coalition_proposal,10
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8206-nominal-r7301,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8207-nominal-r7302,commercial,nominal,doet_rl,coalition_joined,8
holdout_locked-commercial-doet_rl-n10-s8207-nominal-r7302,commercial,nominal,doet_rl,coalition_proposal,15
holdout_locked-commercial-doet_rl-n10-s8207-nominal-r7302,commercial,nominal,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8207-nominal-r7302,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,doet_rl,coalition_joined,11
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,doet_rl,coalition_proposal,19
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,doet_rl,need,3
holdout_locked-commercial-doet_rl-n10-s8208-nominal-r7303,commercial,nominal,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8101-isolated,commercial,isolated,doet_rule,coalition_joined,17
holdout_locked-commercial-doet_rule-n10-s8101-isolated,commercial,isolated,doet_rule,coalition_proposal,24
holdout_locked-commercial-doet_rule-n10-s8101-isolated,commercial,isolated,doet_rule,need,2
holdout_locked-commercial-doet_rule-n10-s8101-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8102-isolated,commercial,isolated,doet_rule,coalition_joined,21
holdout_locked-commercial-doet_rule-n10-s8102-isolated,commercial,isolated,doet_rule,coalition_proposal,25
holdout_locked-commercial-doet_rule-n10-s8102-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8103-isolated,commercial,isolated,doet_rule,coalition_joined,26
holdout_locked-commercial-doet_rule-n10-s8103-isolated,commercial,isolated,doet_rule,coalition_proposal,31
holdout_locked-commercial-doet_rule-n10-s8103-isolated,commercial,isolated,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8104-isolated,commercial,isolated,doet_rule,coalition_joined,28
holdout_locked-commercial-doet_rule-n10-s8104-isolated,commercial,isolated,doet_rule,coalition_proposal,34
holdout_locked-commercial-doet_rule-n10-s8104-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8105-isolated,commercial,isolated,doet_rule,coalition_joined,22
holdout_locked-commercial-doet_rule-n10-s8105-isolated,commercial,isolated,doet_rule,coalition_proposal,29
holdout_locked-commercial-doet_rule-n10-s8105-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8106-isolated,commercial,isolated,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8106-isolated,commercial,isolated,doet_rule,coalition_proposal,27
holdout_locked-commercial-doet_rule-n10-s8106-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8107-isolated,commercial,isolated,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8107-isolated,commercial,isolated,doet_rule,coalition_proposal,28
holdout_locked-commercial-doet_rule-n10-s8107-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8108-isolated,commercial,isolated,doet_rule,coalition_joined,26
holdout_locked-commercial-doet_rule-n10-s8108-isolated,commercial,isolated,doet_rule,coalition_proposal,31
holdout_locked-commercial-doet_rule-n10-s8108-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8109-isolated,commercial,isolated,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8109-isolated,commercial,isolated,doet_rule,coalition_proposal,25
holdout_locked-commercial-doet_rule-n10-s8109-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8110-isolated,commercial,isolated,doet_rule,coalition_joined,15
holdout_locked-commercial-doet_rule-n10-s8110-isolated,commercial,isolated,doet_rule,coalition_proposal,21
holdout_locked-commercial-doet_rule-n10-s8110-isolated,commercial,isolated,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8110-isolated,commercial,isolated,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8111-isolated,commercial,isolated,doet_rule,coalition_joined,21
holdout_locked-commercial-doet_rule-n10-s8111-isolated,commercial,isolated,doet_rule,coalition_proposal,28
holdout_locked-commercial-doet_rule-n10-s8111-isolated,commercial,isolated,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8111-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8112-isolated,commercial,isolated,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8112-isolated,commercial,isolated,doet_rule,coalition_proposal,30
holdout_locked-commercial-doet_rule-n10-s8112-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8113-isolated,commercial,isolated,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8113-isolated,commercial,isolated,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8113-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8114-isolated,commercial,isolated,doet_rule,coalition_joined,23
holdout_locked-commercial-doet_rule-n10-s8114-isolated,commercial,isolated,doet_rule,coalition_proposal,32
holdout_locked-commercial-doet_rule-n10-s8114-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8115-isolated,commercial,isolated,doet_rule,coalition_joined,27
holdout_locked-commercial-doet_rule-n10-s8115-isolated,commercial,isolated,doet_rule,coalition_proposal,35
holdout_locked-commercial-doet_rule-n10-s8115-isolated,commercial,isolated,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8116-isolated,commercial,isolated,doet_rule,coalition_joined,20
holdout_locked-commercial-doet_rule-n10-s8116-isolated,commercial,isolated,doet_rule,coalition_proposal,24
holdout_locked-commercial-doet_rule-n10-s8116-isolated,commercial,isolated,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8116-isolated,commercial,isolated,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8101-isolated-r7304,commercial,isolated,doet_rl,coalition_joined,11
holdout_locked-commercial-doet_rl-n10-s8101-isolated-r7304,commercial,isolated,doet_rl,coalition_proposal,18
holdout_locked-commercial-doet_rl-n10-s8101-isolated-r7304,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8101-isolated-r7304,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8102-isolated-r7305,commercial,isolated,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8102-isolated-r7305,commercial,isolated,doet_rl,coalition_proposal,10
holdout_locked-commercial-doet_rl-n10-s8102-isolated-r7305,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8102-isolated-r7305,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8103-isolated-r7301,commercial,isolated,doet_rl,coalition_joined,12
holdout_locked-commercial-doet_rl-n10-s8103-isolated-r7301,commercial,isolated,doet_rl,coalition_proposal,18
holdout_locked-commercial-doet_rl-n10-s8103-isolated-r7301,commercial,isolated,doet_rl,need,3
holdout_locked-commercial-doet_rl-n10-s8103-isolated-r7301,commercial,isolated,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8104-isolated-r7302,commercial,isolated,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8104-isolated-r7302,commercial,isolated,doet_rl,coalition_proposal,13
holdout_locked-commercial-doet_rl-n10-s8104-isolated-r7302,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8104-isolated-r7302,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8105-isolated-r7303,commercial,isolated,doet_rl,coalition_joined,11
holdout_locked-commercial-doet_rl-n10-s8105-isolated-r7303,commercial,isolated,doet_rl,coalition_proposal,16
holdout_locked-commercial-doet_rl-n10-s8105-isolated-r7303,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8105-isolated-r7303,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8106-isolated-r7304,commercial,isolated,doet_rl,coalition_joined,9
holdout_locked-commercial-doet_rl-n10-s8106-isolated-r7304,commercial,isolated,doet_rl,coalition_proposal,14
holdout_locked-commercial-doet_rl-n10-s8106-isolated-r7304,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8106-isolated-r7304,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8107-isolated-r7305,commercial,isolated,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8107-isolated-r7305,commercial,isolated,doet_rl,coalition_proposal,9
holdout_locked-commercial-doet_rl-n10-s8107-isolated-r7305,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8107-isolated-r7305,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8108-isolated-r7301,commercial,isolated,doet_rl,coalition_joined,8
holdout_locked-commercial-doet_rl-n10-s8108-isolated-r7301,commercial,isolated,doet_rl,coalition_proposal,16
holdout_locked-commercial-doet_rl-n10-s8108-isolated-r7301,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8108-isolated-r7301,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8109-isolated-r7302,commercial,isolated,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8109-isolated-r7302,commercial,isolated,doet_rl,coalition_proposal,17
holdout_locked-commercial-doet_rl-n10-s8109-isolated-r7302,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8109-isolated-r7302,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8110-isolated-r7303,commercial,isolated,doet_rl,coalition_joined,8
holdout_locked-commercial-doet_rl-n10-s8110-isolated-r7303,commercial,isolated,doet_rl,coalition_proposal,15
holdout_locked-commercial-doet_rl-n10-s8110-isolated-r7303,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8110-isolated-r7303,commercial,isolated,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8111-isolated-r7304,commercial,isolated,doet_rl,coalition_joined,12
holdout_locked-commercial-doet_rl-n10-s8111-isolated-r7304,commercial,isolated,doet_rl,coalition_proposal,16
holdout_locked-commercial-doet_rl-n10-s8111-isolated-r7304,commercial,isolated,doet_rl,need,3
holdout_locked-commercial-doet_rl-n10-s8111-isolated-r7304,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8112-isolated-r7305,commercial,isolated,doet_rl,coalition_joined,7
holdout_locked-commercial-doet_rl-n10-s8112-isolated-r7305,commercial,isolated,doet_rl,coalition_proposal,10
holdout_locked-commercial-doet_rl-n10-s8112-isolated-r7305,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8112-isolated-r7305,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8113-isolated-r7301,commercial,isolated,doet_rl,coalition_joined,10
holdout_locked-commercial-doet_rl-n10-s8113-isolated-r7301,commercial,isolated,doet_rl,coalition_proposal,19
holdout_locked-commercial-doet_rl-n10-s8113-isolated-r7301,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8113-isolated-r7301,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8114-isolated-r7302,commercial,isolated,doet_rl,coalition_joined,12
holdout_locked-commercial-doet_rl-n10-s8114-isolated-r7302,commercial,isolated,doet_rl,coalition_proposal,24
holdout_locked-commercial-doet_rl-n10-s8114-isolated-r7302,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8114-isolated-r7302,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8115-isolated-r7303,commercial,isolated,doet_rl,coalition_joined,7
holdout_locked-commercial-doet_rl-n10-s8115-isolated-r7303,commercial,isolated,doet_rl,coalition_proposal,17
holdout_locked-commercial-doet_rl-n10-s8115-isolated-r7303,commercial,isolated,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8115-isolated-r7303,commercial,isolated,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8116-isolated-r7304,commercial,isolated,doet_rl,coalition_joined,11
holdout_locked-commercial-doet_rl-n10-s8116-isolated-r7304,commercial,isolated,doet_rl,coalition_proposal,18
holdout_locked-commercial-doet_rl-n10-s8116-isolated-r7304,commercial,isolated,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8116-isolated-r7304,commercial,isolated,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8101-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,22
holdout_locked-commercial-doet_rule-n10-s8101-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8101-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8101-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8102-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,21
holdout_locked-commercial-doet_rule-n10-s8102-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,27
holdout_locked-commercial-doet_rule-n10-s8102-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8103-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,22
holdout_locked-commercial-doet_rule-n10-s8103-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8103-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8104-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8104-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,25
holdout_locked-commercial-doet_rule-n10-s8104-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8105-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,22
holdout_locked-commercial-doet_rule-n10-s8105-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,30
holdout_locked-commercial-doet_rule-n10-s8105-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8105-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8106-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8106-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8106-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8106-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8107-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,26
holdout_locked-commercial-doet_rule-n10-s8107-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,33
holdout_locked-commercial-doet_rule-n10-s8107-communication_partition,commercial,communication_partition,doet_rule,need,3
holdout_locked-commercial-doet_rule-n10-s8107-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8108-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,20
holdout_locked-commercial-doet_rule-n10-s8108-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,24
holdout_locked-commercial-doet_rule-n10-s8108-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8108-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8109-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8109-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,26
holdout_locked-commercial-doet_rule-n10-s8109-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8110-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,17
holdout_locked-commercial-doet_rule-n10-s8110-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,21
holdout_locked-commercial-doet_rule-n10-s8110-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8110-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8111-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,18
holdout_locked-commercial-doet_rule-n10-s8111-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,23
holdout_locked-commercial-doet_rule-n10-s8111-communication_partition,commercial,communication_partition,doet_rule,need,2
holdout_locked-commercial-doet_rule-n10-s8111-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8112-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,19
holdout_locked-commercial-doet_rule-n10-s8112-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,29
holdout_locked-commercial-doet_rule-n10-s8112-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,14
holdout_locked-commercial-doet_rule-n10-s8113-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,25
holdout_locked-commercial-doet_rule-n10-s8113-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,29
holdout_locked-commercial-doet_rule-n10-s8113-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8113-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8114-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,17
holdout_locked-commercial-doet_rule-n10-s8114-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,24
holdout_locked-commercial-doet_rule-n10-s8114-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8115-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,22
holdout_locked-commercial-doet_rule-n10-s8115-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,25
holdout_locked-commercial-doet_rule-n10-s8115-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,16
holdout_locked-commercial-doet_rule-n10-s8116-communication_partition,commercial,communication_partition,doet_rule,coalition_joined,20
holdout_locked-commercial-doet_rule-n10-s8116-communication_partition,commercial,communication_partition,doet_rule,coalition_proposal,24
holdout_locked-commercial-doet_rule-n10-s8116-communication_partition,commercial,communication_partition,doet_rule,need,1
holdout_locked-commercial-doet_rule-n10-s8116-communication_partition,commercial,communication_partition,doet_rule,entropy_sketch,12
holdout_locked-commercial-doet_rl-n10-s8101-communication_partition-r7305,commercial,communication_partition,doet_rl,coalition_joined,4
holdout_locked-commercial-doet_rl-n10-s8101-communication_partition-r7305,commercial,communication_partition,doet_rl,coalition_proposal,7
holdout_locked-commercial-doet_rl-n10-s8101-communication_partition-r7305,commercial,communication_partition,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8101-communication_partition-r7305,commercial,communication_partition,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8102-communication_partition-r7301,commercial,communication_partition,doet_rl,coalition_joined,4
holdout_locked-commercial-doet_rl-n10-s8102-communication_partition-r7301,commercial,communication_partition,doet_rl,coalition_proposal,5
holdout_locked-commercial-doet_rl-n10-s8102-communication_partition-r7301,commercial,communication_partition,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8102-communication_partition-r7301,commercial,communication_partition,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8103-communication_partition-r7302,commercial,communication_partition,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8103-communication_partition-r7302,commercial,communication_partition,doet_rl,coalition_proposal,9
holdout_locked-commercial-doet_rl-n10-s8103-communication_partition-r7302,commercial,communication_partition,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8103-communication_partition-r7302,commercial,communication_partition,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8104-communication_partition-r7303,commercial,communication_partition,doet_rl,coalition_joined,2
holdout_locked-commercial-doet_rl-n10-s8104-communication_partition-r7303,commercial,communication_partition,doet_rl,coalition_proposal,3
holdout_locked-commercial-doet_rl-n10-s8104-communication_partition-r7303,commercial,communication_partition,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8104-communication_partition-r7303,commercial,communication_partition,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8105-communication_partition-r7304,commercial,communication_partition,doet_rl,coalition_joined,5
holdout_locked-commercial-doet_rl-n10-s8105-communication_partition-r7304,commercial,communication_partition,doet_rl,coalition_proposal,6
holdout_locked-commercial-doet_rl-n10-s8105-communication_partition-r7304,commercial,communication_partition,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8105-communication_partition-r7304,commercial,communication_partition,doet_rl,entropy_sketch,16
holdout_locked-commercial-doet_rl-n10-s8106-communication_partition-r7305,commercial,communication_partition,doet_rl,coalition_joined,2
holdout_locked-commercial-doet_rl-n10-s8106-communication_partition-r7305,commercial,communication_partition,doet_rl,coalition_proposal,2
holdout_locked-commercial-doet_rl-n10-s8106-communication_partition-r7305,commercial,communication_partition,doet_rl,need,1
holdout_locked-commercial-doet_rl-n10-s8106-communication_partition-r7305,commercial,communication_partition,doet_rl,entropy_sketch,14
holdout_locked-commercial-doet_rl-n10-s8107-communication_partition-r7301,commercial,communication_partition,doet_rl,coalition_joined,6
holdout_locked-commercial-doet_rl-n10-s8107-communication_partition-r7301,commercial,communication_partition,doet_rl,coalition_proposal,8
holdout_locked-commercial-doet_rl-n10-s8107-communication_partition-r7301,commercial,communication_partition,doet_rl,need,2
holdout_locked-commercial-doet_rl-n10-s8107-communication_partition-r7301,commercial,communication_partition,doet_rl,entropy_sketch,16
