condition,update,sweep,beliefs,actions,belief_magnetization,action_magnetization,belief_disagreement,reference_energy_per_agent,messages_delivered
reciprocal,32,4.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,33,4.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,34,4.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,35,4.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,36,4.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,37,4.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,38,4.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,39,5.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,40,5.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,41,5.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,42,5.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,43,5.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,44,5.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,45,5.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,46,5.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,47,6.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,48,6.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,49,6.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,50,6.375,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,51,6.5,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,52,6.625,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,53,6.75,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,54,6.875,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,55,7.0,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,56,7.125,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,57,7.25,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,58,7.375,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,59,7.5,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
reciprocal,60,7.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
reciprocal,61,7.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
reciprocal,62,7.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
reciprocal,63,8.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
directed,0,0.125,-1;1;-1;-1;1;1;-1;1,-1;1;1;-1;-1;1;-1;1,0.0,0.0,0.75,-0.4875,1
directed,1,0.25,-1;1;-1;-1;1;1;-1;1,-1;1;1;-1;-1;1;-1;1,0.0,0.0,0.75,-0.4875,1
directed,2,0.375,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
directed,3,0.5,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
directed,4,0.625,-1;1;-1;-1;1;1;-1;1,-1;1;-1;-1;-1;1;-1;1,0.0,-0.25,0.75,-0.6875000000000001,1
directed,5,0.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,6,0.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,7,1.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,8,1.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,9,1.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,10,1.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,11,1.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,12,1.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,13,1.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,14,1.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,15,2.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,16,2.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,17,2.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,18,2.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,19,2.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,20,2.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,21,2.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,22,2.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,23,3.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,24,3.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,25,3.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,26,3.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,27,3.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,28,3.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,29,3.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,30,3.875,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,31,4.0,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,32,4.125,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,33,4.25,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,34,4.375,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,35,4.5,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,36,4.625,-1;-1;-1;1;1;1;-1;1,-1;-1;-1;1;-1;1;-1;1,0.0,-0.25,0.5,-0.9375,1
directed,37,4.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,38,4.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,39,5.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,40,5.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,41,5.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,42,5.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,43,5.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,44,5.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,45,5.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,46,5.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,47,6.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,48,6.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,49,6.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,50,6.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,51,6.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,52,6.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,53,6.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,54,6.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,55,7.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,56,7.125,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,57,7.25,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,58,7.375,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,59,7.5,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,60,7.625,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;-1;1;-1;1,0.25,0.0,0.75,-0.7750000000000001,1
directed,61,7.75,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
directed,62,7.875,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
directed,63,8.0,-1;1;-1;1;1;1;-1;1,-1;1;-1;1;1;1;-1;1,0.25,0.25,0.75,-1.1375000000000002,1
