candidate_name,method,encoding,configuration_digest,configuration_json
uncertainty_004,predictive_uncertainty_change,fp16,725a913ab228,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""predictive_uncertainty_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.04,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
uncertainty_008,predictive_uncertainty_change,fp16,71c476debc21,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""predictive_uncertainty_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
l1_012,l1_belief_drift,fp16,a4111e560261,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.12,""maximum_silence_steps"":30,""method"":""l1_belief_drift"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
l1_024,l1_belief_drift,fp16,c1987b7c3312,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.24,""maximum_silence_steps"":30,""method"":""l1_belief_drift"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
aoi_18,age_of_information,fp16,e1d6ce4d93c3,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":18,""method"":""age_of_information"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
aoi_30,age_of_information,fp16,e27491322545,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""age_of_information"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
v7_shannon_003,v7_shannon_change,fp16,c35510bd725e,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""v7_shannon_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.03,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
v7_shannon_006,v7_shannon_change,fp16,c5a26765fa92,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""v7_shannon_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.06,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
js_003,js_drift,fp16,ffac7588a645,"{""cooldown_steps"":2,""js_threshold"":0.03,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""js_drift"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
js_007,js_drift,fp16,565d3b5e7ead,"{""cooldown_steps"":2,""js_threshold"":0.07,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""js_drift"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
spectrum_004,tsallis_spectrum_change,fp16,6f94beebed2c,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""tsallis_spectrum_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.04,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
spectrum_008,tsallis_spectrum_change,fp16,1013b09ad56f,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""tsallis_spectrum_change"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.08,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
generalized_008,generalized_information,fp16,089fa0c17476,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""generalized_information"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.04,""tau_on"":0.08,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
generalized_014,generalized_information,fp16,16bfadb86d55,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""generalized_information"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.04,""tau_on"":0.14,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
always_on_fp32,always_on,fp32,f06f6808d09b,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""always_on"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
always_on_uint8,always_on,uint8_simplex,f06f6808d09b,"{""cooldown_steps"":2,""js_threshold"":0.055,""kpi_threshold"":0.1,""l1_threshold"":0.18,""maximum_silence_steps"":30,""method"":""always_on"",""periodic_interval_steps"":4,""q_values"":[0.5,1.0,1.5,2.0,3.0],""random_probability"":0.3,""shannon_threshold"":0.045,""spectrum_threshold"":0.06,""tau_off"":0.045,""tau_on"":0.115,""uncertainty_threshold"":0.08,""weights"":{""age"":0.15,""confidence"":0.15,""js"":0.45,""spectrum"":0.25}}"
