candidate_name,application,method,panels,mean_sketch_bytes,mean_fully_counted_bytes,mean_sketch_byte_reduction,mean_fully_counted_byte_reduction,mean_message_reduction,mean_estimation_error,mean_estimation_error_increase,mean_disagreement_error,mean_disagreement_error_increase,mean_detection_delay_increase,maximum_pointwise_p95,mean_service_loss_increase,mean_harmful_action_increase,mean_reward_degradation,mean_activation_rate
generalized_014,humanitarian,generalized_information,4,309800.0,395504.25,0.3998935444036569,0.3317582905977959,0.3998935444036569,0.05261393352589219,0.0027388478489911213,0.03651252408729032,0.0035610285169061246,0.0,0.1106645373975906,112.10242826945324,-1.25,0.008200637302258729,0.5828754578754579
generalized_014,utility_restoration,generalized_information,4,282260.0,338011.0,0.4745890016415331,0.3995340259707012,0.4745890016415331,0.048464943865724606,0.0012478017994663488,0.0344531204827296,0.0018251069743620276,0.0,0.1349902324424788,-4.76627683766236,0.75,0.0018371445649593282,0.5101762820512822
js_003,humanitarian,js_drift,4,341250.0,427082.0,0.348097841410042,0.28722895097420736,0.348097841410042,0.0508117222826108,0.0009366366057097213,0.0339181253088815,0.0009666297384972999,0.0,0.1111157500395685,57.809938708528534,-1.25,-0.016836120284568712,0.6544986263736264
js_003,utility_restoration,js_drift,4,328370.0,383709.5,0.363523308707862,0.3074416463768183,0.363523308707862,0.04785280001054437,0.0006356579442861245,0.03306144142604335,0.0004334279176757749,0.0,0.1346904040455976,1.6442727188186268,0.25,0.003508673808300597,0.6344894688644688
js_007,humanitarian,js_drift,4,284940.0,370713.25,0.45499311453287805,0.3740444068310495,0.45499311453287805,0.05387886394099383,0.004003778264092749,0.03776469756693892,0.004813201996554724,0.3105487228003781,0.1162853666020408,25.799600752325716,-1.25,-0.010026535582317586,0.5139995421245421
js_007,utility_restoration,js_drift,4,269890.0,325282.75,0.5095829025278221,0.4291388035365266,0.5095829025278221,0.04887041619190258,0.0016532741256443245,0.03471679947601278,0.002088785967645202,0.0,0.1349902324424788,2.954863983098676,1.25,0.006424731088069846,0.46429716117216113
kpi_006,humanitarian,kpi_change,4,401390.0,487217.0,0.2005499607668746,0.16961037957245884,0.2005499607668746,0.05164410877871173,0.0017690231018106482,0.03636455373212975,0.0034130581617455493,0.0,0.113309150798231,3.179782869578162,-0.25,0.00530686976120065,0.7952266483516484
kpi_006,utility_restoration,kpi_change,4,401640.0,457290.25,0.17890941023423543,0.15289760070350106,0.17890941023423543,0.047719175360655196,0.0005020332943969485,0.03313852493476269,0.0005105114263951275,0.0,0.1346904040455976,-6.076868101942409,0.0,-0.0038752450691005164,0.8132783882783882
kpi_012,humanitarian,kpi_change,4,349050.0,434823.75,0.3265167752154132,0.27653739731790167,0.3265167752154132,0.05391118181164709,0.0040360961347460245,0.03958747723485717,0.006635981664472973,0.0,0.1208824626785547,47.52443385595973,-0.5,-0.001976328648033432,0.6734546703296703
kpi_012,utility_restoration,kpi_change,4,364480.0,420356.0,0.2621844775785597,0.2223740676747046,0.2621844775785597,0.047775907283454655,0.000558765217196399,0.03313515889799363,0.0005071453896260516,0.0,0.1346904040455976,-6.076868101942409,0.0,-0.004881987966588119,0.7302197802197803
l1_012,humanitarian,l1_belief_drift,4,490480.0,576376.5,0.0018398318326271479,0.0016084388387583581,0.0018398318326271479,0.04987777694131237,2.691264411300992e-06,0.03295598153671163,4.485966327426316e-06,0.0,0.111143448018666,0.0,0.0,0.0,0.9982028388278388
l1_012,utility_restoration,l1_belief_drift,4,496320.0,552025.5,0.003934278552224418,0.0033778638262090543,0.003934278552224418,0.04721676948874479,-3.725775134504755e-07,0.03262370996431223,-4.303544055350023e-06,0.0,0.1346904040455976,0.0,0.0,0.0,0.9953411172161172
l1_024,humanitarian,l1_belief_drift,4,461220.0,547112.5,0.05481628557022128,0.04643227049848089,0.05481628557022128,0.04992416358578385,4.90779088827744e-05,0.03298945011237805,3.795454199384974e-05,0.0,0.111143448018666,-1.8189894035458565e-12,0.0,0.0021062436865504353,0.9453525641025643
l1_024,utility_restoration,l1_belief_drift,4,464790.0,520386.75,0.07298067703698102,0.06178683854952885,0.07298067703698102,0.04714197929692973,-7.516276932852464e-05,0.032559092056786094,-6.89214515814749e-05,0.0,0.1346904040455976,0.0,0.0,-0.00023434394960479554,0.9217719780219777
none_fp16,humanitarian,none,4,0.0,85779.0,1.0,0.8279818522952205,1.0,0.0452024659497632,-0.004672619727137876,0.04090238316054403,0.007950887590159826,-0.6816461684011355,0.0906983467867503,135.78238333624967,-0.5,0.04650023822670246,0.0
none_fp16,utility_restoration,none,4,0.0,55567.25,1.0,0.8472517335748675,1.0,0.04804703975549895,0.0008298976892407006,0.044691544790410376,0.012063531282042803,-0.3331043956043956,0.0959439003396688,3.446170736910858,0.25,0.00425807064208393,0.0
periodic_18,humanitarian,periodic,4,283940.0,369732.25,0.4270600300496783,0.36074765405846243,0.4270600300496783,0.057129608331262786,0.0072545226543617,0.042022217521026944,0.009070721950642749,0.38197729422894966,0.1349755580079196,86.26563956895671,1.5,0.08567581152302128,0.5379807692307693
periodic_18,utility_restoration,periodic,4,294240.0,349825.25,0.42908080772245905,0.36305738359563494,0.42908080772245905,0.04969843255366287,0.002481290487404624,0.03566787089359017,0.0030398573852226016,0.28571428571428586,0.1611218765246632,-4.76627683766236,0.25,0.0004407848153685917,0.5375000000000001
periodic_30,humanitarian,periodic,4,248110.0,333958.25,0.568451578701653,0.4763978001717548,0.568451578701653,0.06087583670673585,0.011000751029834777,0.048218735776413224,0.015267240206029023,0.38197729422894966,0.1349755580079196,46.38922259565817,1.0,0.03883777548151557,0.3879807692307693
periodic_30,utility_restoration,periodic,4,257420.0,312928.75,0.576533333359497,0.48330719455219223,0.576533333359497,0.052001049965610856,0.004783907899352598,0.03773743562896107,0.0051094221205935,0.35714285714285715,0.1669752920389687,-4.76627683766236,0.25,-0.0016569080219227955,0.38958333333333334
periodic_42,humanitarian,periodic,4,215210.0,301047.75,0.5964249543719873,0.5014862187367689,0.5964249543719873,0.06463186704707671,0.01475678137017565,0.050155707748079516,0.017204212177695324,0.5775780510879847,0.1390936132950505,65.81452101829137,-1.0,0.020947571532692444,0.35000000000000003
