application,time,independent_n,belief_order_mean,belief_order_ci_low,belief_order_ci_high,action_order_mean,action_order_ci_low,action_order_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,belief_entropy_mean,belief_entropy_ci_low,belief_entropy_ci_high,action_entropy_mean,action_entropy_ci_low,action_entropy_ci_high,entropy_flow_per_update_mean,entropy_flow_per_update_ci_low,entropy_flow_per_update_ci_high,workload_density_mean,workload_density_ci_low,workload_density_ci_high,service_loss_mean,service_loss_ci_low,service_loss_ci_high,cascade_depth_mean,cascade_depth_ci_low,cascade_depth_ci_high,activity_mean,activity_ci_low,activity_ci_high
humanitarian,62,8,-0.43359375,-0.6267420723,-0.2404454277,-0.234375,-0.3319090485,-0.1368409515,0.44921875,0.3666062261,0.5318312739,0.796743863,0.6570880655,0.9363996605,0.9462326356,0.8989712911,0.9934939801,-0.003704710941,-0.05251014056,0.04510071867,0.2052889379,0.1936028689,0.2169750068,13.13849202,12.39058361,13.88640044,2.125,1.344727612,2.905272388,0.2705078125,0.2362756653,0.3047399597
humanitarian,63,8,-0.390625,-0.6337034017,-0.1475465983,-0.1953125,-0.3198463966,-0.07077860338,0.3828125,0.3229452967,0.4426797033,0.7914204433,0.638770875,0.9440700116,0.9513584628,0.9302435519,0.9724733737,-0.006041746522,-0.04300188482,0.03091839177,0.2379174475,0.2224109323,0.2534239627,15.22671664,14.23429967,16.21913361,2.125,1.344727612,2.905272388,0.2412109375,0.2080347306,0.2743871444
humanitarian,64,8,-0.359375,-0.610318532,-0.108431468,-0.203125,-0.3123248598,-0.09392514022,0.40625,0.3544843019,0.4580156981,0.8052241317,0.6571265824,0.9533216811,0.9538068348,0.9290397567,0.9785739129,0.02873157486,-0.0006372880551,0.05810043778,0.237667226,0.2212834129,0.2540510391,15.21070246,14.16213842,16.2592665,2.125,1.344727612,2.905272388,0.275390625,0.2388153568,0.3119658932
humanitarian,65,8,-0.37890625,-0.6709211138,-0.08689138623,-0.1953125,-0.294717468,-0.09590753203,0.33984375,0.2560236709,0.4236638291,0.7490906186,0.5417433349,0.9564379023,0.9587813221,0.9314286356,0.9861340085,0.02292734961,-0.03451626542,0.08037096464,0.236207746,0.2199940548,0.2524214372,15.11729574,14.07961951,16.15497198,2.125,1.344727612,2.905272388,0.2666015625,0.2423148321,0.2908882929
humanitarian,66,8,-0.3359375,-0.6264141086,-0.04546089138,-0.23046875,-0.313888253,-0.147049247,0.41796875,0.3204776396,0.5154598604,0.7832126603,0.6136774601,0.9527478605,0.9516676153,0.9239603357,0.9793748949,0.02472037628,-0.0220930846,0.07153383716,0.2365007147,0.220262643,0.2527387865,15.13604574,14.09680915,16.17528233,2.125,1.344727612,2.905272388,0.2265625,0.1783133703,0.2748116297
humanitarian,67,8,-0.3515625,-0.6577578076,-0.04536719238,-0.18359375,-0.3147753728,-0.05241212719,0.39453125,0.2841491677,0.5049133323,0.7617586314,0.5975209777,0.9259962851,0.9513792669,0.9000358969,1.002722637,-0.01952903988,-0.05225521623,0.01319713647,0.2362468085,0.2202425884,0.2522510286,15.11979574,14.09552566,16.14406583,2.125,1.344727612,2.905272388,0.224609375,0.2024288909,0.2467898591
humanitarian,68,8,-0.34765625,-0.6576972393,-0.03761526071,-0.19921875,-0.3677308074,-0.03070669264,0.4453125,0.3079869715,0.5826380285,0.7523648168,0.5508358573,0.9538937763,0.9315860348,0.8753763841,0.9877956854,-0.0008224916127,-0.04352791995,0.04188293673,0.2337545151,0.2186095462,0.2488994839,14.96028896,13.99101096,15.92956697,2.125,1.344727612,2.905272388,0.2431640625,0.2074357096,0.2788924154
humanitarian,69,8,-0.328125,-0.6198098953,-0.03644010474,-0.2421875,-0.3750499906,-0.1093250094,0.375,0.2639749465,0.4860250535,0.7832056714,0.5978590479,0.9685522949,0.9311775301,0.8601587568,1.002196303,-0.009662456277,-0.04846103577,0.02913612322,0.2325287845,0.2181804111,0.2468771579,14.88184221,13.96354631,15.80013811,2.125,1.344727612,2.905272388,0.23046875,0.2016758981,0.2592616019
humanitarian,70,8,-0.3046875,-0.5775644254,-0.03181057462,-0.1484375,-0.3112116078,0.01433660776,0.3671875,0.2726176473,0.4617573527,0.8116691406,0.6325478595,0.9907904217,0.9474030313,0.8938895776,1.000916485,-0.01544919196,-0.06063440081,0.02973601689,0.2312253977,0.2174095288,0.2450412665,14.79842545,13.91420984,15.68264106,2.125,1.344727612,2.905272388,0.265625,0.2216431922,0.3096068078
humanitarian,71,8,-0.30078125,-0.5840625,-0.0175,-0.10546875,-0.2703640322,0.05942653223,0.375,0.2633731803,0.4866268197,0.8027881608,0.6094819491,0.9960943724,0.9544216675,0.898836692,1.010006643,0.01983928331,-0.01930273759,0.05898130421,0.2315183664,0.2176282045,0.2454085283,14.81717545,13.92820509,15.70614581,2.125,1.344727612,2.905272388,0.25,0.2165019532,0.2834980468
