application,scenario_name,seed,n_agents,option,option_name,option_proportion_difference_doet_minus_nonentropy,doet_rl_option_proportion,learned_no_entropy_option_proportion,doet_rl_decision_count,learned_no_entropy_decision_count,doet_rl_training_seed,learned_no_entropy_training_seed,panel_option_total_variation_distance
commercial,isolated,8112,10,4,respond_offer,-0.3008130081300813,0.0,0.3008130081300813,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,5,propose_coalition,-0.03530166880616176,0.18421052631578946,0.21951219512195122,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,6,request_reallocation,-0.08985879332477537,0.10526315789473684,0.1951219512195122,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,7,emergency,0.1091142490372272,0.15789473684210525,0.04878048780487805,38,123,7305,7305,0.6129653401797176
commercial,isolated,8112,10,8,silent,0.05263157894736842,0.05263157894736842,0.0,38,123,7305,7305,0.6129653401797176
commercial,isolated,8113,10,0,continue,0.3553719008264463,0.36363636363636365,0.008264462809917356,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,1,request_info,-0.01652892561983471,0.0,0.01652892561983471,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,2,disclose_summary,0.0,0.0,0.0,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,3,negotiate,-0.17355371900826447,0.0,0.17355371900826447,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,4,respond_offer,-0.2396694214876033,0.0,0.2396694214876033,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,5,propose_coalition,-0.01652892561983471,0.18181818181818182,0.19834710743801653,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,6,request_reallocation,0.044628099173553704,0.3090909090909091,0.2644628099173554,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,7,emergency,0.009917355371900818,0.10909090909090909,0.09917355371900827,55,121,7301,7301,0.44628099173553726
commercial,isolated,8113,10,8,silent,0.03636363636363636,0.03636363636363636,0.0,55,121,7301,7301,0.44628099173553726
commercial,isolated,8114,10,0,continue,0.3398268398268398,0.36363636363636365,0.023809523809523808,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,1,request_info,-0.015873015873015872,0.0,0.015873015873015872,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,2,disclose_summary,0.0,0.0,0.0,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,3,negotiate,-0.24603174603174602,0.0,0.24603174603174602,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,4,respond_offer,-0.07936507936507936,0.0,0.07936507936507936,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,5,propose_coalition,-0.01991341991341991,0.21818181818181817,0.23809523809523808,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,6,request_reallocation,0.018759018759018753,0.2727272727272727,0.25396825396825395,55,126,7302,7302,0.377056277056277
commercial,isolated,8114,10,7,emergency,0.01847041847041847,0.14545454545454545,0.12698412698412698,55,126,7302,7302,0.377056277056277
