panel_id,disruption,phase,source,target,active,message_count,cross_community
V14Q_g0_field_reversal,field_reversal,baseline,10,9,1,4,0
V14Q_g0_field_reversal,field_reversal,baseline,10,11,1,6,0
V14Q_g0_field_reversal,field_reversal,baseline,11,3,1,4,1
V14Q_g0_field_reversal,field_reversal,baseline,11,10,1,9,0
V14Q_g0_field_reversal,field_reversal,baseline,11,12,1,2,0
V14Q_g0_field_reversal,field_reversal,baseline,12,1,1,3,1
V14Q_g0_field_reversal,field_reversal,baseline,12,11,1,9,0
V14Q_g0_field_reversal,field_reversal,baseline,12,13,1,3,0
V14Q_g0_field_reversal,field_reversal,baseline,13,7,1,6,1
V14Q_g0_field_reversal,field_reversal,baseline,13,12,1,5,0
V14Q_g0_field_reversal,field_reversal,baseline,13,14,1,4,0
V14Q_g0_field_reversal,field_reversal,baseline,14,6,1,7,1
V14Q_g0_field_reversal,field_reversal,baseline,14,13,1,4,0
V14Q_g0_field_reversal,field_reversal,baseline,14,15,1,4,0
V14Q_g0_field_reversal,field_reversal,baseline,15,5,1,7,1
V14Q_g0_field_reversal,field_reversal,baseline,15,8,1,4,0
V14Q_g0_field_reversal,field_reversal,baseline,15,14,1,4,0
V14Q_g0_field_reversal,field_reversal,disruption,0,1,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,0,7,1,4,0
V14Q_g0_field_reversal,field_reversal,disruption,0,9,1,6,1
V14Q_g0_field_reversal,field_reversal,disruption,1,0,1,4,0
V14Q_g0_field_reversal,field_reversal,disruption,1,2,1,8,0
V14Q_g0_field_reversal,field_reversal,disruption,1,12,1,3,1
V14Q_g0_field_reversal,field_reversal,disruption,2,1,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,2,3,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,2,10,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,3,2,1,7,0
V14Q_g0_field_reversal,field_reversal,disruption,3,4,1,2,0
V14Q_g0_field_reversal,field_reversal,disruption,3,11,1,6,1
V14Q_g0_field_reversal,field_reversal,disruption,4,3,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,4,5,1,4,0
V14Q_g0_field_reversal,field_reversal,disruption,4,8,1,5,1
V14Q_g0_field_reversal,field_reversal,disruption,5,4,1,7,0
V14Q_g0_field_reversal,field_reversal,disruption,5,6,1,2,0
V14Q_g0_field_reversal,field_reversal,disruption,5,15,1,6,1
V14Q_g0_field_reversal,field_reversal,disruption,6,5,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,6,7,1,3,0
V14Q_g0_field_reversal,field_reversal,disruption,6,14,1,7,1
V14Q_g0_field_reversal,field_reversal,disruption,7,0,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,7,6,1,7,0
V14Q_g0_field_reversal,field_reversal,disruption,7,13,1,3,1
V14Q_g0_field_reversal,field_reversal,disruption,8,4,1,6,1
V14Q_g0_field_reversal,field_reversal,disruption,8,9,1,2,0
V14Q_g0_field_reversal,field_reversal,disruption,8,15,1,7,0
V14Q_g0_field_reversal,field_reversal,disruption,9,0,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,9,8,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,9,10,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,10,2,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,10,9,1,3,0
V14Q_g0_field_reversal,field_reversal,disruption,10,11,1,8,0
V14Q_g0_field_reversal,field_reversal,disruption,11,3,1,3,1
V14Q_g0_field_reversal,field_reversal,disruption,11,10,1,4,0
V14Q_g0_field_reversal,field_reversal,disruption,11,12,1,8,0
V14Q_g0_field_reversal,field_reversal,disruption,12,1,1,3,1
V14Q_g0_field_reversal,field_reversal,disruption,12,11,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,12,13,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,13,7,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,13,12,1,3,0
V14Q_g0_field_reversal,field_reversal,disruption,13,14,1,8,0
V14Q_g0_field_reversal,field_reversal,disruption,14,6,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,14,13,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,14,15,1,5,0
V14Q_g0_field_reversal,field_reversal,disruption,15,5,1,4,1
V14Q_g0_field_reversal,field_reversal,disruption,15,8,1,6,0
V14Q_g0_field_reversal,field_reversal,disruption,15,14,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,0,1,1,3,0
V14Q_g0_field_reversal,field_reversal,recovery,0,7,1,2,0
V14Q_g0_field_reversal,field_reversal,recovery,0,9,1,10,1
V14Q_g0_field_reversal,field_reversal,recovery,1,0,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,1,2,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,1,12,1,6,1
V14Q_g0_field_reversal,field_reversal,recovery,2,1,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,2,3,1,6,0
V14Q_g0_field_reversal,field_reversal,recovery,2,10,1,4,1
V14Q_g0_field_reversal,field_reversal,recovery,3,2,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,3,4,1,8,0
V14Q_g0_field_reversal,field_reversal,recovery,3,11,1,3,1
V14Q_g0_field_reversal,field_reversal,recovery,4,3,1,7,0
V14Q_g0_field_reversal,field_reversal,recovery,4,5,1,2,0
V14Q_g0_field_reversal,field_reversal,recovery,4,8,1,6,1
V14Q_g0_field_reversal,field_reversal,recovery,5,4,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,5,6,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,5,15,1,7,1
V14Q_g0_field_reversal,field_reversal,recovery,6,5,1,2,0
V14Q_g0_field_reversal,field_reversal,recovery,6,7,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,6,14,1,8,1
V14Q_g0_field_reversal,field_reversal,recovery,7,0,1,3,0
V14Q_g0_field_reversal,field_reversal,recovery,7,6,1,6,0
V14Q_g0_field_reversal,field_reversal,recovery,7,13,1,6,1
V14Q_g0_field_reversal,field_reversal,recovery,8,4,1,4,1
V14Q_g0_field_reversal,field_reversal,recovery,8,9,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,8,15,1,6,0
V14Q_g0_field_reversal,field_reversal,recovery,9,0,1,2,1
V14Q_g0_field_reversal,field_reversal,recovery,9,8,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,9,10,1,8,0
V14Q_g0_field_reversal,field_reversal,recovery,10,2,1,2,1
V14Q_g0_field_reversal,field_reversal,recovery,10,9,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,10,11,1,8,0
V14Q_g0_field_reversal,field_reversal,recovery,11,3,1,4,1
V14Q_g0_field_reversal,field_reversal,recovery,11,10,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,11,12,1,6,0
V14Q_g0_field_reversal,field_reversal,recovery,12,1,1,7,1
V14Q_g0_field_reversal,field_reversal,recovery,12,11,1,5,0
V14Q_g0_field_reversal,field_reversal,recovery,12,13,1,3,0
V14Q_g0_field_reversal,field_reversal,recovery,13,7,1,7,1
V14Q_g0_field_reversal,field_reversal,recovery,13,12,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,13,14,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,14,6,1,8,1
V14Q_g0_field_reversal,field_reversal,recovery,14,13,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,14,15,1,3,0
V14Q_g0_field_reversal,field_reversal,recovery,15,5,1,7,1
V14Q_g0_field_reversal,field_reversal,recovery,15,8,1,4,0
V14Q_g0_field_reversal,field_reversal,recovery,15,14,1,4,0
V14Q_g0_network_partition,network_partition,baseline,0,1,1,7,0
V14Q_g0_network_partition,network_partition,baseline,0,7,1,6,0
V14Q_g0_network_partition,network_partition,baseline,0,9,1,2,1
V14Q_g0_network_partition,network_partition,baseline,1,0,1,6,0
V14Q_g0_network_partition,network_partition,baseline,1,2,1,5,0
V14Q_g0_network_partition,network_partition,baseline,1,12,1,4,1
V14Q_g0_network_partition,network_partition,baseline,2,1,1,5,0
V14Q_g0_network_partition,network_partition,baseline,2,3,1,8,0
V14Q_g0_network_partition,network_partition,baseline,2,10,1,2,1
V14Q_g0_network_partition,network_partition,baseline,3,2,1,6,0
V14Q_g0_network_partition,network_partition,baseline,3,4,1,6,0
V14Q_g0_network_partition,network_partition,baseline,3,11,1,3,1
V14Q_g0_network_partition,network_partition,baseline,4,3,1,7,0
V14Q_g0_network_partition,network_partition,baseline,4,5,1,5,0
V14Q_g0_network_partition,network_partition,baseline,4,8,1,3,1
V14Q_g0_network_partition,network_partition,baseline,5,4,1,4,0
V14Q_g0_network_partition,network_partition,baseline,5,6,1,6,0
V14Q_g0_network_partition,network_partition,baseline,5,15,1,5,1
V14Q_g0_network_partition,network_partition,baseline,6,5,1,5,0
V14Q_g0_network_partition,network_partition,baseline,6,7,1,6,0
V14Q_g0_network_partition,network_partition,baseline,6,14,1,4,1
V14Q_g0_network_partition,network_partition,baseline,7,0,1,8,0
V14Q_g0_network_partition,network_partition,baseline,7,6,1,6,0
V14Q_g0_network_partition,network_partition,baseline,7,13,1,1,1
V14Q_g0_network_partition,network_partition,baseline,8,4,1,2,1
V14Q_g0_network_partition,network_partition,baseline,8,9,1,7,0
V14Q_g0_network_partition,network_partition,baseline,8,15,1,6,0
V14Q_g0_network_partition,network_partition,baseline,9,0,1,4,1
V14Q_g0_network_partition,network_partition,baseline,9,8,1,9,0
V14Q_g0_network_partition,network_partition,baseline,9,10,1,2,0
V14Q_g0_network_partition,network_partition,baseline,10,2,1,5,1
V14Q_g0_network_partition,network_partition,baseline,10,9,1,4,0
V14Q_g0_network_partition,network_partition,baseline,10,11,1,6,0
V14Q_g0_network_partition,network_partition,baseline,11,3,1,4,1
V14Q_g0_network_partition,network_partition,baseline,11,10,1,9,0
V14Q_g0_network_partition,network_partition,baseline,11,12,1,2,0
V14Q_g0_network_partition,network_partition,baseline,12,1,1,3,1
V14Q_g0_network_partition,network_partition,baseline,12,11,1,9,0
V14Q_g0_network_partition,network_partition,baseline,12,13,1,3,0
V14Q_g0_network_partition,network_partition,baseline,13,7,1,6,1
V14Q_g0_network_partition,network_partition,baseline,13,12,1,5,0
V14Q_g0_network_partition,network_partition,baseline,13,14,1,4,0
V14Q_g0_network_partition,network_partition,baseline,14,6,1,7,1
V14Q_g0_network_partition,network_partition,baseline,14,13,1,4,0
V14Q_g0_network_partition,network_partition,baseline,14,15,1,4,0
V14Q_g0_network_partition,network_partition,baseline,15,5,1,7,1
V14Q_g0_network_partition,network_partition,baseline,15,8,1,4,0
V14Q_g0_network_partition,network_partition,baseline,15,14,1,4,0
V14Q_g0_network_partition,network_partition,disruption,0,1,1,6,0
V14Q_g0_network_partition,network_partition,disruption,0,7,1,9,0
V14Q_g0_network_partition,network_partition,disruption,0,9,0,0,1
V14Q_g0_network_partition,network_partition,disruption,1,0,1,5,0
V14Q_g0_network_partition,network_partition,disruption,1,2,1,10,0
V14Q_g0_network_partition,network_partition,disruption,1,12,0,0,1
V14Q_g0_network_partition,network_partition,disruption,2,1,1,8,0
V14Q_g0_network_partition,network_partition,disruption,2,3,1,7,0
V14Q_g0_network_partition,network_partition,disruption,2,10,0,0,1
V14Q_g0_network_partition,network_partition,disruption,3,2,1,8,0
V14Q_g0_network_partition,network_partition,disruption,3,4,1,7,0
V14Q_g0_network_partition,network_partition,disruption,3,11,0,0,1
V14Q_g0_network_partition,network_partition,disruption,4,3,1,7,0
V14Q_g0_network_partition,network_partition,disruption,4,5,1,8,0
V14Q_g0_network_partition,network_partition,disruption,4,8,0,0,1
V14Q_g0_network_partition,network_partition,disruption,5,4,1,7,0
V14Q_g0_network_partition,network_partition,disruption,5,6,1,8,0
V14Q_g0_network_partition,network_partition,disruption,5,15,0,0,1
V14Q_g0_network_partition,network_partition,disruption,6,5,1,6,0
V14Q_g0_network_partition,network_partition,disruption,6,7,1,9,0
V14Q_g0_network_partition,network_partition,disruption,6,14,0,0,1
V14Q_g0_network_partition,network_partition,disruption,7,0,1,8,0
V14Q_g0_network_partition,network_partition,disruption,7,6,1,7,0
V14Q_g0_network_partition,network_partition,disruption,7,13,0,0,1
V14Q_g0_network_partition,network_partition,disruption,8,4,0,0,1
V14Q_g0_network_partition,network_partition,disruption,8,9,1,6,0
V14Q_g0_network_partition,network_partition,disruption,8,15,1,9,0
V14Q_g0_network_partition,network_partition,disruption,9,0,0,0,1
V14Q_g0_network_partition,network_partition,disruption,9,8,1,7,0
V14Q_g0_network_partition,network_partition,disruption,9,10,1,8,0
V14Q_g0_network_partition,network_partition,disruption,10,2,0,0,1
V14Q_g0_network_partition,network_partition,disruption,10,9,1,6,0
V14Q_g0_network_partition,network_partition,disruption,10,11,1,9,0
V14Q_g0_network_partition,network_partition,disruption,11,3,0,0,1
V14Q_g0_network_partition,network_partition,disruption,11,10,1,4,0
V14Q_g0_network_partition,network_partition,disruption,11,12,1,11,0
V14Q_g0_network_partition,network_partition,disruption,12,1,0,0,1
V14Q_g0_network_partition,network_partition,disruption,12,11,1,6,0
V14Q_g0_network_partition,network_partition,disruption,12,13,1,9,0
V14Q_g0_network_partition,network_partition,disruption,13,7,0,0,1
V14Q_g0_network_partition,network_partition,disruption,13,12,1,7,0
V14Q_g0_network_partition,network_partition,disruption,13,14,1,8,0
V14Q_g0_network_partition,network_partition,disruption,14,6,0,0,1
V14Q_g0_network_partition,network_partition,disruption,14,13,1,8,0
V14Q_g0_network_partition,network_partition,disruption,14,15,1,7,0
V14Q_g0_network_partition,network_partition,disruption,15,5,0,0,1
V14Q_g0_network_partition,network_partition,disruption,15,8,1,8,0
V14Q_g0_network_partition,network_partition,disruption,15,14,1,7,0
V14Q_g0_network_partition,network_partition,recovery,0,1,1,3,0
V14Q_g0_network_partition,network_partition,recovery,0,7,1,2,0
V14Q_g0_network_partition,network_partition,recovery,0,9,1,10,1
V14Q_g0_network_partition,network_partition,recovery,1,0,1,5,0
V14Q_g0_network_partition,network_partition,recovery,1,2,1,4,0
V14Q_g0_network_partition,network_partition,recovery,1,12,1,6,1
V14Q_g0_network_partition,network_partition,recovery,2,1,1,5,0
V14Q_g0_network_partition,network_partition,recovery,2,3,1,6,0
V14Q_g0_network_partition,network_partition,recovery,2,10,1,4,1
V14Q_g0_network_partition,network_partition,recovery,3,2,1,4,0
V14Q_g0_network_partition,network_partition,recovery,3,4,1,8,0
V14Q_g0_network_partition,network_partition,recovery,3,11,1,3,1
V14Q_g0_network_partition,network_partition,recovery,4,3,1,7,0
V14Q_g0_network_partition,network_partition,recovery,4,5,1,2,0
V14Q_g0_network_partition,network_partition,recovery,4,8,1,6,1
V14Q_g0_network_partition,network_partition,recovery,5,4,1,4,0
V14Q_g0_network_partition,network_partition,recovery,5,6,1,4,0
V14Q_g0_network_partition,network_partition,recovery,5,15,1,7,1
V14Q_g0_network_partition,network_partition,recovery,6,5,1,2,0
V14Q_g0_network_partition,network_partition,recovery,6,7,1,5,0
V14Q_g0_network_partition,network_partition,recovery,6,14,1,8,1
V14Q_g0_network_partition,network_partition,recovery,7,0,1,3,0
V14Q_g0_network_partition,network_partition,recovery,7,6,1,6,0
V14Q_g0_network_partition,network_partition,recovery,7,13,1,6,1
V14Q_g0_network_partition,network_partition,recovery,8,4,1,4,1
V14Q_g0_network_partition,network_partition,recovery,8,9,1,5,0
V14Q_g0_network_partition,network_partition,recovery,8,15,1,6,0
V14Q_g0_network_partition,network_partition,recovery,9,0,1,2,1
V14Q_g0_network_partition,network_partition,recovery,9,8,1,5,0
V14Q_g0_network_partition,network_partition,recovery,9,10,1,8,0
V14Q_g0_network_partition,network_partition,recovery,10,2,1,2,1
V14Q_g0_network_partition,network_partition,recovery,10,9,1,5,0
V14Q_g0_network_partition,network_partition,recovery,10,11,1,8,0
V14Q_g0_network_partition,network_partition,recovery,11,3,1,4,1
V14Q_g0_network_partition,network_partition,recovery,11,10,1,5,0
V14Q_g0_network_partition,network_partition,recovery,11,12,1,6,0
V14Q_g0_network_partition,network_partition,recovery,12,1,1,7,1
V14Q_g0_network_partition,network_partition,recovery,12,11,1,5,0
V14Q_g0_network_partition,network_partition,recovery,12,13,1,3,0
V14Q_g0_network_partition,network_partition,recovery,13,7,1,7,1
V14Q_g0_network_partition,network_partition,recovery,13,12,1,4,0
V14Q_g0_network_partition,network_partition,recovery,13,14,1,4,0
V14Q_g0_network_partition,network_partition,recovery,14,6,1,8,1
V14Q_g0_network_partition,network_partition,recovery,14,13,1,4,0
V14Q_g0_network_partition,network_partition,recovery,14,15,1,3,0
V14Q_g0_network_partition,network_partition,recovery,15,5,1,7,1
V14Q_g0_network_partition,network_partition,recovery,15,8,1,4,0
V14Q_g0_network_partition,network_partition,recovery,15,14,1,4,0
V14Q_g0_message_corruption,message_corruption,baseline,0,1,1,7,0
