run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,communication_active_agent_epoch_fraction,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
implementation_pilot_v2_dense-commercial-autonomy_no_operator-correlated-globally_public-e24005-o124005-rnone,commercial,correlated,globally_public,autonomy_no_operator,24005,124005,,complete,6.796876800000001,6.796876800000001,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,2,2,2,2,2,2,0,2,447,600,131505,2,0,0,0,0.0,0.27634218701859936,0.0,True,2
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-private_fragmented-e24001-o124001-rnone,commercial,compound,private_fragmented,autonomy_no_operator,24001,124001,,complete,12.836342400000001,12.836342400000001,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,2,0,2,447,460,101502,3,0,0,0,0.0,0.3351562689640559,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-private_fragmented-e24002-o124002-rnone,commercial,compound,private_fragmented,autonomy_no_operator,24002,124002,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101399,3,0,0,0,0.0,0.3359780309838243,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-private_fragmented-e24003-o124003-rnone,commercial,compound,private_fragmented,autonomy_no_operator,24003,124003,,complete,12.836342400000001,12.836342400000001,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,2,0,2,447,460,101198,3,0,0,0,0.0,0.32327040401287377,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-private_fragmented-e24004-o124004-rnone,commercial,compound,private_fragmented,autonomy_no_operator,24004,124004,,complete,12.836342400000001,12.836342400000001,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,2,0,2,447,460,101222,3,0,0,0,0.0,0.3245320450514555,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-private_fragmented-e24005-o124005-rnone,commercial,compound,private_fragmented,autonomy_no_operator,24005,124005,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101183,3,0,0,0,0.0,0.3279364470508881,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-globally_public-e24001-o124001-rnone,commercial,compound,globally_public,autonomy_no_operator,24001,124001,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101142,3,0,0,0,0.0,0.3258666380424984,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-globally_public-e24002-o124002-rnone,commercial,compound,globally_public,autonomy_no_operator,24002,124002,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101142,3,0,0,0,0.0,0.3223947900114581,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-globally_public-e24003-o124003-rnone,commercial,compound,globally_public,autonomy_no_operator,24003,124003,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101142,3,0,0,0,0.0,0.3374197329976596,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-globally_public-e24004-o124004-rnone,commercial,compound,globally_public,autonomy_no_operator,24004,124004,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101142,3,0,0,0,0.0,0.3515580010134727,0.0,True,3
implementation_pilot_v2_dense-commercial-autonomy_no_operator-compound-globally_public-e24005-o124005-rnone,commercial,compound,globally_public,autonomy_no_operator,24005,124005,,complete,10.019251200000003,10.019251200000003,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,3,3,3,3,3,3,0,2,447,460,101142,3,0,0,0,0.0,0.32519925001543015,0.0,True,3
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-private_fragmented-e24001-o124001-rnone,humanitarian,telemetry_integrity,private_fragmented,autonomy_no_operator,24001,124001,,complete,7.257600000000002,7.257600000000002,7.257600000000002,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,600,128556,1,0,0,0,0.0,0.21894922299543396,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-private_fragmented-e24002-o124002-rnone,humanitarian,telemetry_integrity,private_fragmented,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,129675,1,0,0,0,0.0,0.21249923104187474,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-private_fragmented-e24003-o124003-rnone,humanitarian,telemetry_integrity,private_fragmented,autonomy_no_operator,24003,124003,,complete,7.257600000000002,7.257600000000002,7.257600000000002,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,600,128388,1,0,0,0,0.0,0.21225402900017798,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-private_fragmented-e24004-o124004-rnone,humanitarian,telemetry_integrity,private_fragmented,autonomy_no_operator,24004,124004,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,129675,1,0,0,0,0.0,0.21249414200428873,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-private_fragmented-e24005-o124005-rnone,humanitarian,telemetry_integrity,private_fragmented,autonomy_no_operator,24005,124005,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,129675,1,0,0,0,0.0,0.22024365502875298,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-globally_public-e24001-o124001-rnone,humanitarian,telemetry_integrity,globally_public,autonomy_no_operator,24001,124001,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,128928,1,0,0,0,0.0,0.21902112301904708,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-globally_public-e24002-o124002-rnone,humanitarian,telemetry_integrity,globally_public,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,128928,1,0,0,0,0.0,0.210481344955042,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-globally_public-e24003-o124003-rnone,humanitarian,telemetry_integrity,globally_public,autonomy_no_operator,24003,124003,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,128928,1,0,0,0,0.0,0.21560578100616112,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-globally_public-e24004-o124004-rnone,humanitarian,telemetry_integrity,globally_public,autonomy_no_operator,24004,124004,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,128928,1,0,0,0,0.0,0.22500843898160383,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-telemetry_integrity-globally_public-e24005-o124005-rnone,humanitarian,telemetry_integrity,globally_public,autonomy_no_operator,24005,124005,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,600,128928,1,0,0,0,0.0,0.21281936997547746,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-partition-private_fragmented-e24001-o124001-rnone,humanitarian,partition,private_fragmented,autonomy_no_operator,24001,124001,,complete,7.257600000000002,7.257600000000002,7.257600000000002,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,460,98390,1,0,0,0,0.0,0.2190519379801117,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-partition-private_fragmented-e24002-o124002-rnone,humanitarian,partition,private_fragmented,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,460,99204,1,0,0,0,0.0,0.21295156399719417,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-partition-private_fragmented-e24003-o124003-rnone,humanitarian,partition,private_fragmented,autonomy_no_operator,24003,124003,,complete,7.257600000000002,7.257600000000002,7.257600000000002,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,0,0,460,98278,1,0,0,0,0.0,0.21242360601900145,0.0,True,1
implementation_pilot_v2_dense-humanitarian-autonomy_no_operator-partition-private_fragmented-e24004-o124004-rnone,humanitarian,partition,private_fragmented,autonomy_no_operator,24004,124004,,complete,3.4507200000000013,3.4507200000000013,3.4507200000000013,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,0,0,460,99204,1,0,0,0,0.0,0.21838591701816767,0.0,True,1
