family,cluster_id,metric,alpha,paired_difference
collective_network,collective_n8_modular_k0.35_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,0.009372002026692968
collective_network,collective_n8_modular_k0.35_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.008761112442120828
collective_network,collective_n8_modular_k0.35_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,-0.038643959453082216
collective_network,collective_n8_modular_k0.35_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,-0.002177314205663923
collective_network,collective_n8_modular_k0.80_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,-0.0027265373148171596
collective_network,collective_n8_modular_k0.80_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.08146816633410771
collective_network,collective_n8_modular_k0.80_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,0.0018122802879712574
collective_network,collective_n8_modular_k0.80_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,-0.029014624202262973
collective_network,collective_n8_ring_k0.35_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,0.0020452996242896135
collective_network,collective_n8_ring_k0.35_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.01756849213341775
collective_network,collective_n8_ring_k0.35_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,0.010818779941303733
collective_network,collective_n8_ring_k0.35_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,0.0
collective_network,collective_n8_ring_k0.80_t0.50_g0,adjusted_block_kl_nats_per_update,0.8,-0.0007177559540036856
collective_network,collective_n8_ring_k0.80_t0.50_g1,adjusted_block_kl_nats_per_update,0.8,0.020016641666150727
collective_network,collective_n8_ring_k0.80_t0.85_g0,adjusted_block_kl_nats_per_update,0.8,0.015101547913794006
collective_network,collective_n8_ring_k0.80_t0.85_g1,adjusted_block_kl_nats_per_update,0.8,0.0034022638115484196
collective_network,collective_n16_modular_k0.35_t0.50_g0,markov_epr_nats_per_update,0.8,5.806282311592871e-29
collective_network,collective_n16_modular_k0.35_t0.50_g1,markov_epr_nats_per_update,0.8,-6.850511747326631e-30
collective_network,collective_n16_modular_k0.35_t0.85_g0,markov_epr_nats_per_update,0.8,0.0
collective_network,collective_n16_modular_k0.35_t0.85_g1,markov_epr_nats_per_update,0.8,-3.887508250191972e-28
collective_network,collective_n16_modular_k0.80_t0.50_g0,markov_epr_nats_per_update,0.8,3.065715710865442e-28
collective_network,collective_n16_modular_k0.80_t0.50_g1,markov_epr_nats_per_update,0.8,0.014328660572328566
collective_network,collective_n16_modular_k0.80_t0.85_g0,markov_epr_nats_per_update,0.8,0.016701876010156977
