model_key,condition,phase,graph_distance,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates
granite,nominal_markovized,recovery,1.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,nominal_markovized,recovery,2.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,nominal_markovized,recovery,3.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
granite,nominal_markovized,recovery,4.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,1.0,connected_correlation,-0.008682002314814818,-0.025735435956790124,0.0034939236111111104,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,2.0,connected_correlation,-0.0003677151191870364,-0.013246674550456248,0.012692481884057973,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,3.0,connected_correlation,-0.008218259998238194,-0.0178966512264114,-0.0012973619430741506,6.0,6.0,0.0,10000.0
qwen,field_markovized,baseline,4.0,connected_correlation,-0.01219167493386244,-0.029739293981481493,0.005164517195767189,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,1.0,connected_correlation,-0.008243152006172837,-0.02020736882716049,0.010683352623456795,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,2.0,connected_correlation,0.0017408421473186003,-0.008350317028985504,0.011489029790660231,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,3.0,connected_correlation,-0.006918742903844646,-0.022208305193406937,0.004611386392999769,6.0,6.0,0.0,10000.0
qwen,field_markovized,disruption,4.0,connected_correlation,0.0008741319444444413,-0.029596602182539677,0.031609416335978836,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,1.0,connected_correlation,-0.009875578703703708,-0.021979166666666675,0.0037576195987653153,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,2.0,connected_correlation,-0.0068225069830029,-0.015937562902576485,0.002256648720643291,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,3.0,connected_correlation,-0.002691133109192705,-0.013077657632526815,0.006338763115652644,6.0,6.0,0.0,10000.0
qwen,field_markovized,recovery,4.0,connected_correlation,-0.0005209711199294538,-0.027509162808641976,0.024732211750440918,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,1.0,connected_correlation,-0.011610243055555554,-0.03019634934413581,0.0027676504629629618,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,2.0,connected_correlation,-0.006222170239097324,-0.024351699224604565,0.007719944577111691,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,3.0,connected_correlation,-0.001915722143919818,-0.009753628827029992,0.004907512626262629,6.0,6.0,0.0,10000.0
qwen,field_persistent,baseline,4.0,connected_correlation,-0.014297577711640216,-0.036687789351851866,0.0052048941798941515,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,1.0,connected_correlation,-0.009231288580246912,-0.021827256944444443,0.009478202160493826,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,2.0,connected_correlation,0.0018768584852144681,-0.008376575995461865,0.011917499268042753,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,3.0,connected_correlation,-0.0071076505119019645,-0.022127862319904473,0.004153947419935796,6.0,6.0,0.0,10000.0
qwen,field_persistent,disruption,4.0,connected_correlation,0.002877287257495581,-0.02957877259700178,0.03414654982363315,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,1.0,connected_correlation,-0.010809702932098772,-0.023205054012345683,0.003176118827160486,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,2.0,connected_correlation,-0.006701292356579943,-0.015763886029680867,0.002127714777171299,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,3.0,connected_correlation,-0.0030934936819747906,-0.01281820139378279,0.005340789480928398,6.0,6.0,0.0,10000.0
qwen,field_persistent,recovery,4.0,connected_correlation,-0.0014278824955908306,-0.027502617945326286,0.02324280753968255,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,1.0,connected_correlation,-0.01380738811728395,-0.032734375,0.0014183063271604975,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,2.0,connected_correlation,-0.0036213447612338024,-0.01998884677411625,0.010416172432137103,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,3.0,connected_correlation,-0.0014957686115026235,-0.010882676082530738,0.006777164816772378,6.0,6.0,0.0,10000.0
qwen,field_scrambled,baseline,4.0,connected_correlation,-0.014108341600529104,-0.0355200892857143,0.004148892195767188,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,1.0,connected_correlation,-0.011168016975308642,-0.02495129243827161,0.007826967592592592,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,2.0,connected_correlation,0.0016552889248767945,-0.008595196759259257,0.011633042380325002,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,3.0,connected_correlation,-0.005540476837170152,-0.020371545518166164,0.005236100803333704,6.0,6.0,0.0,10000.0
qwen,field_scrambled,disruption,4.0,connected_correlation,-0.001953069885361566,-0.03243121693121696,0.0296343143738977,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,1.0,connected_correlation,-0.011324266975308648,-0.02475163966049382,0.0035349151234567865,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,2.0,connected_correlation,-0.006796365107902695,-0.015600842551420002,0.0022947241131118,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,3.0,connected_correlation,-0.0035328680457677604,-0.01345936961670973,0.005635717641531586,6.0,6.0,0.0,10000.0
qwen,field_scrambled,recovery,4.0,connected_correlation,-0.0015247740299823658,-0.02806356095679013,0.02363928847001764,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,1.0,connected_correlation,-0.008682002314814818,-0.025671296296296303,0.0034939236111111104,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,2.0,connected_correlation,-0.0003677151191870364,-0.013246674550456245,0.012824786969940957,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,3.0,connected_correlation,-0.008218259998238194,-0.017873581992404665,-0.0013204311770808844,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,baseline,4.0,connected_correlation,-0.01219167493386244,-0.029739293981481493,0.005165338748346543,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,1.0,connected_correlation,-9.548611111111139e-05,-0.00028645833333333415,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,2.0,connected_correlation,-0.00010139895330112738,-0.00030419685990338213,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,3.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,disruption,4.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,recovery,1.0,connected_correlation,-0.00013117283950617254,-0.0003935185185185176,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,recovery,2.0,connected_correlation,-0.0001021423473869122,-0.00022593461791831242,0.0,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,recovery,3.0,connected_correlation,0.0008026485788113698,0.0,0.0024079457364341093,6.0,6.0,0.0,10000.0
qwen,nominal_markovized,recovery,4.0,connected_correlation,0.0,0.0,0.0,6.0,6.0,0.0,10000.0
