phase,temporal_window,binder_cumulant,magnetization_second_moment,magnetization_fourth_moment,near_zero_denominator,window_updates,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,full_phase,-12.333333333333332,0.00078125,2.44140625e-05,False,240,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,early_half,-5.666666666666666,0.0015625,4.8828125e-05,False,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,scrambled_memory,16
baseline,full_phase,-0.3061224489795915,0.009114583333333334,0.0003255208333333333,False,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,0.012345679012345734,0.0140625,0.0005859375,False,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,-0.25,0.004166666666666667,6.510416666666667e-05,False,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,full_phase,,0.0,0.0,True,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,early_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,full_phase,-1.4242424242424239,0.0021484375,3.35693359375e-05,False,240,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,early_half,-1.2222222222222219,0.00234375,3.662109375e-05,False,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
recovery,late_half,-1.6666666666666665,0.001953125,3.0517578125e-05,False,120,qwen,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,markovized,16
baseline,full_phase,-0.3061224489795915,0.009114583333333334,0.0003255208333333333,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,early_half,0.012345679012345734,0.0140625,0.0005859375,False,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,late_half,-0.25,0.004166666666666667,6.510416666666667e-05,False,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,full_phase,-6.1827372868567965,0.0091796875,0.0018157958984375,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,early_half,-2.7956204379562046,0.017838541666666666,0.0036234537760416667,False,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
disruption,late_half,-9.0,0.0005208333333333333,8.138020833333333e-06,False,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,full_phase,-3.773662551440329,0.003515625,0.000177001953125,False,240,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,early_half,-1.3868312757201644,0.00703125,0.00035400390625,False,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_markovized,field_markovized,markovized,16
baseline,full_phase,-2.140740740740741,0.005859375,0.000323486328125,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,early_half,-0.5703703703703704,0.01171875,0.00064697265625,False,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,full_phase,-8.198751300728405,0.008072916666666667,0.0017985026041666666,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,early_half,-3.5993756503642027,0.016145833333333335,0.003597005208333333,False,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,full_phase,-10.875,0.0020833333333333333,0.00015462239583333333,False,240,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,early_half,-4.9375,0.004166666666666667,0.00030924479166666665,False,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,full_phase,-3.9905482041587907,0.0044921875,0.0003021240234375,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,early_half,-1.4952741020793954,0.008984375,0.000604248046875,False,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,full_phase,-8.198751300728405,0.008072916666666667,0.0017985026041666666,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,early_half,-3.5993756503642027,0.016145833333333335,0.003597005208333333,False,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,full_phase,-10.875,0.0020833333333333333,0.00015462239583333333,False,240,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,early_half,-4.9375,0.004166666666666667,0.00030924479166666665,False,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,full_phase,-0.7483234714003943,0.0126953125,0.0008453369140625,False,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,0.012196594614176992,0.023697916666666666,0.0016642252604166666,False,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,-2.076923076923077,0.0016927083333333334,2.6448567708333334e-05,False,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,full_phase,,0.0,0.0,True,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,early_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,full_phase,,0.0,0.0,True,240,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,early_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,16
baseline,full_phase,-0.7483234714003943,0.0126953125,0.0008453369140625,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,early_half,0.012196594614176992,0.023697916666666666,0.0016642252604166666,False,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,late_half,-2.076923076923077,0.0016927083333333334,2.6448567708333334e-05,False,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,full_phase,-3.375,0.0020833333333333333,5.6966145833333334e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,early_half,-5.25,0.0020833333333333333,8.138020833333333e-05,False,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
disruption,late_half,-1.5,0.0020833333333333333,3.255208333333333e-05,False,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,full_phase,-4.866666666666667,0.001953125,6.7138671875e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,early_half,-1.9333333333333336,0.00390625,0.00013427734375,False,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,16
baseline,full_phase,-1.2701280571290505,0.012565104166666667,0.0010752360026041667,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,early_half,-0.13506402856452526,0.025130208333333334,0.0021504720052083334,False,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,full_phase,-11.5,0.0010416666666666667,4.0690104166666664e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,early_half,-5.25,0.0020833333333333333,8.138020833333333e-05,False,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,full_phase,-10.200000000000001,0.0013020833333333333,5.6966145833333334e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,early_half,-4.6000000000000005,0.0026041666666666665,0.00011393229166666667,False,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,16
baseline,full_phase,-1.116284250389842,0.017447916666666667,0.0019327799479166667,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,early_half,-0.05814212519492101,0.034895833333333334,0.0038655598958333335,False,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,full_phase,-1.4999999999999996,0.003125,7.32421875e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,early_half,-0.24999999999999978,0.00625,0.000146484375,False,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,full_phase,-6.4074074074074066,0.001171875,3.0517578125e-05,False,240,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,early_half,-2.7037037037037033,0.00234375,6.103515625e-05,False,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,16
baseline,full_phase,-2.944773175542406,0.0025390625,7.62939453125e-05,False,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,-0.972386587771203,0.005078125,0.000152587890625,False,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,full_phase,,0.0,0.0,True,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,early_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,full_phase,-3.7058823529411775,0.0011067708333333333,1.7293294270833333e-05,False,240,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,early_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
recovery,late_half,-1.3529411764705888,0.0022135416666666666,3.4586588541666666e-05,False,120,qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,16
baseline,full_phase,-2.944773175542406,0.0025390625,7.62939453125e-05,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,early_half,-0.972386587771203,0.005078125,0.000152587890625,False,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,full_phase,-3.316704518756363,0.007356770833333333,0.0007008870442708333,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,early_half,-2.1568998109640827,0.011979166666666667,0.0013590494791666666,False,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
disruption,late_half,-0.9047619047619049,0.002734375,4.2724609375e-05,False,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,full_phase,-4.630987088713036,0.0031901041666666666,0.00017191569010416668,False,240,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,early_half,-4.9375,0.004166666666666667,0.00030924479166666665,False,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
recovery,late_half,-1.3529411764705888,0.0022135416666666666,3.4586588541666666e-05,False,120,qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,16
baseline,full_phase,-2.11873468478503,0.004361979166666667,0.00017801920572916666,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,early_half,-0.559367342392515,0.008723958333333334,0.0003560384114583333,False,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,full_phase,-9.0,0.0046875,0.0006591796875,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,early_half,-4.0,0.009375,0.001318359375,False,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,full_phase,-10.875,0.0020833333333333333,0.00015462239583333333,False,240,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,early_half,-4.9375,0.004166666666666667,0.00030924479166666665,False,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,16
baseline,full_phase,-2.286411950588912,0.003841145833333333,0.00014546712239583333,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,early_half,-0.6432059752944559,0.007682291666666666,0.00029093424479166666,False,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,full_phase,-3.316704518756363,0.007356770833333333,0.0007008870442708333,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,early_half,-1.1583522593781814,0.014713541666666666,0.0014017740885416666,False,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
disruption,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,full_phase,-1.8973541002064183,0.004752604166666666,0.00019632975260416667,False,240,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,early_half,-0.44867705010320913,0.009505208333333333,0.00039265950520833335,False,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
recovery,late_half,,0.0,0.0,True,120,qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,16
baseline,full_phase,-0.044628099173553926,0.007161458333333333,0.00016072591145833333,False,240,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,early_half,0.32858350440768014,0.011848958333333333,0.00028279622395833336,False,120,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
baseline,late_half,-1.1052631578947372,0.0024739583333333332,3.865559895833333e-05,False,120,qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,16
