model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters
granite,field_markovized,baseline,6,3,0,0,0.0,0.0,6
granite,field_markovized,baseline,6,4,0,0,0.0,0.0,6
granite,field_markovized,baseline,6,5,0,0,0.0,0.0,6
granite,field_markovized,baseline,6,6,0,0,0.05999999999999998,0.14696938456699063,6
granite,field_markovized,baseline,6,7,0,0,0.0,0.0,6
granite,field_markovized,baseline,6,8,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,9,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,10,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,12,0,1,-0.027500000000000007,0.06736096792653741,6
granite,field_markovized,baseline,6,13,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,14,0,1,0.0,0.0,6
granite,field_markovized,baseline,6,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,7,0,0,0,-0.008506944444444442,0.020837673159093004,6
granite,field_markovized,baseline,7,1,0,0,-0.002731481481481481,0.006690735871491087,6
granite,field_markovized,baseline,7,2,0,0,0.0,0.0,6
granite,field_markovized,baseline,7,3,0,0,0.06635416666666667,0.1625338506409255,6
granite,field_markovized,baseline,7,4,0,0,-0.09287037037037038,0.22748501963069703,6
granite,field_markovized,baseline,7,5,0,0,-0.024386574074074085,0.059734663056066645,6
granite,field_markovized,baseline,7,6,0,0,0.0,0.0,6
granite,field_markovized,baseline,7,7,0,0,0.27494212962962966,0.4400670859716811,6
granite,field_markovized,baseline,7,8,0,1,0.006828703703703704,0.01672683967872772,6
granite,field_markovized,baseline,7,9,0,1,0.004097222222222222,0.010036103807236631,6
granite,field_markovized,baseline,7,10,0,1,-0.0073726851851852,0.01805931673788064,6
granite,field_markovized,baseline,7,11,0,1,0.0,0.0,6
granite,field_markovized,baseline,7,12,0,1,-0.006574074074074076,0.020382845506614188,6
granite,field_markovized,baseline,7,13,0,1,0.005104166666666669,0.01250260389545581,6
granite,field_markovized,baseline,7,14,0,1,-0.005671296296296295,0.013891782106062001,6
granite,field_markovized,baseline,7,15,0,1,0.0,0.0,6
granite,field_markovized,baseline,8,0,1,0,0.0,0.0,6
granite,field_markovized,baseline,8,1,1,0,-0.005439814814814814,0.01332477059152886,6
granite,field_markovized,baseline,8,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,8,3,1,0,0.0,0.0,6
granite,field_markovized,baseline,8,4,1,0,-0.009953703703703696,0.024381495124925132,6
granite,field_markovized,baseline,8,5,1,0,0.0,0.0,6
granite,field_markovized,baseline,8,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,8,7,1,0,0.006828703703703704,0.01672683967872772,6
granite,field_markovized,baseline,8,8,1,1,0.013599537037037016,0.033311926478822106,6
granite,field_markovized,baseline,8,9,1,1,0.008159722222222202,0.019987155887293245,6
granite,field_markovized,baseline,8,10,1,1,0.0,0.0,6
granite,field_markovized,baseline,8,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,8,12,1,1,0.002719907407407407,0.00666238529576443,6
granite,field_markovized,baseline,8,13,1,1,0.0,0.0,6
granite,field_markovized,baseline,8,14,1,1,0.0,0.0,6
granite,field_markovized,baseline,8,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,9,0,1,0,0.0,0.0,6
granite,field_markovized,baseline,9,1,1,0,-0.005486111111111136,0.013438172894435552,6
granite,field_markovized,baseline,9,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,9,3,1,0,0.0,0.0,6
granite,field_markovized,baseline,9,4,1,0,-0.005972222222222222,0.014628897074955089,6
granite,field_markovized,baseline,9,5,1,0,0.0,0.0,6
granite,field_markovized,baseline,9,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,9,7,1,0,0.004097222222222222,0.010036103807236631,6
granite,field_markovized,baseline,9,8,1,1,0.008159722222222202,0.019987155887293245,6
granite,field_markovized,baseline,9,9,1,1,0.008229166666666676,0.02015725934165326,6
granite,field_markovized,baseline,9,10,1,1,0.0,0.0,6
granite,field_markovized,baseline,9,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,9,12,1,1,0.0027430555555555403,0.006719086447217708,6
granite,field_markovized,baseline,9,13,1,1,0.0,0.0,6
granite,field_markovized,baseline,9,14,1,1,0.0,0.0,6
granite,field_markovized,baseline,9,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,10,0,1,0,0.03385416666666665,0.08292543400047213,6
granite,field_markovized,baseline,10,1,1,0,0.0,0.0,6
granite,field_markovized,baseline,10,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,10,3,1,0,-0.018506944444444444,0.04533257058692479,6
granite,field_markovized,baseline,10,4,1,0,0.0,0.0,6
granite,field_markovized,baseline,10,5,1,0,0.01297453703703703,0.03178099538958265,6
granite,field_markovized,baseline,10,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,10,7,1,0,-0.0073726851851852,0.01805931673788064,6
granite,field_markovized,baseline,10,8,1,1,0.0,0.0,6
granite,field_markovized,baseline,10,9,1,1,0.0,0.0,6
granite,field_markovized,baseline,10,10,1,1,0.034155092592592584,0.08366254896936523,6
granite,field_markovized,baseline,10,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,10,12,1,1,0.034004629629629635,0.08329399148491873,6
granite,field_markovized,baseline,10,13,1,1,-0.023645833333333328,0.05792022620956056,6
granite,field_markovized,baseline,10,14,1,1,0.026273148148148146,0.06435580689951174,6
granite,field_markovized,baseline,10,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,0,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,1,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,3,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,4,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,5,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,7,1,0,0.0,0.0,6
granite,field_markovized,baseline,11,8,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,9,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,10,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,12,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,13,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,14,1,1,0.0,0.0,6
granite,field_markovized,baseline,11,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,12,0,1,0,0.03910879629629629,0.08823544996720785,6
granite,field_markovized,baseline,12,1,1,0,-0.0027546296296296346,0.006747437022944415,6
granite,field_markovized,baseline,12,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,12,3,1,0,-0.019930555555555556,0.04881969140130362,6
granite,field_markovized,baseline,12,4,1,0,-0.0019907407407407374,0.0048762990249850225,6
granite,field_markovized,baseline,12,5,1,0,0.015254629629629627,0.037366058807734116,6
granite,field_markovized,baseline,12,6,1,0,-0.027500000000000007,0.06736096792653741,6
granite,field_markovized,baseline,12,7,1,0,-0.006574074074074076,0.020382845506614188,6
granite,field_markovized,baseline,12,8,1,1,0.002719907407407407,0.00666238529576443,6
granite,field_markovized,baseline,12,9,1,1,0.0027430555555555403,0.006719086447217708,6
granite,field_markovized,baseline,12,10,1,1,0.034004629629629635,0.08329399148491873,6
granite,field_markovized,baseline,12,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,12,12,1,1,0.11479166666666668,0.12417528866410911,6
granite,field_markovized,baseline,12,13,1,1,-0.023541666666666666,0.05766507102802064,6
granite,field_markovized,baseline,12,14,1,1,0.026157407407407424,0.06407230114224521,6
granite,field_markovized,baseline,12,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,13,0,1,0,-0.0919097222222222,0.16605724083519,6
granite,field_markovized,baseline,13,1,1,0,-0.007986111111111116,0.019561897251393446,6
granite,field_markovized,baseline,13,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,13,3,1,0,0.0128125,0.03138408732940947,6
granite,field_markovized,baseline,13,4,1,0,0.0,0.0,6
granite,field_markovized,baseline,13,5,1,0,-0.0038541666666666585,0.009440741716976812,6
granite,field_markovized,baseline,13,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,13,7,1,0,0.005104166666666669,0.01250260389545581,6
granite,field_markovized,baseline,13,8,1,1,0.0,0.0,6
granite,field_markovized,baseline,13,9,1,1,0.0,0.0,6
granite,field_markovized,baseline,13,10,1,1,-0.023645833333333328,0.05792022620956056,6
granite,field_markovized,baseline,13,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,13,12,1,1,-0.023541666666666666,0.05766507102802064,6
granite,field_markovized,baseline,13,13,1,1,0.18697916666666667,0.3915566722763982,6
granite,field_markovized,baseline,13,14,1,1,-0.023958333333333342,0.05868569175418033,6
granite,field_markovized,baseline,13,15,1,1,-0.1275,0.3123099422048552,6
granite,field_markovized,baseline,14,0,1,0,0.026041666666666685,0.06378879538497864,6
granite,field_markovized,baseline,14,1,1,0,0.0,0.0,6
granite,field_markovized,baseline,14,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,14,3,1,0,-0.05140046296296297,0.09073782798376835,6
granite,field_markovized,baseline,14,4,1,0,0.0,0.0,6
granite,field_markovized,baseline,14,5,1,0,0.006134259259259256,0.015025805135128283,6
granite,field_markovized,baseline,14,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,14,7,1,0,-0.005671296296296295,0.013891782106062001,6
granite,field_markovized,baseline,14,8,1,1,0.0,0.0,6
granite,field_markovized,baseline,14,9,1,1,0.0,0.0,6
granite,field_markovized,baseline,14,10,1,1,0.026273148148148146,0.06435580689951174,6
granite,field_markovized,baseline,14,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,14,12,1,1,0.026157407407407424,0.06407230114224521,6
granite,field_markovized,baseline,14,13,1,1,-0.023958333333333342,0.05868569175418033,6
granite,field_markovized,baseline,14,14,1,1,0.07521990740740742,0.12376746055167111,6
granite,field_markovized,baseline,14,15,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,0,1,0,0.08861111111111113,0.2170520077632872,6
granite,field_markovized,baseline,15,1,1,0,0.006250000000000001,0.015309310892394866,6
granite,field_markovized,baseline,15,2,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,3,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,4,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,5,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,6,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,7,1,0,0.0,0.0,6
granite,field_markovized,baseline,15,8,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,9,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,10,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,11,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,12,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,13,1,1,-0.1275,0.3123099422048552,6
granite,field_markovized,baseline,15,14,1,1,0.0,0.0,6
granite,field_markovized,baseline,15,15,1,1,0.165,0.4041658075592243,6
granite,field_markovized,disruption,0,0,0,0,0.12442129629629632,0.19275264338763767,6
granite,field_markovized,disruption,0,1,0,0,0.0,0.0,6
granite,field_markovized,disruption,0,2,0,0,0.005787037037037035,0.01417528786332857,6
granite,field_markovized,disruption,0,3,0,0,0.0,0.0,6
granite,field_markovized,disruption,0,4,0,0,-0.009953703703703706,0.024381495124925157,6
granite,field_markovized,disruption,0,5,0,0,0.0,0.0,6
granite,field_markovized,disruption,0,6,0,0,0.0,0.0,6
granite,field_markovized,disruption,0,7,0,0,-0.007465277777777779,0.018286121343693867,6
granite,field_markovized,disruption,0,8,0,1,-0.032349537037037045,0.07923985915600675,6
granite,field_markovized,disruption,0,9,0,1,0.02314814814814814,0.05670115145331428,6
granite,field_markovized,disruption,0,10,0,1,0.05324074074074075,0.13041264834262292,6
granite,field_markovized,disruption,0,11,0,1,0.026446759259259253,0.07234245356431976,6
granite,field_markovized,disruption,0,12,0,1,0.06481481481481481,0.110957286460711,6
granite,field_markovized,disruption,0,13,0,1,-0.06134259259259258,0.15025805135128287,6
granite,field_markovized,disruption,0,14,0,1,-0.07031250000000001,0.13890516397699304,6
granite,field_markovized,disruption,0,15,0,1,0.0,0.0,6
granite,field_markovized,disruption,1,0,0,0,0.0,0.0,6
granite,field_markovized,disruption,1,1,0,0,0.2569791666666667,0.3682606235581343,6
granite,field_markovized,disruption,1,2,0,0,0.0,0.0,6
granite,field_markovized,disruption,1,3,0,0,0.015138888888888905,0.03708255305046759,6
granite,field_markovized,disruption,1,4,0,0,0.026597222222222234,0.07385534691895043,6
granite,field_markovized,disruption,1,5,0,0,-0.006388888888888888,0.015649517801114746,6
granite,field_markovized,disruption,1,6,0,0,0.030972222222222234,0.07586614064453458,6
granite,field_markovized,disruption,1,7,0,0,0.0326388888888889,0.12144319278606801,6
granite,field_markovized,disruption,1,8,0,1,-0.07726851851851853,0.08485925469267266,6
granite,field_markovized,disruption,1,9,0,1,-0.038171296296296287,0.09350019874651527,6
granite,field_markovized,disruption,1,10,0,1,-0.011620370370370378,0.16964991337161325,6
granite,field_markovized,disruption,1,11,0,1,-0.03364583333333334,0.08241512363739235,6
granite,field_markovized,disruption,1,12,0,1,-0.05410879629629629,0.08392551647801055,6
granite,field_markovized,disruption,1,13,0,1,0.035324074074074084,0.08652595711775765,6
granite,field_markovized,disruption,1,14,0,1,0.10541666666666667,0.25821704371839344,6
granite,field_markovized,disruption,1,15,0,1,0.01270833333333334,0.11470963577713712,6
granite,field_markovized,disruption,2,0,0,0,0.005787037037037035,0.01417528786332857,6
granite,field_markovized,disruption,2,1,0,0,0.0,0.0,6
granite,field_markovized,disruption,2,2,0,0,0.05092592592592591,0.12474253319729145,6
granite,field_markovized,disruption,2,3,0,0,0.0,0.0,6
granite,field_markovized,disruption,2,4,0,0,0.0,0.0,6
granite,field_markovized,disruption,2,5,0,0,0.0,0.0,6
granite,field_markovized,disruption,2,6,0,0,0.0,0.0,6
granite,field_markovized,disruption,2,7,0,0,-0.000694444444444442,0.0017010345435994232,6
granite,field_markovized,disruption,2,8,0,1,0.0,0.0,6
granite,field_markovized,disruption,2,9,0,1,0.037037037037037035,0.09072184232530289,6
granite,field_markovized,disruption,2,10,0,1,0.0,0.0,6
granite,field_markovized,disruption,2,11,0,1,-0.00023148148148149916,0.0005670115145331864,6
granite,field_markovized,disruption,2,12,0,1,0.01967592592592593,0.048195978735317176,6
granite,field_markovized,disruption,2,13,0,1,-0.006481481481481495,0.01587632240692804,6
granite,field_markovized,disruption,2,14,0,1,-0.0011574074074074219,0.0028350575726657505,6
granite,field_markovized,disruption,2,15,0,1,0.0,0.0,6
granite,field_markovized,disruption,3,0,0,0,0.0,0.0,6
granite,field_markovized,disruption,3,1,0,0,0.015138888888888905,0.03708255305046759,6
granite,field_markovized,disruption,3,2,0,0,0.0,0.0,6
granite,field_markovized,disruption,3,3,0,0,0.016250000000000004,0.03980420832022666,6
granite,field_markovized,disruption,3,4,0,0,0.01618055555555557,0.03963410486586673,6
granite,field_markovized,disruption,3,5,0,0,0.0,0.0,6
granite,field_markovized,disruption,3,6,0,0,0.0,0.0,6
granite,field_markovized,disruption,3,7,0,0,0.01541666666666667,0.03776296686790734,6
granite,field_markovized,disruption,3,8,0,1,-0.01597222222222224,0.03912379450278691,6
granite,field_markovized,disruption,3,9,0,1,0.0,0.0,6
granite,field_markovized,disruption,3,10,0,1,-0.01236111111111111,0.030278414876069838,6
granite,field_markovized,disruption,3,11,0,1,0.0,0.0,6
granite,field_markovized,disruption,3,12,0,1,-0.00708333333333333,0.017350552344714172,6
granite,field_markovized,disruption,3,13,0,1,0.015694444444444455,0.038443380685347125,6
granite,field_markovized,disruption,3,14,0,1,0.0,0.0,6
granite,field_markovized,disruption,3,15,0,1,0.0,0.0,6
granite,field_markovized,disruption,4,0,0,0,-0.009953703703703706,0.024381495124925157,6
granite,field_markovized,disruption,4,1,0,0,0.026597222222222234,0.07385534691895043,6
granite,field_markovized,disruption,4,2,0,0,0.0,0.0,6
granite,field_markovized,disruption,4,3,0,0,0.01618055555555557,0.03963410486586673,6
granite,field_markovized,disruption,4,4,0,0,0.08043981481481483,0.071436547357455,6
granite,field_markovized,disruption,4,5,0,0,0.015902777777777783,0.03895369104842695,6
granite,field_markovized,disruption,4,6,0,0,0.021111111111111098,0.05171145012542262,6
granite,field_markovized,disruption,4,7,0,0,0.04701388888888889,0.07578680654504646,6
granite,field_markovized,disruption,4,8,0,1,0.006539351851851847,0.09974663521068725,6
granite,field_markovized,disruption,4,9,0,1,-0.01796296296296296,0.04400009352777189,6
granite,field_markovized,disruption,4,10,0,1,0.02128472222222222,0.09252481054900694,6
granite,field_markovized,disruption,4,11,0,1,-0.020462962962962957,0.03816859394562508,6
granite,field_markovized,disruption,4,12,0,1,-0.024699074074074078,0.033096894863241744,6
granite,field_markovized,disruption,4,13,0,1,0.018310185185185197,0.04485061079957165,6
granite,field_markovized,disruption,4,14,0,1,-0.008692129629629628,0.053355760921462186,6
granite,field_markovized,disruption,4,15,0,1,0.04868055555555556,0.07652048009165123,6
granite,field_markovized,disruption,5,0,0,0,0.0,0.0,6
granite,field_markovized,disruption,5,1,0,0,-0.006388888888888888,0.015649517801114746,6
granite,field_markovized,disruption,5,2,0,0,0.0,0.0,6
granite,field_markovized,disruption,5,3,0,0,0.0,0.0,6
granite,field_markovized,disruption,5,4,0,0,0.015902777777777783,0.03895369104842695,6
granite,field_markovized,disruption,5,5,0,0,0.02984953703703702,0.046515346943627175,6
granite,field_markovized,disruption,5,6,0,0,0.0,0.0,6
granite,field_markovized,disruption,5,7,0,0,0.003912037037037038,0.053008298956205444,6
granite,field_markovized,disruption,5,8,0,1,0.0018171296296296362,0.05381044578295255,6
granite,field_markovized,disruption,5,9,0,1,0.012384259259259253,0.03033511602752314,6
granite,field_markovized,disruption,5,10,0,1,0.01604166666666666,0.039293897957146794,6
granite,field_markovized,disruption,5,11,0,1,0.0,0.0,6
granite,field_markovized,disruption,5,12,0,1,0.0,0.0,6
granite,field_markovized,disruption,5,13,0,1,0.0,0.0,6
granite,field_markovized,disruption,5,14,0,1,0.003518518518518523,0.044170306162648,6
granite,field_markovized,disruption,5,15,0,1,0.015138888888888905,0.0370825530504676,6
granite,field_markovized,disruption,6,0,0,0,0.0,0.0,6
granite,field_markovized,disruption,6,1,0,0,0.030972222222222234,0.07586614064453458,6
granite,field_markovized,disruption,6,2,0,0,0.0,0.0,6
granite,field_markovized,disruption,6,3,0,0,0.0,0.0,6
granite,field_markovized,disruption,6,4,0,0,0.021111111111111098,0.05171145012542262,6
granite,field_markovized,disruption,6,5,0,0,0.0,0.0,6
granite,field_markovized,disruption,6,6,0,0,0.031666666666666655,0.07756717518813395,6
granite,field_markovized,disruption,6,7,0,0,0.0,0.0,6
granite,field_markovized,disruption,6,8,0,1,-0.019444444444444445,0.04762896722078402,6
granite,field_markovized,disruption,6,9,0,1,-0.026944444444444438,0.06600014029165784,6
granite,field_markovized,disruption,6,10,0,1,0.030555555555555558,0.07484551991837489,6
granite,field_markovized,disruption,6,11,0,1,-0.023750000000000004,0.058175381391100484,6
granite,field_markovized,disruption,6,12,0,1,-0.01986111111111111,0.04864958794694368,6
granite,field_markovized,disruption,6,13,0,1,0.0,0.0,6
granite,field_markovized,disruption,6,14,0,1,0.0,0.0,6
granite,field_markovized,disruption,6,15,0,1,0.031388888888888876,0.07688676137069415,6
granite,field_markovized,disruption,7,0,0,0,-0.007465277777777779,0.018286121343693867,6
granite,field_markovized,disruption,7,1,0,0,0.0326388888888889,0.12144319278606801,6
granite,field_markovized,disruption,7,2,0,0,-0.000694444444444442,0.0017010345435994232,6
granite,field_markovized,disruption,7,3,0,0,0.01541666666666667,0.03776296686790734,6
granite,field_markovized,disruption,7,4,0,0,0.04701388888888889,0.07578680654504646,6
granite,field_markovized,disruption,7,5,0,0,0.003912037037037038,0.053008298956205444,6
granite,field_markovized,disruption,7,6,0,0,0.0,0.0,6
granite,field_markovized,disruption,7,7,0,0,0.16721064814814815,0.19202181476843982,6
granite,field_markovized,disruption,7,8,0,1,0.03067129629629628,0.12295218936375868,6
granite,field_markovized,disruption,7,9,0,1,-0.0647685185185185,0.15063245439437153,6
granite,field_markovized,disruption,7,10,0,1,-0.013333333333333336,0.11725684059647293,6
granite,field_markovized,disruption,7,11,0,1,0.0027430555555555403,0.006719086447217708,6
granite,field_markovized,disruption,7,12,0,1,-0.026631944444444444,0.05107531487276267,6
