model_key,cluster_id,panel_id,condition,memory_mode,updates,total_displayed_memory_entries,mean_entries_per_prompt,mean_memory_characters_per_prompt,sd_memory_characters_per_prompt,memory_characters_q05,memory_characters_q50,memory_characters_q95,mean_prompt_tokens,sd_prompt_tokens,prompt_token_q05,prompt_token_q50,prompt_token_q95,belief_amber_fraction_in_memory,belief_cobalt_fraction_in_memory,action_amber_fraction_in_memory,action_cobalt_fraction_in_memory,memory_stable_fraction,memory_evidence_amber_fraction,memory_evidence_cobalt_fraction,memory_conflict_fraction,memory_uncertain_fraction,digest_matches,entry_count_matches,character_count_matches,future_information_violations,all_entries_reconstructed,donor_agent_state_used_by_construction,peer_private_state_used_by_construction
qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,156.26666666666668,30.29715602860141,102.9,162.0,168.0,605.8736111111111,45.29872258560387,556.0,610.0,673.0,0.501453488372093,0.498546511627907,0.4941860465116279,0.5058139534883721,0.0,0.2543604651162791,0.7325581395348837,0.0,0.01308139534883721,720,720,720,0,True,False,False
qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.68055555555554,28.24521394779256,93.9,151.0,163.0,601.9430555555556,44.55252194647423,554.0,607.0,666.0,0.48498062015503873,0.5150193798449613,0.5203488372093024,0.4796511627906977,0.1744186046511628,0.2243217054263566,0.2063953488372093,0.20155038759689922,0.1933139534883721,720,720,720,0,True,False,False
qwen,V15Q_g3,V15Q_g3_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.3847222222222,43.65263745215322,502.0,553.0,630.7999999999993,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g3,V15Q_g3_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.9041666666667,43.7042530544646,502.0,553.0,630.8999999999992,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g3,V15Q_g3_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,154.80416666666667,30.03816273417971,99.9,161.0,168.0,604.2736111111111,45.705276727514516,555.0,607.5,676.2499999999989,0.5087209302325582,0.49127906976744184,0.498546511627907,0.501453488372093,0.0,0.7441860465116279,0.24127906976744187,0.0,0.014534883720930232,720,720,720,0,True,False,False
qwen,V15Q_g3,V15Q_g3_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.73333333333332,28.098446049123808,94.95,150.0,162.04999999999995,602.1902777777777,45.31679452922455,555.0,607.0,672.5499999999986,0.4937015503875969,0.5062984496124031,0.4757751937984496,0.5242248062015504,0.2131782945736434,0.1875,0.19428294573643412,0.19476744186046513,0.21027131782945738,720,720,720,0,True,False,False
qwen,V15Q_g4,V15Q_g4_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,550.0208333333334,41.478863151213616,501.95,553.0,608.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g4,V15Q_g4_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,550.0638888888889,41.5634485081912,502.0,553.0,609.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g4,V15Q_g4_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,152.87083333333334,30.493871508595852,100.95,159.0,168.0,604.0236111111111,43.92031282285834,551.0,607.0,670.0,0.501453488372093,0.498546511627907,0.4941860465116279,0.5058139534883721,0.10610465116279069,0.5101744186046512,0.375,0.0,0.00872093023255814,720,720,720,0,True,False,False
qwen,V15Q_g4,V15Q_g4_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.59722222222223,28.111817125408532,93.0,150.0,163.0,602.2416666666667,43.630544448829106,553.0,607.0,667.0,0.49757751937984496,0.502422480620155,0.5348837209302325,0.46511627906976744,0.21996124031007752,0.20251937984496124,0.18556201550387597,0.1816860465116279,0.21027131782945738,720,720,720,0,True,False,False
qwen,V15Q_g5,V15Q_g5_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.5305555555556,40.96481287627913,502.95,554.0,608.05,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g5,V15Q_g5_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,549.5916666666667,41.0425666953927,502.0,554.0,610.0,,,,,,,,,,720,720,720,0,True,False,False
qwen,V15Q_g5,V15Q_g5_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,155.025,30.225429106518195,100.0,162.0,168.0,603.9069444444444,42.99268568767795,553.95,607.5,670.0,0.5043604651162791,0.4956395348837209,0.498546511627907,0.501453488372093,0.0188953488372093,0.5363372093023255,0.436046511627907,0.0,0.00872093023255814,720,720,720,0,True,False,False
qwen,V15Q_g5,V15Q_g5_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.87083333333334,27.95000970339774,96.95,150.0,161.0,601.6972222222222,42.658295477900836,554.0,607.0,666.0,0.4956395348837209,0.5043604651162791,0.500968992248062,0.499031007751938,0.18895348837209303,0.18943798449612403,0.19525193798449614,0.20784883720930233,0.2185077519379845,720,720,720,0,True,False,False
granite,V15G_g0,V15G_g0_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,602.9875,43.10837795199786,555.0,607.0,663.05,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g0,V15G_g0_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,603.3333333333334,43.30603969094255,555.0,608.0,665.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g0,V15G_g0_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,149.74166666666667,30.381669268462645,95.0,150.0,168.0,667.1652777777778,46.09111934265982,613.95,674.0,734.0,0.1380813953488372,0.8619186046511628,0.19767441860465115,0.8023255813953488,0.0,0.0625,0.40310077519379844,0.0,0.5343992248062015,720,720,720,0,True,False,False
granite,V15G_g0,V15G_g0_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.72083333333333,28.2705213044639,95.95,151.0,162.0,663.4388888888889,49.38280138344934,613.0,669.0,728.0,0.4617248062015504,0.5382751937984496,0.49612403100775193,0.5038759689922481,0.1690891472868217,0.2010658914728682,0.2189922480620155,0.21027131782945738,0.2005813953488372,720,720,720,0,True,False,False
granite,V15G_g1,V15G_g1_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,602.4777777777778,43.53068146391368,554.0,607.0,663.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g1,V15G_g1_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,603.1958333333333,43.94761370481571,554.95,608.0,663.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g1,V15G_g1_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,141.72916666666666,27.202945810681232,94.9,150.0,150.0,664.5041666666667,44.15407949940186,613.95,672.0,728.0,0.19040697674418605,0.809593023255814,0.20930232558139536,0.7906976744186046,0.0,0.0,0.0,0.0,1.0,720,720,720,0,True,False,False
granite,V15G_g1,V15G_g1_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.55694444444444,27.938280508499382,95.95,149.0,160.0,660.725,43.667754802114345,611.95,667.0,726.0,0.5033914728682171,0.49660852713178294,0.5077519379844961,0.49224806201550386,0.20881782945736435,0.1826550387596899,0.1933139534883721,0.19767441860465115,0.21753875968992248,720,720,720,0,True,False,False
granite,V15G_g2,V15G_g2_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,601.3166666666667,44.67318817039334,555.0,606.0,706.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g2,V15G_g2_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,601.7680555555555,45.061112347624686,555.0,607.0,705.05,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g2,V15G_g2_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,142.94166666666666,27.79483622407635,95.0,150.0,150.04999999999995,664.8277777777778,47.742859050606405,614.0,673.0,749.7999999999993,0.11482558139534883,0.8851744186046512,0.16715116279069767,0.8328488372093024,0.0,0.0,0.050872093023255814,0.0,0.9491279069767442,720,720,720,0,True,False,False
granite,V15G_g2,V15G_g2_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.0013888888889,28.187258749075955,93.0,150.0,162.0,661.0041666666667,47.516441594840444,612.0,667.0,744.149999999999,0.4888565891472868,0.5111434108527132,0.48643410852713176,0.5135658914728682,0.20300387596899225,0.20251937984496124,0.1923449612403101,0.18943798449612403,0.2126937984496124,720,720,720,0,True,False,False
granite,V15G_g3,V15G_g3_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,602.4777777777778,43.96191999355117,555.0,607.0,662.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g3,V15G_g3_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,602.6402777777778,44.205800032678184,555.0,607.0,665.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g3,V15G_g3_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,141.87083333333334,27.27592965720531,94.9,150.0,150.0,665.0472222222222,46.756410082353554,612.0,673.0,730.0,0.15261627906976744,0.8473837209302325,0.19767441860465115,0.8023255813953488,0.0,0.0,0.0,0.0,1.0,720,720,720,0,True,False,False
granite,V15G_g3,V15G_g3_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.51666666666668,28.136904527397224,94.0,149.0,161.0,661.5986111111112,46.57751101275603,613.0,668.0,728.0,0.5033914728682171,0.49660852713178294,0.49127906976744184,0.5087209302325582,0.19670542635658914,0.187984496124031,0.18023255813953487,0.2126937984496124,0.22238372093023256,720,720,720,0,True,False,False
granite,V15G_g4,V15G_g4_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,602.8180555555556,42.27927490647416,555.0,606.0,662.05,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g4,V15G_g4_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,603.5138888888889,42.763636384392825,554.0,607.0,665.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g4,V15G_g4_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,142.7375,27.65346325331861,95.0,150.0,150.0,666.3791666666667,45.48996874703694,615.0,674.0,730.0,0.10174418604651163,0.8982558139534884,0.16424418604651161,0.8357558139534884,0.0,0.0,0.036337209302325583,0.0,0.9636627906976745,720,720,720,0,True,False,False
granite,V15G_g4,V15G_g4_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,144.46666666666667,28.256898181753137,94.95,150.0,162.0,662.9666666666667,47.61197474461712,613.0,667.0,728.0,0.48691860465116277,0.5130813953488372,0.5174418604651163,0.48255813953488375,0.17781007751937986,0.21608527131782945,0.20397286821705427,0.21124031007751937,0.19089147286821706,720,720,720,0,True,False,False
granite,V15G_g5,V15G_g5_nominal_markovized,nominal_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,603.0152777777778,44.126774502758614,555.0,606.0,663.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g5,V15G_g5_field_markovized,field_markovized,markovized,720,0,0.0,0.0,0.0,0.0,0.0,0.0,603.6541666666667,44.615259735338746,555.0,607.0,664.0,,,,,,,,,,720,720,720,0,True,False,False
granite,V15G_g5,V15G_g5_field_persistent,field_persistent,persistent_memory,720,2064,2.8666666666666667,142.2375,27.287588753863908,95.0,150.0,150.0,666.2694444444444,46.91945170428323,615.0,673.0,730.0,0.10465116279069768,0.8953488372093024,0.15261627906976744,0.8473837209302325,0.0,0.0,0.005813953488372093,0.0,0.9941860465116279,720,720,720,0,True,False,False
granite,V15G_g5,V15G_g5_field_scrambled,field_scrambled,scrambled_memory,720,2064,2.8666666666666667,143.70277777777778,28.114815125609677,93.0,150.0,160.0,662.1986111111111,46.53101913946564,613.0,667.0,728.0,0.498546511627907,0.501453488372093,0.5,0.5,0.187984496124031,0.18071705426356588,0.19525193798449614,0.2238372093023256,0.21220930232558138,720,720,720,0,True,False,False
