representation,held_out_cluster,class,feature,standardized_coefficient
order_only,V14Q_g2,nominal,delta_belief_action_overlap,-0.04232030020267052
order_only,V14Q_g2,nominal,recovery_belief_action_overlap,0.011887461036301623
order_only,V14Q_g2,nominal,peak_belief_action_overlap,-0.04232030020267052
order_only,V14Q_g3,field_reversal,delta_belief_magnetization,0.01371608086923676
order_only,V14Q_g3,field_reversal,recovery_belief_magnetization,-0.16138321088941845
order_only,V14Q_g3,field_reversal,peak_belief_magnetization,-0.46676184163438794
order_only,V14Q_g3,field_reversal,delta_action_magnetization,0.11066262346211594
order_only,V14Q_g3,field_reversal,recovery_action_magnetization,-0.16924294429451286
order_only,V14Q_g3,field_reversal,peak_action_magnetization,0.31857003520716703
order_only,V14Q_g3,field_reversal,delta_belief_action_overlap,-0.04665766366872582
order_only,V14Q_g3,field_reversal,recovery_belief_action_overlap,-0.062092230866915836
order_only,V14Q_g3,field_reversal,peak_belief_action_overlap,0.11031124599007194
order_only,V14Q_g3,message_corruption,delta_belief_magnetization,-0.0032509070624390044
order_only,V14Q_g3,message_corruption,recovery_belief_magnetization,-0.012260579478241839
order_only,V14Q_g3,message_corruption,peak_belief_magnetization,0.06600050301215735
order_only,V14Q_g3,message_corruption,delta_action_magnetization,-0.027151426398884012
order_only,V14Q_g3,message_corruption,recovery_action_magnetization,-0.052656484954727925
order_only,V14Q_g3,message_corruption,peak_action_magnetization,-0.06701509745688929
order_only,V14Q_g3,message_corruption,delta_belief_action_overlap,0.015162897452417654
order_only,V14Q_g3,message_corruption,recovery_belief_action_overlap,0.02738612205914156
order_only,V14Q_g3,message_corruption,peak_belief_action_overlap,-0.039572769767478734
order_only,V14Q_g3,network_partition,delta_belief_magnetization,-0.10736270725870821
order_only,V14Q_g3,network_partition,recovery_belief_magnetization,0.3894690543692464
order_only,V14Q_g3,network_partition,peak_belief_magnetization,-0.03039615019563898
order_only,V14Q_g3,network_partition,delta_action_magnetization,-0.3455680146486396
order_only,V14Q_g3,network_partition,recovery_action_magnetization,0.4953903136366995
order_only,V14Q_g3,network_partition,peak_action_magnetization,-0.3005052726544398
order_only,V14Q_g3,network_partition,delta_belief_action_overlap,0.053653918794361495
order_only,V14Q_g3,network_partition,recovery_belief_action_overlap,0.06293870162623777
order_only,V14Q_g3,network_partition,peak_belief_action_overlap,0.017680224374886668
order_only,V14Q_g3,nominal,delta_belief_magnetization,0.09689753345191046
order_only,V14Q_g3,nominal,recovery_belief_magnetization,-0.215825264001586
order_only,V14Q_g3,nominal,peak_belief_magnetization,0.4311574888178694
order_only,V14Q_g3,nominal,delta_action_magnetization,0.26205681758540766
order_only,V14Q_g3,nominal,recovery_action_magnetization,-0.2734908843874588
order_only,V14Q_g3,nominal,peak_action_magnetization,0.048950334904162306
order_only,V14Q_g3,nominal,delta_belief_action_overlap,-0.02215915257805345
order_only,V14Q_g3,nominal,recovery_belief_action_overlap,-0.028232592818463582
order_only,V14Q_g3,nominal,peak_belief_action_overlap,-0.08841870059748005
order_only,V14Q_g4,field_reversal,delta_belief_magnetization,-0.04322273678536471
order_only,V14Q_g4,field_reversal,recovery_belief_magnetization,-0.1622298547453798
order_only,V14Q_g4,field_reversal,peak_belief_magnetization,-0.5923699586878791
order_only,V14Q_g4,field_reversal,delta_action_magnetization,0.10487036295294816
order_only,V14Q_g4,field_reversal,recovery_action_magnetization,-0.2786521980172726
order_only,V14Q_g4,field_reversal,peak_action_magnetization,0.2995038949822254
order_only,V14Q_g4,field_reversal,delta_belief_action_overlap,-0.02169500485856348
order_only,V14Q_g4,field_reversal,recovery_belief_action_overlap,0.09415932062884488
order_only,V14Q_g4,field_reversal,peak_belief_action_overlap,0.09415932062884488
order_only,V14Q_g4,message_corruption,delta_belief_magnetization,-0.01429363273240078
order_only,V14Q_g4,message_corruption,recovery_belief_magnetization,0.03874256162793789
order_only,V14Q_g4,message_corruption,peak_belief_magnetization,0.39433496618564134
order_only,V14Q_g4,message_corruption,delta_action_magnetization,-0.06263027843759739
order_only,V14Q_g4,message_corruption,recovery_action_magnetization,0.11672019206565878
order_only,V14Q_g4,message_corruption,peak_action_magnetization,0.05287398283558627
order_only,V14Q_g4,message_corruption,delta_belief_action_overlap,-0.025974797435000987
order_only,V14Q_g4,message_corruption,recovery_belief_action_overlap,-0.07749550237660974
order_only,V14Q_g4,message_corruption,peak_belief_action_overlap,-0.07749550237660974
order_only,V14Q_g4,network_partition,delta_belief_magnetization,0.0047638680636988544
order_only,V14Q_g4,network_partition,recovery_belief_magnetization,0.2395405832164405
order_only,V14Q_g4,network_partition,peak_belief_magnetization,-0.04665653226681835
order_only,V14Q_g4,network_partition,delta_action_magnetization,-0.14581183938375786
order_only,V14Q_g4,network_partition,recovery_action_magnetization,0.3593177023058689
order_only,V14Q_g4,network_partition,peak_action_magnetization,-0.1492723331961279
order_only,V14Q_g4,network_partition,delta_belief_action_overlap,0.04252362388384465
order_only,V14Q_g4,network_partition,recovery_belief_action_overlap,0.01059039503457854
order_only,V14Q_g4,network_partition,peak_belief_action_overlap,0.01059039503457854
order_only,V14Q_g4,nominal,delta_belief_magnetization,0.05275250145406666
order_only,V14Q_g4,nominal,recovery_belief_magnetization,-0.11605329009899855
order_only,V14Q_g4,nominal,peak_belief_magnetization,0.2446915247690561
order_only,V14Q_g4,nominal,delta_action_magnetization,0.1035717548684069
order_only,V14Q_g4,nominal,recovery_action_magnetization,-0.19738569635425518
order_only,V14Q_g4,nominal,peak_action_magnetization,-0.20310554462168368
order_only,V14Q_g4,nominal,delta_belief_action_overlap,0.005146178409719896
order_only,V14Q_g4,nominal,recovery_belief_action_overlap,-0.027254213286813607
order_only,V14Q_g4,nominal,peak_belief_action_overlap,-0.027254213286813607
order_only,V14Q_g5,field_reversal,delta_belief_magnetization,0.004429463727858758
order_only,V14Q_g5,field_reversal,recovery_belief_magnetization,-0.07674248322343441
order_only,V14Q_g5,field_reversal,peak_belief_magnetization,-0.395144034043126
order_only,V14Q_g5,field_reversal,delta_action_magnetization,0.06316491172276917
order_only,V14Q_g5,field_reversal,recovery_action_magnetization,-0.06329870962704161
order_only,V14Q_g5,field_reversal,peak_action_magnetization,0.28603724191535523
order_only,V14Q_g5,field_reversal,delta_belief_action_overlap,-0.01643092305047382
order_only,V14Q_g5,field_reversal,recovery_belief_action_overlap,-0.03479561960856452
order_only,V14Q_g5,field_reversal,peak_belief_action_overlap,0.09455927064030978
order_only,V14Q_g5,message_corruption,delta_belief_magnetization,-0.10693179791978556
order_only,V14Q_g5,message_corruption,recovery_belief_magnetization,0.050910819623340174
order_only,V14Q_g5,message_corruption,peak_belief_magnetization,-0.10661483861980392
order_only,V14Q_g5,message_corruption,delta_action_magnetization,-0.2749665216904128
order_only,V14Q_g5,message_corruption,recovery_action_magnetization,0.021474919571563385
order_only,V14Q_g5,message_corruption,peak_action_magnetization,-0.16408779174363095
order_only,V14Q_g5,message_corruption,delta_belief_action_overlap,0.07531842385986134
order_only,V14Q_g5,message_corruption,recovery_belief_action_overlap,0.0998144290663303
order_only,V14Q_g5,message_corruption,peak_belief_action_overlap,0.045746089259093375
order_only,V14Q_g5,network_partition,delta_belief_magnetization,0.002515144642959885
order_only,V14Q_g5,network_partition,recovery_belief_magnetization,0.13930406124788197
order_only,V14Q_g5,network_partition,peak_belief_magnetization,0.1778032236088142
order_only,V14Q_g5,network_partition,delta_action_magnetization,-0.059060427386153115
order_only,V14Q_g5,network_partition,recovery_action_magnetization,0.17718489653858377
order_only,V14Q_g5,network_partition,peak_action_magnetization,-0.19110412372213711
