run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,environment_seed,method,coverage,selected_actions,harm_rate,mean_causal_utility,beneficial_rate
v7-pilots_iteration3-utility_restoration-medium-low-high-medium-modular-private_fragmented-776105-always_act-event_triggered,utility_restoration,medium,low,high,medium,modular,776105,combined_generalized_entropic,0.6,43,0.813953488372093,3.666164703855363,0.18604651162790697
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,kpi_confidence,0.6,32,0.8125,-1.3527799619269056,0.1875
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,predictive_uncertainty,0.6,32,0.78125,1.6805910081153062,0.21875
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,shannon_js,0.6,32,0.8125,-1.985196153104233,0.1875
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,generalized_tsallis_gini,0.6,32,0.8125,-1.9859335813807215,0.1875
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,graph_disagreement,0.6,32,0.78125,1.659340839390014,0.21875
v7-pilots_iteration3-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-776103-always_act-event_triggered,utility_restoration,medium,medium,medium,medium,scale_free,776103,combined_generalized_entropic,0.6,32,0.8125,0.5191960126516868,0.1875
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,kpi_confidence,0.6,17,0.7647058823529411,0.8782619767840629,0.23529411764705882
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,predictive_uncertainty,0.6,17,0.7058823529411765,1.7056790978337175,0.29411764705882354
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,shannon_js,0.6,17,0.7647058823529411,1.0646147274803517,0.23529411764705882
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,generalized_tsallis_gini,0.6,17,0.7647058823529411,1.0638357686206243,0.23529411764705882
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,graph_disagreement,0.6,17,0.8235294117647058,-0.2737551614653053,0.17647058823529413
v7-pilots_iteration3-utility_restoration-small-high-high-high-modular-private_fragmented-776102-always_act-event_triggered,utility_restoration,small,high,high,high,modular,776102,combined_generalized_entropic,0.6,17,0.8235294117647058,-0.8745239415131985,0.17647058823529413
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,kpi_confidence,0.6,11,0.8181818181818182,3.066349705416029,0.18181818181818182
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,predictive_uncertainty,0.6,11,0.8181818181818182,3.0611712847039527,0.18181818181818182
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,shannon_js,0.6,11,0.8181818181818182,3.062649871569526,0.18181818181818182
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,generalized_tsallis_gini,0.6,11,0.9090909090909091,1.2323665323538522,0.09090909090909091
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,graph_disagreement,0.6,11,0.9090909090909091,1.8039852394849616,0.09090909090909091
v7-pilots_iteration3-utility_restoration-small-low-low-low-grid-private_fragmented-776101-always_act-event_triggered,utility_restoration,small,low,low,low,grid,776101,combined_generalized_entropic,0.6,11,0.8181818181818182,3.063710398813221,0.18181818181818182
