aggregation_level,application,scenario_name,environment_seed,category,union_agent_decision_epochs,divergent_agent_decision_epochs,divergent_agent_decision_epochs_percent,thermo_event_count,control_event_count
pair,commercial,unseen_correlated_partition,4102,operational_actions,109,2,1.834862385321101,0,2
pair,commercial,unseen_compound,4103,messages,106,55,51.886792452830186,85,80
pair,commercial,unseen_compound,4103,message_recipients,106,55,51.886792452830186,85,80
pair,commercial,unseen_compound,4103,negotiation_initiations,106,32,30.18867924528302,7,30
pair,commercial,unseen_compound,4103,offers,106,25,23.58490566037736,5,23
pair,commercial,unseen_compound,4103,counteroffers,106,0,0.0,0,0
pair,commercial,unseen_compound,4103,coalition_proposals,106,35,33.0188679245283,28,17
pair,commercial,unseen_compound,4103,coalition_memberships,106,0,0.0,0,0
pair,commercial,unseen_compound,4103,tool_calls,106,92,86.79245283018868,89,75
pair,commercial,unseen_compound,4103,operational_actions,106,2,1.8867924528301887,2,0
pair,commercial,unseen_correlated_partition,4103,messages,112,65,58.035714285714285,90,85
pair,commercial,unseen_correlated_partition,4103,message_recipients,112,65,58.035714285714285,90,85
pair,commercial,unseen_correlated_partition,4103,negotiation_initiations,112,36,32.142857142857146,4,34
pair,commercial,unseen_correlated_partition,4103,offers,112,29,25.892857142857142,3,27
pair,commercial,unseen_correlated_partition,4103,counteroffers,112,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4103,coalition_proposals,112,35,31.25,24,16
pair,commercial,unseen_correlated_partition,4103,coalition_memberships,112,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4103,tool_calls,112,95,84.82142857142857,84,89
pair,commercial,unseen_correlated_partition,4103,operational_actions,112,4,3.5714285714285716,3,1
pair,commercial,unseen_compound,4104,messages,99,63,63.63636363636363,90,83
pair,commercial,unseen_compound,4104,message_recipients,99,63,63.63636363636363,90,83
pair,commercial,unseen_compound,4104,negotiation_initiations,99,30,30.303030303030305,8,28
pair,commercial,unseen_compound,4104,offers,99,24,24.242424242424242,7,21
pair,commercial,unseen_compound,4104,counteroffers,99,0,0.0,0,0
pair,commercial,unseen_compound,4104,coalition_proposals,99,38,38.38383838383838,21,22
pair,commercial,unseen_compound,4104,coalition_memberships,99,0,0.0,0,0
pair,commercial,unseen_compound,4104,tool_calls,99,84,84.84848484848484,80,79
pair,commercial,unseen_compound,4104,operational_actions,99,3,3.0303030303030303,2,1
pair,commercial,unseen_correlated_partition,4104,messages,106,64,60.37735849056604,90,84
pair,commercial,unseen_correlated_partition,4104,message_recipients,106,64,60.37735849056604,90,84
pair,commercial,unseen_correlated_partition,4104,negotiation_initiations,106,33,31.132075471698112,4,35
pair,commercial,unseen_correlated_partition,4104,offers,106,28,26.41509433962264,3,30
pair,commercial,unseen_correlated_partition,4104,counteroffers,106,1,0.9433962264150944,0,1
pair,commercial,unseen_correlated_partition,4104,coalition_proposals,106,32,30.18867924528302,20,13
pair,commercial,unseen_correlated_partition,4104,coalition_memberships,106,0,0.0,0,0
pair,commercial,unseen_correlated_partition,4104,tool_calls,106,88,83.01886792452831,81,80
pair,commercial,unseen_correlated_partition,4104,operational_actions,106,5,4.716981132075472,2,3
pair,humanitarian,unseen_compound,4101,messages,102,55,53.92156862745098,90,90
pair,humanitarian,unseen_compound,4101,message_recipients,102,54,52.94117647058823,90,90
pair,humanitarian,unseen_compound,4101,negotiation_initiations,102,21,20.58823529411765,10,18
pair,humanitarian,unseen_compound,4101,offers,102,12,11.764705882352942,1,12
pair,humanitarian,unseen_compound,4101,counteroffers,102,0,0.0,0,0
pair,humanitarian,unseen_compound,4101,coalition_proposals,102,37,36.27450980392157,24,20
pair,humanitarian,unseen_compound,4101,coalition_memberships,102,0,0.0,0,0
pair,humanitarian,unseen_compound,4101,tool_calls,102,74,72.54901960784314,80,75
pair,humanitarian,unseen_compound,4101,operational_actions,102,1,0.9803921568627451,0,1
pair,humanitarian,unseen_correlated_partition,4101,messages,104,62,59.61538461538461,87,81
pair,humanitarian,unseen_correlated_partition,4101,message_recipients,104,60,57.69230769230769,87,81
pair,humanitarian,unseen_correlated_partition,4101,negotiation_initiations,104,35,33.65384615384615,25,21
pair,humanitarian,unseen_correlated_partition,4101,offers,104,18,17.307692307692307,9,13
pair,humanitarian,unseen_correlated_partition,4101,counteroffers,104,1,0.9615384615384616,0,1
pair,humanitarian,unseen_correlated_partition,4101,coalition_proposals,104,33,31.73076923076923,24,14
pair,humanitarian,unseen_correlated_partition,4101,coalition_memberships,104,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4101,tool_calls,104,90,86.53846153846153,75,87
pair,humanitarian,unseen_correlated_partition,4101,operational_actions,104,2,1.9230769230769231,0,2
pair,humanitarian,unseen_compound,4102,messages,97,55,56.70103092783505,89,88
pair,humanitarian,unseen_compound,4102,message_recipients,97,48,49.48453608247423,89,88
pair,humanitarian,unseen_compound,4102,negotiation_initiations,97,21,21.649484536082475,13,16
pair,humanitarian,unseen_compound,4102,offers,97,12,12.371134020618557,2,10
pair,humanitarian,unseen_compound,4102,counteroffers,97,0,0.0,0,0
pair,humanitarian,unseen_compound,4102,coalition_proposals,97,36,37.11340206185567,25,19
pair,humanitarian,unseen_compound,4102,coalition_memberships,97,0,0.0,0,0
pair,humanitarian,unseen_compound,4102,tool_calls,97,71,73.19587628865979,81,72
pair,humanitarian,unseen_compound,4102,operational_actions,97,3,3.0927835051546393,1,2
pair,humanitarian,unseen_correlated_partition,4102,messages,118,69,58.47457627118644,90,86
pair,humanitarian,unseen_correlated_partition,4102,message_recipients,118,69,58.47457627118644,90,86
pair,humanitarian,unseen_correlated_partition,4102,negotiation_initiations,118,31,26.271186440677965,17,27
pair,humanitarian,unseen_correlated_partition,4102,offers,118,17,14.40677966101695,6,16
pair,humanitarian,unseen_correlated_partition,4102,counteroffers,118,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4102,coalition_proposals,118,48,40.67796610169491,27,26
pair,humanitarian,unseen_correlated_partition,4102,coalition_memberships,118,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4102,tool_calls,118,108,91.52542372881356,95,74
pair,humanitarian,unseen_correlated_partition,4102,operational_actions,118,4,3.389830508474576,2,2
pair,humanitarian,unseen_compound,4103,messages,109,51,46.788990825688074,90,87
pair,humanitarian,unseen_compound,4103,message_recipients,109,48,44.03669724770642,90,87
pair,humanitarian,unseen_compound,4103,negotiation_initiations,109,25,22.93577981651376,11,20
pair,humanitarian,unseen_compound,4103,offers,109,14,12.844036697247706,2,13
pair,humanitarian,unseen_compound,4103,counteroffers,109,0,0.0,0,0
pair,humanitarian,unseen_compound,4103,coalition_proposals,109,39,35.77981651376147,26,18
pair,humanitarian,unseen_compound,4103,coalition_memberships,109,0,0.0,0,0
pair,humanitarian,unseen_compound,4103,tool_calls,109,74,67.88990825688073,80,72
pair,humanitarian,unseen_compound,4103,operational_actions,109,1,0.9174311926605505,0,1
pair,humanitarian,unseen_correlated_partition,4103,messages,103,63,61.16504854368932,89,83
pair,humanitarian,unseen_correlated_partition,4103,message_recipients,103,62,60.19417475728155,89,83
pair,humanitarian,unseen_correlated_partition,4103,negotiation_initiations,103,37,35.922330097087375,21,28
pair,humanitarian,unseen_correlated_partition,4103,offers,103,17,16.50485436893204,5,13
pair,humanitarian,unseen_correlated_partition,4103,counteroffers,103,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4103,coalition_proposals,103,39,37.86407766990291,22,20
pair,humanitarian,unseen_correlated_partition,4103,coalition_memberships,103,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4103,tool_calls,103,84,81.55339805825243,82,75
pair,humanitarian,unseen_correlated_partition,4103,operational_actions,103,2,1.941747572815534,1,1
pair,humanitarian,unseen_compound,4104,messages,99,48,48.484848484848484,89,87
pair,humanitarian,unseen_compound,4104,message_recipients,99,46,46.464646464646464,89,87
pair,humanitarian,unseen_compound,4104,negotiation_initiations,99,21,21.21212121212121,10,19
pair,humanitarian,unseen_compound,4104,offers,99,14,14.141414141414142,6,10
pair,humanitarian,unseen_compound,4104,counteroffers,99,0,0.0,0,0
pair,humanitarian,unseen_compound,4104,coalition_proposals,99,35,35.35353535353536,24,18
pair,humanitarian,unseen_compound,4104,coalition_memberships,99,0,0.0,0,0
pair,humanitarian,unseen_compound,4104,tool_calls,99,71,71.71717171717172,78,75
pair,humanitarian,unseen_compound,4104,operational_actions,99,1,1.0101010101010102,0,1
pair,humanitarian,unseen_correlated_partition,4104,messages,141,55,39.00709219858156,90,75
pair,humanitarian,unseen_correlated_partition,4104,message_recipients,141,51,36.170212765957444,90,75
pair,humanitarian,unseen_correlated_partition,4104,negotiation_initiations,141,27,19.148936170212767,18,22
pair,humanitarian,unseen_correlated_partition,4104,offers,141,15,10.638297872340425,9,11
pair,humanitarian,unseen_correlated_partition,4104,counteroffers,141,3,2.127659574468085,0,3
pair,humanitarian,unseen_correlated_partition,4104,coalition_proposals,141,41,29.078014184397162,32,16
pair,humanitarian,unseen_correlated_partition,4104,coalition_memberships,141,0,0.0,0,0
pair,humanitarian,unseen_correlated_partition,4104,tool_calls,141,131,92.90780141843972,85,124
pair,humanitarian,unseen_correlated_partition,4104,operational_actions,141,3,2.127659574468085,2,2
application,commercial,all_v1_holdout,all,coalition_memberships,875,0,0.0,0,0
application,commercial,all_v1_holdout,all,coalition_proposals,875,293,33.48571428571429,188,144
application,commercial,all_v1_holdout,all,counteroffers,875,2,0.22857142857142856,0,2
application,commercial,all_v1_holdout,all,message_recipients,875,471,53.82857142857143,715,664
application,commercial,all_v1_holdout,all,messages,875,475,54.285714285714285,715,664
application,commercial,all_v1_holdout,all,negotiation_initiations,875,240,27.428571428571427,48,223
application,commercial,all_v1_holdout,all,offers,875,183,20.914285714285715,33,170
application,commercial,all_v1_holdout,all,operational_actions,875,26,2.9714285714285715,14,14
application,commercial,all_v1_holdout,all,tool_calls,875,726,82.97142857142858,666,637
application,humanitarian,all_v1_holdout,all,coalition_memberships,873,0,0.0,0,0
application,humanitarian,all_v1_holdout,all,coalition_proposals,873,308,35.28064146620848,204,151
application,humanitarian,all_v1_holdout,all,counteroffers,873,4,0.4581901489117984,0,4
application,humanitarian,all_v1_holdout,all,message_recipients,873,438,50.171821305841924,714,677
application,humanitarian,all_v1_holdout,all,messages,873,458,52.462772050400915,714,677
application,humanitarian,all_v1_holdout,all,negotiation_initiations,873,218,24.971363115693013,125,171
application,humanitarian,all_v1_holdout,all,offers,873,119,13.631156930126002,40,98
application,humanitarian,all_v1_holdout,all,operational_actions,873,17,1.9473081328751431,6,12
application,humanitarian,all_v1_holdout,all,tool_calls,873,703,80.52691867124857,656,654
