n_agents,temperature,independent_n,mean_abs_magnetization_mean,mean_abs_magnetization_ci_low,mean_abs_magnetization_ci_high,susceptibility_per_agent_mean,susceptibility_per_agent_ci_low,susceptibility_per_agent_ci_high,heat_capacity_per_agent_mean,heat_capacity_per_agent_ci_low,heat_capacity_per_agent_ci_high,binder_cumulant_mean,binder_cumulant_ci_low,binder_cumulant_ci_high,integrated_autocorrelation_time_mean,integrated_autocorrelation_time_ci_low,integrated_autocorrelation_time_ci_high,energy_per_agent_mean,energy_per_agent_ci_low,energy_per_agent_ci_high,macrostate_shannon_mean,macrostate_shannon_ci_low,macrostate_shannon_ci_high,macrostate_tsallis_q_0_5_mean,macrostate_tsallis_q_0_5_ci_low,macrostate_tsallis_q_0_5_ci_high,macrostate_tsallis_q_2_0_mean,macrostate_tsallis_q_2_0_ci_low,macrostate_tsallis_q_2_0_ci_high
64,1.55,6,0.6429947917,0.6175204281,0.6684691552,13.89632665,8.764983476,19.02766983,2.754455314,2.483852156,3.025058473,0.5781392654,0.5633459862,0.5929325446,33.26212124,20.16527852,46.35896396,-1.454308594,-1.491087836,-1.417529351,0.8469126633,0.7650311613,0.9287941652,0.8326228199,0.716023109,0.9492225307,0.9440834375,0.9143515607,0.9738153143
64,1.7,6,0.3975976562,0.3744884543,0.4207068582,7.084468606,6.237556668,7.931380545,1.723466689,1.530027685,1.916905692,0.397147734,0.3663830744,0.4279123935,12.90061385,8.897053543,16.90417416,-1.057296875,-1.076919411,-1.037674339,0.9177844958,0.8915870214,0.9439819701,0.8889894115,0.8579441809,0.9200346422,0.9793284375,0.9699917892,0.9886650858
64,1.85,6,0.2814713542,0.2721363231,0.2908063852,3.883089897,3.586087038,4.180092755,1.009220582,0.9077100591,1.110731105,0.2383666981,0.2002025115,0.2765308848,6.610486356,5.860173175,7.360799537,-0.8711953125,-0.8835401243,-0.8588505007,0.8625938807,0.8500800577,0.8751077037,0.8040149794,0.7811720163,0.8268579425,0.96567625,0.9622937326,0.9690587674
64,2,6,0.2252083333,0.2056527394,0.2447639273,2.378314355,2.063911333,2.692717377,0.6866288833,0.6675424248,0.7057153418,0.1747733605,0.1167799329,0.232766788,3.640341115,3.045620782,4.235061448,-0.7496601563,-0.7657747438,-0.7335455687,0.7975815569,0.7773642165,0.8177988974,0.7181101201,0.6926682608,0.7435519794,0.9441709375,0.9351466104,0.9531952646
64,2.2,6,0.1806184896,0.1744152758,0.1868217034,1.439308986,1.361512576,1.517105396,0.439988339,0.4171834884,0.4627931895,0.08658716528,0.02264339951,0.1505309311,2.735128804,2.003368161,3.466889446,-0.6430039063,-0.6471213931,-0.6388864194,0.7362892116,0.7269172596,0.7456611635,0.6380959431,0.631799564,0.6443923222,0.9205240625,0.9148157883,0.9262323367
64,2.5,6,0.1459635417,0.1386570915,0.1532699918,0.8447878385,0.769753549,0.9198221281,0.2845444228,0.2604016868,0.3086871589,0.02470286909,-0.02320070248,0.07260644065,1.757239151,1.294912113,2.219566189,-0.5335273437,-0.5392557385,-0.527798949,0.6715046336,0.6570397692,0.685969498,0.5641373061,0.5476500402,0.580624572,0.8893521875,0.880594201,0.898110174
100,1.2,6,0.9361,0.933141628,0.939058372,0.1126860243,0.09460325637,0.1307687922,1.135800073,1.036726344,1.234873802,0.6646959962,0.6643851893,0.665006803,0.7961464503,0.6159620353,0.9763308653,-2.13995,-2.148905997,-2.130994003,0.1569088202,0.1376847074,0.1761329331,0.1073899468,0.09422201873,0.1205578748,0.295666875,0.2561425337,0.3351912163
100,1.4,6,0.8296583333,0.8186793101,0.8406373565,0.7491384673,0.3558157875,1.142461147,2.164075196,1.796432667,2.531717724,0.651907634,0.6470644028,0.6567508651,4.02651663,1.671810788,6.381222472,-1.8321825,-1.849770327,-1.814594673,0.4252403046,0.394741856,0.4557387532,0.3209386834,0.2714085971,0.3704687696,0.6832503125,0.6642569212,0.7022437038
100,1.55,6,0.6229416667,0.5923784882,0.6535048451,22.77399536,19.56653142,25.98145931,2.970180563,2.580343318,3.360017809,0.5797392021,0.5614743359,0.5980040684,50.5496122,41.47595933,59.62326508,-1.4481625,-1.490412941,-1.405912059,0.8443110161,0.811615515,0.8770065171,0.8342900406,0.8009032642,0.8676768169,0.9451859375,0.9285021648,0.9618697102
100,1.7,6,0.3538583333,0.3278392205,0.3798774461,9.229813701,7.909752361,10.54987504,1.769941994,1.655808932,1.884075056,0.3670482476,0.3239410666,0.4101554286,13.54287636,12.70460984,14.38114287,-1.0629925,-1.083754559,-1.042230441,0.8945479997,0.8815344068,0.9075615926,0.849860892,0.8298829633,0.8698388208,0.9745925,0.9711255457,0.9780594543
100,1.85,6,0.2326333333,0.2243554105,0.2409112562,4.28236232,3.927554132,4.637170508,0.9634372977,0.8836239443,1.043250651,0.1918412929,0.1649891339,0.2186934519,7.408963284,6.676106903,8.141819664,-0.8656425,-0.8729554636,-0.8583295364,0.8115314386,0.7967425182,0.826320359,0.7320716212,0.7091417719,0.7550014705,0.9504578125,0.9461654031,0.9547502219
100,2,6,0.1718791667,0.1598730639,0.1838852694,2.177523203,1.921987883,2.433058523,0.6445472175,0.5997820589,0.6893123761,0.09326837573,0.01164603328,0.1748907182,3.420885761,2.900301742,3.941469779,-0.744705,-0.7532301788,-0.7361798212,0.7166088345,0.6962686367,0.7369490322,0.6102082985,0.5849590515,0.6354575455,0.9140184375,0.9041471865,0.9238896885
100,2.2,6,0.143425,0.1377898438,0.1490601562,1.406527813,1.296198345,1.51685728,0.4378940331,0.4182481479,0.4575399182,0.06508643974,0.03549921064,0.09467366885,3.052532528,2.009414843,4.095650214,-0.641625,-0.6482571126,-0.6349928874,0.6688369428,0.6568767266,0.6807971589,0.5487346309,0.5316016,0.5658676619,0.89203625,0.8853708743,0.8987016257
100,2.5,6,0.1190375,0.1147957157,0.1232792843,0.8569263958,0.808628066,0.9052247257,0.2794426902,0.2643865949,0.2944987855,0.04780609435,0.006830849408,0.08878133928,1.505621813,1.245198723,1.766044904,-0.5378675,-0.5415290094,-0.5342059906,0.6091155153,0.598785223,0.6194458076,0.4794063959,0.4659316428,0.4928811489,0.860566875,0.8541564927,0.8669772573
144,1.2,6,0.9373784722,0.9362137144,0.93854323,0.1077049334,0.09094985815,0.1244600087,1.0897418,0.9949409334,1.184542668,0.6653424512,0.6651429719,0.6655419304,0.828686612,0.6729575963,0.9844156278,-2.144788194,-2.14646507,-2.143111319,0.1404657736,0.1282560753,0.152675472,0.09132019479,0.08157042039,0.1010699692,0.267859375,0.2407524263,0.2949663237
144,1.4,6,0.8295804398,0.8209149006,0.838245979,0.6473176515,0.4344107948,0.8602245082,2.152427728,1.944204828,2.360650628,0.6562611186,0.6533018843,0.6592203528,4.094349036,1.116075107,7.072622964,-1.825348958,-1.837314392,-1.813383525,0.3794119589,0.3509280749,0.4078958428,0.2808742176,0.2530712807,0.3086771545,0.624876875,0.5908844737,0.6588692763
144,1.55,6,0.6146498843,0.5893127979,0.6399869707,29.22059753,17.75275215,40.6884429,3.127372957,2.792698053,3.46204786,0.5861138897,0.5667882023,0.6054395771,47.88867376,29.34480581,66.43254171,-1.445310764,-1.46595352,-1.424668008,0.8090046235,0.7159749231,0.9020343239,0.7801329996,0.6643076779,0.8959583213,0.9331196875,0.8921048231,0.9741345519
144,1.7,6,0.2873090278,0.273146096,0.3014719595,9.146933628,7.780219967,10.51364729,1.555219647,1.394461328,1.715977967,0.2872244199,0.245305572,0.3291432678,13.87764611,9.775591396,17.97970082,-1.032559028,-1.04256548,-1.022552576,0.8475426563,0.8272676824,0.8678176302,0.7770630822,0.7459540168,0.8081721476,0.96256125,0.9566180697,0.9685044303
144,1.85,6,0.1873061343,0.1765243699,0.1980878986,4.019243615,3.717017899,4.321469331,0.9378250632,0.8725976285,1.003052498,0.1424409596,0.06012561313,0.2247563061,6.751881953,5.376259339,8.127504567,-0.8576059028,-0.8641925368,-0.8510192688,0.7422918585,0.7326315516,0.7519521654,0.6398029588,0.6312394113,0.6483665063,0.9254196875,0.9196786328,0.9311607422
144,2,6,0.149224537,0.1419333936,0.1565156805,2.459861632,2.261865774,2.65785749,0.6429861979,0.6028398381,0.6831325577,0.06254654658,0.01203704843,0.1130560447,3.553213264,3.179985384,3.926441144,-0.74996875,-0.7529664701,-0.7469710299,0.6807964687,0.6684912461,0.6931016914,0.5598176167,0.5450579749,0.5745772585,0.8980890625,0.891771397,0.904406728
144,2.2,6,0.1189265046,0.1113875973,0.1264654119,1.403100533,1.230704294,1.575496773,0.4143528086,0.385839616,0.4428660012,0.0524403648,0.001183805609,0.103696924,2.736983439,2.054160834,3.419806044,-0.6468229167,-0.6548688225,-0.6387770108,0.6052940931,0.5873768203,0.6232113659,0.4787214657,0.4530535867,0.5043893447,0.8575153125,0.8483595547,0.8666710703
144,2.5,6,0.1012268519,0.09773210722,0.1047215965,0.9122994965,0.8353284417,0.9892705514,0.2630799842,0.2463763549,0.2797836134,0.04671588611,0.008926178597,0.08450559363,1.668089438,1.36327874,1.972900136,-0.5337604167,-0.5412737796,-0.5262470537,0.5645678931,0.5517466147,0.5773891715,0.432207658,0.4172038437,0.4472114722,0.8337896875,0.8260904699,0.8414889051
256,1.2,6,0.9377278646,0.9371335044,0.9383222247,0.1080695462,0.09745106968,0.1186880227,1.093866655,1.028913466,1.158819845,0.6659144606,0.6658441489,0.6659847724,0.8420136582,0.7294981034,0.9545292131,-2.14509668,-2.147427234,-2.142766125,0.087188884,0.07894728389,0.0954304841,0.06554435784,0.06188827524,0.06920044043,0.14541625,0.1276332952,0.1631992048
256,1.4,6,0.8326611328,0.8230580595,0.8422642062,0.7581682565,0.4480816687,1.068254844,2.113726972,1.825363202,2.402090741,0.6596671065,0.6569881656,0.6623460474,5.470186049,2.697149387,8.243222711,-1.836330078,-1.848124806,-1.82453535,0.3097147786,0.2644229464,0.3550066107,0.2333643064,0.1977472394,0.2689813734,0.5147034375,0.451685858,0.577721017
256,1.55,6,0.5336832682,0.4711149274,0.596251609,13.6641917,2.826115074,24.50226833,3.349734324,3.182831542,3.516637106,0.5429919148,0.4825087182,0.6034751114,21.44140859,11.53511601,31.34770116,-1.389863281,-1.430211948,-1.349514615,0.7045332414,0.6167213382,0.7923451446,0.6062189744,0.4906067347,0.7218312141,0.8980146875,0.8581131838,0.9379161912
256,1.7,6,0.2395817057,0.2266745086,0.2524889029,10.39839418,9.063568417,11.73321994,1.581252937,1.50676696,1.655738915,0.2290194788,0.1706037381,0.2874352196,18.38664643,8.536544889,28.23674798,-1.039462891,-1.048177183,-1.030748598,0.78147796,0.7629706519,0.7999852681,0.6801517456,0.6516696508,0.7086338404,0.9417209375,0.9362170322,0.9472248428
256,1.85,6,0.1418229167,0.1324363343,0.151209499,4.20526182,3.807132132,4.603391508,0.9106055496,0.8425793724,0.9786317269,0.07940146632,-0.03784285424,0.1966457869,6.365532061,5.043129799,7.687934323,-0.8554228516,-0.8634761592,-0.8473695439,0.6604779587,0.6464477397,0.6745081776,0.534032518,0.5176880696,0.5503769663,0.8888140625,0.877579515,0.90004861
256,2,6,0.1105843099,0.1028692237,0.1182993961,2.361870107,2.066490008,2.657250206,0.6007564189,0.5833599241,0.6181529137,0.09902417149,0.02269588058,0.1753524624,3.725157593,3.135387067,4.314928118,-0.7480898437,-0.7542550088,-0.7419246787,0.5856602182,0.5658528044,0.6054676319,0.4454609155,0.4222955972,0.4686262338,0.8481025,0.8352625915,0.8609424085
256,2.2,6,0.08499023437,0.08019166276,0.08978880599,1.32509641,1.196598089,1.453594731,0.4360548497,0.4124550186,0.4596546808,0.01543794135,-0.05477939854,0.08565528124,2.282380736,1.858551567,2.706209904,-0.6442148438,-0.6459372039,-0.6424924836,0.5125397691,0.4982067033,0.5268728348,0.383740605,0.3705535697,0.3969276403,0.7892259375,0.7755312516,0.8029206234
256,2.5,6,0.0742594401,0.07257031986,0.07594856035,0.8841603337,0.8325355798,0.9357850875,0.2794367245,0.2685856132,0.2902878359,0.01796631398,-0.04160580656,0.07753843453,1.988352875,1.681628465,2.295077286,-0.53796875,-0.5404142976,-0.5355232024,0.4700042458,0.4632940123,0.4767144793,0.3398310148,0.3301897234,0.3494723061,0.755978125,0.7524965293,0.7594597207
