family,subset,cluster_id,panel_id,n_agents,topology,regime,disruption,coupling_strength,sampling_temperature,initial_condition,sweep,phase,belief_magnetization,action_magnetization,belief_action_overlap,belief_disagreement,configuration_entropy,entropy_rate,single_agent_marginal_entropy,total_correlation,reference_energy_per_agent,energy_variance,belief_susceptibility,spatial_belief_correlation,mean_confidence,messages_delivered,wire_bytes,message_current,workload_mean,workload_variance,local_configuration_entropy,cross_community_deliveries,corrupted_messages,macrostate_distance
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,23,disruption,0.0,0.0,1.0,0.5,0.4437922953464478,0.1455851610910088,0.0277370184591529,0.4437922953464478,-1.8,0.0145568631329114,0.0344541139240506,0.040625,0.7855078125,80,1440,1.0,-0.98984375,0.0100531005859375,1.3501109960606077,36,0,0.8363260694053192
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,24,disruption,0.0,0.0,1.0,0.5,0.4437922953464478,0.1455851610910088,0.0277370184591529,0.4437922953464478,-1.8,0.0145568631329114,0.0344541139240506,0.040625,0.7861328125,80,1440,1.0,-0.98984375,0.0100531005859375,1.3501109960606072,36,0,0.8363260694053192
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,25,disruption,0.0,0.0,1.0,0.5,0.4437922953464478,0.1455851610910088,0.0277370184591529,0.4437922953464478,-1.8,0.0145568631329114,0.0344541139240506,0.040625,0.786875,80,1440,1.0,-0.98984375,0.0100531005859374,1.3501109960606072,37,0,0.8363260694053192
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,26,disruption,0.0,0.0,1.0,0.5,0.4437922953464478,0.1455851610910088,0.0277370184591529,0.4437922953464478,-1.8,0.0145568631329114,0.0344541139240506,0.040625,0.7885234375,80,1440,1.0,-0.98984375,0.0100531005859375,1.3501109960606072,38,0,0.8363260694053192
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,27,disruption,0.0,0.0,1.0,0.5,0.3517104788493895,0.0852988989784335,0.0219819049280868,0.3517104788493895,-1.8,0.0106794897151898,0.0252768987341772,0.028125,0.7914140625,80,1440,1.0,-0.99296875,0.0069818115234374,1.3563852710939306,38,0,0.8026055801606916
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,28,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7945468750000001,80,1440,1.0,-1.0,0.0,1.3705023899189086,36,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,29,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.7990468749999999,80,1440,1.0,-1.0,0.0,1.3705023899189086,36,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,30,disruption,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.8039765624999999,80,1440,1.0,-1.0,0.0,1.3705023899189086,30,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,31,recovery,-0.125,-0.125,1.0,0.375,0.5004024235381879,0.115342647187681,0.0312751514711367,0.5004024235381879,-1.88125,0.0171139240506329,0.040506329113924,0.05,0.8088906249999999,80,1440,1.0,-0.9875,0.0123437499999999,1.3454052897856148,27,0,1.401682765549571
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,32,recovery,0.0,0.0,1.0,0.5,0.599898019262134,0.1543288949394941,0.0374936262038833,0.599898019262134,-1.8,0.0219105023734177,0.0518591772151898,0.071875,0.8127499999999998,80,1440,1.0,-0.98203125,0.0176458740234374,1.3344253084772986,30,0,1.1691153323229295
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,33,recovery,0.0,0.0,1.0,0.5,0.599898019262134,0.1543288949394941,0.0374936262038833,0.599898019262134,-1.8,0.0219105023734177,0.0518591772151898,0.071875,0.8160781249999998,80,1440,1.0,-0.98203125,0.0176458740234374,1.3344253084772986,30,0,1.1691153323229295
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,34,recovery,0.0,0.0,1.0,0.5,0.599898019262134,0.1543288949394941,0.0374936262038833,0.599898019262134,-1.8,0.0219105023734177,0.0518591772151898,0.071875,0.819234375,80,1440,1.0,-0.98203125,0.0176458740234374,1.3344253084772986,28,0,1.1691153323229295
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,35,recovery,-0.125,-0.125,1.0,0.375,0.6777555495642991,0.1576315734271095,0.0423597218477686,0.6777555495642991,-1.88125,0.0259215783227848,0.0613528481012658,0.103125,0.8236406249999998,80,1440,1.0,-0.97421875,0.0251165771484374,1.31873962089399,26,0,1.727839529244892
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,36,recovery,0.0,0.0,1.0,0.5,0.6676166603431286,0.1907419627013072,0.0417260412714455,0.6676166603431286,-1.8,0.0253867681962025,0.0600870253164557,0.096875,0.828109375,80,1440,1.0,-0.97578125,0.0236322021484375,1.3218767584106517,25,0,1.3086228362897463
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,37,recovery,0.0,0.0,1.0,0.5,0.6108643020548935,0.1548530929097483,0.0381790188784308,0.6108643020548935,-1.8,0.0224620253164557,0.0531645569620253,0.075,0.832453125,80,1440,1.0,-0.98125,0.0183984375,1.3328567397189677,22,0,1.1988675662305737
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,38,recovery,0.0,0.0,1.0,0.5,0.6108643020548935,0.1548530929097483,0.0381790188784308,0.6108643020548935,-1.8,0.0224620253164557,0.0531645569620253,0.075,0.836265625,80,1440,1.0,-0.98125,0.0183984374999999,1.3328567397189677,22,0,1.1988675662305734
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,39,recovery,0.0,0.0,1.0,0.5,0.6108643020548935,0.1548530929097483,0.0381790188784308,0.6108643020548935,-1.8,0.0224620253164557,0.0531645569620253,0.075,0.839234375,80,1440,1.0,-0.98125,0.0183984374999999,1.3328567397189677,19,0,1.1988675662305734
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,40,recovery,0.0,0.0,1.0,0.5,0.4637264398194103,0.094254758684374,0.0289829024887131,0.4637264398194103,-1.8,0.0154426424050633,0.0365506329113923,0.04375,0.84040625,80,1440,1.0,-0.9890625,0.01081787109375,1.3485424273022766,20,0,0.9501281727474264
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,41,recovery,0.0,0.0,1.0,0.5,-0.0,0.0,0.0,0.0,-1.8,7.988464862997588e-31,0.0,0.0,0.840625,80,1440,1.0,-1.0,0.0,1.3705023899189086,22,0,1.2513703237229736
C_disruption_recovery,controlled_quench,C_quench_n16_g0,C_quench_n16_g0_nominal,16,modular,markovized,nominal,0.8,0.5,disordered,42,recovery,-0.125,-0.125,1.0,0.5416666666666666,0.5004024235381879,0.115342647187681,0.0312751514711367,0.5004024235381879,-1.6062500000000002,0.0973164556962024,0.040506329113924,-0.0166666666666666,0.8408749999999999,80,1440,1.0,-0.9875,0.0123437499999999,1.3630965197588274,23,0,1.7391194622402113
