n_agents,topology,temperature,alpha,independent_n,pathwise_irreversibility_per_update_mean,pathwise_irreversibility_per_update_ci_low,pathwise_irreversibility_per_update_ci_high
64.0,modular,1.65,0.0,4,-5.942176442402664e-05,-0.00022442780702757175,6.727675192524512e-05
64.0,modular,1.65,0.1,4,0.00010136555711863386,3.5172067287355878e-06,0.0002062134013380474
64.0,modular,1.65,0.35,4,1.1976357480859932e-06,-0.00011236106974563267,0.00012599957912456868
64.0,modular,1.65,0.65,4,0.0008714564510036,0.0006001746905171501,0.001180861329160375
64.0,modular,1.8,0.0,4,5.622348724591877e-05,-0.0001242982882622326,0.00027126736111110137
64.0,modular,1.8,0.1,4,0.00021221484629041748,4.967206790123494e-05,0.00041130174547104664
64.0,modular,1.8,0.35,4,0.00026920874889997497,0.000154105422093725,0.00047292149991285
64.0,modular,1.8,0.65,4,0.0008933729273077,0.0004897589583933,0.0014626340123665002
64.0,modular,2.1,0.0,4,0.00010292273031745937,-4.3374508406331244e-05,0.00024921996904125
64.0,modular,2.1,0.1,4,-6.269952405010002e-05,-0.00037856846817025,0.00047241206465005003
64.0,modular,2.1,0.35,4,0.0001347196777174156,-0.00018542923913121887,0.00045486859456605
64.0,modular,2.1,0.65,4,0.00207738776479415,0.001177438000605225,0.002981606100408225
64.0,ring,1.3,0.0,4,-9.059512146508171e-05,-0.0002531539581856,7.19637152554366e-05
64.0,ring,1.3,0.1,4,0.001397380988299025,0.001199249925395625,0.00162723967171565
64.0,ring,1.3,0.35,4,0.016492405202350874,0.0160308458007578,0.017085545744464477
64.0,ring,1.3,0.65,4,0.05775032181065062,0.0560038488928162,0.0591470504175714
64.0,ring,1.5,0.0,4,-2.1768614128227654e-05,-0.00014696759425817974,5.046065355043019e-05
64.0,ring,1.5,0.1,4,0.001339884104868425,0.00123347547138505,0.001428523025273375
64.0,ring,1.5,0.35,4,0.013940896894135826,0.013094310677919075,0.01457288565896585
64.0,ring,1.5,0.65,4,0.05093533979849302,0.04941797393091232,0.0520948095488772
64.0,ring,1.65,0.0,4,9.293325293610529e-05,9.469961740968538e-06,0.0002129961669263456
64.0,ring,1.65,0.1,4,0.0008624063335143999,0.000674165996048075,0.0010627607003218249
64.0,ring,1.65,0.35,4,0.012674722509049824,0.011846754224754074,0.0133586925716065
64.0,ring,1.65,0.65,4,0.04468194809561773,0.04337822172465022,0.046393712257791396
64.0,ring,1.8,0.0,4,-0.00012119927383762531,-0.00024286619372367076,-3.0648172836713585e-05
64.0,ring,1.8,0.1,4,0.001012980326547225,0.0008450823635016,0.00118087828959285
64.0,ring,1.8,0.35,4,0.012124330696261251,0.011462470928311475,0.012843080305489175
64.0,ring,1.8,0.65,4,0.0407872761902847,0.040058266787802,0.0415162855927674
64.0,ring,2.1,0.0,4,-3.693383136883847e-05,-9.900337913098077e-05,2.5135716393303836e-05
64.0,ring,2.1,0.1,4,0.000867408310873025,0.00068646127046585,0.0010483553512802
64.0,ring,2.1,0.35,4,0.009672417837057651,0.0093902475753736,0.010124679889947025
64.0,ring,2.1,0.65,4,0.03372029084285608,0.03249414876156673,0.035148502762397046
64.0,small_world,1.3,0.0,4,-8.732093273319894e-05,-0.00013582871012832865,-4.66316333067929e-05
64.0,small_world,1.3,0.1,4,0.00022651790537494263,-1.935315800926475e-05,0.00047238896875915
64.0,small_world,1.3,0.35,4,0.00403667167433915,0.0028599044236786,0.00555026757054585
64.0,small_world,1.3,0.65,4,0.0311490856999827,0.02669183195411525,0.03560633944585015
64.0,small_world,1.5,0.0,4,0.00014597796467718952,2.8887147953753646e-05,0.0003389836250425699
64.0,small_world,1.5,0.1,4,0.000411406905663725,2.546152352324999e-05,0.000756430918176525
64.0,small_world,1.5,0.35,4,0.0068121678245818,0.005385686936824401,0.008172119187614001
64.0,small_world,1.5,0.65,4,0.044926081685284905,0.041925496646517,0.048503420201401526
64.0,small_world,1.65,0.0,4,-1.691814621555e-05,-0.00027726280276802503,0.00023988567824910002
64.0,small_world,1.65,0.1,4,0.00039164835441977497,2.5711358991199992e-05,0.0007652834140874999
64.0,small_world,1.65,0.35,4,0.008891123115603,0.007580464001126325,0.010274531508283925
64.0,small_world,1.65,0.65,4,0.04493265857320995,0.04260913255423205,0.04649842707495305
64.0,small_world,1.8,0.0,4,-0.00020280041451371675,-0.00040945714696437503,-6.908396675572516e-05
64.0,small_world,1.8,0.1,4,0.00071172493534845,0.0005256875493810499,0.00095936898422785
64.0,small_world,1.8,0.35,4,0.011102873759502425,0.0100779538937529,0.012212585281657074
64.0,small_world,1.8,0.65,4,0.04591981833687755,0.044146978446409274,0.047022895416156
64.0,small_world,2.1,0.0,4,0.00011112386746078864,-5.0206633642322714e-05,0.0002724543685639
64.0,small_world,2.1,0.1,4,0.0009956177287348,0.00090332400594165,0.00111751533985875
64.0,small_world,2.1,0.35,4,0.0112068649219286,0.01089301527845955,0.01152071456539765
64.0,small_world,2.1,0.65,4,0.04214417125491161,0.0404072164264008,0.0438811260834224
128.0,modular,1.3,0.0,4,2.3788060897436294e-05,7.468948299344587e-19,4.757612179487184e-05
128.0,modular,1.3,0.1,4,-2.6709401709401828e-05,-6.134815705128212e-05,1.927470528863119e-20
128.0,modular,1.3,0.35,4,2.4046172494748018e-05,1.927470528863119e-20,4.809234498949601e-05
128.0,modular,1.3,0.65,4,3.7977430555554086e-05,-3.338675213675213e-05,7.804153311965374e-05
128.0,modular,1.5,0.0,4,6.8721064814833525e-06,-1.3733227518149724e-18,2.0616319444446464e-05
128.0,modular,1.5,0.1,4,1.6276041666666013e-05,-3.616898148148174e-05,6.872106481481376e-05
128.0,modular,1.5,0.35,4,-2.0978009259258956e-05,-4.376446759259234e-05,2.133969907407446e-05
128.0,modular,1.5,0.65,4,8.741665885802383e-05,-5.5845128072478104e-05,0.00033400945649839987
128.0,modular,1.65,0.0,4,-2.1043771043771113e-05,-3.8141835016834336e-05,-3.945707070707888e-06
128.0,modular,1.65,0.1,4,3.1475748906482096e-05,-3.3479424155912964e-05,0.00012133049242417683
128.0,modular,1.65,0.35,4,4.767729377104341e-05,-5.445104244038311e-19,9.535458754208738e-05
128.0,modular,1.65,0.65,4,7.729656186685087e-05,1.1968644781145381e-05,0.00017301411164794776
128.0,modular,1.8,0.0,4,3.9785879629607746e-05,-1.9290123456786904e-05,9.886188271600241e-05
128.0,modular,1.8,0.1,4,0.0004304108796295926,2.8935185185185183e-05,0.0008318865740739999
128.0,modular,1.8,0.35,4,1.4407310956789848e-05,-3.5566165123455034e-05,6.438078703703472e-05
128.0,modular,1.8,0.65,4,5.458773430156455e-06,-5.22821486274157e-05,6.526154168838268e-05
128.0,modular,2.1,0.0,4,-6.546959304765382e-05,-0.00021190977120645233,3.358548280423179e-05
128.0,modular,2.1,0.1,4,-5.0119874338616135e-05,-0.0001622437169312,0.0001059234457672
128.0,modular,2.1,0.35,4,3.0743634259258734e-05,-1.6017691798941794e-05,6.303736772486664e-05
128.0,modular,2.1,0.65,4,0.00024059215229365127,-6.157988719004677e-05,0.000802215884414917
128.0,ring,1.3,0.0,4,-5.3984342188918616e-05,-8.747531003622537e-05,-2.375502457569022e-05
128.0,ring,1.3,0.1,4,0.001157822090918325,0.0011240687525989,0.00119157542923775
128.0,ring,1.3,0.35,4,0.015581109418065626,0.014834203033457501,0.0162423920189902
128.0,ring,1.3,0.65,4,0.05707898896382727,0.05523036216256985,0.058798234292494776
128.0,ring,1.5,0.0,4,4.374000170662741e-05,2.4543509688167294e-05,7.351422688855479e-05
128.0,ring,1.5,0.1,4,0.00119102389138415,0.001048813361668775,0.0013409918055344251
128.0,ring,1.5,0.35,4,0.014816804125000149,0.013969224428575126,0.015476070766047626
128.0,ring,1.5,0.65,4,0.05026381179408735,0.04918588365740398,0.051366221739062926
128.0,ring,1.65,0.0,4,-8.594653606050562e-06,-8.130946286282302e-05,6.0325840642073675e-05
