cluster_id,application,regime,information_condition,environment_seed,selected_effect_kpi,loss_after_selection_kpi,selected_count_kpi,operator_minutes_kpi,harmful_count_kpi,service_reaching_count_kpi,selected_candidates_kpi,selected_scenario_families_kpi,selected_effect_thermo,loss_after_selection_thermo,selected_count_thermo,operator_minutes_thermo,harmful_count_thermo,service_reaching_count_thermo,selected_candidates_thermo,selected_scenario_families_thermo,utility_difference,loss_difference,harm_difference
commercial|compound|private_fragmented|51111,commercial,compound,private_fragmented,51111,0.1533433609152587,3.88725498143171,1,7.0,0,0,commercial|compound|private_fragmented|51111|supply_03|revise_commitment,compound_commitment_deadlock,0.0,4.040598342346969,0,0.0,0,0,,,-0.1533433609152587,0.15334336091525858,0
commercial|compound|private_fragmented|51112,commercial,compound,private_fragmented,51112,0.30995998227591237,3.9445417139002883,2,15.0,1,1,commercial|compound|private_fragmented|51112|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51112|supply_01|verify,compound_resource_shortage;compound_unsafe_or_compromised_component,0.30995998227591237,3.9445417139002883,2,15.0,1,1,commercial|compound|private_fragmented|51112|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51112|supply_01|verify,compound_resource_shortage;compound_unsafe_or_compromised_component,0.0,0.0,0
commercial|compound|private_fragmented|51113,commercial,compound,private_fragmented,51113,0.1007807299442475,3.2794665738191027,1,4.0,0,0,commercial|compound|private_fragmented|51113|supply_01|request_peer_evidence,compound_commitment_deadlock,0.1007807299442475,3.2794665738191027,1,4.0,0,0,commercial|compound|private_fragmented|51113|supply_01|request_peer_evidence,compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51114,commercial,compound,private_fragmented,51114,0.1362,3.780644431843184,1,4.0,0,1,commercial|compound|private_fragmented|51114|supply_04|request_peer_evidence,compound_commitment_deadlock,0.1362,3.780644431843184,1,4.0,0,1,commercial|compound|private_fragmented|51114|supply_04|request_peer_evidence,compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51115,commercial,compound,private_fragmented,51115,0.0,4.4209710049399025,0,0.0,0,0,,,0.0,4.4209710049399025,0,0.0,0,0,,,0.0,0.0,0
commercial|compound|private_fragmented|51116,commercial,compound,private_fragmented,51116,0.0,3.8532756923351137,0,0.0,0,0,,,0.0,3.8532756923351137,0,0.0,0,0,,,0.0,0.0,0
commercial|compound|private_fragmented|51117,commercial,compound,private_fragmented,51117,0.1298952248579958,4.042312510759202,1,9.0,0,1,commercial|compound|private_fragmented|51117|supply_04|deploy_repair_capacity,compound_resource_shortage,0.1298952248579958,4.042312510759202,2,13.0,0,2,commercial|compound|private_fragmented|51117|supply_04|deploy_repair_capacity;commercial|compound|private_fragmented|51117|supply_03|request_peer_evidence,compound_resource_shortage;compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51118,commercial,compound,private_fragmented,51118,0.08965404390786971,4.502619307546015,2,18.0,1,1,commercial|compound|private_fragmented|51118|supply_01|deploy_repair_capacity;commercial|compound|private_fragmented|51118|supply_02|deploy_repair_capacity,compound_evidence_conflict;compound_resource_shortage,0.1163507378770172,4.475922613576867,1,9.0,0,1,commercial|compound|private_fragmented|51118|supply_02|deploy_repair_capacity,compound_resource_shortage,0.026696693969147492,-0.02669669396914731,-1
commercial|compound|private_fragmented|51119,commercial,compound,private_fragmented,51119,0.1107092876148434,3.6486517743568263,1,4.0,0,1,commercial|compound|private_fragmented|51119|supply_01|request_peer_evidence,compound_commitment_deadlock,0.1107092876148434,3.6486517743568263,1,4.0,0,1,commercial|compound|private_fragmented|51119|supply_01|request_peer_evidence,compound_commitment_deadlock,0.0,0.0,0
commercial|compound|private_fragmented|51120,commercial,compound,private_fragmented,51120,0.1014273561835154,3.3000965909061777,1,4.0,0,1,commercial|compound|private_fragmented|51120|supply_02|request_peer_evidence,compound_commitment_deadlock,0.1014273561835154,3.3000965909061777,2,8.0,0,2,commercial|compound|private_fragmented|51120|supply_02|request_peer_evidence;commercial|compound|private_fragmented|51120|supply_01|request_peer_evidence,compound_commitment_deadlock;compound_unsafe_or_compromised_component,0.0,0.0,0
commercial|correlated|private_fragmented|51101,commercial,correlated,private_fragmented,51101,0.1125981912195778,2.7911652314164477,1,6.0,0,1,commercial|correlated|private_fragmented|51101|supply_01|verify,correlated_unsafe_or_compromised_component,0.1125981912195778,2.7911652314164477,1,6.0,0,1,commercial|correlated|private_fragmented|51101|supply_01|verify,correlated_unsafe_or_compromised_component,0.0,0.0,0
commercial|correlated|private_fragmented|51102,commercial,correlated,private_fragmented,51102,0.0,3.036130173932941,0,0.0,0,0,,,0.0,3.036130173932941,0,0.0,0,0,,,0.0,0.0,0
commercial|correlated|private_fragmented|51103,commercial,correlated,private_fragmented,51103,0.1131963682732176,3.068092434972894,1,6.0,0,1,commercial|correlated|private_fragmented|51103|supply_02|verify,correlated_unsafe_or_compromised_component,0.1171248463685182,3.0641639568775934,1,4.0,0,1,commercial|correlated|private_fragmented|51103|supply_04|request_peer_evidence,correlated_commitment_deadlock,0.0039284780953006,-0.003928478095300836,0
commercial|correlated|private_fragmented|51104,commercial,correlated,private_fragmented,51104,0.1046736026552729,2.6626536803124217,1,6.0,0,0,commercial|correlated|private_fragmented|51104|supply_03|verify,correlated_unsafe_or_compromised_component,0.2029948631740817,2.5643324197936126,2,15.0,0,1,commercial|correlated|private_fragmented|51104|supply_02|deploy_repair_capacity;commercial|correlated|private_fragmented|51104|supply_03|verify,correlated_resource_shortage;correlated_unsafe_or_compromised_component,0.0983212605188088,-0.09832126051880907,0
commercial|correlated|private_fragmented|51105,commercial,correlated,private_fragmented,51105,0.2039589777373774,2.80136600181858,2,10.0,0,1,commercial|correlated|private_fragmented|51105|supply_02|verify;commercial|correlated|private_fragmented|51105|supply_04|request_peer_evidence,correlated_unsafe_or_compromised_component;correlated_commitment_deadlock,0.1010625992737509,2.9042623802822067,1,6.0,0,0,commercial|correlated|private_fragmented|51105|supply_02|verify,correlated_unsafe_or_compromised_component,-0.1028963784636265,0.10289637846362654,0
commercial|correlated|private_fragmented|51106,commercial,correlated,private_fragmented,51106,0.19075480315962928,2.5665787629723056,2,15.0,0,1,commercial|correlated|private_fragmented|51106|supply_01|verify;commercial|correlated|private_fragmented|51106|supply_04|deploy_repair_capacity,correlated_unsafe_or_compromised_component;correlated_resource_shortage,0.19075480315962928,2.5665787629723056,2,15.0,0,1,commercial|correlated|private_fragmented|51106|supply_01|verify;commercial|correlated|private_fragmented|51106|supply_04|deploy_repair_capacity,correlated_unsafe_or_compromised_component;correlated_resource_shortage,0.0,0.0,0
commercial|correlated|private_fragmented|51107,commercial,correlated,private_fragmented,51107,0.1214745364861101,3.548986507338206,2,15.0,0,1,commercial|correlated|private_fragmented|51107|supply_02|verify;commercial|correlated|private_fragmented|51107|supply_01|deploy_repair_capacity,correlated_evidence_conflict;correlated_resource_shortage,0.1214745364861101,3.548986507338206,2,15.0,0,1,commercial|correlated|private_fragmented|51107|supply_02|verify;commercial|correlated|private_fragmented|51107|supply_01|deploy_repair_capacity,correlated_evidence_conflict;correlated_resource_shortage,0.0,0.0,0
commercial|correlated|private_fragmented|51108,commercial,correlated,private_fragmented,51108,0.0849221528811764,3.147119122004375,1,4.0,0,0,commercial|correlated|private_fragmented|51108|supply_01|request_peer_evidence,correlated_commitment_deadlock,0.0849221528811764,3.147119122004375,1,4.0,0,0,commercial|correlated|private_fragmented|51108|supply_01|request_peer_evidence,correlated_commitment_deadlock,0.0,0.0,0
commercial|correlated|private_fragmented|51109,commercial,correlated,private_fragmented,51109,0.1935912880693409,2.233067704197046,2,10.0,0,2,commercial|correlated|private_fragmented|51109|supply_01|request_peer_evidence;commercial|correlated|private_fragmented|51109|supply_02|verify,correlated_commitment_deadlock;correlated_unsafe_or_compromised_component,0.1935912880693409,2.233067704197046,2,10.0,0,2,commercial|correlated|private_fragmented|51109|supply_01|request_peer_evidence;commercial|correlated|private_fragmented|51109|supply_02|verify,correlated_commitment_deadlock;correlated_unsafe_or_compromised_component,0.0,0.0,0
commercial|correlated|private_fragmented|51110,commercial,correlated,private_fragmented,51110,0.1081155175274094,3.48038395075203,2,10.0,0,2,commercial|correlated|private_fragmented|51110|supply_03|verify;commercial|correlated|private_fragmented|51110|supply_04|request_peer_evidence,correlated_unsafe_or_compromised_component;correlated_commitment_deadlock,0.1081155175274094,3.48038395075203,2,10.0,0,2,commercial|correlated|private_fragmented|51110|supply_03|verify;commercial|correlated|private_fragmented|51110|supply_04|request_peer_evidence,correlated_unsafe_or_compromised_component;correlated_commitment_deadlock,0.0,0.0,0
commercial|correlated|private_fragmented|51111,commercial,correlated,private_fragmented,51111,0.100414561746286,2.948573151756572,1,4.0,0,1,commercial|correlated|private_fragmented|51111|supply_01|request_peer_evidence,correlated_commitment_deadlock,-0.8274536736341651,3.876441387137023,2,13.0,2,1,commercial|correlated|private_fragmented|51111|supply_04|deploy_repair_capacity;commercial|correlated|private_fragmented|51111|supply_03|request_peer_evidence,correlated_evidence_conflict;correlated_unsafe_or_compromised_component,-0.9278682353804512,0.9278682353804513,2
commercial|correlated|private_fragmented|51112,commercial,correlated,private_fragmented,51112,0.0999086165428231,3.149358611576229,1,4.0,0,1,commercial|correlated|private_fragmented|51112|supply_03|request_peer_evidence,correlated_commitment_deadlock,0.0999086165428231,3.149358611576229,1,4.0,0,1,commercial|correlated|private_fragmented|51112|supply_03|request_peer_evidence,correlated_commitment_deadlock,0.0,0.0,0
commercial|correlated|private_fragmented|51113,commercial,correlated,private_fragmented,51113,0.118510967279009,2.5893825957119763,1,4.0,0,1,commercial|correlated|private_fragmented|51113|supply_04|request_peer_evidence,correlated_commitment_deadlock,0.118510967279009,2.5893825957119763,1,4.0,0,1,commercial|correlated|private_fragmented|51113|supply_04|request_peer_evidence,correlated_commitment_deadlock,0.0,0.0,0
commercial|correlated|private_fragmented|51114,commercial,correlated,private_fragmented,51114,0.0,3.17730388936004,0,0.0,0,0,,,0.0,3.17730388936004,0,0.0,0,0,,,0.0,0.0,0
commercial|correlated|private_fragmented|51115,commercial,correlated,private_fragmented,51115,0.1205449650018366,3.4834486918752794,1,4.0,0,1,commercial|correlated|private_fragmented|51115|supply_02|request_peer_evidence,correlated_commitment_deadlock,0.0,3.603993656877116,0,0.0,0,0,,,-0.1205449650018366,0.12054496500183642,0
commercial|correlated|private_fragmented|51116,commercial,correlated,private_fragmented,51116,0.1310604536044908,3.5544054993193557,1,9.0,0,1,commercial|correlated|private_fragmented|51116|supply_04|deploy_repair_capacity,correlated_resource_shortage,0.1310604536044908,3.5544054993193557,1,9.0,0,1,commercial|correlated|private_fragmented|51116|supply_04|deploy_repair_capacity,correlated_resource_shortage,0.0,0.0,0
commercial|correlated|private_fragmented|51117,commercial,correlated,private_fragmented,51117,-0.5277568227589294,3.990369125879114,1,9.0,1,0,commercial|correlated|private_fragmented|51117|supply_04|deploy_repair_capacity,correlated_evidence_conflict,-0.5277568227589294,3.990369125879114,1,9.0,1,0,commercial|correlated|private_fragmented|51117|supply_04|deploy_repair_capacity,correlated_evidence_conflict,0.0,0.0,0
commercial|correlated|private_fragmented|51118,commercial,correlated,private_fragmented,51118,0.0702675559042261,2.540234645644646,1,9.0,0,1,commercial|correlated|private_fragmented|51118|supply_01|deploy_repair_capacity,correlated_resource_shortage,0.0702675559042261,2.540234645644646,1,9.0,0,1,commercial|correlated|private_fragmented|51118|supply_01|deploy_repair_capacity,correlated_resource_shortage,0.0,0.0,0
commercial|correlated|private_fragmented|51119,commercial,correlated,private_fragmented,51119,0.0,3.551724490539541,0,0.0,0,0,,,0.0,3.551724490539541,0,0.0,0,0,,,0.0,0.0,0
commercial|correlated|private_fragmented|51120,commercial,correlated,private_fragmented,51120,0.0857421919834676,3.112602393193784,1,4.0,0,0,commercial|correlated|private_fragmented|51120|supply_01|request_peer_evidence,correlated_commitment_deadlock,0.0857421919834676,3.112602393193784,2,8.0,0,1,commercial|correlated|private_fragmented|51120|supply_01|request_peer_evidence;commercial|correlated|private_fragmented|51120|supply_02|request_peer_evidence,correlated_commitment_deadlock;correlated_evidence_conflict,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51101,commercial,isolated_physical,private_fragmented,51101,0.0928907184162226,2.5018965872863177,2,10.0,0,2,commercial|isolated_physical|private_fragmented|51101|supply_02|verify;commercial|isolated_physical|private_fragmented|51101|supply_01|request_peer_evidence,isolated_physical_evidence_conflict;isolated_physical_commitment_deadlock,0.0,2.5947873057025403,1,6.0,0,1,commercial|isolated_physical|private_fragmented|51101|supply_02|verify,isolated_physical_evidence_conflict,-0.0928907184162226,0.09289071841622265,0
commercial|isolated_physical|private_fragmented|51102,commercial,isolated_physical,private_fragmented,51102,0.1029617387887033,2.2532245428497406,1,6.0,0,0,commercial|isolated_physical|private_fragmented|51102|supply_04|verify,isolated_physical_unsafe_or_compromised_component,0.1029617387887033,2.2532245428497406,1,6.0,0,0,commercial|isolated_physical|private_fragmented|51102|supply_04|verify,isolated_physical_unsafe_or_compromised_component,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51103,commercial,isolated_physical,private_fragmented,51103,0.0917152401698712,2.486752665593663,1,4.0,0,0,commercial|isolated_physical|private_fragmented|51103|supply_04|request_peer_evidence,isolated_physical_commitment_deadlock,0.0917152401698712,2.486752665593663,2,10.0,0,1,commercial|isolated_physical|private_fragmented|51103|supply_04|request_peer_evidence;commercial|isolated_physical|private_fragmented|51103|supply_02|verify,isolated_physical_commitment_deadlock;isolated_physical_evidence_conflict,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51104,commercial,isolated_physical,private_fragmented,51104,0.0947145342339854,2.4688024103939927,1,9.0,0,1,commercial|isolated_physical|private_fragmented|51104|supply_03|deploy_repair_capacity,isolated_physical_resource_shortage,0.0947145342339854,2.4688024103939927,2,15.0,0,2,commercial|isolated_physical|private_fragmented|51104|supply_03|deploy_repair_capacity;commercial|isolated_physical|private_fragmented|51104|supply_02|verify,isolated_physical_resource_shortage;isolated_physical_evidence_conflict,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51105,commercial,isolated_physical,private_fragmented,51105,0.1044925089089409,2.8703952532665418,1,4.0,0,1,commercial|isolated_physical|private_fragmented|51105|supply_02|request_peer_evidence,isolated_physical_commitment_deadlock,0.0,2.9748877621754826,0,0.0,0,0,,,-0.1044925089089409,0.1044925089089408,0
commercial|isolated_physical|private_fragmented|51106,commercial,isolated_physical,private_fragmented,51106,0.0987408171463472,2.4569517620603434,1,4.0,0,1,commercial|isolated_physical|private_fragmented|51106|supply_04|request_peer_evidence,isolated_physical_commitment_deadlock,-0.26679726133732,2.822489840544011,1,6.0,1,0,commercial|isolated_physical|private_fragmented|51106|supply_01|verify,isolated_physical_resource_shortage,-0.3655380784836672,0.3655380784836675,1
commercial|isolated_physical|private_fragmented|51107,commercial,isolated_physical,private_fragmented,51107,-0.1329177712979398,2.7291970726628665,2,12.0,1,1,commercial|isolated_physical|private_fragmented|51107|supply_01|verify;commercial|isolated_physical|private_fragmented|51107|supply_02|verify,isolated_physical_unsafe_or_compromised_component;isolated_physical_route_or_service_failure,-0.2151347710144985,2.811414072379425,1,6.0,1,1,commercial|isolated_physical|private_fragmented|51107|supply_02|verify,isolated_physical_route_or_service_failure,-0.08221699971655869,0.08221699971655871,0
commercial|isolated_physical|private_fragmented|51108,commercial,isolated_physical,private_fragmented,51108,0.0,2.5772909919454534,0,0.0,0,0,,,0.0,2.5772909919454534,0,0.0,0,0,,,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51109,commercial,isolated_physical,private_fragmented,51109,0.0,3.1028978708215984,0,0.0,0,0,,,0.0,3.1028978708215984,0,0.0,0,0,,,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51110,commercial,isolated_physical,private_fragmented,51110,0.0,3.2128146843330967,0,0.0,0,0,,,0.0,3.2128146843330967,0,0.0,0,0,,,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51111,commercial,isolated_physical,private_fragmented,51111,0.0,2.7568986534346127,0,0.0,0,0,,,-0.2527688759487944,3.009667529383407,1,6.0,1,0,commercial|isolated_physical|private_fragmented|51111|supply_01|verify,isolated_physical_route_or_service_failure,-0.2527688759487944,0.2527688759487945,1
commercial|isolated_physical|private_fragmented|51112,commercial,isolated_physical,private_fragmented,51112,0.0,2.5787122663862028,1,6.0,0,0,commercial|isolated_physical|private_fragmented|51112|supply_01|verify,isolated_physical_evidence_conflict,0.0,2.5787122663862028,1,6.0,0,0,commercial|isolated_physical|private_fragmented|51112|supply_01|verify,isolated_physical_evidence_conflict,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51113,commercial,isolated_physical,private_fragmented,51113,0.0651611709670335,2.4852536109651093,1,4.0,0,1,commercial|isolated_physical|private_fragmented|51113|supply_02|request_peer_evidence,isolated_physical_commitment_deadlock,0.0651611709670335,2.4852536109651093,1,4.0,0,1,commercial|isolated_physical|private_fragmented|51113|supply_02|request_peer_evidence,isolated_physical_commitment_deadlock,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51114,commercial,isolated_physical,private_fragmented,51114,0.0,2.549379873775669,0,0.0,0,0,,,0.0,2.549379873775669,0,0.0,0,0,,,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51115,commercial,isolated_physical,private_fragmented,51115,0.0746938611101712,2.5599210402470507,1,4.0,0,1,commercial|isolated_physical|private_fragmented|51115|supply_01|request_peer_evidence,isolated_physical_commitment_deadlock,0.0,2.6346149013572218,0,0.0,0,0,,,-0.0746938611101712,0.07469386111017107,0
commercial|isolated_physical|private_fragmented|51116,commercial,isolated_physical,private_fragmented,51116,0.0955895391337438,2.426744006694234,1,9.0,0,0,commercial|isolated_physical|private_fragmented|51116|supply_04|deploy_repair_capacity,isolated_physical_resource_shortage,0.0955895391337438,2.426744006694234,1,9.0,0,0,commercial|isolated_physical|private_fragmented|51116|supply_04|deploy_repair_capacity,isolated_physical_resource_shortage,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51117,commercial,isolated_physical,private_fragmented,51117,0.0,2.5265586144415955,0,0.0,0,0,,,-0.6315695641218925,3.158128178563488,1,9.0,1,0,commercial|isolated_physical|private_fragmented|51117|supply_04|deploy_repair_capacity,isolated_physical_unsafe_or_compromised_component,-0.6315695641218925,0.6315695641218926,1
commercial|isolated_physical|private_fragmented|51118,commercial,isolated_physical,private_fragmented,51118,0.0,2.8073176767887094,0,0.0,0,0,,,0.0,2.8073176767887094,1,6.0,0,1,commercial|isolated_physical|private_fragmented|51118|supply_02|verify,isolated_physical_evidence_conflict,0.0,0.0,0
commercial|isolated_physical|private_fragmented|51119,commercial,isolated_physical,private_fragmented,51119,0.0962458847723527,2.198327849736189,1,9.0,0,1,commercial|isolated_physical|private_fragmented|51119|supply_03|deploy_repair_capacity,isolated_physical_resource_shortage,0.0,2.2945737345085417,0,0.0,0,0,,,-0.0962458847723527,0.09624588477235285,0
commercial|isolated_physical|private_fragmented|51120,commercial,isolated_physical,private_fragmented,51120,-0.3085244693216503,2.791167550886152,1,4.0,1,1,commercial|isolated_physical|private_fragmented|51120|supply_01|request_peer_evidence,isolated_physical_route_or_service_failure,0.0,2.4826430815645018,1,6.0,0,0,commercial|isolated_physical|private_fragmented|51120|supply_03|verify,isolated_physical_evidence_conflict,0.3085244693216503,-0.30852446932165023,-1
commercial|nominal|private_fragmented|51101,commercial,nominal,private_fragmented,51101,0.0,1.6979913608527821,0,0.0,0,0,,,0.0,1.6979913608527821,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51102,commercial,nominal,private_fragmented,51102,0.0,1.6048530962996854,0,0.0,0,0,,,0.0,1.6048530962996854,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51103,commercial,nominal,private_fragmented,51103,0.0448629352826442,1.1037235845505686,1,4.0,0,1,commercial|nominal|private_fragmented|51103|supply_01|request_peer_evidence,nominal_commitment_deadlock,0.0448629352826442,1.1037235845505686,1,4.0,0,1,commercial|nominal|private_fragmented|51103|supply_01|request_peer_evidence,nominal_commitment_deadlock,0.0,0.0,0
commercial|nominal|private_fragmented|51104,commercial,nominal,private_fragmented,51104,0.0,1.4962955435119496,0,0.0,0,0,,,0.0,1.4962955435119496,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51105,commercial,nominal,private_fragmented,51105,0.0,1.5856983765517674,0,0.0,0,0,,,0.0,1.5856983765517674,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51106,commercial,nominal,private_fragmented,51106,0.120684324817656,1.3730474350436441,2,13.0,0,2,commercial|nominal|private_fragmented|51106|supply_04|deploy_repair_capacity;commercial|nominal|private_fragmented|51106|supply_02|request_peer_evidence,nominal_resource_shortage;nominal_commitment_deadlock,0.120684324817656,1.3730474350436441,2,13.0,0,2,commercial|nominal|private_fragmented|51106|supply_04|deploy_repair_capacity;commercial|nominal|private_fragmented|51106|supply_02|request_peer_evidence,nominal_resource_shortage;nominal_commitment_deadlock,0.0,0.0,0
commercial|nominal|private_fragmented|51107,commercial,nominal,private_fragmented,51107,0.0720394418246911,1.3564994617379116,1,6.0,0,1,commercial|nominal|private_fragmented|51107|supply_03|verify,nominal_unsafe_or_compromised_component,0.0,1.4285389035626026,0,0.0,0,0,,,-0.0720394418246911,0.07203944182469102,0
commercial|nominal|private_fragmented|51108,commercial,nominal,private_fragmented,51108,0.0,1.2302431309124715,0,0.0,0,0,,,0.0,1.2302431309124715,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51109,commercial,nominal,private_fragmented,51109,0.0,1.9084647391312735,0,0.0,0,0,,,0.0,1.9084647391312735,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51110,commercial,nominal,private_fragmented,51110,0.0,1.54024472349841,0,0.0,0,0,,,0.0,1.54024472349841,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51111,commercial,nominal,private_fragmented,51111,0.0,1.5399276922060379,0,0.0,0,0,,,0.0,1.5399276922060379,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51112,commercial,nominal,private_fragmented,51112,0.061198692588569,1.7578365179679207,1,4.0,0,1,commercial|nominal|private_fragmented|51112|supply_03|request_peer_evidence,nominal_commitment_deadlock,0.061198692588569,1.7578365179679207,1,4.0,0,1,commercial|nominal|private_fragmented|51112|supply_03|request_peer_evidence,nominal_commitment_deadlock,0.0,0.0,0
commercial|nominal|private_fragmented|51113,commercial,nominal,private_fragmented,51113,0.0,1.249852006143223,0,0.0,0,0,,,0.0,1.249852006143223,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51114,commercial,nominal,private_fragmented,51114,0.0,1.4509727885381771,0,0.0,0,0,,,0.0,1.4509727885381771,0,0.0,0,0,,,0.0,0.0,0
commercial|nominal|private_fragmented|51115,commercial,nominal,private_fragmented,51115,0.0,1.398934207132298,0,0.0,0,0,,,0.0,1.398934207132298,0,0.0,0,0,,,0.0,0.0,0
