application,scenario_name,method,n,primary_outcome_mean,primary_outcome_ci95_low,primary_outcome_ci95_high,fulfillment_rate_mean,fulfillment_rate_ci95_low,fulfillment_rate_ci95_high,fairness_mean,fairness_ci95_low,fairness_ci95_high,messages_mean,messages_ci95_low,messages_ci95_high,monitor_sketch_messages_mean,monitor_sketch_messages_ci95_low,monitor_sketch_messages_ci95_high,total_communication_messages_mean,total_communication_messages_ci95_low,total_communication_messages_ci95_high,total_communication_bytes_mean,total_communication_bytes_ci95_low,total_communication_bytes_ci95_high,generated_tokens_mean,generated_tokens_ci95_low,generated_tokens_ci95_high,wall_clock_seconds_mean,wall_clock_seconds_ci95_low,wall_clock_seconds_ci95_high
commercial,factor_private_aligned,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04876260319724679,0.04819057182176038,0.049376868724357335
commercial,factor_private_aligned,learned_no_entropy,8,16.4735474246711,15.308460197359599,17.353747032380262,0.0983787464978134,0.05955365115928566,0.15547041019379845,0.7933321064103303,0.7040601001416246,0.8764005188370065,183.5,166.125,197.75,0.0,0.0,0.0,183.5,166.125,197.75,41989.5,40016.846875,43860.625,9064.625,8552.0875,9552.38125,128.79163594730198,119.5683732102043,137.25697875069454
commercial,factor_private_aligned,scripted_independent,8,15.58806099118904,15.12675006611227,16.10547712566791,0.1482957124707709,0.1197653867557863,0.18272422880936495,0.6445464402796288,0.5537059777576055,0.7541510839108038,52.5,46.75,58.5,0.0,0.0,0.0,52.5,46.75,58.5,16344.625,14756.39375,18042.75,0.0,0.0,0.0,0.08400885900482535,0.0627679480239749,0.12482870277017355
commercial,factor_private_aligned,thermoagent,8,16.597776798200243,16.061501010285752,17.16005965385674,0.08328037238179688,0.07256347977485748,0.09214945734525448,0.7549857847510255,0.6874683726622164,0.816852690688735,208.625,192.5,225.375,4706.0,4697.25,4714.5,4914.625,4895.125,4935.128125,1854782.5,1850878.5,1858845.875,9404.75,9046.125,9753.521875,141.00353887444362,134.58834885475227,147.44544184898257
commercial,factor_private_mixed,autonomous_fixed_comm,8,16.119071746692832,15.79093618430938,16.44100254194119,0.09433980882498749,0.07966762836917994,0.10991169375112131,0.800175322465665,0.7367629956239401,0.8731021506744677,67.0,64.25,69.875,0.0,0.0,0.0,67.0,64.25,69.875,5256.125,4970.10625,5511.25,5095.75,4952.75,5252.5,58.74116015341133,56.55055575512815,60.61465721497079
commercial,factor_private_mixed,autonomous_no_comm,8,13.920624984118852,13.34973905775942,14.491622921955337,0.20634106416963538,0.17029435051941277,0.2404023631556354,0.45496176360297,0.4199044547110099,0.48791975707064333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3226.125,3142.625,3315.5,35.163862326648086,33.83546615409432,36.405723232601304
commercial,factor_private_mixed,centralized_llm,8,17.06135734511864,16.534223769794533,17.555034422869742,0.041364742671920474,0.03405261657033562,0.04943161995704687,0.9703006339489939,0.9556301999349976,0.9822526000109428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,8.143109145574272,8.083315650420264,8.249178658809978
commercial,factor_private_mixed,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049813407473266125,0.04893642996903509,0.050770990550518036
commercial,factor_private_mixed,learned_no_entropy,8,16.382298985425464,15.680315117120985,16.992360571112968,0.09322451891642547,0.07222029970202304,0.12235288028213144,0.6894826873200712,0.6113113213348892,0.7747261839571199,180.25,159.625,199.12812499999995,0.0,0.0,0.0,180.25,159.625,199.12812499999995,41316.75,38262.0,44415.375,8913.875,8029.753125,9747.640625,137.10849836049601,123.82513927139807,149.5064836311736
commercial,factor_private_mixed,scripted_independent,8,15.58752987639473,15.172256598231947,16.009268740086878,0.15249963453718074,0.12194065709426129,0.18644763681001603,0.6252243159290778,0.5509169281328012,0.7248702498202557,61.75,58.625,65.0,0.0,0.0,0.0,61.75,58.625,65.0,18885.375,17588.75,20246.259374999998,0.0,0.0,0.0,0.06429141061380506,0.062361027719452976,0.06622240777360275
commercial,factor_private_mixed,thermoagent,8,16.56273814722677,16.199159830285254,16.94951746989694,0.07980485289366285,0.05916160203676649,0.10754057685163737,0.8039528029084619,0.7055456553750408,0.9042966404740564,197.875,186.75,208.375,4706.0,4697.25,4714.5,4903.875,4886.375,4920.003125,1854925.25,1851048.890625,1858903.25,9624.625,9096.1875,10132.75,141.2888856008649,133.81391958071617,148.6565505552222
commercial,factor_shared_aligned,autonomous_fixed_comm,8,14.642116342948174,13.970315076473815,15.273826551544346,0.17469953459431525,0.15574346591414853,0.19365560327448195,0.7109807570187052,0.5984769515977961,0.8175735872989448,41.5,38.0,46.0,0.0,0.0,0.0,41.5,38.0,46.0,6102.25,5931.5,6251.878125,4052.875,3902.625,4195.13125,53.43013999518007,50.11081693226006,56.41403280291706
commercial,factor_shared_aligned,autonomous_no_comm,8,12.682412280593724,11.69205181513301,13.50922927934624,0.2917741588078337,0.24187941684665665,0.3430425051288749,0.57078392994522,0.4818777773512851,0.6603736644123959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5254.75,4681.065625,5891.875,71.45656777452677,63.25789200987201,79.9214365822263
commercial,factor_shared_aligned,centralized_llm,8,14.69671024084838,14.289653759664422,15.147539499587745,0.2166379051696601,0.19700577719175158,0.2347071468084653,0.883530065451307,0.8117626486649705,0.9500245893301184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.5,1250.125,1270.125,22.542342216707766,22.12703428611858,22.950363775354344
commercial,factor_shared_aligned,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05369280278682709,0.051677382085472345,0.05656340392306447
commercial,factor_shared_aligned,learned_no_entropy,8,16.620761102052807,16.07095285968484,17.12206743792745,0.08305468879035009,0.0586909092743997,0.10955585210477062,0.7642518247425314,0.6590977409793214,0.875410162331229,125.5,110.625,141.75312499999995,0.0,0.0,0.0,125.5,110.625,141.75312499999995,32907.625,30398.940625,35280.128125,10367.875,9863.99375,10893.253125,172.74529278511181,162.86545681813732,180.2255637003109
commercial,factor_shared_aligned,scripted_independent,8,15.58806099118904,15.12675006611227,16.10547712566791,0.1482957124707709,0.1197653867557863,0.18272422880936495,0.6445464402796288,0.5537059777576055,0.7541510839108038,52.5,46.75,58.5,0.0,0.0,0.0,52.5,46.75,58.5,16344.625,14756.39375,18042.75,0.0,0.0,0.0,0.06945248506963253,0.0659429652383551,0.07372513414593414
commercial,factor_shared_aligned,thermoagent,8,16.045767533249254,15.196666458033143,16.907748274373258,0.11902364261075424,0.0781350851139782,0.1589433825029334,0.7588900773561501,0.662808401713139,0.8459402338497035,174.625,155.75,195.0,4706.0,4697.25,4714.5,4880.625,4859.375,4904.5,1851377.0,1847444.965625,1855953.2625,12681.5,12030.94375,13481.0,202.67628139583394,196.2387179588899,210.1689003508305
commercial,factor_shared_mixed,autonomous_fixed_comm,8,15.487663642670151,14.768349702206992,16.19564010983364,0.12532986373865365,0.09649026444903178,0.15375072812675175,0.8175667790815833,0.742755812388789,0.8889046818289454,48.0,46.0,49.875,0.0,0.0,0.0,48.0,46.0,49.875,6007.75,5859.25,6129.00625,4183.625,4084.625,4269.50625,58.510887692682445,56.16369968060171,60.85074279267574
commercial,factor_shared_mixed,autonomous_no_comm,8,12.983840630412404,12.216445024261558,13.816748395206186,0.27733764343897627,0.24488176020931046,0.3102660442321452,0.5884796616374456,0.5161295965368401,0.6569518487633706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5302.0,4636.875,6019.03125,77.42455854080617,67.28499343479052,87.57261219053761
commercial,factor_shared_mixed,centralized_llm,8,14.69671024084838,14.289653759664422,15.147539499587745,0.2166379051696601,0.19700577719175158,0.2347071468084653,0.883530065451307,0.8117626486649705,0.9500245893301184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.5,1250.125,1270.125,22.498647378291935,22.076724388054572,22.927107676502782
commercial,factor_shared_mixed,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04926428617909551,0.04858062556013465,0.05006065593333915
commercial,factor_shared_mixed,learned_no_entropy,8,16.87979409916663,16.386282512320626,17.348525536414538,0.05682747171512063,0.04660783238860146,0.06586112192663306,0.8206212350700633,0.712259035431478,0.9097385307404314,93.0,80.125,105.5,0.0,0.0,0.0,93.0,80.125,105.5,27978.875,25710.125,30242.875,12835.25,11435.6125,14187.78125,194.87546171434224,180.64101387010888,208.32661755895242
commercial,factor_shared_mixed,scripted_independent,8,15.58752987639473,15.172256598231947,16.009268740086878,0.15249963453718074,0.12194065709426129,0.18644763681001603,0.6252243159290778,0.5509169281328012,0.7248702498202557,61.75,58.625,65.0,0.0,0.0,0.0,61.75,58.625,65.0,18885.375,17588.75,20246.259374999998,0.0,0.0,0.0,0.06389709422364831,0.062429845333099365,0.06542632681084797
commercial,factor_shared_mixed,thermoagent,8,16.217412394742855,15.384087918746797,16.97996289745204,0.10410669647251758,0.06677639071608148,0.1512737659506653,0.6871788882962221,0.5895745995861063,0.8033781581585772,143.75,132.25,153.75,4706.0,4697.25,4714.5,4849.75,4837.125,4862.625,1847609.875,1842996.2875,1852123.1,14608.0,14196.084375,15054.125,215.810356143862,210.3344065840356,220.85253298614407
commercial,nominal_control,autonomous_fixed_comm,8,16.192235303439862,15.590395033808171,16.726404389864094,0.09944051551389091,0.07724500112492709,0.12387855930743047,0.7430567695831833,0.6719636225090044,0.8234960595340035,45.625,43.25,48.0,0.0,0.0,0.0,45.625,43.25,48.0,6085.0,5945.0,6223.753125,3715.0,3534.371875,3894.0312499999995,47.612559356261045,44.19657435364788,51.151609875215215
commercial,nominal_control,centralized_lookahead,8,0.30643290505560433,0.1992278917809716,0.41862832483298346,0.9981633609279041,0.9964713631292675,0.9994528254632464,0.9999871739826738,0.9999652497086269,0.9999990566702668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04992306837812066,0.04907500045374036,0.050813465833198276
commercial,nominal_control,learned_no_entropy,8,16.46066569438762,16.004107575506858,16.891621067060758,0.11005761511682527,0.08463450936523034,0.14039964914222247,0.7060197937753199,0.639967086038714,0.773346934210527,146.875,119.5,175.0,0.0,0.0,0.0,146.875,119.5,175.0,36734.875,33142.40625,40544.309375,9870.125,9254.375,10486.134375,163.19154810067266,148.78288027876988,175.99190076704835
commercial,nominal_control,scripted_independent,8,15.641006630918714,15.276120462025002,16.036629306203274,0.15191657346697365,0.11961774879798709,0.189463744599827,0.6972433883487954,0.63269818638349,0.7754788417364948,52.875,46.0,59.125,0.0,0.0,0.0,52.875,46.0,59.125,16450.875,14873.2375,18105.253125,0.0,0.0,0.0,0.06360791623592377,0.061649289447814226,0.06567049445584416
commercial,nominal_control,thermoagent,8,16.214706791082648,15.410587103773242,16.952729664362977,0.12070289886404062,0.09194048429906367,0.1465087507315585,0.7200155269201953,0.6451861416165456,0.7860326167157744,212.375,185.75,241.75,4706.0,4697.25,4714.5,4918.375,4887.75,4952.875,1854514.5,1848760.125,1860870.5,10641.125,10088.853125,11197.399999999998,168.65492071583867,157.17903170082718,181.30830647395925
commercial,private_mixed_compound_partition_large,autonomous_fixed_comm,8,17.02386194941364,16.602017339181117,17.421671172767404,0.04155280546152049,0.03599034185962333,0.046839041155711504,0.7994590715393924,0.7222345417447212,0.8699966127316943,60.125,55.5,64.0,0.0,0.0,0.0,60.125,55.5,64.0,5489.5,5170.375,5808.75,4911.75,4673.465625,5117.65625,56.49964829860255,53.270034690829924,58.80014848181745
commercial,private_mixed_compound_partition_large,autonomous_no_comm,8,15.641502581010704,15.039501379428248,16.174210935205974,0.10197862351182936,0.08675176667435328,0.12231291819649354,0.4659144513944255,0.4352368720379513,0.4987605662006145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3416.5,3372.5,3465.375,34.863343198783696,34.11416908822721,35.72621295036515
commercial,private_mixed_compound_partition_large,centralized_llm,8,17.368180321687234,16.89885693008412,17.80793316893203,0.023156627657798478,0.019038280077354294,0.027675920769025666,0.970332007179689,0.9554019780605096,0.9826459293142686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,8.132104822900146,8.115300867927726,8.150413820985705
commercial,private_mixed_compound_partition_large,centralized_lookahead,8,5.320214962864993,4.804578802258929,5.926822815788942,0.5923456593739744,0.5346698545184667,0.6363669561579133,0.9887361588095865,0.9816097434959451,0.9951160473519943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050159558188170195,0.048496806749608365,0.051882870960980654
commercial,private_mixed_compound_partition_large,learned_no_entropy,8,17.271991932884966,16.796274978698158,17.7235281285823,0.027869269700344583,0.021624233387055228,0.03461846125069026,0.8895844726511909,0.8320780621995616,0.943456277762726,190.0,165.25,216.0,0.0,0.0,0.0,190.0,165.25,216.0,44778.125,41026.125,48393.25,8895.125,8278.25,9505.25,137.92222610628232,128.3215279176831,147.99276579543948
commercial,private_mixed_compound_partition_large,scripted_independent,8,16.66356155381692,16.33818866830439,16.970895816470435,0.05663414649539088,0.044960599940316856,0.07220779194919463,0.7148033959857372,0.610037424126647,0.8141666935281036,79.875,75.0,84.37812499999995,0.0,0.0,0.0,79.875,75.0,84.37812499999995,23741.125,22102.875,25261.90625,0.0,0.0,0.0,0.06368196941912174,0.06098889699205756,0.06674737157300115
commercial,private_mixed_compound_partition_large,thermoagent,8,17.338242554982987,16.8910415638737,17.74863838319851,0.024051414982288393,0.020279135591787525,0.02809246325286251,0.9491976224388676,0.9067076138892043,0.9785675372628557,198.0,179.25,217.0,2917.75,2903.25,2930.5,3115.75,3088.5,3140.875,1166450.75,1160010.0125,1171363.34375,9501.875,9077.975,9964.731249999999,142.90625018347055,133.23671202997213,154.36853248579428
commercial,private_mixed_compound_partition_small,autonomous_fixed_comm,8,15.588776806515577,14.946589812076745,16.136203433788346,0.10380639102571887,0.08651674563565295,0.12283595516075163,0.9999998871759173,0.9999998439913302,0.9999999245282889,50.25,47.375,53.0,0.0,0.0,0.0,50.25,47.375,53.0,3790.75,3600.746875,3985.753125,4086.875,3929.86875,4225.134375,50.19727445486933,47.714890193077736,52.48251543054357
commercial,private_mixed_compound_partition_small,centralized_lookahead,8,1.323233673298738,1.189207574059938,1.4595073444451274,0.9938993891760737,0.9855039409481806,0.9993007859067263,0.9999999989873224,0.9999999989696462,0.9999999989985897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570971358567476,0.03464749773265794,0.03691689111292362
commercial,private_mixed_compound_partition_small,learned_no_entropy,8,16.832430850942224,16.288867206871664,17.309324369116844,0.03531384038704776,0.025880480777899357,0.04642841470824673,0.9999988026678044,0.9999983140413071,0.9999992721080031,101.0,93.25,108.625,0.0,0.0,0.0,101.0,93.25,108.625,29479.125,28233.75,30434.375,5659.375,4934.459375,6309.581249999999,93.53997891815379,80.02223584486637,105.29611445218325
commercial,private_mixed_compound_partition_small,scripted_independent,8,16.116092829094175,15.201112873524998,16.95700601486967,0.0618752808653725,0.031396954962264294,0.10385756320116454,0.9999990909944769,0.9999984989886597,0.9999996059675231,54.25,46.875,60.878124999999955,0.0,0.0,0.0,54.25,46.875,60.878124999999955,18212.0,15827.475,20261.949999999997,0.0,0.0,0.0,0.051377673633396626,0.048608191311359406,0.054231355898082256
commercial,private_mixed_compound_partition_small,thermoagent,8,16.915686582257585,16.434150347143824,17.361526690693115,0.02802888240841808,0.023151142520513538,0.033578492241555805,0.9999984645475444,0.9999979662560516,0.999998929576598,146.0,136.375,157.0,1417.25,1407.5,1429.0,1563.25,1550.75,1575.875,577738.375,574177.75,581926.465625,7190.625,6661.959375,7750.75,108.13182876072824,99.98208091271809,115.6594829089474
commercial,private_mixed_correlated,autonomous_fixed_comm,8,16.91593829329304,16.459452650221337,17.374108395053728,0.047281958596138,0.03954848387019238,0.05498365954330902,0.7623429421128718,0.6806314685605962,0.8453332531215572,61.875,57.375,66.0,0.0,0.0,0.0,61.875,57.375,66.0,5464.625,5105.7,5837.0125,4950.875,4701.10625,5187.0125,56.07723646471277,53.42315098113613,58.45317882907111
commercial,private_mixed_correlated,autonomous_no_comm,8,15.088298815556247,14.442779295688908,15.703234679268682,0.12266083839510848,0.1017813279972152,0.14586018281712942,0.4681579060512241,0.4346893628204306,0.5036943651890949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.625,3231.625,3391.625,35.57235501287505,33.46011408371851,37.67713098400272
commercial,private_mixed_correlated,centralized_llm,8,17.28189209024329,16.796588844852998,17.736470264588423,0.027775425405172166,0.022844346220040994,0.033208998682775555,0.970337300737399,0.955429124667733,0.9825725204867162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,8.124825509265065,8.104940099199302,8.141716583399102
commercial,private_mixed_correlated,centralized_lookahead,8,2.303730264150838,1.6308718662614776,3.1721131923679877,0.8033850405630316,0.7252954559824393,0.8606010913296882,0.9984244997890426,0.9977126187309597,0.9991578378640336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04945525387302041,0.04740910232067108,0.051675651303958146
commercial,private_mixed_correlated,learned_no_entropy,8,17.197894685785947,16.719991444413594,17.67197156568445,0.03283059048631105,0.026485452478063477,0.038442470079415945,0.9187293118802002,0.8556591249874425,0.971528727356698,197.375,177.375,217.5,0.0,0.0,0.0,197.375,177.375,217.5,44567.5,42753.5,46595.628124999996,8797.125,8029.109375,9496.515625,133.82450050394982,118.94742904324085,147.82594751752913
commercial,private_mixed_correlated,scripted_independent,8,16.63559688235196,16.244053030023817,16.979311674467127,0.06434124641536856,0.05364689555173862,0.0746613281400881,0.7207058309850571,0.6218811908539976,0.8212744989086788,70.625,66.375,74.625,0.0,0.0,0.0,70.625,66.375,74.625,20966.25,19960.453125,21855.059375,0.0,0.0,0.0,0.06326338229700923,0.060761166643351315,0.06612177146598697
commercial,private_mixed_correlated,thermoagent,8,17.121845413494178,16.569206995060092,17.6710918566449,0.03334885001945817,0.024562508746702103,0.043824111505526446,0.9059525969162093,0.8221655158055078,0.971772762768043,180.125,164.996875,197.0,3121.25,3076.74375,3158.75,3301.375,3249.246875,3348.375,1245847.5,1228111.25,1261028.0875,9276.375,9029.090625,9556.278124999999,139.94244355568662,134.84723655951674,145.04582392660657
humanitarian,factor_moderate_center,autonomous_fixed_comm,8,5369.2183651256755,5025.426961414845,5699.346330124809,0.07583856539123679,0.06379688003515226,0.09020422224877568,0.7010424957096775,0.5965272491170891,0.8035900136993558,34.75,33.25,36.125,0.0,0.0,0.0,34.75,33.25,36.125,5562.75,5455.11875,5627.5,3384.375,3263.9875,3488.5,45.052411692682654,42.02960676564835,47.523885793983936
humanitarian,factor_moderate_center,autonomous_no_comm,8,4851.248491184897,4471.158676395335,5184.668137908749,0.14137089737696046,0.11925471041235707,0.16525599078459963,0.4998640927147596,0.4610661886108405,0.5273136766527418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2772.5,2676.115625,2875.128125,36.46995072346181,34.89314781663707,38.21167598767206
humanitarian,factor_moderate_center,centralized_llm,8,5109.2433526256755,4866.047369453431,5336.271759267577,0.13050471785065143,0.11660598798728117,0.1476703688855885,0.57381263253215,0.5192666154146958,0.6376735306856707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.375,1314.625,1332.875,22.84653487568721,22.59350771866739,23.090510055422783
humanitarian,factor_moderate_center,centralized_lookahead,8,34.86108132792419,22.764736588938785,48.75573801959306,0.997198311789673,0.9943491387622544,0.9990853028210736,0.9999525585637784,0.9998673385750201,0.9999971633212614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04768237192183733,0.046510312298778445,0.049179051409009834
humanitarian,factor_moderate_center,learned_no_entropy,8,5610.203321375675,5276.1601259009,5935.475205612897,0.05192937244265682,0.04019225325928699,0.0687939706683914,0.8388951224485031,0.724615212513614,0.9336737974268878,148.875,137.5,160.5,0.0,0.0,0.0,148.875,137.5,160.5,29678.875,28132.359375,31348.75,8336.875,7869.9375,8733.625,130.08716536313295,119.56676547741517,140.38072014931822
humanitarian,factor_moderate_center,scripted_independent,8,5329.074547625676,4958.155073045124,5711.412044681458,0.1030506426347616,0.07112925173242594,0.13642349348185387,0.7176729947355778,0.6095006026749208,0.8284906588838888,49.625,43.5,56.0,0.0,0.0,0.0,49.625,43.5,56.0,14920.5,13369.25,16524.559374999997,0.0,0.0,0.0,0.06152692390605807,0.05979540672851726,0.06324394695693626
humanitarian,factor_moderate_center,thermoagent,8,5199.643796375675,4753.359766083982,5670.633796659265,0.12672823545670758,0.08578765717349439,0.17064115664210255,0.6613656342483359,0.5696553900310052,0.7561197154701897,164.125,152.0,176.875,4588.0,4579.5,4596.25,4752.125,4736.75,4768.75,1776392.5,1773129.403125,1779535.5,9416.0,8791.059375,9907.159375,150.42154075345024,140.50032204973976,158.9290994014591
humanitarian,factor_private_aligned,autonomous_fixed_comm,8,5542.091358875676,5207.733950952909,5877.402778549936,0.0529299772112867,0.045219283453234005,0.06069907144119278,0.8517099463362644,0.7300693766463774,0.9398493299183663,40.0,36.75,43.25,0.0,0.0,0.0,40.0,36.75,43.25,5290.75,5074.615625,5488.13125,3647.0,3445.871875,3877.125,47.619943843223155,42.954349682468454,52.868700604257164
humanitarian,factor_private_aligned,autonomous_no_comm,8,5364.348483875675,4975.4082395185105,5726.940524175558,0.09109831572721858,0.07889231787335142,0.10447859326907188,0.6016265911502658,0.5272149848679197,0.6705649255178104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2603.25,2537.61875,2676.003125,29.78505927650258,28.359672710369342,30.988456202263478
