method,rl_seed,status,algorithm,centralized_training,decentralized_execution,training_episodes,training_decision_epochs,evaluation_episodes,evaluation_decision_epochs,evaluation_mean_reward,evaluation_mean_service_loss,evaluation_mean_causal_utility,evaluation_harmful_actions_per_episode,evaluation_autonomous_harm_rate,evaluation_action_diversity,evaluation_actions_used,collapsed_to_no_action,training_operational_messages,training_operational_bytes,training_sketch_messages,training_sketch_bytes,evaluation_operational_messages,evaluation_operational_bytes,evaluation_sketch_messages,evaluation_sketch_bytes,all_training_and_evaluation_messages,all_training_and_evaluation_bytes,wall_seconds,device,checkpoint,checkpoint_sha256,curve,evaluation
ppo_shannon_js,66201,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0257223311717664,4.1748304554719375,0.8137600269130788,6.6,0.4011043586043586,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11300,1707518,17795,1779500,3002,458180,5429,542900,37526,4488098,83.35676747560501,cuda,training/checkpoints/ppo_shannon_js-seed-66201.pt,b538e32859921749a36081b3cc19d7a0d0897f53d67259b884423e568463f945,training/curves/ppo_shannon_js-seed-66201.csv,training/evaluation/ppo_shannon_js-seed-66201.csv
ppo_shannon_js,66202,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1756381538650424,4.332961648653022,0.4105925127294453,3.5166666666666666,0.3029960317460317,5,"['abstain', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11215,1707562,18202,1820200,2858,452764,5442,544200,37717,4524726,83.58406306803226,cuda,training/checkpoints/ppo_shannon_js-seed-66202.pt,edb470d2ee0b23a77fe48dd869112488603ec3af63c4c623ce09d9ff62ac7a84,training/curves/ppo_shannon_js-seed-66202.csv,training/evaluation/ppo_shannon_js-seed-66202.csv
ppo_shannon_js,66203,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.423088586923766,4.538319993288282,1.158980535240249,8.35,0.4670789773092405,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11342,1720936,17907,1790700,2980,467750,5401,540100,37630,4519486,83.67550394684076,cuda,training/checkpoints/ppo_shannon_js-seed-66203.pt,b518fbe379e22f3939efc2c24eccedab1ed21ec56f917d5939ab57aa59d405b1,training/curves/ppo_shannon_js-seed-66203.csv,training/evaluation/ppo_shannon_js-seed-66203.csv
ppo_shannon_js,66204,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0405329560698491,4.19033500663008,0.9408913115816196,5.25,0.377053658487482,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11353,1716812,17956,1795600,2826,435776,5379,537900,37514,4486088,83.22842244058847,cuda,training/checkpoints/ppo_shannon_js-seed-66204.pt,1edac0eed7a124d22baecfa4f9f97a816ea4f2804a8af582f1c7e4a3721cf624,training/curves/ppo_shannon_js-seed-66204.csv,training/evaluation/ppo_shannon_js-seed-66204.csv
ppo_shannon_js,66205,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0362930385856997,4.20815716502898,1.028793336417119,5.966666666666667,0.404923803048803,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11318,1713610,17712,1771200,2862,453114,5439,543900,37331,4481824,83.64509191736579,cuda,training/checkpoints/ppo_shannon_js-seed-66205.pt,3b37059167452c61209293450b25ec31c761590322a3e36a4c87f4bad6f2096d,training/curves/ppo_shannon_js-seed-66205.csv,training/evaluation/ppo_shannon_js-seed-66205.csv
ppo_generalized_tsallis_gini,66201,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0443374849391079,4.053574826918562,0.7803245283573778,4.633333333333334,0.4440585803085803,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11215,1699968,17800,1780000,2813,445742,5434,543400,37262,4469110,83.25183976069093,cuda,training/checkpoints/ppo_generalized_tsallis_gini-seed-66201.pt,0fc5363cacdbc69d9482e7c20c16b2b667b312e8f1b7821390d7fed8bb23c2dc,training/curves/ppo_generalized_tsallis_gini-seed-66201.csv,training/evaluation/ppo_generalized_tsallis_gini-seed-66201.csv
ppo_generalized_tsallis_gini,66202,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1491129025327389,4.187365129629496,0.5149104621175012,2.066666666666667,0.2738558201058201,4,"['abstain', 'defer', 'escalate_operator', 'execute_autonomously']",False,11177,1700878,18206,1820600,2735,437266,5441,544100,37559,4502844,83.93241477012634,cuda,training/checkpoints/ppo_generalized_tsallis_gini-seed-66202.pt,4f8ce4c7c5f311f0ea2a363916eaec70dc14b9651c39980b509d59a022987efd,training/curves/ppo_generalized_tsallis_gini-seed-66202.csv,training/evaluation/ppo_generalized_tsallis_gini-seed-66202.csv
ppo_generalized_tsallis_gini,66203,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.2019628848543074,4.205083685248525,0.8825672831264116,5.033333333333333,0.4779475072857425,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11288,1714764,17912,1791200,2812,447056,5405,540500,37417,4493520,83.93087976425886,cuda,training/checkpoints/ppo_generalized_tsallis_gini-seed-66203.pt,bfafb67619c05ed3dff872d6aa8efa023766afbf21aa3a2d3437d24076ab7910,training/curves/ppo_generalized_tsallis_gini-seed-66203.csv,training/evaluation/ppo_generalized_tsallis_gini-seed-66203.csv
ppo_generalized_tsallis_gini,66204,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0844954569295763,4.217806522539885,0.8086755137313197,6.483333333333333,0.3133956783956783,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11400,1720522,17952,1795200,2986,454830,5379,537900,37717,4508452,83.2892035767436,cuda,training/checkpoints/ppo_generalized_tsallis_gini-seed-66204.pt,5fd2803bb0dd3bb78260bc7482aefd4c9952ee1bca85abfb0c81d9407883ee52,training/curves/ppo_generalized_tsallis_gini-seed-66204.csv,training/evaluation/ppo_generalized_tsallis_gini-seed-66204.csv
ppo_generalized_tsallis_gini,66205,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.400868089763785,4.558318060239153,1.216752375464119,7.666666666666667,0.4603072772887014,4,"['abstain', 'communicate', 'escalate_operator', 'execute_autonomously']",False,11335,1710854,17709,1770900,2842,445696,5445,544500,37331,4471950,83.3947716653347,cuda,training/checkpoints/ppo_generalized_tsallis_gini-seed-66205.pt,f70ef65647620858e442f08528b35b50609ce7f5fd0bfd9286866a95723edcc3,training/curves/ppo_generalized_tsallis_gini-seed-66205.csv,training/evaluation/ppo_generalized_tsallis_gini-seed-66205.csv
ppo_combined_generalized_entropic,66201,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,0.0202412422447775,4.041727704829765,0.9245938168150498,3.55,0.2562390210551975,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11210,1698232,17797,1779700,2739,434048,5430,543000,37176,4454980,83.23593660071492,cuda,training/checkpoints/ppo_combined_generalized_entropic-seed-66201.pt,1c736b55f13574ebd50c3214c45290b2b134177c5f6860a0050f3fef722bf7a7,training/curves/ppo_combined_generalized_entropic-seed-66201.csv,training/evaluation/ppo_combined_generalized_entropic-seed-66201.csv
ppo_combined_generalized_entropic,66202,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,0.0678468874899235,3.973175559348568,0.8316401775578447,3.083333333333333,0.4160571373071373,5,"['abstain', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11213,1704624,18202,1820200,2748,438904,5440,544000,37603,4507728,83.80767823010683,cuda,training/checkpoints/ppo_combined_generalized_entropic-seed-66202.pt,6b34f5c8ee9a02352839b99185834781333478c3a71fd25c97de91114f6b3611,training/curves/ppo_combined_generalized_entropic-seed-66202.csv,training/evaluation/ppo_combined_generalized_entropic-seed-66202.csv
ppo_combined_generalized_entropic,66203,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1079527277462556,4.164687585749236,1.0135089848280452,7.7,0.4456903200285553,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11322,1716994,17917,1791700,3079,476432,5407,540700,37725,4525826,83.53730474039912,cuda,training/checkpoints/ppo_combined_generalized_entropic-seed-66203.pt,b6457152d112403bd21e7d010d5799b7dd505d98db3cc340670777d14353cc59,training/curves/ppo_combined_generalized_entropic-seed-66203.csv,training/evaluation/ppo_combined_generalized_entropic-seed-66203.csv
ppo_combined_generalized_entropic,66204,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.1092096150979355,4.23689987541155,0.4601387176359369,6.5,0.2578968253968254,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11358,1714440,17957,1795700,3156,477356,5375,537500,37846,4524996,83.51306867226958,cuda,training/checkpoints/ppo_combined_generalized_entropic-seed-66204.pt,2f9242cb4719d3f33d37fd35f70bc2f1cd2b034ddc92a7014b2cb02ae40ca98a,training/curves/ppo_combined_generalized_entropic-seed-66204.csv,training/evaluation/ppo_combined_generalized_entropic-seed-66204.csv
ppo_combined_generalized_entropic,66205,complete,sequential decentralized PPO with GAE,False,True,200,4800,60,1440,-0.0343836690607969,4.231382390686866,1.1665899116873235,6.1,0.4194379544747191,6,"['abstain', 'communicate', 'defer', 'escalate_operator', 'execute_autonomously', 'request_evidence']",False,11230,1698256,17712,1771200,2819,445326,5445,544500,37206,4459282,83.48893033340573,cuda,training/checkpoints/ppo_combined_generalized_entropic-seed-66205.pt,0339bf6e1c8c945f88afbb72886c30b5ffeb5f5e27c5ced989413c0d993234af,training/curves/ppo_combined_generalized_entropic-seed-66205.csv,training/evaluation/ppo_combined_generalized_entropic-seed-66205.csv
