representation,held_out_cluster,panel_id,truth,prediction,correct,truth_probability
simple_uncertainty,V14Q_g4,V14Q_g4_field_reversal,field_reversal,field_reversal,1,0.9425168207076756
simple_uncertainty,V14Q_g4,V14Q_g4_message_corruption,message_corruption,field_reversal,0,0.3429166936591107
simple_uncertainty,V14Q_g4,V14Q_g4_network_partition,network_partition,message_corruption,0,0.1385191459019067
simple_uncertainty,V14Q_g4,V14Q_g4_nominal,nominal,field_reversal,0,0.1116404361622336
simple_uncertainty,V14Q_g5,V14Q_g5_field_reversal,field_reversal,field_reversal,1,0.5055055789884009
simple_uncertainty,V14Q_g5,V14Q_g5_message_corruption,message_corruption,field_reversal,0,0.2038517244999324
simple_uncertainty,V14Q_g5,V14Q_g5_network_partition,network_partition,network_partition,1,0.4024771074833277
simple_uncertainty,V14Q_g5,V14Q_g5_nominal,nominal,network_partition,0,0.1848898628893432
full_statmech,V14Q_g0,V14Q_g0_field_reversal,field_reversal,field_reversal,1,0.98829584774395
full_statmech,V14Q_g0,V14Q_g0_message_corruption,message_corruption,message_corruption,1,0.5001932641105866
full_statmech,V14Q_g0,V14Q_g0_network_partition,network_partition,network_partition,1,0.424578741637252
full_statmech,V14Q_g0,V14Q_g0_nominal,nominal,message_corruption,0,0.0559283574762545
full_statmech,V14Q_g1,V14Q_g1_field_reversal,field_reversal,field_reversal,1,0.9687023120992106
full_statmech,V14Q_g1,V14Q_g1_message_corruption,message_corruption,nominal,0,0.252688221848479
full_statmech,V14Q_g1,V14Q_g1_network_partition,network_partition,nominal,0,0.208002432413784
full_statmech,V14Q_g1,V14Q_g1_nominal,nominal,nominal,1,0.5276824817716903
full_statmech,V14Q_g2,V14Q_g2_field_reversal,field_reversal,field_reversal,1,0.8865153655899701
full_statmech,V14Q_g2,V14Q_g2_message_corruption,message_corruption,nominal,0,0.2342988038999017
full_statmech,V14Q_g2,V14Q_g2_network_partition,network_partition,nominal,0,0.0312884033669166
full_statmech,V14Q_g2,V14Q_g2_nominal,nominal,nominal,1,0.8327549362688391
full_statmech,V14Q_g3,V14Q_g3_field_reversal,field_reversal,field_reversal,1,0.9627515919011796
full_statmech,V14Q_g3,V14Q_g3_message_corruption,message_corruption,network_partition,0,0.1289624147601062
full_statmech,V14Q_g3,V14Q_g3_network_partition,network_partition,nominal,0,0.0207758143119118
full_statmech,V14Q_g3,V14Q_g3_nominal,nominal,network_partition,0,0.1281195859466726
full_statmech,V14Q_g4,V14Q_g4_field_reversal,field_reversal,field_reversal,1,0.9813715988432464
full_statmech,V14Q_g4,V14Q_g4_message_corruption,message_corruption,network_partition,0,0.3902342490455395
full_statmech,V14Q_g4,V14Q_g4_network_partition,network_partition,message_corruption,0,0.3120615433401131
full_statmech,V14Q_g4,V14Q_g4_nominal,nominal,message_corruption,0,0.0295108153086109
full_statmech,V14Q_g5,V14Q_g5_field_reversal,field_reversal,field_reversal,1,0.7300519525073623
full_statmech,V14Q_g5,V14Q_g5_message_corruption,message_corruption,nominal,0,0.0787678036678102
full_statmech,V14Q_g5,V14Q_g5_network_partition,network_partition,network_partition,1,0.7552482691081928
full_statmech,V14Q_g5,V14Q_g5_nominal,nominal,network_partition,0,0.12112767332319
