cluster_id,sweep,phase,belief_magnetization,action_magnetization
V14Q_g3,43,recovery,0.0,0.0
V14Q_g3,44,recovery,0.0,0.0
V14Q_g3,45,recovery,0.0,0.0
V14Q_g4,1,baseline,0.0,0.25
V14Q_g4,2,baseline,0.0,0.25
V14Q_g4,3,baseline,-0.125,-0.125
V14Q_g4,4,baseline,0.0,0.0
V14Q_g4,5,baseline,0.0,0.0
V14Q_g4,6,baseline,0.125,0.125
V14Q_g4,7,baseline,0.0,0.0
V14Q_g4,8,baseline,0.0,0.0
V14Q_g4,9,baseline,0.0,0.0
V14Q_g4,10,baseline,0.125,0.125
V14Q_g4,11,baseline,0.0,0.0
V14Q_g4,12,baseline,0.0,0.0
V14Q_g4,13,baseline,0.0,0.0
V14Q_g4,14,baseline,0.0,0.0
V14Q_g4,15,baseline,0.0,0.0
V14Q_g4,16,disruption,0.0,0.0
V14Q_g4,17,disruption,0.0,0.0
V14Q_g4,18,disruption,0.0,0.0
V14Q_g4,19,disruption,0.0,0.0
V14Q_g4,20,disruption,0.0,0.0
V14Q_g4,21,disruption,0.0,0.0
V14Q_g4,22,disruption,0.0,0.0
V14Q_g4,23,disruption,0.0,0.0
V14Q_g4,24,disruption,0.0,0.0
V14Q_g4,25,disruption,0.0,0.0
V14Q_g4,26,disruption,0.125,0.125
V14Q_g4,27,disruption,0.0,0.0
V14Q_g4,28,disruption,0.0,0.0
V14Q_g4,29,disruption,0.0,0.0
V14Q_g4,30,disruption,0.0,0.0
V14Q_g4,31,recovery,0.0,0.125
V14Q_g4,32,recovery,0.0,0.0
V14Q_g4,33,recovery,0.0,0.0
V14Q_g4,34,recovery,0.0,0.0
V14Q_g4,35,recovery,0.0,0.0
V14Q_g4,36,recovery,0.0,0.0
V14Q_g4,37,recovery,0.125,0.125
V14Q_g4,38,recovery,0.0,0.0
V14Q_g4,39,recovery,0.0,0.0
V14Q_g4,40,recovery,0.0,0.0
V14Q_g4,41,recovery,0.0,0.0
V14Q_g4,42,recovery,0.0,0.0
V14Q_g4,43,recovery,0.0,0.0
V14Q_g4,44,recovery,0.0,0.0
V14Q_g4,45,recovery,0.0,0.0
V14Q_g5,1,baseline,0.0,0.375
V14Q_g5,2,baseline,-0.25,-0.125
V14Q_g5,3,baseline,0.0,0.125
V14Q_g5,4,baseline,0.125,0.125
V14Q_g5,5,baseline,0.125,0.125
V14Q_g5,6,baseline,0.0,0.0
V14Q_g5,7,baseline,0.0,0.0
V14Q_g5,8,baseline,0.0,0.0
V14Q_g5,9,baseline,0.0,0.0
V14Q_g5,10,baseline,0.0,0.0
V14Q_g5,11,baseline,0.0,0.0
V14Q_g5,12,baseline,0.0,0.0
V14Q_g5,13,baseline,0.0,0.0
V14Q_g5,14,baseline,0.0,0.0
V14Q_g5,15,baseline,0.0,0.0
V14Q_g5,16,disruption,0.0,0.0
V14Q_g5,17,disruption,0.0,0.0
V14Q_g5,18,disruption,0.0,0.0
V14Q_g5,19,disruption,0.0,0.0
V14Q_g5,20,disruption,0.0,0.0
V14Q_g5,21,disruption,0.0,0.0
V14Q_g5,22,disruption,0.0,0.0
V14Q_g5,23,disruption,0.0,0.0
V14Q_g5,24,disruption,0.0,0.0
V14Q_g5,25,disruption,0.0,0.0
V14Q_g5,26,disruption,0.0,0.0
V14Q_g5,27,disruption,0.0,0.0
V14Q_g5,28,disruption,0.0,0.0
V14Q_g5,29,disruption,0.0,0.0
V14Q_g5,30,disruption,0.0,0.0
V14Q_g5,31,recovery,0.0,0.0
V14Q_g5,32,recovery,0.0,0.0
V14Q_g5,33,recovery,0.0,0.0
V14Q_g5,34,recovery,0.0,0.0
V14Q_g5,35,recovery,0.0,0.0
V14Q_g5,36,recovery,0.0,0.0
V14Q_g5,37,recovery,0.125,0.125
V14Q_g5,38,recovery,0.0,0.0
V14Q_g5,39,recovery,0.0,0.0
V14Q_g5,40,recovery,0.0,0.0
V14Q_g5,41,recovery,0.0,0.0
V14Q_g5,42,recovery,0.0,0.0
V14Q_g5,43,recovery,0.0,0.0
V14Q_g5,44,recovery,0.0,0.0
V14Q_g5,45,recovery,0.0,0.0
