panel_id,disruption,phase,node,community,belief,action,confidence,uncertainty,memory,record_type,source,target,active,message_count,cross_community
V14Q_g0_field_reversal,field_reversal,disruption,3.0,0.0,-1.0,-1.0,0.8,0.5004024235381879,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,4.0,0.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,5.0,0.0,1.0,1.0,0.8,0.5004024235381879,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,6.0,0.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,7.0,0.0,1.0,1.0,0.68,0.6268694575724263,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,8.0,1.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,9.0,1.0,-1.0,-1.0,0.7,0.6108643020548935,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,10.0,1.0,1.0,1.0,0.7,0.6108643020548935,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,11.0,1.0,-1.0,-1.0,0.8,0.5004024235381879,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,12.0,1.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,13.0,1.0,-1.0,-1.0,0.7,0.6108643020548935,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,14.0,1.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,disruption,15.0,1.0,1.0,1.0,0.8,0.5004024235381879,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,0.0,0.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,1.0,0.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,2.0,0.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,3.0,0.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,4.0,0.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,5.0,0.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,6.0,0.0,1.0,1.0,0.75,0.5623351446188083,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,7.0,0.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,8.0,1.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,9.0,1.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,10.0,1.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,11.0,1.0,1.0,1.0,0.85,0.4227090878059909,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,12.0,1.0,-1.0,-1.0,0.75,0.5623351446188083,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,13.0,1.0,1.0,1.0,0.8,0.5004024235381879,2.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,14.0,1.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,recovery,15.0,1.0,-1.0,-1.0,0.85,0.4227090878059909,1.0,node,nan,nan,nan,nan,nan
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,0.0,1.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,0.0,7.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,0.0,9.0,1.0,2.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,1.0,0.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,1.0,2.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,1.0,12.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,2.0,1.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,2.0,3.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,2.0,10.0,1.0,2.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,3.0,2.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,3.0,4.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,3.0,11.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,4.0,3.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,4.0,5.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,4.0,8.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,5.0,4.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,5.0,6.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,5.0,15.0,1.0,5.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,6.0,5.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,6.0,7.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,6.0,14.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,7.0,0.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,7.0,6.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,7.0,13.0,1.0,1.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,8.0,4.0,1.0,2.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,8.0,9.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,8.0,15.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,9.0,0.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,9.0,8.0,1.0,9.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,9.0,10.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,10.0,2.0,1.0,5.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,10.0,9.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,10.0,11.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,11.0,3.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,11.0,10.0,1.0,9.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,11.0,12.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,12.0,1.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,12.0,11.0,1.0,9.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,12.0,13.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,13.0,7.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,13.0,12.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,13.0,14.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,14.0,6.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,14.0,13.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,14.0,15.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,15.0,5.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,15.0,8.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,baseline,nan,nan,nan,nan,nan,nan,nan,edge,15.0,14.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,0.0,1.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,0.0,7.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,0.0,9.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,1.0,0.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,1.0,2.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,1.0,12.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,2.0,1.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,2.0,3.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,2.0,10.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,3.0,2.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,3.0,4.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,3.0,11.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,4.0,3.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,4.0,5.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,4.0,8.0,1.0,5.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,5.0,4.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,5.0,6.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,5.0,15.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,6.0,5.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,6.0,7.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,6.0,14.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,7.0,0.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,7.0,6.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,7.0,13.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,8.0,4.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,8.0,9.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,8.0,15.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,9.0,0.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,9.0,8.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,9.0,10.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,10.0,2.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,10.0,9.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,10.0,11.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,11.0,3.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,11.0,10.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,11.0,12.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,12.0,1.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,12.0,11.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,12.0,13.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,13.0,7.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,13.0,12.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,13.0,14.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,14.0,6.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,14.0,13.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,14.0,15.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,15.0,5.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,15.0,8.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,disruption,nan,nan,nan,nan,nan,nan,nan,edge,15.0,14.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,0.0,1.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,0.0,7.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,0.0,9.0,1.0,10.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,1.0,0.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,1.0,2.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,1.0,12.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,2.0,1.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,2.0,3.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,2.0,10.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,3.0,2.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,3.0,4.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,3.0,11.0,1.0,3.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,4.0,3.0,1.0,7.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,4.0,5.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,4.0,8.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,5.0,4.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,5.0,6.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,5.0,15.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,6.0,5.0,1.0,2.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,6.0,7.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,6.0,14.0,1.0,8.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,7.0,0.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,7.0,6.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,7.0,13.0,1.0,6.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,8.0,4.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,8.0,9.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,8.0,15.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,9.0,0.0,1.0,2.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,9.0,8.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,9.0,10.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,10.0,2.0,1.0,2.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,10.0,9.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,10.0,11.0,1.0,8.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,11.0,3.0,1.0,4.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,11.0,10.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,11.0,12.0,1.0,6.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,12.0,1.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,12.0,11.0,1.0,5.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,12.0,13.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,13.0,7.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,13.0,12.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,13.0,14.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,14.0,6.0,1.0,8.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,14.0,13.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,14.0,15.0,1.0,3.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,15.0,5.0,1.0,7.0,1.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,15.0,8.0,1.0,4.0,0.0
V14Q_g0_field_reversal,field_reversal,recovery,nan,nan,nan,nan,nan,nan,nan,edge,15.0,14.0,1.0,4.0,0.0
