application,scenario,method,topology,communication,disruption,episodes,unique_environment_seeds,unique_rl_training_seeds
commercial,isolated,thermoagent,tri_region_bridge_v2,reliable,moderate,3,3,3
commercial,nominal,doet_rl,tri_region_bridge_v2,reliable,nominal,8,8,5
commercial,nominal,doet_rule,tri_region_bridge_v2,reliable,nominal,8,8,1
commercial,nominal,fixed_always_on,tri_region_bridge_v2,reliable,nominal,8,8,1
commercial,nominal,learned_no_entropy,tri_region_bridge_v2,reliable,nominal,8,8,5
humanitarian,communication_partition,autonomous_no_comm,tri_region_bridge_v2,partition,moderate,3,3,1
humanitarian,communication_partition,doet_rl,tri_region_bridge_v2,partition,moderate,16,16,5
humanitarian,communication_partition,doet_rule,tri_region_bridge_v2,partition,moderate,16,16,1
humanitarian,communication_partition,fixed_always_on,tri_region_bridge_v2,partition,moderate,16,16,1
humanitarian,communication_partition,kpi_cusum_trigger,tri_region_bridge_v2,partition,moderate,3,3,1
humanitarian,communication_partition,learned_no_entropy,tri_region_bridge_v2,partition,moderate,16,16,5
humanitarian,communication_partition,periodic_communication,tri_region_bridge_v2,partition,moderate,3,3,1
humanitarian,communication_partition,random_budget_matched,tri_region_bridge_v2,partition,moderate,3,3,1
humanitarian,communication_partition,thermoagent,tri_region_bridge_v2,partition,moderate,3,3,3
humanitarian,compound_ood,autonomous_no_comm,tri_region_bridge_v2,partition,compound,3,3,1
humanitarian,compound_ood,doet_rl,tri_region_bridge_v2,partition,compound,16,16,5
humanitarian,compound_ood,doet_rule,tri_region_bridge_v2,partition,compound,16,16,1
humanitarian,compound_ood,fixed_always_on,tri_region_bridge_v2,partition,compound,16,16,1
humanitarian,compound_ood,kpi_cusum_trigger,tri_region_bridge_v2,partition,compound,3,3,1
humanitarian,compound_ood,learned_no_entropy,tri_region_bridge_v2,partition,compound,16,16,5
humanitarian,compound_ood,periodic_communication,tri_region_bridge_v2,partition,compound,3,3,1
humanitarian,compound_ood,random_budget_matched,tri_region_bridge_v2,partition,compound,3,3,1
humanitarian,compound_ood,thermoagent,tri_region_bridge_v2,partition,compound,3,3,3
humanitarian,correlated,autonomous_no_comm,tri_region_bridge_v2,intermittent,correlated,3,3,1
humanitarian,correlated,doet_rl,tri_region_bridge_v2,intermittent,correlated,16,16,5
humanitarian,correlated,doet_rule,tri_region_bridge_v2,intermittent,correlated,16,16,1
humanitarian,correlated,fixed_always_on,tri_region_bridge_v2,intermittent,correlated,16,16,1
humanitarian,correlated,kpi_cusum_trigger,tri_region_bridge_v2,intermittent,correlated,3,3,1
humanitarian,correlated,learned_no_entropy,tri_region_bridge_v2,intermittent,correlated,16,16,5
humanitarian,correlated,periodic_communication,tri_region_bridge_v2,intermittent,correlated,3,3,1
humanitarian,correlated,random_budget_matched,tri_region_bridge_v2,intermittent,correlated,3,3,1
humanitarian,correlated,thermoagent,tri_region_bridge_v2,intermittent,correlated,3,3,3
humanitarian,isolated,autonomous_no_comm,tri_region_bridge_v2,reliable,moderate,3,3,1
humanitarian,isolated,doet_rl,tri_region_bridge_v2,reliable,moderate,16,16,5
humanitarian,isolated,doet_rule,tri_region_bridge_v2,reliable,moderate,16,16,1
humanitarian,isolated,fixed_always_on,tri_region_bridge_v2,reliable,moderate,16,16,1
humanitarian,isolated,kpi_cusum_trigger,tri_region_bridge_v2,reliable,moderate,3,3,1
humanitarian,isolated,learned_no_entropy,tri_region_bridge_v2,reliable,moderate,16,16,5
humanitarian,isolated,periodic_communication,tri_region_bridge_v2,reliable,moderate,3,3,1
humanitarian,isolated,random_budget_matched,tri_region_bridge_v2,reliable,moderate,3,3,1
humanitarian,isolated,thermoagent,tri_region_bridge_v2,reliable,moderate,3,3,3
humanitarian,nominal,doet_rl,tri_region_bridge_v2,reliable,nominal,8,8,5
humanitarian,nominal,doet_rule,tri_region_bridge_v2,reliable,nominal,8,8,1
humanitarian,nominal,fixed_always_on,tri_region_bridge_v2,reliable,nominal,8,8,1
humanitarian,nominal,learned_no_entropy,tri_region_bridge_v2,reliable,nominal,8,8,5
