method,application,scenario,paired_episodes,mean_message_reduction,message_reduction_ci95_low,message_reduction_ci95_high,communication_superior,communication_target_20_percent,mean_total_communication_messages_reduction,total_communication_messages_reduction_ci95_low,total_communication_messages_reduction_ci95_high,mean_total_communication_bytes_reduction,total_communication_bytes_reduction_ci95_low,total_communication_bytes_reduction_ci95_high,mean_prompt_tokens_reduction,prompt_tokens_reduction_ci95_low,prompt_tokens_reduction_ci95_high,mean_generated_tokens_reduction,generated_tokens_reduction_ci95_low,generated_tokens_reduction_ci95_high,mean_llm_calls_reduction,llm_calls_reduction_ci95_low,llm_calls_reduction_ci95_high,mean_llm_latency_seconds_reduction,llm_latency_seconds_reduction_ci95_low,llm_latency_seconds_reduction_ci95_high,mean_wall_clock_seconds_reduction,wall_clock_seconds_reduction_ci95_low,wall_clock_seconds_reduction_ci95_high
doet_rl,commercial,all_non_nominal,64,0.8649467800530204,0.8560703620582992,0.8734565321834289,True,True,0.8649467800530204,0.8560273273516292,0.8734808772053975,0.8310489381324911,0.8202535326034797,0.8412582634767022,0.6543826882604633,0.6292391280134132,0.6808329050603094,0.6954217886337843,0.6696080508770039,0.7210696428594049,0.6198052494494322,0.5964405942135861,0.6436526442855584,0.6609801391746157,0.6377571299498127,0.6861962972319527,0.6606868547338617,0.6368135003123127,0.6856309064449003
doet_rl,commercial,communication_partition,16,0.8684393264607491,0.8567017340134355,0.8806970319335935,True,True,0.8684393264607491,0.8570752903105001,0.8806778608791085,0.8347330564872977,0.8214236771008866,0.8491009139291695,0.7230207207074055,0.7008636968332097,0.7437975226516549,0.7684790836246622,0.7492803236418815,0.7880577655833144,0.6888971723367003,0.6669823949582835,0.7096005710560664,0.7417451863612898,0.7150525011586817,0.7694191038458235,0.7414145263822197,0.7147716926857783,0.7682971384307856
doet_rl,commercial,compound_ood,16,0.8580009259150239,0.8461717575230572,0.8699988135028827,True,True,0.8580009259150239,0.845961844216872,0.870212035903359,0.8209140261048204,0.8079161725160211,0.8344835689915648,0.654642453109437,0.6291899318801757,0.6867659760379323,0.6922008240267485,0.6657810879306574,0.7228102756543826,0.615539914321991,0.5889257672588274,0.6485628148429308,0.649480335189661,0.6231765793060412,0.6831877120117931,0.6491851802051114,0.6227054081059225,0.684764215182585
doet_rl,commercial,correlated,16,0.8745629342201607,0.8484566574363802,0.8937156014869104,True,True,0.8745629342201607,0.8490096486322188,0.893855890261239,0.8463445051063607,0.8150953423299935,0.869671876726103,0.6262969982843489,0.5692852140717967,0.6702748735023483,0.6729194137113725,0.615431718958876,0.7153123801607975,0.592119195580207,0.5338188422965296,0.6375294667747649,0.6434645196563925,0.6008652503432674,0.679860486306371,0.6431553043867619,0.5992659160390201,0.6791937944780193
doet_rl,commercial,isolated,16,0.858783933616148,0.8479194491653933,0.8710449344712765,True,True,0.858783933616148,0.8478592352607509,0.8710077790167214,0.8222041648314862,0.8083459035348846,0.8369194021181788,0.6135705809406622,0.5702295172315474,0.6630402509439477,0.6480878331723541,0.6065345808452922,0.6981032174048141,0.5826647155588306,0.5425144861567396,0.6288872137057635,0.6092305154911195,0.5733371020058174,0.6576358841586064,0.6089924079613538,0.5725607608302217,0.6586867940872135
doet_rl,humanitarian,all_non_nominal,64,0.848501695422332,0.84308392589589,0.8536050289952039,True,True,0.848501695422332,0.8429176464188297,0.8536015846548013,0.8088029739792921,0.8009500848027384,0.8159227509057178,0.6407675072900223,0.6166780991145344,0.6647218523243078,0.6769161706451656,0.6489673989174147,0.7049601448035754,0.6046011044873565,0.5795727769053852,0.6313046410164213,0.6309613928781619,0.600869893338526,0.6604295076692411,0.6306440114068154,0.6003873162925142,0.6598867253120794
doet_rl,humanitarian,communication_partition,16,0.8461921356241042,0.8336567734189837,0.8558242192874854,True,True,0.8461921356241042,0.8337749627644656,0.8558770615433966,0.8031847463676138,0.7864842977582068,0.8159252581090124,0.6485875902192145,0.6125666654597006,0.6753630327493679,0.6885697181999667,0.6532841054470513,0.7171860943240506,0.6126768755035479,0.5766910660589067,0.6422819142950252,0.6424400612183545,0.6050157451879963,0.6745300946131372,0.6421291001345064,0.6039568702574103,0.674535143016928
doet_rl,humanitarian,compound_ood,16,0.8306211709411384,0.8202136226791695,0.8396732243766111,True,True,0.8306211709411384,0.8201890036762027,0.8399784572562442,0.7868037009128269,0.7733917333384975,0.8005982882611552,0.6425809530431048,0.6064106320274121,0.6810264594225133,0.671656783032144,0.6224169208734939,0.7194126450706021,0.6022897584555866,0.5612287808203027,0.6447233390050245,0.6267624017825197,0.5771181425790242,0.6767661518670183,0.6264483138081698,0.5750104697255134,0.6785191097363505
doet_rl,humanitarian,correlated,16,0.8614705463829069,0.8528297481757733,0.8702283683240137,True,True,0.8614705463829069,0.8530035910926309,0.8706858433183826,0.8273079229745621,0.814463745163697,0.8404072140387646,0.5849506286082992,0.5535764956157909,0.6179701650865136,0.627537885149736,0.5927739947275412,0.6619844630456039,0.5551319986750619,0.5226729098164316,0.5884597090043172,0.5794332922734615,0.5436659602912488,0.617168216130252,0.5791177655729172,0.5436452932612312,0.6177655701679968
doet_rl,humanitarian,isolated,16,0.8557229287411783,0.848452311677042,0.8622629703748221,True,True,0.8557229287411783,0.8481610055330371,0.8620360437921205,0.8179155256621653,0.8077403096707272,0.8270094069292936,0.6869508572894705,0.6516121226502344,0.7161528991782873,0.7199002961988156,0.6846503824410763,0.7492208446839526,0.6483057853152295,0.6131347084235035,0.6777958781840868,0.6752098162383118,0.6486111320490412,0.7039124316034845,0.6748808661116681,0.6477993703124678,0.7043605611365814
