application,scenario_name,method,method_variant,episodes,complete,primary_outcome_mean,total_messages_mean,total_bytes_mean,prompt_tokens_mean,generated_tokens_mean,llm_calls_mean,latency_seconds_mean,episodes_with_activation,total_trigger_activations,quiet_mode_fraction_mean,targeted_mode_fraction_mean,crisis_mode_fraction_mean
humanitarian,compound_partition,doet_rule,partition_signal_noise,3,3,12779.590680194446,68.33333333333333,20784.333333333332,131638.0,4929.0,77.66666666666667,75.38881173233193,0,0,1.0,0.0,0.0
humanitarian,compound_partition,doet_rule,selected,3,3,12779.590680194446,71.33333333333333,21037.666666666668,142980.66666666666,5311.0,83.33333333333333,84.12157137195268,0,0,1.0,0.0,0.0
humanitarian,compound_partition,doet_rule,without_distributed_gossip,3,3,12779.590680194446,50.333333333333336,13052.0,140583.0,5210.666666666667,82.0,76.6528914322456,0,0,1.0,0.0,0.0
humanitarian,compound_partition,doet_rule,without_hysteresis,3,3,12779.590680194446,71.33333333333333,21037.666666666668,142980.66666666666,5311.0,83.33333333333333,84.17370121056832,0,0,1.0,0.0,0.0
humanitarian,compound_partition,doet_rule,without_local_surprisal,3,3,12779.590680194446,71.33333333333333,21037.666666666668,142980.66666666666,5311.0,83.33333333333333,84.23366990561286,0,0,1.0,0.0,0.0
humanitarian,compound_partition,global_entropy_trigger_oracle,base,3,3,12779.590680194446,51.0,13294.333333333334,143776.33333333334,5313.0,83.0,83.55321416879691,0,0,1.0,0.0,0.0
humanitarian,compound_partition,kpi_cusum_trigger,private_local_kpi,3,3,12779.590680194446,115.0,32209.666666666668,307145.6666666667,10450.333333333334,158.66666666666666,155.78836987664306,3,21,0.3,0.0,0.6999999999999998
humanitarian,correlated,disruption_label_oracle,base,3,3,10998.545049061942,99.66666666666667,27325.333333333332,227872.66666666666,8644.333333333334,124.0,144.70918130253753,3,30,0.5166666666666667,0.15,0.3333333333333333
humanitarian,correlated,doet_rule,partition_signal_noise,3,3,11096.753549061943,77.33333333333333,23576.333333333332,130238.0,4901.333333333333,77.33333333333333,71.03640655924879,0,0,1.0,0.0,0.0
humanitarian,correlated,doet_rule,selected,3,3,11096.753549061943,63.333333333333336,19470.333333333332,114083.33333333333,4388.333333333333,69.33333333333333,63.057984905938305,0,0,1.0,0.0,0.0
humanitarian,correlated,doet_rule,without_distributed_gossip,3,3,11096.753549061943,47.666666666666664,12878.0,119795.33333333333,4589.666666666667,72.66666666666667,66.71798584361872,0,0,1.0,0.0,0.0
humanitarian,correlated,doet_rule,without_hysteresis,3,3,11096.753549061943,63.333333333333336,19470.333333333332,114083.33333333333,4388.333333333333,69.33333333333333,63.09066778421405,0,0,1.0,0.0,0.0
humanitarian,correlated,doet_rule,without_local_surprisal,3,3,11096.753549061943,63.333333333333336,19470.333333333332,114083.33333333333,4388.333333333333,69.33333333333333,63.04354618862274,0,0,1.0,0.0,0.0
humanitarian,correlated,global_entropy_trigger_oracle,base,3,3,11096.753549061943,54.333333333333336,14871.666666666666,129906.66666666667,4908.333333333333,77.33333333333333,71.0320563937227,0,0,1.0,0.0,0.0
humanitarian,correlated,kpi_cusum_trigger,private_local_kpi,3,3,11096.753549061943,122.0,35374.666666666664,295660.6666666667,10668.333333333334,154.33333333333334,156.35021736969546,3,21,0.3,0.0,0.6999999999999998
