cluster_id,panel_id,disruption,sweep,phase,reference_energy_per_agent,configuration_entropy
V14Q_g1,V14Q_g1_field_reversal,field_reversal,4,baseline,-1.4791666666666667,1.9769260456234168
V14Q_g1,V14Q_g1_field_reversal,field_reversal,5,baseline,-1.4791666666666667,1.956842654152374
V14Q_g1,V14Q_g1_field_reversal,field_reversal,6,baseline,-1.4791666666666667,1.3453539723263064
V14Q_g1,V14Q_g1_field_reversal,field_reversal,7,baseline,-1.6062500000000002,0.9106636760991916
V14Q_g1,V14Q_g1_field_reversal,field_reversal,8,baseline,-1.6625,0.7286359863911529
V14Q_g1,V14Q_g1_field_reversal,field_reversal,9,baseline,-1.6062500000000002,1.1433278038002126
V14Q_g1,V14Q_g1_field_reversal,field_reversal,10,baseline,-1.6625,1.2873022856612089
V14Q_g1,V14Q_g1_field_reversal,field_reversal,11,baseline,-1.6625,1.1774426920125436
V14Q_g1,V14Q_g1_field_reversal,field_reversal,12,baseline,-1.6625,0.7601789012787232
V14Q_g1,V14Q_g1_field_reversal,field_reversal,13,baseline,-1.6625,0.2967152565836348
V14Q_g1,V14Q_g1_field_reversal,field_reversal,14,baseline,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,15,baseline,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,16,disruption,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,17,disruption,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,18,disruption,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,19,disruption,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,20,disruption,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,21,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,22,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,23,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,24,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,25,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,26,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,27,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,28,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,29,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,30,disruption,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,31,recovery,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,32,recovery,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,33,recovery,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,34,recovery,-1.6625,0.9210222598276818
V14Q_g1,V14Q_g1_field_reversal,field_reversal,35,recovery,-1.74375,1.3275992289524594
V14Q_g1,V14Q_g1_field_reversal,field_reversal,36,recovery,-1.6625,0.4637264398194103
V14Q_g1,V14Q_g1_field_reversal,field_reversal,37,recovery,-1.6625,0.4637264398194103
V14Q_g1,V14Q_g1_field_reversal,field_reversal,38,recovery,-1.6625,0.4637264398194103
V14Q_g1,V14Q_g1_field_reversal,field_reversal,39,recovery,-1.6625,0.4637264398194103
V14Q_g1,V14Q_g1_field_reversal,field_reversal,40,recovery,-1.6625,0.0671968803626978
V14Q_g1,V14Q_g1_field_reversal,field_reversal,41,recovery,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,42,recovery,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,43,recovery,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,44,recovery,-1.6625,-0.0
V14Q_g1,V14Q_g1_field_reversal,field_reversal,45,recovery,-1.6625,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,1,baseline,-1.0541666666666667,1.5110861760736112
V14Q_g2,V14Q_g2_field_reversal,field_reversal,2,baseline,-1.1458333333333337,1.7568280351985095
V14Q_g2,V14Q_g2_field_reversal,field_reversal,3,baseline,-1.6708333333333334,1.8967980267320603
V14Q_g2,V14Q_g2_field_reversal,field_reversal,4,baseline,-1.6708333333333334,1.925508550712867
V14Q_g2,V14Q_g2_field_reversal,field_reversal,5,baseline,-1.53125,1.9835419947290869
V14Q_g2,V14Q_g2_field_reversal,field_reversal,6,baseline,-1.6708333333333334,1.4474837582223257
V14Q_g2,V14Q_g2_field_reversal,field_reversal,7,baseline,-1.6145833333333337,1.020069541476312
V14Q_g2,V14Q_g2_field_reversal,field_reversal,8,baseline,-1.6708333333333334,0.6327150711697842
V14Q_g2,V14Q_g2_field_reversal,field_reversal,9,baseline,-1.74375,0.6327150711697842
V14Q_g2,V14Q_g2_field_reversal,field_reversal,10,baseline,-1.9375,0.766064073525853
V14Q_g2,V14Q_g2_field_reversal,field_reversal,11,baseline,-1.88125,1.1051875483022535
V14Q_g2,V14Q_g2_field_reversal,field_reversal,12,baseline,-1.74375,1.598758685516028
V14Q_g2,V14Q_g2_field_reversal,field_reversal,13,baseline,-1.9375,1.5636851150603812
V14Q_g2,V14Q_g2_field_reversal,field_reversal,14,baseline,-1.9375,1.430505768763714
V14Q_g2,V14Q_g2_field_reversal,field_reversal,15,baseline,-1.9375,1.2473404648127822
V14Q_g2,V14Q_g2_field_reversal,field_reversal,16,disruption,-1.6166666666666667,1.7779085307841531
V14Q_g2,V14Q_g2_field_reversal,field_reversal,17,disruption,-1.9375,1.7296348775396493
V14Q_g2,V14Q_g2_field_reversal,field_reversal,18,disruption,-1.9375,1.513941891101906
V14Q_g2,V14Q_g2_field_reversal,field_reversal,19,disruption,-1.9375,1.513941891101906
V14Q_g2,V14Q_g2_field_reversal,field_reversal,20,disruption,-1.9375,1.513941891101906
V14Q_g2,V14Q_g2_field_reversal,field_reversal,21,disruption,-1.9375,0.5777838380246246
V14Q_g2,V14Q_g2_field_reversal,field_reversal,22,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,23,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,24,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,25,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,26,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,27,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,28,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,29,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,30,disruption,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,31,recovery,-1.9375,0.9383509393416803
V14Q_g2,V14Q_g2_field_reversal,field_reversal,32,recovery,-1.9375,0.9383509393416803
V14Q_g2,V14Q_g2_field_reversal,field_reversal,33,recovery,-1.9375,0.9383509393416803
V14Q_g2,V14Q_g2_field_reversal,field_reversal,34,recovery,-1.88125,1.2871758946603062
V14Q_g2,V14Q_g2_field_reversal,field_reversal,35,recovery,-1.9375,1.439859877247583
V14Q_g2,V14Q_g2_field_reversal,field_reversal,36,recovery,-1.9375,0.5623351446188083
V14Q_g2,V14Q_g2_field_reversal,field_reversal,37,recovery,-1.9375,0.5623351446188083
V14Q_g2,V14Q_g2_field_reversal,field_reversal,38,recovery,-1.9375,0.5623351446188083
V14Q_g2,V14Q_g2_field_reversal,field_reversal,39,recovery,-1.9375,0.3767701612564367
V14Q_g2,V14Q_g2_field_reversal,field_reversal,40,recovery,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,41,recovery,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,42,recovery,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,43,recovery,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,44,recovery,-1.9375,-0.0
V14Q_g2,V14Q_g2_field_reversal,field_reversal,45,recovery,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,1,baseline,-1.3479166666666669,2.1006789212792603
V14Q_g3,V14Q_g3_field_reversal,field_reversal,2,baseline,-1.4770833333333333,2.0742682602785667
V14Q_g3,V14Q_g3_field_reversal,field_reversal,3,baseline,-1.55,2.126278474954819
V14Q_g3,V14Q_g3_field_reversal,field_reversal,4,baseline,-1.9375,2.328372552654037
V14Q_g3,V14Q_g3_field_reversal,field_reversal,5,baseline,-1.9375,2.315560374497428
V14Q_g3,V14Q_g3_field_reversal,field_reversal,6,baseline,-1.9375,1.6096908011965547
V14Q_g3,V14Q_g3_field_reversal,field_reversal,7,baseline,-1.9375,1.1466988489869598
V14Q_g3,V14Q_g3_field_reversal,field_reversal,8,baseline,-1.9375,0.6087672527412475
V14Q_g3,V14Q_g3_field_reversal,field_reversal,9,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,10,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,11,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,12,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,13,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,14,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,15,baseline,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,16,disruption,-1.9375,0.8909041134740833
V14Q_g3,V14Q_g3_field_reversal,field_reversal,17,disruption,-1.9375,0.8909041134740833
V14Q_g3,V14Q_g3_field_reversal,field_reversal,18,disruption,-1.9375,0.8909041134740833
V14Q_g3,V14Q_g3_field_reversal,field_reversal,19,disruption,-1.9375,0.8909041134740833
V14Q_g3,V14Q_g3_field_reversal,field_reversal,20,disruption,-1.9375,0.8909041134740833
V14Q_g3,V14Q_g3_field_reversal,field_reversal,21,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,22,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,23,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,24,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,25,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,26,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,27,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,28,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,29,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,30,disruption,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,31,recovery,-1.9375,0.9383509393416803
V14Q_g3,V14Q_g3_field_reversal,field_reversal,32,recovery,-1.9375,0.9383509393416803
V14Q_g3,V14Q_g3_field_reversal,field_reversal,33,recovery,-1.9375,0.9383509393416803
V14Q_g3,V14Q_g3_field_reversal,field_reversal,34,recovery,-1.9375,0.9383509393416803
V14Q_g3,V14Q_g3_field_reversal,field_reversal,35,recovery,-1.9375,0.9383509393416803
V14Q_g3,V14Q_g3_field_reversal,field_reversal,36,recovery,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,37,recovery,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,38,recovery,-1.9375,-0.0
V14Q_g3,V14Q_g3_field_reversal,field_reversal,39,recovery,-1.88125,0.482577565177012
V14Q_g3,V14Q_g3_field_reversal,field_reversal,40,recovery,-1.9375,0.6393632996691399
V14Q_g3,V14Q_g3_field_reversal,field_reversal,41,recovery,-1.9375,0.6393632996691399
V14Q_g3,V14Q_g3_field_reversal,field_reversal,42,recovery,-1.9375,0.6393632996691399
V14Q_g3,V14Q_g3_field_reversal,field_reversal,43,recovery,-1.9375,0.6393632996691399
V14Q_g3,V14Q_g3_field_reversal,field_reversal,44,recovery,-1.9375,0.4227090878059908
V14Q_g3,V14Q_g3_field_reversal,field_reversal,45,recovery,-1.9375,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,1,baseline,-1.2875,1.857659766353584
V14Q_g4,V14Q_g4_field_reversal,field_reversal,2,baseline,-1.5416666666666667,1.93252025101436
V14Q_g4,V14Q_g4_field_reversal,field_reversal,3,baseline,-1.6062500000000002,2.189823956843776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,4,baseline,-1.8,2.224405718323267
V14Q_g4,V14Q_g4_field_reversal,field_reversal,5,baseline,-1.8,2.0208307572041195
V14Q_g4,V14Q_g4_field_reversal,field_reversal,6,baseline,-1.74375,1.651427078283381
V14Q_g4,V14Q_g4_field_reversal,field_reversal,7,baseline,-1.8,1.2156850975683071
V14Q_g4,V14Q_g4_field_reversal,field_reversal,8,baseline,-1.8,0.6719437041252312
V14Q_g4,V14Q_g4_field_reversal,field_reversal,9,baseline,-1.8,0.5623351446188083
V14Q_g4,V14Q_g4_field_reversal,field_reversal,10,baseline,-1.74375,0.5881687773541907
V14Q_g4,V14Q_g4_field_reversal,field_reversal,11,baseline,-1.8,0.5481810556897022
V14Q_g4,V14Q_g4_field_reversal,field_reversal,12,baseline,-1.8,0.4227090878059908
V14Q_g4,V14Q_g4_field_reversal,field_reversal,13,baseline,-1.8,0.4227090878059908
V14Q_g4,V14Q_g4_field_reversal,field_reversal,14,baseline,-1.8,0.4227090878059908
V14Q_g4,V14Q_g4_field_reversal,field_reversal,15,baseline,-1.8,0.3767701612564367
V14Q_g4,V14Q_g4_field_reversal,field_reversal,16,disruption,-1.8,0.9730082983696776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,17,disruption,-1.8,0.9730082983696776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,18,disruption,-1.8,0.9730082983696776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,19,disruption,-1.8,0.9730082983696776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,20,disruption,-1.8,0.9730082983696776
V14Q_g4,V14Q_g4_field_reversal,field_reversal,21,disruption,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,22,disruption,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,23,disruption,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,24,disruption,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,25,disruption,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,26,disruption,-1.74375,0.3250829733914482
V14Q_g4,V14Q_g4_field_reversal,field_reversal,27,disruption,-1.8,0.3250829733914482
V14Q_g4,V14Q_g4_field_reversal,field_reversal,28,disruption,-1.8,0.3250829733914482
V14Q_g4,V14Q_g4_field_reversal,field_reversal,29,disruption,-1.8,0.3250829733914482
V14Q_g4,V14Q_g4_field_reversal,field_reversal,30,disruption,-1.8,0.3250829733914482
V14Q_g4,V14Q_g4_field_reversal,field_reversal,31,recovery,-1.78125,0.9903369778836764
V14Q_g4,V14Q_g4_field_reversal,field_reversal,32,recovery,-1.8,1.382494511833334
V14Q_g4,V14Q_g4_field_reversal,field_reversal,33,recovery,-1.8,1.382494511833334
V14Q_g4,V14Q_g4_field_reversal,field_reversal,34,recovery,-1.8,1.382494511833334
V14Q_g4,V14Q_g4_field_reversal,field_reversal,35,recovery,-1.8,1.382494511833334
V14Q_g4,V14Q_g4_field_reversal,field_reversal,36,recovery,-1.8,0.482577565177012
V14Q_g4,V14Q_g4_field_reversal,field_reversal,37,recovery,-1.6062500000000002,0.0671968803626978
V14Q_g4,V14Q_g4_field_reversal,field_reversal,38,recovery,-1.8,0.482577565177012
V14Q_g4,V14Q_g4_field_reversal,field_reversal,39,recovery,-1.8,0.482577565177012
V14Q_g4,V14Q_g4_field_reversal,field_reversal,40,recovery,-1.8,0.482577565177012
V14Q_g4,V14Q_g4_field_reversal,field_reversal,41,recovery,-1.8,0.482577565177012
V14Q_g4,V14Q_g4_field_reversal,field_reversal,42,recovery,-1.8,0.4637264398194103
V14Q_g4,V14Q_g4_field_reversal,field_reversal,43,recovery,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,44,recovery,-1.8,-0.0
V14Q_g4,V14Q_g4_field_reversal,field_reversal,45,recovery,-1.8,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,1,baseline,-0.7145833333333333,1.890362775338868
V14Q_g5,V14Q_g5_field_reversal,field_reversal,2,baseline,-1.2270833333333333,2.365995085825795
V14Q_g5,V14Q_g5_field_reversal,field_reversal,3,baseline,-1.5895833333333331,2.67067835548498
V14Q_g5,V14Q_g5_field_reversal,field_reversal,4,baseline,-1.6062500000000002,2.659739591255783
V14Q_g5,V14Q_g5_field_reversal,field_reversal,5,baseline,-1.6062500000000002,2.424000910669782
V14Q_g5,V14Q_g5_field_reversal,field_reversal,6,baseline,-1.6625,1.7763646882270392
V14Q_g5,V14Q_g5_field_reversal,field_reversal,7,baseline,-1.6625,1.274935638741546
V14Q_g5,V14Q_g5_field_reversal,field_reversal,8,baseline,-1.6625,0.8230873473484406
V14Q_g5,V14Q_g5_field_reversal,field_reversal,9,baseline,-1.6625,0.6615632381579821
V14Q_g5,V14Q_g5_field_reversal,field_reversal,10,baseline,-1.6625,0.4637264398194103
V14Q_g5,V14Q_g5_field_reversal,field_reversal,11,baseline,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,12,baseline,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,13,baseline,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,14,baseline,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,15,baseline,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,16,disruption,-1.6625,0.9383509393416803
V14Q_g5,V14Q_g5_field_reversal,field_reversal,17,disruption,-1.6625,0.9383509393416803
V14Q_g5,V14Q_g5_field_reversal,field_reversal,18,disruption,-1.6625,0.9383509393416803
V14Q_g5,V14Q_g5_field_reversal,field_reversal,19,disruption,-1.6625,0.9383509393416803
V14Q_g5,V14Q_g5_field_reversal,field_reversal,20,disruption,-1.6625,0.9383509393416803
V14Q_g5,V14Q_g5_field_reversal,field_reversal,21,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,22,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,23,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,24,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,25,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,26,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,27,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,28,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,29,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,30,disruption,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,31,recovery,-1.6625,0.9556796188556792
V14Q_g5,V14Q_g5_field_reversal,field_reversal,32,recovery,-1.6625,0.9556796188556792
V14Q_g5,V14Q_g5_field_reversal,field_reversal,33,recovery,-1.6625,0.9556796188556792
V14Q_g5,V14Q_g5_field_reversal,field_reversal,34,recovery,-1.6625,0.9556796188556792
V14Q_g5,V14Q_g5_field_reversal,field_reversal,35,recovery,-1.6625,0.9556796188556792
V14Q_g5,V14Q_g5_field_reversal,field_reversal,36,recovery,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,37,recovery,-1.6062500000000002,0.4003991744489694
V14Q_g5,V14Q_g5_field_reversal,field_reversal,38,recovery,-1.6625,0.6305810283860147
V14Q_g5,V14Q_g5_field_reversal,field_reversal,39,recovery,-1.6625,0.6305810283860147
V14Q_g5,V14Q_g5_field_reversal,field_reversal,40,recovery,-1.6625,0.6305810283860147
V14Q_g5,V14Q_g5_field_reversal,field_reversal,41,recovery,-1.6625,0.6305810283860147
V14Q_g5,V14Q_g5_field_reversal,field_reversal,42,recovery,-1.6625,0.482577565177012
V14Q_g5,V14Q_g5_field_reversal,field_reversal,43,recovery,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,44,recovery,-1.6625,-0.0
V14Q_g5,V14Q_g5_field_reversal,field_reversal,45,recovery,-1.6625,-0.0
