actionable_opportunities,agent_count,allocation_inequality_gini,application,autonomous_action_coverage,beneficial_actions,commitment_failures,completed_at,complexity,conservation_feasible,controller,coupling,critical_shortage_exposure,cross_community_messages,decision_epochs,delivery_completion,dropped_messages,eligible_operational_proposals,environment_seed,event_count,fragmentation,harmful_actions,horizon,information_actions,information_condition,maximum_cascade_depth,maximum_conservation_residual,net_causal_utility,network_disruption,neutral_actions,operational_bytes,operational_messages,operational_node_count,operator_escalations,operator_minutes,physical_actions,privacy_boundary_pass,resource_waste,run_id,service_loss,service_reaching_actions,sketch_bytes,sketch_messages,sketch_policy,started_at,stochastic_tape_digest,time_to_first_critical_delivery,topology_family,total_bytes,total_messages,weighted_unmet_critical_need,belief_consensus_recovery,cascaded_failures,crew_travel,crew_utilization,repeated_work_orders,restoration_time_mean,unsafe_switching_or_isolation,unserved_critical_load_auc
276,52,,utility_restoration,0.6231884057971014,67,,2026-08-16T14:00:00.380364+00:00,large,True,always_act,high,,1279,20,,931,276,772105,26271,high,67,100,658,private_fragmented,3,1.2327916465437738e-12,0.7347629190571425,high,38,158420,676,30,0,0.0,172,True,,v7-pilots-utility_restoration-large-high-high-high-grid-private_fragmented-772105-always_act-always_on,1549.6955073307315,5,1029683,3560,always_on,2026-08-16T13:59:40.502328+00:00,a1303f50510e7c535e646e4be170faa7743a0b4a954c4abde6d1531506f486cf,,grid,1188103,4236,,0.8021622938009103,11,34.0,0.0,5,9.2,58,548.1367891081553
276,52,,utility_restoration,0.6231884057971014,67,,2026-08-16T13:59:37.209856+00:00,large,True,always_act,high,,801,20,,510,276,772105,21856,high,67,100,658,private_fragmented,3,1.2327916465437738e-12,0.7347629190571425,high,38,158420,676,30,0,0.0,172,True,,v7-pilots-utility_restoration-large-high-high-high-grid-private_fragmented-772105-always_act-event_triggered,1549.6955073307315,5,564207,1948,event_triggered,2026-08-16T13:59:18.704918+00:00,a1303f50510e7c535e646e4be170faa7743a0b4a954c4abde6d1531506f486cf,,grid,722627,2624,,0.8021622938009103,11,34.0,0.0,5,9.2,58,548.1367891081553
172,28,,utility_restoration,0.5755813953488372,57,,2026-08-16T13:58:54.465570+00:00,medium,True,always_act,high,,335,15,,126,172,772104,8961,high,20,60,272,private_fragmented,3,1.5365486660812167e-13,7.752714007030273,high,22,67876,290,16,0,0.0,99,True,,v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-always_act-event_triggered,1136.1252702396794,1,209575,726,event_triggered,2026-08-16T13:58:43.867268+00:00,68bb0899cbb807904f581e299d1485899622d9aa0d3cc8cc56d332d6cdd59ef9,,modular,277451,1016,,0.8017857010322652,5,15.0,0.0,0,11.4,14,466.5848120376217
98,28,,utility_restoration,0.3855421686746988,38,,2026-08-16T13:59:17.311560+00:00,medium,True,combined_generalized_entropic,high,,340,15,,163,166,772104,8890,high,15,60,271,private_fragmented,3,1.4299672557172016e-13,6.623230495071658,high,11,66977,285,16,0,0.0,64,True,,v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-combined_generalized_entropic-event_triggered,1051.060780864612,3,214743,742,event_triggered,2026-08-16T13:59:07.626358+00:00,68bb0899cbb807904f581e299d1485899622d9aa0d3cc8cc56d332d6cdd59ef9,,modular,281720,1027,,0.7866808838320615,6,15.0,0.0,0,16.2,11,466.5848120376217
102,28,,utility_restoration,0.391812865497076,41,,2026-08-16T13:59:06.259601+00:00,medium,True,kpi_confidence,high,,338,15,,150,171,772104,8871,high,17,60,274,private_fragmented,3,1.4299672557172016e-13,6.949755265848179,high,9,68046,290,16,0,0.0,67,True,,v7-pilots-utility_restoration-medium-high-high-high-modular-private_fragmented-772104-kpi_confidence-event_triggered,1051.060780864612,3,209604,724,event_triggered,2026-08-16T13:58:55.824825+00:00,68bb0899cbb807904f581e299d1485899622d9aa0d3cc8cc56d332d6cdd59ef9,,modular,277650,1014,,0.786266513902385,7,16.0,0.0,0,16.4,13,466.5848120376217
44,28,,utility_restoration,0.75,18,,2026-08-16T13:58:31.819903+00:00,medium,True,always_act,high,,984,15,,118,44,772106,10095,low,8,60,46,private_fragmented,3,6.217248937900877e-15,4.8451940288884465,medium,7,11313,48,16,0,0.0,33,True,,v7-pilots-utility_restoration-medium-high-low-medium-scale_free-private_fragmented-772106-always_act-event_triggered,178.17994483646348,4,404146,1388,event_triggered,2026-08-16T13:58:26.894701+00:00,a4a6a828dcda839d53bffe560e004552cab91bffdcfd511ee9f641dc068ef465,,scale_free,415459,1436,,0.8748274958402324,0,13.0,0.0,3,20.5,5,130.58233212662742
118,28,,utility_restoration,0.6694915254237288,38,,2026-08-16T13:58:42.454519+00:00,medium,True,always_act,low,,170,15,,317,118,772107,8972,high,29,60,248,private_fragmented,3,1.2168044349891716e-13,-2.806560549035759,medium,12,59213,254,16,0,0.0,79,True,,v7-pilots-utility_restoration-medium-low-high-medium-modular-private_fragmented-772107-always_act-event_triggered,514.8333989376843,2,242049,840,event_triggered,2026-08-16T13:58:33.243397+00:00,3dee45497ec3fbec2d951cc23f0efc3d6f3d4952fb5f22b575c90ade191ae0eb,,modular,301262,1094,,0.8910370869005249,1,13.0,0.0,0,9.4,24,221.14560075383585
51,28,,utility_restoration,0.9803921568627451,27,,2026-08-16T13:58:25.208325+00:00,medium,True,always_act,medium,,1931,15,,465,51,772103,12463,medium,13,60,75,private_fragmented,3,1.4299672557172016e-13,2.7105977313682494,medium,10,18281,78,16,0,0.0,50,True,,v7-pilots-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-772103-always_act-always_on,131.91808518637708,2,652990,2250,always_on,2026-08-16T13:58:16.307296+00:00,309b78413b56ff7ba1cf6e016e39b79a05d59e70e805f3c58c761a1f1add5c1a,,scale_free,671271,2328,,0.8622844226056232,0,11.0,0.0,0,33.0,9,0.0
51,28,,utility_restoration,0.9803921568627451,27,,2026-08-16T13:58:14.739337+00:00,medium,True,always_act,medium,,1272,15,,316,51,772103,10197,medium,13,60,75,private_fragmented,3,1.4299672557172016e-13,2.7105977313682494,medium,10,18281,78,16,0,0.0,50,True,,v7-pilots-utility_restoration-medium-medium-medium-medium-scale_free-private_fragmented-772103-always_act-event_triggered,131.91808518637708,2,419787,1445,event_triggered,2026-08-16T13:58:06.473860+00:00,309b78413b56ff7ba1cf6e016e39b79a05d59e70e805f3c58c761a1f1add5c1a,,scale_free,438068,1523,,0.8622844226056232,0,11.0,0.0,0,33.0,9,0.0
19,12,,utility_restoration,0.8947368421052632,6,,2026-08-16T13:58:06.031046+00:00,small,True,always_act,high,,125,10,,84,19,772102,2092,high,9,30,73,private_fragmented,3,4.796163466380676e-14,1.19813670965358,high,2,16992,73,8,0,0.0,17,True,,v7-pilots-utility_restoration-small-high-high-high-modular-private_fragmented-772102-always_act-event_triggered,8.740886601490828,3,39715,137,event_triggered,2026-08-16T13:58:04.705137+00:00,119fd3cf16002f65f117dc062570072599547d6afd8fa95b70e59e79bb78725a,,modular,56707,210,,0.8202936712821832,0,17.0,0.0,0,19.5,5,0.0
13,12,,utility_restoration,1.0,9,,2026-08-16T13:57:53.215641+00:00,small,True,always_act,low,,232,10,,44,13,772101,2552,low,3,30,12,private_fragmented,3,1.509903313490213e-14,3.256023629407602,low,1,3336,14,8,0,0.0,13,True,,v7-pilots-utility_restoration-small-low-low-low-grid-private_fragmented-772101-always_act-always_on,102.9574956851408,2,99916,340,always_on,2026-08-16T13:57:51.827551+00:00,3e9d36c92a6b172fb93332ff32f96a6b1d35b7cef9afcb09863dd0c3f54a3ef5,,grid,103252,354,,0.8780298767526572,0,15.0,0.0,2,16.0,1,102.9574956851408
13,12,,utility_restoration,1.0,9,,2026-08-16T13:57:51.395459+00:00,small,True,always_act,low,,154,10,,23,13,772101,2203,low,3,30,12,private_fragmented,3,1.509903313490213e-14,3.256023629407602,low,1,3336,14,8,0,0.0,13,True,,v7-pilots-utility_restoration-small-low-low-low-grid-private_fragmented-772101-always_act-event_triggered,102.9574956851408,2,63455,216,event_triggered,2026-08-16T13:57:49.994987+00:00,3e9d36c92a6b172fb93332ff32f96a6b1d35b7cef9afcb09863dd0c3f54a3ef5,,grid,66791,230,,0.8780298767526572,0,15.0,0.0,2,16.0,1,102.9574956851408
