run_id,stage,application,ledger_locator,events,logical_sha256_match,stored_sha256_match,event_sequence_contiguous,event_digest_match,metric_regeneration_match,privacy_failures,finite_metrics,maximum_conservation_residual,status,mismatch_reasons
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule/events.jsonl,136729,True,True,True,True,True,0,True,3.979039320256561e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part01.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule/events.jsonl,140935,True,True,True,True,True,0,True,7.958078640513122e-13,pass,
v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-high-random_geometric-private_fragmented-8810019-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule/events.jsonl,144350,True,True,True,True,True,0,True,7.958078640513122e-13,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,52689,True,True,True,True,True,0,True,8.526512829121202e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,80020,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,68295,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,63024,True,True,True,True,True,0,True,1.4210854715202004e-13,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,65349,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule/events.jsonl,79556,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule/events.jsonl,61165,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-none-806ed450405e-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-none-806ed450405e-uint8_simplex-frozen_local_rule/events.jsonl,18527,True,True,True,True,True,0,True,3.694822225952521e-13,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule/events.jsonl,79932,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule/events.jsonl,52689,True,True,True,True,True,0,True,8.526512829121202e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part02.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule/events.jsonl,62216,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule/events.jsonl,63895,True,True,True,True,True,0,True,7.105427357601002e-14,pass,
v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-high-medium-small_world-private_fragmented-8810024-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule/events.jsonl,64585,True,True,True,True,True,0,True,9.947598300641403e-14,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,52376,True,True,True,True,True,0,True,3.979039320256561e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,81122,True,True,True,True,True,0,True,9.947598300641403e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,67427,True,True,True,True,True,0,True,9.663381206337363e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,60918,True,True,True,True,True,0,True,7.389644451905042e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,63314,True,True,True,True,True,0,True,5.115907697472721e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule/events.jsonl,78932,True,True,True,True,True,0,True,9.947598300641403e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule/events.jsonl,60657,True,True,True,True,True,0,True,5.115907697472721e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-none-806ed450405e-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-none-806ed450405e-uint8_simplex-frozen_local_rule/events.jsonl,16282,True,True,True,True,True,0,True,7.105427357601002e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule/events.jsonl,80964,True,True,True,True,True,0,True,9.947598300641403e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part03.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule/events.jsonl,52376,True,True,True,True,True,0,True,3.979039320256561e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule/events.jsonl,60379,True,True,True,True,True,0,True,3.694822225952521e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule/events.jsonl,63928,True,True,True,True,True,0,True,9.947598300641403e-13,pass,
v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-high-medium-low-small_world-private_fragmented-8810020-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule/events.jsonl,64767,True,True,True,True,True,0,True,9.947598300641403e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,84154,True,True,True,True,True,0,True,3.694822225952521e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,140088,True,True,True,True,True,0,True,3.126388037344441e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,105934,True,True,True,True,True,0,True,3.126388037344441e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,94036,True,True,True,True,True,0,True,1.1368683772161603e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,98711,True,True,True,True,True,0,True,1.1368683772161603e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule/events.jsonl,130641,True,True,True,True,True,0,True,3.126388037344441e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule/events.jsonl,100022,True,True,True,True,True,0,True,3.126388037344441e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-none-806ed450405e-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-none-806ed450405e-uint8_simplex-frozen_local_rule/events.jsonl,15365,True,True,True,True,True,0,True,8.526512829121202e-14,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part04.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-offline_oracle-df72669ae5df-uint8_simplex-frozen_local_rule/events.jsonl,138254,True,True,True,True,True,0,True,3.126388037344441e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-periodic-52761a8cde7f-uint8_simplex-frozen_local_rule/events.jsonl,84154,True,True,True,True,True,0,True,3.694822225952521e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-predictive_uncertainty_change-71c476debc21-uint8_simplex-frozen_local_rule/events.jsonl,95226,True,True,True,True,True,0,True,2.5579538487363607e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-tsallis_spectrum_change-1013b09ad56f-uint8_simplex-frozen_local_rule/events.jsonl,106069,True,True,True,True,True,0,True,3.694822225952521e-13,pass,
v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-low-low-random_geometric-private_fragmented-8810017-v7_shannon_change-c5a26765fa92-uint8_simplex-frozen_local_rule/events.jsonl,106886,True,True,True,True,True,0,True,5.115907697472721e-13,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-age_of_information-e27491322545-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-age_of_information-e27491322545-uint8_simplex-frozen_local_rule/events.jsonl,50154,True,True,True,True,True,0,True,1.3926637620897964e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule/events.jsonl,76770,True,True,True,True,True,0,True,1.3642420526593924e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,64421,True,True,True,True,True,0,True,1.3642420526593924e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-js_drift-565d3b5e7ead-uint8_simplex-frozen_local_rule/events.jsonl,59396,True,True,True,True,True,0,True,1.3073986337985843e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,60921,True,True,True,True,True,0,True,1.3073986337985843e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-l1_belief_drift-c1987b7c3312-uint8_simplex-frozen_local_rule/events.jsonl,75238,True,True,True,True,True,0,True,1.3926637620897964e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-matched_random-681a73b1e0f1-uint8_simplex-frozen_local_rule/events.jsonl,58410,True,True,True,True,True,0,True,1.3926637620897964e-12,pass,
v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-none-806ed450405e-uint8_simplex-frozen_local_rule,development,humanitarian,results/entropy_triggered_belief_monitoring_v8/raw/packed/development/humanitarian-part05.tar.xz::v8-development-humanitarian-large-low-medium-high-small_world-private_fragmented-8810022-none-806ed450405e-uint8_simplex-frozen_local_rule/events.jsonl,16695,True,True,True,True,True,0,True,1.3926637620897964e-12,pass,
