run_id,candidate_name,application,environment_seed,disruption_step,pre_disruption_noninitial_evaluations,pre_disruption_noninitial_transmissions,pre_disruption_noninitial_transmission_rate
v8-development_final-humanitarian-medium-medium-high-medium-small_world-private_fragmented-8810013-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810013,11,84,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810015,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810015,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810015,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810015,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810015,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-low-high-small_world-private_fragmented-8810015-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810015,11,84,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810010,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810010,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810010,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810010,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810010,11,0,0,0.0
v8-development_final-humanitarian-medium-medium-medium-medium-random_geometric-private_fragmented-8810010-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810010,11,84,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810003,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810003,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810003,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810003,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810003,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-high-random_geometric-private_fragmented-8810003-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810003,5,24,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810008,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810008,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810008,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810008,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-kpi_change-99bcd7363413-uint8_simplex-frozen_local_rule,kpi_010_u8,humanitarian,8810008,5,0,0,0.0
v8-development_final-humanitarian-small-high-high-medium-small_world-private_fragmented-8810008-none-806ed450405e-uint8_simplex-frozen_local_rule,none_u8,humanitarian,8810008,5,24,0,0.0
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-always_on-f06f6808d09b-uint8_simplex-frozen_local_rule,always_on_u8,humanitarian,8810004,5,0,0,0.0
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule,generalized_013_u8,humanitarian,8810004,5,0,0,0.0
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule,generalized_0125_u8,humanitarian,8810004,5,0,0,0.0
v8-development_final-humanitarian-small-high-medium-low-small_world-private_fragmented-8810004-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule,kpi_012_u8,humanitarian,8810004,5,0,0,0.0
