application,communication,conservation_error,disruption,ledger_digest,monitor_sketch_messages,primary_outcome,run_id,seed
humanitarian,reliable,0.0,nominal,82dda7bbbf4de97798f75829b7b8906792671b5163bfb129fbda72365a08f6d9,30,8199.3348176908,doet-calibration-humanitarian-nominal-reliable-s5106,5106
commercial,reliable,-2.2737367544323206e-13,moderate,212ce253f4ebc05e0d5b2692c06f073e734831e2fc3e512f5f4b200b0707e659,30,21.272606029315078,doet-calibration-commercial-moderate-reliable-s5201,5201
commercial,intermittent,-2.2737367544323206e-13,correlated,7aecb5b07c75ffc1647abca4c0655bcac996fe0ad038bd31c00aee69d0ba1836,20,21.444113048159252,doet-calibration-commercial-correlated-intermittent-s5201,5201
commercial,partition,-2.2737367544323206e-13,compound,a89a981fb69675a3ce6c785fb9f1382299f8aca9b408f854ab6482cd2b120ea2,30,21.51254291733031,doet-calibration-commercial-compound-partition-s5201,5201
commercial,reliable,0.0,moderate,7091341a1e5e78b8ee0048c5748cfb9b70201a7f8214a01091b81ad38a9c6280,30,20.8342773567025,doet-calibration-commercial-moderate-reliable-s5202,5202
commercial,intermittent,-2.2737367544323206e-13,correlated,507c07a6ef9e6778ff94d1be95e26eb21ea6de26cd674fae5235aa9738c15d93,18,21.033365407452294,doet-calibration-commercial-correlated-intermittent-s5202,5202
commercial,partition,-2.2737367544323206e-13,compound,31ee6fd8fe1859f07cde3761481bc84b0419352ff6239e791fdd5671c08fad9b,26,21.113315376618196,doet-calibration-commercial-compound-partition-s5202,5202
commercial,reliable,0.0,moderate,a29f957e0c3b882f28cf7ff1ca37679d241259b9dfc762dc090b2441f92f4c61,28,21.11201341502459,doet-calibration-commercial-moderate-reliable-s5203,5203
commercial,intermittent,2.2737367544323206e-13,correlated,bbf154c4795e62b67d483b98043e06574c72b2b65b50efdee3d62237c7c82561,24,21.29410003614531,doet-calibration-commercial-correlated-intermittent-s5203,5203
commercial,partition,2.2737367544323206e-13,compound,4ad90d85a0b158c4b876c004b29c9182f83cd1ad7fa6163c5bbf23345116d062,26,21.366335355232888,doet-calibration-commercial-compound-partition-s5203,5203
humanitarian,reliable,2.2737367544323206e-13,moderate,e068558b30067eacf6281b903fa99e3b4a44ce14fb082097e940d33c852de7d8,30,8092.204515582093,doet-calibration-humanitarian-moderate-reliable-s5201,5201
humanitarian,intermittent,-1.1368683772161603e-13,correlated,51c6af8bc156510f278a06d6c242c4187da7a6266276a09d8104abaec6df8d1c,20,10832.781841713286,doet-calibration-humanitarian-correlated-intermittent-s5201,5201
humanitarian,partition,-1.1368683772161603e-13,compound,12f80e99c44161e3367afb6308eda830e6f8a815dcc3704f7af4eccbe3eb3c38,26,12496.703789721512,doet-calibration-humanitarian-compound-partition-s5201,5201
humanitarian,reliable,-2.2737367544323206e-13,moderate,3979ab03cfe67136ef749c4b2552e680530be8c7e506b48677e1c4ade668b9bc,30,8178.936767623708,doet-calibration-humanitarian-moderate-reliable-s5202,5202
humanitarian,intermittent,2.2737367544323206e-13,correlated,eaa15625b6cb1538ccf58d3f09c662af4e9707bc4d27523fbbd8935cb10d7a8b,18,10976.88043850475,doet-calibration-humanitarian-correlated-intermittent-s5202,5202
humanitarian,partition,2.2737367544323206e-13,compound,b7023199281735cda74243b62d20514bd138ccee90a8193716e717c2c180ee88,22,12675.631952968237,doet-calibration-humanitarian-compound-partition-s5202,5202
humanitarian,reliable,3.410605131648481e-13,moderate,1f09a862a5e00c3b1b42d09142477848cd8c8bca2209454dfcb37f51e6865a13,28,6444.041610861684,doet-calibration-humanitarian-moderate-reliable-s5203,5203
humanitarian,intermittent,1.1368683772161603e-13,correlated,4ecefe914485b986149877542fe0cfd4e8c64bf28e9e9bd68afe7ee0baa862d8,24,8687.522260721616,doet-calibration-humanitarian-correlated-intermittent-s5203,5203
humanitarian,partition,0.0,compound,7c427beb32abbb5522bc9d6dcf78b834d84adf6864d4e0600377732e2cd2fc98,24,10049.63551242229,doet-calibration-humanitarian-compound-partition-s5203,5203
