agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
retailer_10,commercial,reliable,1.0,nominal,0,8,0.563459590592691,-0.06436119832490927,1.1098442935672619,retailer,5101,5,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.563459590592691,-0.06436119832490927,1.6126284304506386,retailer,5101,5,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.5396097855457445,-0.05927883725681338,0.16479999999999997,supplier,5101,5,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.5154946402070261,-0.053947310583915664,0.16480000000000003,supplier,5101,5,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.5154946402070261,-0.053947310583915664,0.007999999999999964,warehouse,5101,5,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.5154946402070261,-0.053947310583915664,0.007999999999999964,warehouse,5101,5,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.4731393464304379,-0.04235529377658814,0.007999999999999964,carrier,5101,6,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.4731393464304379,-0.04235529377658814,0.007999999999999964,carrier,5101,6,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.4925276787059178,-0.047082106839826665,0.16480000000000003,manufacturer,5101,6,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.4925276787059178,-0.047082106839826665,0.20400000000000001,manufacturer,5101,6,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.5117755132452732,-0.05168407734741787,1.5694109724126322,retailer,5101,6,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.5117755132452732,-0.05168407734741787,1.8631791338001995,retailer,5101,6,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.5117755132452732,-0.05168407734741787,2.0138728457237907,retailer,5101,6,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.4925276787059178,-0.047082106839826665,0.16479999999999997,supplier,5101,6,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.4731393464304379,-0.04235529377658814,0.16480000000000003,supplier,5101,6,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.4731393464304379,-0.04235529377658814,0.007999999999999964,warehouse,5101,6,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.4731393464304379,-0.04235529377658814,0.007999999999999964,warehouse,5101,6,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.4402401875771882,-0.03289915885324973,0.007999999999999964,carrier,5101,7,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.4402401875771882,-0.03289915885324973,0.007999999999999964,carrier,5101,7,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.4556184347022181,-0.036909244003699715,0.16480000000000003,manufacturer,5101,7,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.4556184347022181,-0.036909244003699715,0.20400000000000001,manufacturer,5101,7,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.47092098092990814,-0.04085453231536501,2.3954619649704636,retailer,5101,7,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.47092098092990814,-0.04085453231536501,1.7358792791462019,retailer,5101,7,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.47092098092990814,-0.04085453231536501,2.065499342466897,retailer,5101,7,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.4556184347022181,-0.036909244003699715,0.16479999999999997,supplier,5101,7,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.4402401875771882,-0.03289915885324973,0.16480000000000003,supplier,5101,7,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.4402401875771882,-0.03289915885324973,0.007999999999999964,warehouse,5101,7,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.4402401875771882,-0.03289915885324973,0.007999999999999964,warehouse,5101,7,ring_plus_hubs
carrier_05,commercial,reliable,0.0,nominal,0,8,0.4148916259283429,-0.025348561648845302,0.007999999999999964,carrier,5101,8,ring_plus_hubs
carrier_06,commercial,reliable,0.0,nominal,0,8,0.4211998496036986,-0.019040337973489585,0.007999999999999964,carrier,5101,8,ring_plus_hubs
manufacturer_03,commercial,reliable,0.0,nominal,0,8,0.4211998496036986,-0.03441858509851947,0.16480000000000003,manufacturer,5101,8,ring_plus_hubs
manufacturer_04,commercial,reliable,0.0,nominal,0,8,0.5595196935892904,0.10390125888707236,0.20400000000000001,manufacturer,5101,8,ring_plus_hubs
retailer_09,commercial,reliable,0.0,nominal,0,8,0.579488252609364,0.10856727167945585,2.306403666152802,retailer,5101,8,ring_plus_hubs
retailer_10,commercial,reliable,0.0,nominal,0,8,0.579488252609364,0.10856727167945585,2.3928053443501955,retailer,5101,8,ring_plus_hubs
retailer_11,commercial,reliable,0.0,nominal,0,8,0.5695140273368908,0.09859304640698269,2.5919287036785454,retailer,5101,8,ring_plus_hubs
supplier_01,commercial,reliable,0.0,nominal,0,8,0.5695140273368908,0.11389559263467275,0.16479999999999997,supplier,5101,8,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.4148916259283429,-0.025348561648845302,0.16480000000000003,supplier,5101,8,ring_plus_hubs
warehouse_07,commercial,reliable,0.0,nominal,0,8,0.4148916259283429,-0.025348561648845302,0.007999999999999964,warehouse,5101,8,ring_plus_hubs
warehouse_08,commercial,reliable,0.0,nominal,0,8,0.5595196935892904,0.11927950601210224,0.007999999999999964,warehouse,5101,8,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.3954817055263646,-0.01940992040197831,0.007999999999999964,carrier,5101,9,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.4003516596287307,-0.0208481899749679,0.007999999999999964,carrier,5101,9,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.4003516596287307,-0.0208481899749679,0.16480000000000003,manufacturer,5101,9,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.5363826249410363,-0.023137068648254155,0.20400000000000001,manufacturer,5101,9,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.551270743745543,-0.028217508863821017,2.2424895694918088,retailer,5101,9,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.551270743745543,-0.028217508863821017,2.8212587412587413,retailer,5101,9,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.544141615555564,-0.025372411781326876,2.6313045676190883,retailer,5101,9,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.5429181541574013,-0.026595873179489526,0.16479999999999997,supplier,5101,9,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.3954817055263646,-0.01940992040197831,0.16480000000000003,supplier,5101,9,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.3954817055263646,-0.01940992040197831,0.007999999999999964,warehouse,5101,9,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.5351716175782434,-0.02434807601104705,0.007999999999999964,warehouse,5101,9,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.38069054853067413,-0.014791156995690447,0.007999999999999964,carrier,5101,10,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.384427499832798,-0.015924159795932702,0.007999999999999964,carrier,5101,10,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.384427499832798,-0.015924159795932702,0.16480000000000003,manufacturer,5101,10,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.5078432638888924,-0.02853936105214383,0.20400000000000001,manufacturer,5101,10,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.5187974997120387,-0.03247324403350427,2.451685383016735,retailer,5101,10,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.5187974997120387,-0.03247324403350427,2.950156731690889,retailer,5101,10,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.5137434068709371,-0.030398208684626837,3.20742891964024,retailer,5101,10,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.5120806059770933,-0.03083754818030804,0.16479999999999997,supplier,5101,10,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.38069054853067413,-0.014791156995690447,0.16480000000000003,supplier,5101,10,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.38069054853067413,-0.014791156995690447,0.007999999999999964,warehouse,5101,10,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.5061943567806816,-0.0289772607975618,0.007999999999999964,warehouse,5101,10,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.3694611381264124,-0.01122941040426173,0.007999999999999964,carrier,5101,11,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.37231465377023887,-0.012112846062559135,0.007999999999999964,carrier,5101,11,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.37231465377023887,-0.012112846062559135,0.16480000000000003,manufacturer,5101,11,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.47947505015599595,-0.028368213732896497,0.20400000000000001,manufacturer,5101,11,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.48745666049973513,-0.03134083921230357,3.5866652851256795,retailer,5101,11,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.48745666049973513,-0.03134083921230357,3.3286891932506117,retailer,5101,11,ring_plus_hubs
