application,scenario_name,treatment,comparator,n_pairs,mean_improvement,ci95_low,ci95_high,paired_win_rate,p_value_sign_flip
commercial,factor_private_aligned,thermoagent,centralized_llm,8,0.4635805469183967,0.2737186126601201,0.7045204534994418,1.0,0.011673151750972763
commercial,factor_private_mixed,thermoagent,centralized_llm,8,0.4986191978918688,0.18467449052906337,0.8413885075207344,0.625,0.06614785992217899
commercial,factor_shared_aligned,thermoagent,centralized_llm,8,-1.3490572924008772,-2.068215335061658,-0.5977092770566448,0.125,0.019455252918287938
commercial,factor_shared_mixed,thermoagent,centralized_llm,8,-1.5207021538944763,-2.177997238745305,-0.7385805873131348,0.125,0.019455252918287938
commercial,private_mixed_compound_partition_large,thermoagent,centralized_llm,8,0.02993776670424797,0.0,0.08981330011274391,0.125,1.0
commercial,private_mixed_correlated,thermoagent,centralized_llm,8,0.16004667674911222,0.0,0.37608324581675756,0.25,0.5019455252918288
humanitarian,factor_moderate_center,thermoagent,learned_no_entropy,8,410.5595249999998,172.2352874999999,668.7997940624994,1.0,0.011673151750972763
humanitarian,factor_private_aligned,thermoagent,learned_no_entropy,8,42.04599750000011,-18.391009687499942,99.32150700000027,0.625,0.19066147859922178
humanitarian,factor_private_mixed,thermoagent,learned_no_entropy,8,68.66129624999996,12.881070000000022,127.68665240624998,0.5,0.12840466926070038
humanitarian,factor_shared_aligned,thermoagent,learned_no_entropy,8,181.7775187499999,62.19225000000006,336.52623749999975,0.75,0.03501945525291829
humanitarian,factor_shared_mixed,thermoagent,learned_no_entropy,8,42.479549999999904,-6.155025000000023,107.16618749999975,0.25,0.5019455252918288
humanitarian,nominal_control,thermoagent,learned_no_entropy,8,173.99291249999987,35.95181850000004,368.6819553749994,0.875,0.027237354085603113
humanitarian,private_mixed_compound_partition_large,thermoagent,learned_no_entropy,8,60.551084999999944,20.764327499999922,102.87369750000005,0.625,0.06614785992217899
humanitarian,private_mixed_compound_partition_small,thermoagent,learned_no_entropy,8,-21.5041875,-64.5125625,0.0,0.0,1.0
humanitarian,private_mixed_correlated,thermoagent,learned_no_entropy,8,0.0,0.0,0.0,0.0,1.0
humanitarian,factor_moderate_center,thermoagent,autonomous_fixed_comm,8,169.5745687499999,-36.35124374999987,392.63206124999977,0.5,0.2140077821011673
humanitarian,factor_private_aligned,thermoagent,autonomous_fixed_comm,8,-21.180206249999742,-96.69142499999975,46.63843125000028,0.5,0.688715953307393
humanitarian,factor_private_mixed,thermoagent,autonomous_fixed_comm,8,47.65580250000005,-12.371053593749973,109.01063550000006,0.625,0.20622568093385213
humanitarian,factor_shared_aligned,thermoagent,autonomous_fixed_comm,8,-198.18495000000019,-391.1901750000002,7.7510249999997995,0.25,0.11284046692607004
humanitarian,factor_shared_mixed,thermoagent,autonomous_fixed_comm,8,-210.93476250000015,-385.5795159375003,-36.17346421875,0.125,0.08171206225680934
humanitarian,nominal_control,thermoagent,autonomous_fixed_comm,8,158.49814874999993,5.48422612500007,319.7144787187497,0.75,0.13618677042801555
humanitarian,private_mixed_compound_partition_large,thermoagent,autonomous_fixed_comm,8,48.527085000000056,-2.598442499999919,99.69892012499983,0.625,0.14396887159533073
humanitarian,private_mixed_compound_partition_small,thermoagent,autonomous_fixed_comm,8,-8.431593750000047,-22.651031250000074,0.0,0.0,0.5019455252918288
humanitarian,private_mixed_correlated,thermoagent,autonomous_fixed_comm,8,-16.795856250000043,-38.74454999999989,0.0,0.0,0.5019455252918288
humanitarian,factor_moderate_center,thermoagent,scripted_independent,8,129.43075124999962,-64.02378121875044,328.7508403124993,0.5,0.26848249027237353
humanitarian,factor_private_aligned,thermoagent,scripted_independent,8,-304.49290499999995,-531.7015125,-82.58276250000029,0.125,0.042801556420233464
humanitarian,factor_private_mixed,thermoagent,scripted_independent,8,-186.78416625,-403.19642268749976,5.316743531249782,0.25,0.17509727626459143
humanitarian,factor_shared_aligned,thermoagent,scripted_independent,8,-193.68717375000017,-493.1074388437501,127.79601965624913,0.375,0.27626459143968873
humanitarian,factor_shared_mixed,thermoagent,scripted_independent,8,-218.34795000000008,-439.2335999999998,-27.687075000000164,0.25,0.12840466926070038
humanitarian,nominal_control,thermoagent,scripted_independent,8,-60.01794000000007,-255.1124592187499,153.4335262499999,0.375,0.603112840466926
humanitarian,private_mixed_compound_partition_large,thermoagent,scripted_independent,8,-123.78295875000015,-280.4388694687499,18.151413749999847,0.375,0.1828793774319066
humanitarian,private_mixed_compound_partition_small,thermoagent,scripted_independent,8,-161.5003125,-318.6193125,-47.52600000000001,0.0,0.2529182879377432
humanitarian,private_mixed_correlated,thermoagent,scripted_independent,8,-168.9123750000001,-277.70055000000013,-67.00942499999996,0.0,0.06614785992217899
humanitarian,factor_moderate_center,thermoagent,centralized_lookahead,8,-5164.7827150477515,-5620.9797973417935,-4740.125041439185,0.0,0.011673151750972763
humanitarian,factor_private_aligned,thermoagent,centralized_lookahead,8,-5528.410483797751,-5822.858752828875,-5222.207773011156,0.0,0.011673151750972763
humanitarian,factor_private_mixed,thermoagent,centralized_lookahead,8,-5512.213937547752,-5836.698983615909,-5189.411365568273,0.0,0.011673151750972763
humanitarian,factor_shared_aligned,thermoagent,centralized_lookahead,8,-5417.604752547752,-5727.798399179727,-5118.6063082347,0.0,0.011673151750972763
humanitarian,factor_shared_mixed,thermoagent,centralized_lookahead,8,-5543.777721297751,-5880.6291177360035,-5208.520260914721,0.0,0.011673151750972763
humanitarian,nominal_control,thermoagent,centralized_lookahead,8,-5344.970447585629,-5709.367773813846,-5014.964591301359,0.0,0.011673151750972763
humanitarian,private_mixed_compound_partition_large,thermoagent,centralized_lookahead,8,-3900.328785301154,-4108.156889286183,-3685.259735193542,0.0,0.011673151750972763
humanitarian,private_mixed_compound_partition_small,thermoagent,centralized_lookahead,8,-2644.9970811436224,-2862.1682980549367,-2436.5999495153983,0.0,0.011673151750972763
humanitarian,private_mixed_correlated,thermoagent,centralized_lookahead,8,-5567.271259481457,-5962.637039879574,-5183.548594473781,0.0,0.011673151750972763
humanitarian,factor_moderate_center,thermoagent,centralized_llm,8,-90.40044375000014,-388.12687500000015,221.36951249999981,0.375,0.5719844357976653
humanitarian,factor_private_aligned,thermoagent,centralized_llm,8,70.97178750000012,22.21950000000004,124.16783062500022,0.75,0.03501945525291829
humanitarian,factor_private_mixed,thermoagent,centralized_llm,8,87.16833374999999,36.354119999999966,138.44576625000002,0.625,0.06614785992217899
humanitarian,factor_shared_aligned,thermoagent,centralized_llm,8,-640.40998125,-781.3562812499999,-501.5218593749999,0.0,0.011673151750972763
humanitarian,factor_shared_mixed,thermoagent,centralized_llm,8,-766.58295,-889.62,-640.9804284375002,0.0,0.011673151750972763
humanitarian,private_mixed_compound_partition_large,thermoagent,centralized_llm,8,60.551084999999944,20.764327499999922,102.87369750000005,0.625,0.06614785992217899
humanitarian,private_mixed_correlated,thermoagent,centralized_llm,8,0.0,0.0,0.0,0.0,1.0
