run_id,application,scenario_name,predicted_source,true_sources,top1_localization_correct,top3_localization_correct
holdout-commercial-centralized_lookahead-n09-s4103-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-centralized_lookahead-n09-s4104-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-centralized_lookahead-n09-s4104-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-learned_no_entropy-n09-s4101-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-learned_no_entropy-n09-s4101-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-learned_no_entropy-n09-s4102-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-learned_no_entropy-n09-s4102-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-learned_no_entropy-n09-s4103-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-learned_no_entropy-n09-s4103-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-learned_no_entropy-n09-s4104-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-learned_no_entropy-n09-s4104-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-scripted_independent-n09-s4101-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-scripted_independent-n09-s4102-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-scripted_independent-n09-s4103-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-scripted_independent-n09-s4104-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-thermoagent-n09-s4101-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-thermoagent-n09-s4101-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-thermoagent-n09-s4102-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-thermoagent-n09-s4102-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-thermoagent-n09-s4103-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-thermoagent-n09-s4103-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-commercial-thermoagent-n09-s4104-unseen_compound,commercial,unseen_compound,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
holdout-commercial-thermoagent-n09-s4104-unseen_correlated_partition,commercial,unseen_correlated_partition,supplier_01,carrier_05;supplier_01;supplier_02,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4101-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4101-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4102-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4102-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4103-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4103-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4104-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-autonomous_fixed_comm-n09-s4104-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4101-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4101-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4102-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4102-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4103-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4103-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4104-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-centralized_lookahead-n09-s4104-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4101-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4101-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4102-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4102-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4103-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4103-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4104-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-learned_no_entropy-n09-s4104-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4101-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4101-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4102-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4102-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4103-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4103-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4104-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-scripted_independent-n09-s4104-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4101-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4101-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4102-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4102-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4103-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4103-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4104-unseen_compound,humanitarian,unseen_compound,ngo_01,agency_03;depot_06;ngo_01;ngo_02;transport_04,True,True
holdout-humanitarian-thermoagent-n09-s4104-unseen_correlated_partition,humanitarian,unseen_correlated_partition,ngo_01,ngo_01;ngo_02;transport_04,True,True
main-commercial-autonomous_fixed_comm-n08-s2101-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2102-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2103-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2104-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2105-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2106-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2107-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n08-s2108-private_mixed_compound_partition_small,commercial,private_mixed_compound_partition_small,supplier_01,carrier_05;supplier_01;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2101-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2102-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2103-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2104-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2105-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2106-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2107-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_fixed_comm-n11-s2108-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2101-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2101-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2101-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2101-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2101-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2101-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2101-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2102-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2102-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2102-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2102-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2102-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2102-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2102-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2103-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2103-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2103-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2103-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2103-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2103-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2103-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2104-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2104-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2104-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2104-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2104-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2104-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2104-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2105-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2105-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2105-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2105-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2105-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2105-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2105-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2106-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2106-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2106-factor_private_mixed,commercial,factor_private_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2106-factor_shared_aligned,commercial,factor_shared_aligned,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2106-factor_shared_mixed,commercial,factor_shared_mixed,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2106-private_mixed_compound_partition_large,commercial,private_mixed_compound_partition_large,supplier_01,carrier_05;supplier_01;supplier_02;warehouse_07,True,True
main-commercial-autonomous_no_comm-n11-s2106-private_mixed_correlated,commercial,private_mixed_correlated,supplier_01,carrier_05;supplier_01;supplier_02,True,True
main-commercial-autonomous_no_comm-n11-s2107-factor_moderate_center,commercial,factor_moderate_center,supplier_01,supplier_01,True,True
main-commercial-autonomous_no_comm-n11-s2107-factor_private_aligned,commercial,factor_private_aligned,supplier_01,supplier_01,True,True
