application,method,signal,n_disrupted_episodes,detected_episodes,detection_rate,mean_detection_delay_detected,median_detection_delay_detected,visible_collapse_episodes,detected_before_visible_collapse,proportion_before_visible_collapse
commercial,centralized_llm,exact_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_entropy,56,40,0.7142857142857143,0.0,0.0,56,40,0.7142857142857143
commercial,centralized_llm,exact_free_energy,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_free_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_free_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,exact_free_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,56,56,1.0
commercial,centralized_llm,interaction_entropy,56,0,0.0,,,56,0,0.0
commercial,centralized_lookahead,absolute_free_energy_deviation,72,72,1.0,0.8333333333333334,0.0,32,32,1.0
commercial,centralized_lookahead,distributed_free_energy_mean,72,47,0.6527777777777778,1.0638297872340425,0.0,32,32,1.0
commercial,centralized_lookahead,exact_energy,72,62,0.8611111111111112,2.661290322580645,0.0,32,32,1.0
commercial,centralized_lookahead,exact_energy_sensitivity_backlog_service_heavy,72,47,0.6527777777777778,1.0638297872340425,0.0,32,32,1.0
commercial,centralized_lookahead,exact_energy_sensitivity_balanced,72,62,0.8611111111111112,2.661290322580645,0.0,32,32,1.0
commercial,centralized_lookahead,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.9722222222222222,0.0,32,32,1.0
commercial,centralized_lookahead,exact_entropy,72,37,0.5138888888888888,4.783783783783784,6.0,32,0,0.0
commercial,centralized_lookahead,exact_free_energy,72,47,0.6527777777777778,1.0638297872340425,0.0,32,32,1.0
commercial,centralized_lookahead,exact_free_energy_sensitivity_backlog_service_heavy,72,32,0.4444444444444444,0.0,0.0,32,32,1.0
commercial,centralized_lookahead,exact_free_energy_sensitivity_balanced,72,72,1.0,0.3472222222222222,0.0,32,32,1.0
commercial,centralized_lookahead,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,32,32,1.0
commercial,centralized_lookahead,interaction_entropy,72,0,0.0,,,32,0,0.0
commercial,learned_no_entropy,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
commercial,learned_no_entropy,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,learned_no_entropy,interaction_entropy,72,0,0.0,,,72,0,0.0
commercial,scripted_independent,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,distributed_free_energy_mean,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_energy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_entropy,72,40,0.5555555555555556,0.0,0.0,64,32,0.5
commercial,scripted_independent,exact_free_energy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,64,64,1.0
commercial,scripted_independent,interaction_entropy,72,1,0.013888888888888888,0.0,0.0,64,1,0.015625
commercial,thermoagent,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
commercial,thermoagent,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
commercial,thermoagent,interaction_entropy,72,0,0.0,,,72,0,0.0
humanitarian,autonomous_fixed_comm,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
humanitarian,autonomous_fixed_comm,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,autonomous_fixed_comm,interaction_entropy,72,39,0.5416666666666666,0.0,0.0,72,39,0.5416666666666666
humanitarian,autonomous_no_comm,absolute_free_energy_deviation,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,distributed_free_energy_mean,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_energy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_entropy,56,40,0.7142857142857143,0.0,0.0,56,40,0.7142857142857143
humanitarian,autonomous_no_comm,exact_free_energy,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_free_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_free_energy_sensitivity_balanced,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,exact_free_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.03571428571428571,0.0,56,56,1.0
humanitarian,autonomous_no_comm,interaction_entropy,56,0,0.0,,,56,0,0.0
humanitarian,centralized_llm,absolute_free_energy_deviation,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,distributed_free_energy_mean,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_energy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_entropy,56,40,0.7142857142857143,0.0,0.0,56,40,0.7142857142857143
humanitarian,centralized_llm,exact_free_energy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_free_energy_sensitivity_backlog_service_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_free_energy_sensitivity_balanced,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,exact_free_energy_sensitivity_delay_commitment_heavy,56,56,1.0,0.0,0.0,56,56,1.0
humanitarian,centralized_llm,interaction_entropy,56,0,0.0,,,56,0,0.0
humanitarian,centralized_lookahead,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,32,32,1.0
humanitarian,centralized_lookahead,distributed_free_energy_mean,72,32,0.4444444444444444,0.0,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_energy,72,67,0.9305555555555556,2.985074626865672,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_energy_sensitivity_backlog_service_heavy,72,67,0.9305555555555556,2.985074626865672,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_energy_sensitivity_balanced,72,57,0.7916666666666666,2.3684210526315788,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_energy_sensitivity_delay_commitment_heavy,72,57,0.7916666666666666,2.3684210526315788,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_entropy,72,44,0.6111111111111112,1.1363636363636365,1.0,32,0,0.0
humanitarian,centralized_lookahead,exact_free_energy,72,32,0.4444444444444444,0.0,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_free_energy_sensitivity_backlog_service_heavy,72,32,0.4444444444444444,0.0,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_free_energy_sensitivity_balanced,72,32,0.4444444444444444,0.0,0.0,32,32,1.0
humanitarian,centralized_lookahead,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.7638888888888888,0.0,32,32,1.0
humanitarian,centralized_lookahead,interaction_entropy,72,0,0.0,,,32,0,0.0
humanitarian,learned_no_entropy,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
humanitarian,learned_no_entropy,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,learned_no_entropy,interaction_entropy,72,0,0.0,,,72,0,0.0
humanitarian,scripted_independent,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
humanitarian,scripted_independent,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,scripted_independent,interaction_entropy,72,1,0.013888888888888888,0.0,0.0,72,1,0.013888888888888888
humanitarian,thermoagent,absolute_free_energy_deviation,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,distributed_free_energy_mean,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_entropy,72,40,0.5555555555555556,0.0,0.0,72,40,0.5555555555555556
humanitarian,thermoagent,exact_free_energy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_free_energy_sensitivity_backlog_service_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_free_energy_sensitivity_balanced,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,exact_free_energy_sensitivity_delay_commitment_heavy,72,72,1.0,0.0,0.0,72,72,1.0
humanitarian,thermoagent,interaction_entropy,72,0,0.0,,,72,0,0.0
