run_id,application,complexity,coupling,fragmentation,network_disruption,topology_family,information_condition,sketch_policy,environment_seed,controller,step,agent_id,target,proposed_operational_action,information_action,communication_action,delegation_action,accepted_physical_action,counterfactual_evaluated,counterfactual_causal_utility,counterfactual_beneficial,counterfactual_harmful,predictive_uncertainty,action_value_margin,severity,safety_risk,resource_scarcity,shannon_local,pooled_uncertainty,js_disagreement,jt_disagreement_0_5,jt_disagreement_2,graph_disagreement,consensus,consensus_residual,entropy_slope,disagreement_slope,risk_kpi_confidence,risk_predictive_uncertainty,risk_shannon_js,risk_generalized_tsallis_gini,risk_graph_disagreement,risk_combined_generalized_entropic
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-46-depot,H28,release_emergency_reserve,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6753541125221678,0.09207924979712823,0.6470111704978854,0.2632939503722359,1.0,0.9352464653729325,0.9352464653729325,0.0,0.0,0.0,0.0,1.0,0.8,0.007719805219546072,0.0,0.5742109463468738,0.6753541125221678,0.5039532613521003,0.5548245142209264,0.4436487272593105,0.32469442555087535
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-47-hub,H21,release_emergency_reserve,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6342077625949136,0.14160335752221992,0.49172399941887257,0.022260196352897887,1.0,0.9083014421384409,0.9083014421384409,0.0,0.0,0.0,0.0,1.0,0.8,0.016903107245018867,0.0,0.5023730864069662,0.6342077625949136,0.48075846557257573,0.5315964459739395,0.42636726028986377,0.2842493970889236
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-48-ngo,H24,cancel_risky_dispatch,request_peer_evidence,send_targeted_summary,execute_autonomously,True,False,0.0,False,False,0.6933039106271257,0.13094115291064945,1.0,0.8207271042821278,1.0,0.9329857557103273,0.9410919181003756,0.009657044264994918,0.008231026395354668,0.0066374077284544475,0.033777934743391386,0.9903429557350051,0.3875,-0.009460488714327586,0.008108649099366372,0.7140978346409335,0.6933039106271257,0.524087865149425,0.5764826166208351,0.4200301032733477,0.3826773579596238
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-49-transport,H27,cancel_risky_dispatch,request_peer_evidence,send_targeted_summary,execute_autonomously,True,False,0.0,False,False,0.797823973218633,0.09794127562476829,0.801807166804661,0.5025499074982652,1.0,0.9375869518451423,0.9375869518451423,0.0,0.0,0.0,0.0,1.0,0.8,0.04921582097040622,0.0,0.673272128693919,0.797823973218633,0.5535263272487387,0.6059921725778235,0.49508606875182587,0.3876967014010091
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-50-local_authority,H20,release_emergency_reserve,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6416310540603803,0.126755753312337,1.0,0.8326403012166125,1.0,0.8950930992938513,0.8950933938102438,1.437777741308821e-07,1.464605239309691e-07,6.286659726129074e-08,0.0053731460589335756,0.9999998562222259,0.7916666666666666,-0.028117328612130676,-1.2030498869108897e-05,0.6993882306725163,0.6416310540603803,0.48042589773649874,0.5332948896327709,0.4359855580482721,0.3863980595950477
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,70,HUM-51-assessment,H23,allocate_shipment,request_peer_evidence,send_targeted_summary,execute_autonomously,True,False,0.0,False,False,0.7593284741100972,0.017393191244505307,0.6731653047254114,0.3027853682379469,1.0,0.9531894409363497,0.9531894409363497,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.003986619434273586,0.0,0.6122401695745403,0.7593284741100972,0.5420287498781263,0.5946478425917965,0.4855846257929075,0.3572795502727142
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-00-ngo,H00,allocate_shipment,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.7622076139619989,0.00794338949481832,0.18211722975508068,0.28228170612037506,0.0,0.9607667992700782,0.9607696823812818,7.528642470000513e-06,5.686923781444975e-06,5.845511174662477e-06,0.035997194823710554,0.99999247135753,0.7916666666666666,0.039360733590953045,-0.000133315722193883,0.38829819821596967,0.7622076139619989,0.5450852855017772,0.5971623205582041,0.5331762673294129,0.37639524045238687
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-01-transport,H03,cancel_risky_dispatch,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.7349114691284218,0.06043587423223423,0.0,0.0,0.0,0.9435586439893832,0.9435586439893832,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.011914210307534145,0.0,0.3112698995036634,0.7349114691284218,0.5298542486487146,0.5835559125049792,0.4753294837006038,0.31410854468929145
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-02-local_authority,H06,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.6110339667602562,0.18249634909806875,0.0,0.0,0.0,0.8688136798790418,0.8688137157825409,3.0795695438179393e-08,2.022838963000595e-08,3.403573323179643e-08,0.028440742925573637,0.9999999692043046,0.725,0.01040006587201947,-2.079483571226781e-06,0.2691515486984871,0.6110339667602562,0.4616170497878366,0.5151067792049833,0.4448641952861795,0.2860237186959125
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-03-assessment,H09,cancel_risky_dispatch,request_peer_evidence,negotiate_commitment,execute_autonomously,True,False,0.0,False,False,0.7060660784179613,0.013819039337978845,0.12817082167508825,0.1986647735963868,0.0,0.9082161962395444,0.9136062176435673,0.0031596584340999323,0.0024569652186959834,0.002439546709547491,0.01712701039154252,0.9968403415659001,0.725,-0.036214672322794295,-0.004019863133005286,0.3491420123252397,0.7060660784179613,0.5139040022348105,0.5656574986948348,0.4675808087306884,0.3311291893192949
v7-pilots-humanitarian-large-high-high-high-random_geometric-private_fragmented-771105-always_act-event_triggered,humanitarian,large,high,high,high,random_geometric,private_fragmented,event_triggered,771105,always_act,75,HUM-04-clinic,H02,no_operational_action,request_peer_evidence,send_targeted_summary,execute_autonomously,False,False,0.0,False,False,0.5313093813439467,0.31463236416461804,0.10374374166285368,0.16080279957742322,0.0,0.8404343213980083,0.8404343213980083,0.0,0.0,0.0,0.0,1.0,0.8,-0.07231778892503249,0.0,0.28063786155552345,0.5313093813439467,0.4226323328870808,0.47014219895034826,0.38314994016445764,0.2720629627255959
