model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters,source_type,graph_distance,metric,estimate,ci_low,ci_high,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_persistent,disruption,6.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,6.0,0.0,0.0,0.0577662037037037,0.1414977234517458,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,7.0,0.0,0.0,0.0567013888888888,0.1388894704848934,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,11.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,12.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,13.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,14.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,6.0,15.0,0.0,1.0,0.0452083333333333,0.1107373487883228,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,0.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,1.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,2.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,3.0,0.0,0.0,0.0631249999999999,0.154624040013188,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,4.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,5.0,0.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,6.0,0.0,0.0,0.0567013888888888,0.1388894704848934,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,7.0,0.0,0.0,0.1331249999999999,0.2062363631855449,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,8.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,9.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,7.0,10.0,0.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
