row_type,evaluation_stage,application,run_id,scenario_name,communication_group,disruption_group,signal,true_sources,top1_prediction,top1_correct,top3_correct,n_episodes
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,agency_03;depot_06;ngo_01;ngo_02;transport_04,agency_03,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,local_surprisal,agency_03;depot_06;ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,agency_03;depot_06;ngo_01;ngo_02;transport_04,agency_03,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,local_surprisal,agency_03;depot_06;ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,agency_03;depot_06;ngo_01;ngo_02;transport_04,agency_03,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,local_surprisal,agency_03;depot_06;ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,ordinary_impairment,agency_03;depot_06;ngo_01;ngo_02;transport_04,agency_03,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,local_surprisal,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_holdout_diagnostic,humanitarian,holdout-humanitarian-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,ordinary_impairment,ngo_01;ngo_02;transport_04,ngo_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2101-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2101-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2102-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2102-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2103-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2103-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2104-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2104-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2105-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2105-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2106-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2106-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2107-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2107-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2108-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,local_surprisal,carrier_05;supplier_01;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n08-s2108-private_mixed_compound_partition_small,private_mixed_compound_partition_small,partition,compound,ordinary_impairment,carrier_05;supplier_01;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2101-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2102-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2103-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2104-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2105-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,ordinary_impairment,carrier_05;supplier_01;supplier_02;warehouse_07,warehouse_07,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-private_mixed_correlated,private_mixed_correlated,degraded,correlated,local_surprisal,carrier_05;supplier_01;supplier_02,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2106-private_mixed_correlated,private_mixed_correlated,degraded,correlated,ordinary_impairment,carrier_05;supplier_01;supplier_02,carrier_05,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_moderate_center,factor_moderate_center,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_moderate_center,factor_moderate_center,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_private_aligned,factor_private_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_private_aligned,factor_private_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_private_mixed,factor_private_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_private_mixed,factor_private_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_shared_aligned,factor_shared_aligned,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_shared_aligned,factor_shared_aligned,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_shared_mixed,factor_shared_mixed,connected,isolated,local_surprisal,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-factor_shared_mixed,factor_shared_mixed,connected,isolated,ordinary_impairment,supplier_01,supplier_01,True,True,
episode,original_main_oof,commercial,main-commercial-scripted_independent-n11-s2107-private_mixed_compound_partition_large,private_mixed_compound_partition_large,partition,compound,local_surprisal,carrier_05;supplier_01;supplier_02;warehouse_07,supplier_01,True,True,
