analysis,evaluation_stage,application,model,n_episodes,n_timepoints,average_precision,roc_auc,brier_score,rmse,r_squared,spearman,calibration_bin,mean_prediction,mean_observed
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_plus_entropy_regression,7,35,,,,0.010639420001755056,,,4.0,0.9639415629354742,0.9737892915241684
future_service_loss_regression,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,8,176,,,,0.02826930914394555,0.8985680917846227,0.9789423113435642,,,
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,8,36,,,,0.03604529778886382,,,0.0,0.7407373633127818,0.7626492459517374
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,8,35,,,,0.030836575776582827,,,1.0,0.879445150226995,0.9078780618076537
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,8,35,,,,0.02325492728173403,,,2.0,0.9269429497595322,0.9492837695020179
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,8,35,,,,0.02399089986880909,,,3.0,0.9410575119420439,0.9645926712048681
future_service_loss_calibration_bin,original_holdout_diagnostic,humanitarian,ordinary_KPI_regression,7,35,,,,0.024798538917412547,,,4.0,0.9496191121983695,0.9742429383930772
future_service_loss_regression,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,72,1440,,,,0.03737251764456148,0.7530531518456797,0.8663711083052457,,,
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,72,288,,,,0.04741632819314787,,,0.0,0.7448991308281457,0.755318033813585
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,66,288,,,,0.048163216177620635,,,1.0,0.8295465962551322,0.8018707716236183
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,59,289,,,,0.026391909475339863,,,2.0,0.8450515251501016,0.8422577716083076
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,64,287,,,,0.037706420346387555,,,3.0,0.8615168449190947,0.8732996949612888
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_plus_entropy_regression,24,288,,,,0.01731279819275447,,,4.0,0.9276265187421389,0.932439709757015
future_service_loss_regression,original_main_oof,commercial,ordinary_KPI_regression,72,1440,,,,0.04062358208022224,0.7082202097802268,0.8323424750688841,,,
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_regression,72,288,,,,0.04925156548645302,,,0.0,0.7430639428406004,0.7554986654069393
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_regression,70,291,,,,0.04810415233840824,,,1.0,0.8293201671752168,0.8183084401699703
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_regression,45,288,,,,0.04482036939966248,,,2.0,0.8532876404318102,0.8256323400325138
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_regression,51,285,,,,0.02568788400645247,,,3.0,0.8712548121341452,0.8745882438770378
future_service_loss_calibration_bin,original_main_oof,commercial,ordinary_KPI_regression,24,288,,,,0.02873477658663792,,,4.0,0.9122186759370039,0.9316367557765486
future_service_loss_regression,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,72,1440,,,,0.03913574796791242,0.758188848917395,0.882113621913997,,,
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,72,293,,,,0.04779375331561365,,,0.0,0.7524188289928266,0.7593182060250712
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,72,283,,,,0.04269827809064594,,,1.0,0.8546524920045213,0.8384839943344082
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,68,288,,,,0.04015266878495115,,,2.0,0.883790849835528,0.8689643450908408
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,56,288,,,,0.03594217270220344,,,3.0,0.904657213534121,0.916037664827614
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_plus_entropy_regression,36,288,,,,0.025269868249809792,,,4.0,0.9365078598663816,0.9507772203943302
future_service_loss_regression,original_main_oof,humanitarian,ordinary_KPI_regression,72,1440,,,,0.040462093360618547,0.7415207154085491,0.8846036192374831,,,
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_regression,72,292,,,,0.046700800540172185,,,0.0,0.7512469122734288,0.7597797723654527
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_regression,71,284,,,,0.04833569383378509,,,1.0,0.8564761302736031,0.8384087320758495
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_regression,67,292,,,,0.040877961137670386,,,2.0,0.8878891971021806,0.8674108178878625
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_regression,58,284,,,,0.03265228487182176,,,3.0,0.9073110898399269,0.9153319840712736
future_service_loss_calibration_bin,original_main_oof,humanitarian,ordinary_KPI_regression,40,288,,,,0.03041675511229089,,,4.0,0.9291120328044065,0.9530333588622031
disruption_classification_incremental_entropy,original_holdout_diagnostic,commercial,KPI_plus_entropy_minus_KPI,8,176,0.0,0.0,0.0003001975961985314,,,,,,
disruption_classification_incremental_entropy,original_holdout_diagnostic,humanitarian,KPI_plus_entropy_minus_KPI,8,176,0.0,0.0,0.003864008826222852,,,,,,
disruption_classification_incremental_entropy,original_main_oof,commercial,KPI_plus_entropy_minus_KPI,72,1440,1.1102230246251565e-16,0.0,-0.00012391275691202086,,,,,,
disruption_classification_incremental_entropy,original_main_oof,humanitarian,KPI_plus_entropy_minus_KPI,72,1440,0.0,0.0,-0.0001808344468344056,,,,,,
future_service_loss_regression_incremental_entropy,original_holdout_diagnostic,commercial,KPI_plus_entropy_minus_KPI,8,176,,,,-0.025046347238937585,0.25404336683754947,0.0059729305761274665,,,
future_service_loss_regression_incremental_entropy,original_holdout_diagnostic,humanitarian,KPI_plus_entropy_minus_KPI,8,176,,,,-0.009965944066133797,0.05891065166435738,-1.9230251634416717e-06,,,
future_service_loss_regression_incremental_entropy,original_main_oof,commercial,KPI_plus_entropy_minus_KPI,72,1440,,,,-0.0032510644356607554,0.04483294206545285,0.034028633236361516,,,
future_service_loss_regression_incremental_entropy,original_main_oof,humanitarian,KPI_plus_entropy_minus_KPI,72,1440,,,,-0.0013263453927061242,0.016668133508845884,-0.002489997323486093,,,
restricted_local_disruption_classification,original_holdout_diagnostic,commercial,restricted_local_KPI_logistic,8,1584,1.0,1.0,0.01739998914386051,,,,,,
restricted_local_disruption_classification,original_holdout_diagnostic,commercial,restricted_local_KPI_plus_distributed_entropy_logistic,8,1584,1.0,1.0,0.002572605215482653,,,,,,
restricted_local_disruption_classification,original_holdout_diagnostic,humanitarian,restricted_local_KPI_logistic,8,1584,1.0,1.0,0.02284544287684009,,,,,,
restricted_local_disruption_classification,original_holdout_diagnostic,humanitarian,restricted_local_KPI_plus_distributed_entropy_logistic,8,1584,1.0,1.0,0.0031490294811179465,,,,,,
restricted_local_disruption_classification,original_main_oof,commercial,restricted_local_KPI_logistic,72,15360,0.8990550294786603,0.8240827889374928,0.16343998909690635,,,,,,
restricted_local_disruption_classification,original_main_oof,commercial,restricted_local_KPI_plus_distributed_entropy_logistic,72,15360,0.9964668485130097,0.9954906037757569,0.011225495358487492,,,,,,
restricted_local_disruption_classification,original_main_oof,humanitarian,restricted_local_KPI_logistic,72,14080,0.9019585634538994,0.8303720726472879,0.15806272433198873,,,,,,
restricted_local_disruption_classification,original_main_oof,humanitarian,restricted_local_KPI_plus_distributed_entropy_logistic,72,14080,1.0,0.9999999999999999,0.00011931366202156553,,,,,,
restricted_local_future_service_loss_regression,original_holdout_diagnostic,commercial,restricted_local_KPI_plus_distributed_entropy_regression,8,1584,,,,0.07890954965022857,-0.009440695529634668,0.7297664900374495,,,
restricted_local_future_service_loss_regression,original_holdout_diagnostic,commercial,restricted_local_KPI_regression,8,1584,,,,0.06936822128603823,0.21991343750917447,0.7157397502329814,,,
restricted_local_future_service_loss_regression,original_holdout_diagnostic,humanitarian,restricted_local_KPI_plus_distributed_entropy_regression,8,1584,,,,0.06820984077649922,0.4094750153288963,0.726461085902504,,,
restricted_local_future_service_loss_regression,original_holdout_diagnostic,humanitarian,restricted_local_KPI_regression,8,1584,,,,0.06491067236430931,0.465218443512843,0.7072077416562731,,,
restricted_local_future_service_loss_regression,original_main_oof,commercial,restricted_local_KPI_plus_distributed_entropy_regression,72,15360,,,,0.05974185987778056,0.3428729349564764,0.5502427964073224,,,
restricted_local_future_service_loss_regression,original_main_oof,commercial,restricted_local_KPI_regression,72,15360,,,,0.0606793771152625,0.3220867770278598,0.41515021172004346,,,
restricted_local_future_service_loss_regression,original_main_oof,humanitarian,restricted_local_KPI_plus_distributed_entropy_regression,72,14080,,,,0.06653615897750785,0.2853308292800306,0.5121188838894353,,,
restricted_local_future_service_loss_regression,original_main_oof,humanitarian,restricted_local_KPI_regression,72,14080,,,,0.06943740395462696,0.22164710185789682,0.3178468836661168,,,
restricted_local_disruption_classification_incremental_entropy,original_holdout_diagnostic,commercial,restricted_local_KPI_plus_entropy_minus_local_KPI,8,1584,0.0,0.0,-0.014827383928377858,,,,,,
restricted_local_disruption_classification_incremental_entropy,original_holdout_diagnostic,humanitarian,restricted_local_KPI_plus_entropy_minus_local_KPI,8,1584,0.0,0.0,-0.019696413395722145,,,,,,
restricted_local_disruption_classification_incremental_entropy,original_main_oof,commercial,restricted_local_KPI_plus_entropy_minus_local_KPI,72,15360,0.09741181903434937,0.17140781483826417,-0.15221449373841886,,,,,,
restricted_local_disruption_classification_incremental_entropy,original_main_oof,humanitarian,restricted_local_KPI_plus_entropy_minus_local_KPI,72,14080,0.09804143654610065,0.16962792735271204,-0.15794341066996717,,,,,,
restricted_local_future_service_loss_regression_incremental_entropy,original_holdout_diagnostic,commercial,restricted_local_KPI_plus_entropy_minus_local_KPI,8,1584,,,,0.009541328364190346,-0.22935413303880914,0.014026739804468114,,,
restricted_local_future_service_loss_regression_incremental_entropy,original_holdout_diagnostic,humanitarian,restricted_local_KPI_plus_entropy_minus_local_KPI,8,1584,,,,0.0032991684121899123,-0.05574342818394673,0.01925334424623093,,,
restricted_local_future_service_loss_regression_incremental_entropy,original_main_oof,commercial,restricted_local_KPI_plus_entropy_minus_local_KPI,72,15360,,,,-0.0009375172374819427,0.0207861579286166,0.13509258468727897,,,
restricted_local_future_service_loss_regression_incremental_entropy,original_main_oof,humanitarian,restricted_local_KPI_plus_entropy_minus_local_KPI,72,14080,,,,-0.002901244977119105,0.0636837274221338,0.19427200022331848,,,
