row_type,evaluation_stage,application,detector,run_id,scenario_name,communication_group,disruption_group,disruption_step,detection_step,detection_delay,visible_collapse_step,severe_service_loss_threshold,severe_service_loss_persistence,detection_lead_before_collapse,detected_strictly_before_collapse,false_activations_before_disruption_or_during_nominal,pre_disruption_or_nominal_timepoints,n_episodes,n_disrupted_episodes,detection_rate,false_activation_rate
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,,,9.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,9.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,13.0,6.0,10.0,0.9,3,-3.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,16.0,9.0,10.0,0.9,3,-6.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,14.0,7.0,10.0,0.9,3,-4.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,16.0,9.0,10.0,0.9,3,-6.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,12.0,5.0,10.0,0.9,3,-2.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,Page_Hinkley,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,13.0,6.0,10.0,0.9,3,-3.0,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,backlog_threshold,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,9.0,2.0,10.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,capacity_loss_indicator,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,9.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,8.0,1.0,9.0,0.9,3,1.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,communication_volume_threshold,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,8.0,1.0,10.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,entropy_CUSUM,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,9.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,exact_entropy_evaluator_only,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_logistic,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,multivariate_KPI_plus_entropy_logistic,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_absolute_deviation,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,3,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,2,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_change,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,1,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,,,9.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,9.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_high,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,,,10.0,0.9,3,,False,0,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_low,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4101-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,9.0,0.9,3,2.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4102-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4102-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4103-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4103-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4104-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,operational_entropy_standardized_residual,holdout-commercial-scripted_independent-n09-s4104-unseen_correlated_partition,unseen_correlated_partition,partition,correlated,7.0,7.0,0.0,10.0,0.9,3,3.0,True,7,7,,,,
episode,original_holdout_diagnostic,commercial,rolling_mean,holdout-commercial-scripted_independent-n09-s4101-unseen_compound,unseen_compound,degraded,compound,7.0,7.0,0.0,9.0,0.9,3,2.0,True,0,7,,,,
