stage,application,scheduler,episodes,beneficial_actions,neutral_actions,harmful_actions,harmful_action_rate,accepted_physical_actions,mean_service_loss,mean_net_causal_utility,mean_normalized_reward,operator_escalation_requests
pilots,utility_restoration,kpi_change,8,293,156,378,0.4570737605804111,831,801.6602716090518,0.17421095445514,-0.3176543409316054,262
pilots,utility_restoration,l1_belief_drift,8,293,158,378,0.4559710494571773,833,807.7371397109943,0.21261167978059636,-0.3219157854746473,259
pilots,utility_restoration,matched_random,12,435,234,571,0.46048387096774196,1246,802.970862873332,0.05575337206454275,-0.320658846365841,398
pilots,utility_restoration,none,4,149,78,190,0.4556354916067146,419,811.1833104479051,0.15631537883013746,-0.3262910280915336,131
pilots,utility_restoration,periodic,12,438,234,570,0.45893719806763283,1248,802.970862873332,0.030187721270204342,-0.3208075702872226,395
pilots,utility_restoration,predictive_uncertainty_change,8,290,157,379,0.45883777239709445,830,805.354001292163,0.12553926234755575,-0.3209967754441182,262
pilots,utility_restoration,tsallis_spectrum_change,8,292,157,378,0.4570737605804111,831,802.970862873332,0.1265446064294773,-0.31969801636379724,264
pilots,utility_restoration,v7_shannon_change,8,292,157,379,0.4577294685990338,832,802.970862873332,0.09904460642947743,-0.31953119702973676,263
pilots_v2,humanitarian,age_of_information,8,477,0,587,0.5516917293233082,1086,53674.27486316258,202.59935397076137,-16.10874688901341,653
pilots_v2,humanitarian,always_on,6,297,0,339,0.5330188679245284,650,36614.848201901215,156.06624391103432,-11.94278281648618,340
pilots_v2,humanitarian,generalized_information,8,483,0,586,0.5481758652946679,1092,53840.679162066284,210.03420969812933,-16.140310417151476,655
pilots_v2,humanitarian,js_drift,8,480,0,588,0.550561797752809,1090,53586.211372761456,207.21323121105715,-16.109475336078063,653
pilots_v2,humanitarian,kpi_change,8,481,0,584,0.5483568075117371,1087,53570.23480141413,207.55619122297983,-16.081413758480004,656
pilots_v2,humanitarian,l1_belief_drift,8,482,0,590,0.5503731343283582,1096,54117.509773880054,207.72005760449753,-16.1959640938349,656
pilots_v2,humanitarian,matched_random,12,706,0,871,0.5523145212428662,1611,53668.58533124613,201.8664243524225,-16.10918946286718,978
pilots_v2,humanitarian,none,4,242,0,287,0.5425330812854442,539,53489.14939539487,209.26990193437237,-16.070862232020907,329
pilots_v2,humanitarian,periodic,12,718,0,877,0.5498432601880878,1628,53670.694387929914,204.30133831856548,-16.106583217708184,978
pilots_v2,humanitarian,predictive_uncertainty_change,8,482,0,588,0.5495327102803739,1090,54116.19435220852,207.29344850244934,-16.181511149234574,652
pilots_v2,humanitarian,tsallis_spectrum_change,8,483,0,588,0.5490196078431373,1093,54134.28814884611,208.11227114805536,-16.203356787873076,655
pilots_v2,humanitarian,v7_shannon_change,8,483,0,589,0.5494402985074627,1094,54148.06346999456,208.2562093332502,-16.21387316373007,656
pilots_v2,utility_restoration,age_of_information,8,318,193,280,0.35398230088495575,791,882.6751136306451,4.223241669881645,-0.31947339730185204,272
pilots_v2,utility_restoration,always_on,6,163,109,172,0.38738738738738737,444,605.0171406522076,1.5250450083038505,-0.3144691919891119,132
pilots_v2,utility_restoration,generalized_information,8,317,201,282,0.3525,800,881.7883684000274,4.145872687354255,-0.3145149364343154,269
pilots_v2,utility_restoration,js_drift,8,318,204,283,0.3515527950310559,805,881.7471847859863,4.001272113547923,-0.32155975637370493,264
pilots_v2,utility_restoration,kpi_change,8,321,198,286,0.3552795031055901,805,883.5621224322206,3.879727058314554,-0.32514137044472247,262
pilots_v2,utility_restoration,l1_belief_drift,8,318,202,288,0.3564356435643564,808,881.4528240467436,3.876890226991964,-0.319812966335837,264
pilots_v2,utility_restoration,matched_random,12,481,293,426,0.355,1200,882.8174655050889,4.085532700751197,-0.32243577783537175,396
pilots_v2,utility_restoration,none,4,161,96,138,0.3493670886075949,395,883.8974032145467,4.460383646139709,-0.32232001494845197,136
pilots_v2,utility_restoration,periodic,12,479,292,418,0.351555929352397,1189,883.278959698746,4.325255695976832,-0.3201660494936957,406
pilots_v2,utility_restoration,predictive_uncertainty_change,8,316,203,282,0.352059925093633,801,881.7223691891785,4.123129035216488,-0.3192303364294422,266
pilots_v2,utility_restoration,tsallis_spectrum_change,8,316,201,283,0.35375,800,881.4280084499359,4.0532058223250065,-0.3198932682421134,266
pilots_v2,utility_restoration,v7_shannon_change,8,318,198,283,0.3541927409261577,799,882.4182734925539,4.266845605669838,-0.3161762986984804,266
pilots_v3,humanitarian,always_on,4,229,0,333,0.5925266903914591,569,52890.6308419005,178.60325931861738,-15.95836516560633,397
pilots_v3,humanitarian,generalized_information,20,1145,0,1661,0.5919458303635068,2843,52905.280957209936,178.83339408893121,-15.972735248821817,1983
pilots_v3,humanitarian,kpi_change,4,229,0,332,0.5918003565062389,569,52921.525302098176,179.67484624440198,-15.969731485816439,396
pilots_v3,humanitarian,matched_random,4,230,0,334,0.5921985815602837,571,52799.07526459131,181.8180069696853,-15.953762059784758,395
pilots_v3,humanitarian,none,4,227,0,333,0.5946428571428571,567,52592.686866739976,171.63677537596286,-15.875895788279152,393
pilots_v3,humanitarian,periodic,4,226,0,333,0.5957066189624329,565,52739.55691735513,171.05333208023026,-15.967421869817281,395
pilots_v3,humanitarian,predictive_uncertainty_change,4,228,0,331,0.592128801431127,567,52896.36166997639,178.10575931861734,-15.981058272375662,396
pilots_v3,utility_restoration,always_on,4,165,78,121,0.3324175824175824,365,1117.633154216909,8.26654420018031,-0.2733842471907727,240
pilots_v3,utility_restoration,generalized_information,20,825,383,613,0.33662822624931354,1826,1118.8778553375057,8.10027429667451,-0.2765563845900772,1193
pilots_v3,utility_restoration,kpi_change,4,167,73,121,0.33518005540166207,362,1117.633154216909,8.273446607757624,-0.2739651388869632,239
pilots_v3,utility_restoration,matched_random,4,165,73,120,0.33519553072625696,359,1118.8778553375053,8.21403525970544,-0.2760445766628962,240
pilots_v3,utility_restoration,none,4,169,74,119,0.3287292817679558,363,1116.3544207043892,8.549082542121912,-0.27328036474999806,237
pilots_v3,utility_restoration,periodic,4,168,74,120,0.3314917127071823,363,1118.8778553375053,8.353535259705438,-0.2755792756659749,234
pilots_v3,utility_restoration,predictive_uncertainty_change,4,166,78,122,0.3333333333333333,367,1118.8778553375053,8.236632852128125,-0.27556500730077826,237
routing_repair_pilot,utility_restoration,always_on,4,251,170,218,0.3411580594679186,639,2278.9799770752093,5.609191154469121,-0.40748077544689576,268
routing_repair_pilot,utility_restoration,generalized_information,4,258,171,216,0.33488372093023255,645,2278.9799770752093,6.032191154469118,-0.40602581089977063,268
hysteresis_repair_pilot,humanitarian,always_on,6,348,0,439,0.5578144853875476,807,67238.29448733617,191.74410086733602,-17.024726112490264,508
hysteresis_repair_pilot,humanitarian,generalized_information,12,674,0,892,0.5696040868454662,1604,66689.50538747034,181.06964275820653,-17.007730248936724,1010
hysteresis_repair_pilot,humanitarian,kpi_change,6,345,0,440,0.5605095541401274,804,66686.76827301052,188.45838032218003,-16.88831951893479,506
hysteresis_repair_pilot,humanitarian,none,6,337,0,434,0.562905317769131,789,67104.89654372656,184.2193984346887,-17.088406362889565,521
hysteresis_repair_pilot,utility_restoration,always_on,6,201,107,337,0.5224806201550387,645,662.8319290906715,-3.0652430410629408,-0.19228045059033994,78
hysteresis_repair_pilot,utility_restoration,generalized_information,12,402,204,658,0.5205696202531646,1264,660.0893356635978,-2.7100212361329894,-0.1885222589009404,154
hysteresis_repair_pilot,utility_restoration,kpi_change,6,201,109,334,0.5186335403726708,644,661.937730812001,-2.673061443141505,-0.18422373354118626,78
hysteresis_repair_pilot,utility_restoration,none,6,199,110,329,0.5156739811912225,638,660.4357434166217,-2.5229283670483116,-0.19185518633037071,81
hysteresis_repair_pilot_v2,humanitarian,always_on,6,388,0,500,0.5630630630630631,909,62636.10863197226,236.72068102310803,-16.26102078769582,485
hysteresis_repair_pilot_v2,humanitarian,generalized_information,12,768,0,1016,0.5695067264573991,1814,62106.89385120847,234.33643040482278,-16.147283173260707,968
hysteresis_repair_pilot_v2,humanitarian,kpi_change,6,386,0,506,0.5672645739910314,911,62110.00901030555,235.1224908028161,-16.16321278587206,486
hysteresis_repair_pilot_v2,humanitarian,none,6,377,0,505,0.572562358276644,896,61918.58699524062,229.00908669630658,-16.280923083977026,489
hysteresis_repair_pilot_v2,utility_restoration,always_on,6,207,139,253,0.42237061769616024,599,1067.2247938503767,1.8528852565166618,-0.3549039354108323,211
hysteresis_repair_pilot_v2,utility_restoration,generalized_information,12,416,278,504,0.42070116861435725,1198,1062.568751551709,1.8274859750849288,-0.337339486754801,422
hysteresis_repair_pilot_v2,utility_restoration,kpi_change,6,204,137,252,0.42495784148397975,593,1062.964204919814,1.7337978906357374,-0.3467590741001995,210
hysteresis_repair_pilot_v2,utility_restoration,none,6,213,134,247,0.4158249158249158,594,1056.1557681590568,2.608388595204939,-0.33649759812010127,209
hysteresis_repair_pilot_v3,humanitarian,always_on,6,350,0,506,0.5911214953271028,880,64985.38350888639,209.62429624424817,-16.79325252602276,518
hysteresis_repair_pilot_v3,humanitarian,generalized_information,12,694,0,1013,0.5934387814879907,1753,65079.09323884104,204.73908420861144,-16.86301825738611,1033
hysteresis_repair_pilot_v3,humanitarian,kpi_change,6,350,0,509,0.5925494761350407,880,65773.34676729211,207.27576822078984,-16.907771472630408,514
hysteresis_repair_pilot_v3,humanitarian,none,6,350,0,499,0.5877502944640753,871,65047.999258553056,201.8350498605475,-16.799043317638674,516
hysteresis_repair_pilot_v3,utility_restoration,always_on,6,166,122,285,0.4973821989528796,573,651.1046106589301,-1.061151269058907,-0.1286976015160154,147
hysteresis_repair_pilot_v3,utility_restoration,generalized_information,12,326,244,578,0.5034843205574913,1148,646.9518033957037,-1.4510569715864072,-0.13100865225160122,295
hysteresis_repair_pilot_v3,utility_restoration,kpi_change,6,164,123,289,0.5017361111111112,576,652.6735976402761,-1.2350681282691738,-0.13829834077965733,145
hysteresis_repair_pilot_v3,utility_restoration,none,6,164,125,289,0.5,578,637.1455603475505,-1.1517539878634035,-0.12551453810094315,142
development,humanitarian,age_of_information,24,1504,0,1800,0.5447941888619855,3388,61018.60476162236,235.158410884576,-15.730526216870652,1814
development,humanitarian,always_on,24,1508,0,1785,0.5420589128454297,3382,61243.93425648316,233.3892649222796,-15.815100379033174,1816
development,humanitarian,generalized_information,24,1501,0,1803,0.5457021791767555,3397,61194.935732946156,232.18473770229176,-15.811395961097814,1814
development,humanitarian,js_drift,24,1493,0,1816,0.5488062858869749,3393,61145.490497112194,232.78110802564916,-15.796232404174377,1810
development,humanitarian,kpi_change,24,1498,0,1800,0.5457853244390539,3391,61085.530459338835,233.96119947862272,-15.771981024048202,1814
development,humanitarian,l1_belief_drift,24,1507,0,1786,0.5423625873064075,3382,61248.23325648316,233.22097325561296,-15.816503480884615,1815
development,humanitarian,matched_random,24,1499,0,1798,0.5453442523506218,3390,61119.83062446607,233.01411298401072,-15.779356823602711,1813
development,humanitarian,none,24,1510,0,1798,0.5435308343409916,3388,60922.09732261404,234.77623229397446,-15.71183952465408,1815
development,humanitarian,offline_oracle,24,1508,0,1785,0.5420589128454297,3382,61243.93425648316,233.3892649222796,-15.815100379033174,1816
development,humanitarian,periodic,24,1509,0,1801,0.5441087613293052,3393,61041.37339583016,235.92691407540607,-15.745319531461211,1812
development,humanitarian,predictive_uncertainty_change,24,1514,0,1785,0.5410730524401334,3385,61131.53459782633,235.06354877209503,-15.75701013785274,1812
development,humanitarian,tsallis_spectrum_change,24,1513,0,1783,0.5409587378640777,3385,61194.52535289227,235.81840413498267,-15.77256932463615,1811
development,humanitarian,v7_shannon_change,24,1516,0,1787,0.5410233121404784,3388,61244.80164404112,236.1791914566867,-15.799096786593799,1814
development,utility_restoration,age_of_information,24,907,500,871,0.38235294117647056,2284,779.2693500926547,3.6857593725084263,-0.2516075391500525,543
development,utility_restoration,always_on,24,906,501,869,0.38181019332161686,2281,779.0945471886585,3.6924157945677076,-0.2518923609365227,547
development,utility_restoration,generalized_information,24,902,502,865,0.38122520934332305,2275,779.0469316076213,3.6814795282472157,-0.2517163315867472,553
development,utility_restoration,js_drift,24,902,503,867,0.3816021126760563,2278,779.0469316076213,3.670954698313364,-0.2524568793330367,553
development,utility_restoration,kpi_change,24,905,505,866,0.3804920913884007,2282,778.892157572947,3.6030261143754996,-0.25263090031425683,549
development,utility_restoration,l1_belief_drift,24,906,501,868,0.38153846153846155,2280,779.0945471886585,3.701582461234374,-0.2518555197743229,548
development,utility_restoration,matched_random,24,905,502,867,0.3812664907651715,2279,779.1245634869489,3.6684797844741337,-0.25243119540545056,551
development,utility_restoration,none,24,905,504,868,0.38120333772507686,2283,783.4272172437941,3.611167803838035,-0.25901756663868974,550
development,utility_restoration,offline_oracle,24,906,501,869,0.38181019332161686,2281,779.0945471886585,3.6924157945677076,-0.2518923609365227,547
development,utility_restoration,periodic,24,908,498,875,0.38360368259535294,2287,779.2693500926547,3.5492999691584513,-0.2539174223175296,545
development,utility_restoration,predictive_uncertainty_change,24,903,499,868,0.38237885462555066,2275,779.0469316076213,3.619411434231811,-0.2525024156488749,551
development,utility_restoration,tsallis_spectrum_change,24,905,505,871,0.3818500657606313,2286,779.2493212233327,3.707869323576156,-0.25000189344396423,544
development,utility_restoration,v7_shannon_change,24,903,503,870,0.38224956063268895,2281,779.3269531026604,3.7007520964870095,-0.2500282193807805,546
