stage,application,scheduler,episodes,independent_panels,attempted_sketch_messages,transmitted_sketch_messages,delivered_sketch_messages,dropped_sketch_messages,forwarded_sketch_messages,sketch_on_wire_bytes,operational_messages,operational_bytes,fully_counted_messages,fully_counted_bytes,mean_trigger_activation_rate,mean_trigger_compute_seconds,mean_trigger_compute_microseconds_per_evaluation,mean_primary_distributed_state_error
pilots_v3,humanitarian,predictive_uncertainty_change,4,4,38784,35902,32539,6245,29173,1220668,1907,448429,37809,1669097,0.6302655677655677,not_recorded,not_recorded,0.07054417060277698
pilots_v3,utility_restoration,always_on,4,4,40447,36997,33389,7058,28905,1257898,1278,298414,38275,1556312,1.0,not_recorded,not_recorded,0.06930068916417875
pilots_v3,utility_restoration,generalized_information,20,4,160495,146398,132113,28382,114547,4977532,6385,1490673,152783,6468205,0.7265590659340659,not_recorded,not_recorded,0.07030762633507573
pilots_v3,utility_restoration,kpi_change,4,4,29239,26768,24175,5064,20962,910112,1278,298405,28046,1208517,0.6750343406593406,not_recorded,not_recorded,0.0704172750128198
pilots_v3,utility_restoration,matched_random,4,4,27205,25145,22686,4519,19727,854930,1279,298649,26424,1153579,0.6243589743589744,not_recorded,not_recorded,0.07083480016909
pilots_v3,utility_restoration,none,4,4,0,0,0,0,0,0,1281,299098,1281,299098,0.0,not_recorded,not_recorded,0.09089219109890564
pilots_v3,utility_restoration,periodic,4,4,22732,21312,19238,3494,16696,724608,1280,298854,22592,1023462,0.5375,not_recorded,not_recorded,0.0714716113297251
pilots_v3,utility_restoration,predictive_uncertainty_change,4,4,27875,25846,23299,4576,20300,878764,1276,297926,27122,1176690,0.6001259157509157,not_recorded,not_recorded,0.0731060410407947
routing_repair_pilot,utility_restoration,always_on,4,4,102329,97456,88232,14097,84104,3313504,1726,403525,99182,3717029,1.0,not_recorded,not_recorded,0.06129470021920702
routing_repair_pilot,utility_restoration,generalized_information,4,4,74434,71015,64190,10244,61301,2414510,1726,403541,72741,2818051,0.7314903846153847,not_recorded,not_recorded,0.0622756986987206
hysteresis_repair_pilot,humanitarian,always_on,6,6,465430,442842,401469,63961,422820,15056628,2326,547066,445168,15603694,1.0,0.3546289826141826,663.3312477970543,0.05950606141811662
hysteresis_repair_pilot,humanitarian,generalized_information,12,6,489576,472726,428590,60986,452148,16072684,4652,1093960,477378,17166644,0.4007936507936507,0.38155233950237744,691.6422510812758,0.067913394665283
hysteresis_repair_pilot,humanitarian,kpi_change,6,6,343350,327636,296925,46425,312890,11139624,2325,546838,329961,11686462,0.6916361416361415,0.36213504841240746,676.5665029086847,0.06316964742940225
hysteresis_repair_pilot,humanitarian,none,6,6,0,0,0,0,0,0,2323,546449,2323,546449,0.0,0.0180012483518415,34.17529267705911,0.08162489090212864
hysteresis_repair_pilot,utility_restoration,always_on,6,6,250751,233931,212450,38301,221385,7953654,1483,348165,235414,8301819,1.0,0.3574756688612979,659.3883530750913,0.06033144574473734
hysteresis_repair_pilot,utility_restoration,generalized_information,12,6,269117,256957,233128,35989,243851,8736538,2940,690348,259897,9426886,0.4288690476190477,0.35237346434829914,660.2176858368927,0.062421583049066615
hysteresis_repair_pilot,utility_restoration,kpi_change,6,6,179504,168655,153017,26487,159820,5734270,1470,345062,170125,6079332,0.660599816849817,0.3531438684440218,654.6358368681105,0.06033732047800682
hysteresis_repair_pilot,utility_restoration,none,6,6,0,0,0,0,0,0,1466,344132,1466,344132,0.0,0.017464243467353868,33.45825407961148,0.08853075901203683
hysteresis_repair_pilot_v2,humanitarian,always_on,6,6,555486,532071,482911,72575,511469,18090414,2383,561209,534454,18651623,1.0,0.37406285800777067,691.6294804435142,0.06575754589281536
hysteresis_repair_pilot_v2,humanitarian,generalized_information,12,6,589954,571094,518334,71620,549882,19417196,4754,1119546,575848,20536742,0.3948412698412698,0.3749285525312492,706.6670971336875,0.07155886793212506
hysteresis_repair_pilot_v2,humanitarian,kpi_change,6,6,401531,385026,349377,52154,370208,13090884,2389,562486,387415,13653370,0.6713980463980463,0.3727582159723776,705.6531778087245,0.06876170320563897
hysteresis_repair_pilot_v2,humanitarian,none,6,6,0,0,0,0,0,0,2363,556460,2363,556460,0.0,0.01784325547244705,34.877817392814336,0.08402141180771444
hysteresis_repair_pilot_v2,utility_restoration,always_on,6,6,269953,253081,229180,40773,240423,8604754,1564,367374,254645,8972128,1.0,0.3695873956021387,688.1774984138733,0.06337955101687466
hysteresis_repair_pilot_v2,utility_restoration,generalized_information,12,6,289046,277000,250676,38370,263882,9418000,3140,737420,280140,10155420,0.4203983516483516,0.3717877673043404,681.0885853596791,0.06386625471352513
