application,regime,environment_seed,agent_id,role,incident_id,method,rl_seed,selected_action,reward,beneficial,harmful
humanitarian,correlated,52101,hum_carrier_1,carrier,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_regional_hub_2,regional_hub,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_carrier_3,carrier,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_regional_hub_4,regional_hub,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_clinic_5,clinic,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_regional_hub_6,regional_hub,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_clinic_7,clinic,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_coordinator_8,coordinator,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_clinic_9,clinic,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_coordinator_10,coordinator,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,correlated,52101,hum_ngo_11,ngo,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_ngo_0,ngo,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_carrier_1,carrier,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_regional_hub_2,regional_hub,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_carrier_3,carrier,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_regional_hub_4,regional_hub,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_clinic_5,clinic,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_regional_hub_6,regional_hub,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_clinic_7,clinic,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_coordinator_8,coordinator,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_clinic_9,clinic,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_coordinator_10,coordinator,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,compound,52101,hum_ngo_11,ngo,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_ngo_0,ngo,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_carrier_1,carrier,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_regional_hub_2,regional_hub,relief_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_carrier_3,carrier,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_regional_hub_4,regional_hub,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_clinic_5,clinic,relief_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_regional_hub_6,regional_hub,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_clinic_7,clinic,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_coordinator_8,coordinator,relief_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_clinic_9,clinic,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_coordinator_10,coordinator,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
humanitarian,ood,52101,hum_ngo_11,ngo,relief_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,isolated_physical,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,telemetry_integrity,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,partition,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,correlated,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,compound,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_distribution_node_0,distribution_node,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_field_crew_1,field_crew,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_communications_2,communications,utility_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_field_crew_3,field_crew,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_communications_4,communications,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_cyber_defense_5,cyber_defense,utility_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_communications_6,communications,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_cyber_defense_7,cyber_defense,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_resource_allocation_8,resource_allocation,utility_03,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_cyber_defense_9,cyber_defense,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_resource_allocation_10,resource_allocation,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
utility_restoration,ood,52101,uti_critical_load_11,critical_load,utility_04,ippo_entropy_disagreement,52002,no_action,0.0,False,False
commercial,isolated_physical,52102,com_supplier_0,supplier,supply_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
commercial,isolated_physical,52102,com_carrier_1,carrier,supply_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
commercial,isolated_physical,52102,com_warehouse_2,warehouse,supply_01,ippo_entropy_disagreement,52002,no_action,0.0,False,False
commercial,isolated_physical,52102,com_carrier_3,carrier,supply_02,ippo_entropy_disagreement,52002,no_action,0.0,False,False
