run_id,application,scenario,detector,fixed_intervention_budget,selected_interventions,beneficial_selected,realized_counterfactual_utility,mean_selected_effect
dense_causal_development_n10_v3-commercial-thermohitl_rule-correlated-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,5,3,0.2023817114347981,0.04047634228695962
dense_causal_development_n10_v3-commercial-thermohitl_rule-correlated-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-correlated-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,3,0.04928642779006154,0.008214404631676922
dense_causal_development_n10_v3-commercial-thermohitl_rule-moderate-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,3,2,0.26182304791563404,0.08727434930521134
dense_causal_development_n10_v3-commercial-thermohitl_rule-moderate-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-moderate-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,5,1,0.11779719866453497,0.023559439732906994
dense_causal_development_n10_v3-commercial-thermohitl_rule-nominal-reliable-e12405-o42405-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,2,0,0.0,0.0
dense_causal_development_n10_v3-commercial-thermohitl_rule-nominal-reliable-e12406-o42406-rnone,commercial,human_v3_development-reliable-nominal-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,4,0,0.0,0.0
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-compound-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,causal_local_kpi_logistic,6,6,3,34.2414518557257,5.70690864262095
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-compound-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,causal_local_kpi_logistic,6,6,3,35.75720119569996,5.9595335326166605
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-correlated-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,causal_local_kpi_logistic,6,6,3,112.19260987311827,18.698768312186377
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-correlated-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,causal_local_kpi_logistic,6,6,3,100.13103413926774,16.688505689877957
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-moderate-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,causal_local_kpi_logistic,6,5,2,-45.20431511839524,-9.040863023679048
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-moderate-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,causal_local_kpi_logistic,6,4,2,56.599867892176064,14.149966973044016
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-nominal-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,causal_local_kpi_logistic,6,4,0,-113.16772063044687,-28.291930157611716
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-nominal-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,causal_local_kpi_logistic,6,3,0,0.0,0.0
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-compound-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,3,16.423806825476277,2.7373011375793794
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-compound-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-compound-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,3,28.04221994823547,4.673703324705912
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-correlated-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,5,279.30439428004547,46.55073238000758
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-correlated-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-correlated-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,6,5,189.44210521440277,31.57368420240046
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-moderate-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,5,2,12.72546354938902,2.545092709877804
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-moderate-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-moderate-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,4,2,106.22102461726513,26.555256154316282
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-nominal-reliable-e12405-o42405-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,4,0,-69.12749823419131,-17.281874558547827
dense_causal_development_n10_v3-humanitarian-thermohitl_rule-nominal-reliable-e12406-o42406-rnone,humanitarian,human_v3_development-reliable-nominal-p0.5-o0.5,causal_kpi_plus_thermodynamic_logistic,6,3,0,0.0,0.0
